Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Assistance Requested,2024-06-03 21:52:50,false,"Nieuwegein Assistance Requested","0.18","32","00:07:33.6","85","104","0.0","--","--","1.4","5.2","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:07:33.6","1","NaN","00:03:47","00:07:33.6","39","40"
Assistance Requested,2024-06-03 21:47:37,false,"Nieuwegein Assistance Requested","0.00","16","00:02:56.8","94","99","0.0","--","--","0.0","1.8","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:02:56.8","1","NaN","00:00:03","00:02:56.8","39","39"
Running,2024-06-03 20:42:16,false,"Nieuwegein - Tempo","8.84","707","00:46:34","161","174","3.7","161","173","5:16","4:17","12","40","1.18","8.1","9.5","285","5:17","392","0.0","387","490","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","22.0","NaN:NaN","No","00:00:33.9","4","29.0","00:46:33","00:47:25","-2","7"
Pool Swim,2024-06-03 08:12:15,false,"Pool Swim","2,000","575","00:51:12","139","155","2.5","--","--","2:14","0:51","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1095","47","25","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:05.8","18","NaN","00:44:30","00:51:23","--","--"
Strength Training,2024-06-02 15:43:05,false,"Strength","0.00","449","01:14:38","109","152","0.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","319","21","NaN:NaN","26.0","NaN:NaN","No","01:14:38","1","29.0","00:21:01","01:14:38","--","--"
Running,2024-06-01 17:06:51,false,"Nieuwegein - Base","7.01","587","00:41:33","154","162","3.1","155","160","5:56","3:45","4","11","1.08","8.7","9.4","305","5:59","351","0.0","349","582","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","24.0","NaN:NaN","No","00:01:32.8","2","29.0","00:41:28","00:42:16","-9","--"
Strength Training,2024-06-01 14:45:13,false,"Strength","0.00","202","00:46:21","91","121","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","175","18","NaN:NaN","27.0","NaN:NaN","No","00:46:21","1","28.0","00:15:30","00:46:21","--","--"
Running,2024-05-31 20:27:29,false,"Nieuwegein - Base","5.69","469","00:34:03","147","153","2.9","155","161","5:59","5:12","7","8","1.07","8.7","9.3","303","6:01","346","0.0","344","437","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","23.0","NaN:NaN","No","00:00:02.8","2","29.0","00:33:59","00:34:52","-5","1"
Running,2024-05-30 15:20:47,false,"Nieuwegein - Tempo","7.45","599","00:40:04","160","173","3.5","161","167","5:22","3:19","12","10","1.15","8.2","9.4","286","5:23","393","0.0","385","641","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","25.0","NaN:NaN","No","00:00:03.6","4","30.0","00:40:03","00:40:04","-3","4"
Pool Swim,2024-05-30 08:31:27,false,"Pool Swim","1,500","454","00:44:00","135","151","2.2","--","--","2:31","1:47","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","859","52","23","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:06.5","22","NaN","00:37:38","00:44:47","--","--"
Running,2024-05-29 15:17:59,false,"Nieuwegein - Recovery","4.18","341","00:28:04","139","148","2.2","157","163","6:43","5:19","5","11","0.94","9.2","8.7","306","6:47","310","0.0","306","450","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","25.0","NaN:NaN","No","00:00:03.7","2","30.0","00:27:56","00:28:35","3","12"
HIIT,2024-05-29 10:15:36,false,"HIIT","0.00","80","00:10:01","115","144","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","23","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Strength Training,2024-05-29 09:16:08,false,"Strength","0.00","213","00:54:41","88","118","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","209","22","NaN:NaN","26.0","NaN:NaN","No","00:54:41","1","29.0","00:16:14","00:54:41","--","--"
Strength Training,2024-05-28 08:19:47,false,"Strength","0.00","448","01:08:55","113","148","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","308","20","NaN:NaN","25.0","NaN:NaN","No","01:08:55","1","29.0","00:23:21","01:08:55","--","--"
Running,2024-05-27 18:11:18,false,"Nieuwegein - Base","5.38","438","00:32:04","146","156","2.8","157","167","5:58","5:16","6","8","1.06","8.7","9.2","300","5:59","344","0.0","340","463","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","23.0","NaN:NaN","No","00:00:03.6","2","28.0","00:31:57","00:32:04","-5","-0"
Pool Swim,2024-05-27 07:34:50,false,"Pool Swim","1,525","437","00:47:03","130","147","2.0","--","--","2:23","0:58","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","861","50","24","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:20.9","28","NaN","00:36:24","00:50:36","--","--"
Running,2024-05-26 11:41:42,false,"Nieuwegein - Long Run","11.33","931","01:08:03","152","163","3.4","160","171","6:00","3:39","9","15","1.04","8.6","9.0","295","6:02","343","0.0","341","683","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","27.0","NaN:NaN","No","00:00:02.7","2","31.0","01:07:51","01:10:58","-4","7"
HIIT,2024-05-25 11:40:54,false,"HIIT","0.00","92","00:10:01","122","157","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","19","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Strength Training,2024-05-25 10:49:04,false,"Strength","0.00","244","00:50:03","96","146","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","252","15","NaN:NaN","27.0","NaN:NaN","No","00:50:03","1","29.0","00:16:10","00:50:03","--","--"
Running,2024-05-24 20:43:31,false,"Nieuwegein - Sprint","7.25","582","00:43:37","151","172","3.1","158","192","6:01","2:46","6","9","1.04","8.8","9.0","299","6:04","354","0.0","338","742","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","20.0","NaN:NaN","No","00:00:06.9","14","31.0","00:43:29","00:44:14","2","7"
