"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,582966500E-2;-4,899139404E-1;-8,513934612E-1;-1,266018152E-1
8,163494500E-2;-5,377141237E-1;-1,562746048E0;-1,218523502E0
1,816349450E-1;-1,409266114E0;-1,593900084E0;-5,917757154E-1
2,816349450E-1;3,649919853E-2;-1,517389297E0;2,895501256E-1
3,816349450E-1;-3,701843321E-1;-1,546099901E0;4,381431043E-1
4,816349450E-1;5,015203953E-1;2,306016348E-2;1,585042596E0
5,816349450E-1;1,543351054E0;-9,593638778E-1;4,967861474E-1
6,816349450E-1;-2,626720667E-1;-3,173292160E0;6,114761233E-1
7,816349450E-1;-5,665775016E-2;-2,977662563E0;1,017701507E0
8,816349450E-1;-4,066835344E-1;-4,292702675E0;3,701385260E0
9,816349450E-1;-2,602286041E-1;-2,963307381E0;5,129282951E0
1,081634945E0;7,005097270E-1;2,261728525E0;3,529579401E0
1,181634945E0;1,888184428E0;-1,839009762E0;3,179095507E0
1,281634945E0;1,450652242E0;-1,283580542E0;1,439198494E0
1,381634945E0;-7,333437204E-1;-3,008969545E0;-4,490928650E0
1,481634945E0;1,524108797E-1;-2,177581787E0;-2,970332146E0
1,581634945E0;-9,448558092E-1;1,545794487E0;3,937790155E0
1,681634945E0;0,000000000E0;4,984660447E-1;5,161811113E-1
1,781634945E0;-2,495384514E-1;-1,747380018E0;3,469561815E0
1,881634945E0;-6,589708924E-1;-4,857905805E-1;3,707951903E-1
1,981634945E0;1,592678428E0;-1,312749386E0;3,730095863E0
2,081634945E0;6,067419052E-1;-3,283553362E0;2,037540913E0
2,181634945E0;-1,038470939E-1;7,176139355E-1;-4,149302244E-1
2,281634945E0;-2,031126991E-2;-6,276640296E-2;-2,736676335E-1
2,381634945E0;-1,217148975E-1;1,657277465E0;3,769038618E-1
2,481634945E0;-2,774855494E-1;-3,202461004E-1;1,142623425E0
2,581634945E0;-1,786780834E0;-9,575312585E-2;1,555568337E0
2,681634945E0;-2,735607386E0;-1,336420417E0;2,313194036E0
2,781634945E0;-2,494926453E0;-8,868235946E-1;2,301129341E0
2,881634945E0;-2,393828154E0;-6,841690540E-1;1,689805984E0
2,981634945E0;-2,482861757E0;-2,377792895E-1;-1,082758680E-1
3,081634945E0;-2,224007607E0;-1,191187184E-2;-8,978192210E-1
3,181634945E0;-2,052812576E0;3,094032407E-1;-1,903150678E0
3,281634945E0;-1,839468002E0;-3,359758854E-2;-2,194227934E0
3,381634945E0;-1,596343637E0;1,629483104E-1;-2,257757902E0
3,481634945E0;-1,294423461E0;6,079636216E-1;-2,269364357E0
3,581634945E0;-1,878410578E-1;8,211556077E-1;-1,003040791E0
3,681634945E0;1,120937690E-1;1,202946424E0;-1,986839175E0
3,781634945E0;4,045455158E-1;1,485013366E0;-1,791362286E0
3,881634945E0;6,241515875E-1;2,391537428E-1;-1,179580808E0
3,981634945E0;1,167668939E0;1,170417786E0;-1,014494419E0
4,081634945E0;1,210734963E0;1,012356400E0;5,332853794E-1
4,181634945E0;7,208210230E-2;8,683449626E-1;6,962336898E-1
4,281634945E0;-2,370157093E-1;-8,704829961E-3;3,865249753E-1
4,381634945E0;-1,145372353E-2;2,541199327E-1;1,759291887E-1
4,481634945E0;-3,944662213E-1;-4,372268021E-1;-2,281581759E-1
4,581634945E0;-2,959642112E-1;-3,326161206E-1;1,214094684E-1
4,681634945E0;-4,045455158E-1;-5,700899959E-1;-6,517932415E-1
4,781634945E0;-7,354817390E-1;-6,165157557E-1;-5,083925724E-1
4,881634945E0;-1,431562662E0;-1,809841037E0;-4,257730842E-1
4,981634945E0;-1,601535916E0;-1,138652802E0;-5,998696685E-1
5,081634945E0;-1,113607287E0;2,406809032E-1;-1,433547974E0
5,181634945E0;-3,906483352E-1;6,695083380E-1;-8,610145450E-1
5,281634945E0;2,146885872E0;4,411974251E-1;-8,109235764E-2
5,381634945E0;2,190562725E0;-4,546364546E-1;8,475755155E-2
5,481634945E0;1,908648491E0;7,177666761E-3;2,214386463E-1
5,581634945E0;1,658041000E0;6,108652353E-1;1,244637966E-1
5,681634945E0;-7,144069076E-1;-8,717046976E-1;-2,932153046E-1
5,781634945E0;-6,869179606E-1;-2,367102914E-2;-8,336783648E-1
5,881634945E0;-8,536841869E-1;-8,280278444E-1;-1,333366156E0
5,981634945E0;-1,398881435E0;-9,521862268E-1;-1,050840974E0
6,081634945E0;-2,115426302E0;-8,512406945E-1;-9,877691269E-1
6,181634945E0;3,090978265E-1;6,143777370E-1;-1,000291854E-1
6,281634945E0;1,537242413E0;1,027475357E0;6,191119552E-1
6,381634945E0;2,352289438E0;3,240640163E-1;1,173014045E0
6,481634945E0;1,913840771E0;-1,811215430E-1;1,335198760E0
6,581634945E0;-1,226311997E-1;-3,940080702E-1;-5,070181563E-2
6,681634945E0;-8,208501935E-1;6,180428863E-1;-7,780895829E-1
6,781634945E0;-1,005789638E0;-7,506006956E-1;-1,262505770E0
6,881634945E0;-7,826710939E-1;-1,403462887E-1;-9,253081083E-1
6,981634945E0;-1,983479500E0;-9,659306407E-1;-5,815436840E-1
7,081634945E0;-1,338405728E0;-2,380847335E-1;-6,412557960E-1
7,181634945E0;7,376197577E-1;8,897252083E-1;5,396994352E-1
7,281634945E0;1,553888440E0;7,246388793E-1;1,221119642E0
7,381634945E0;2,000583649E0;3,802636266E-2;1,602452278E0
7,481634945E0;1,341307402E0;-2,806925774E-1;8,654433489E-1
7,581634945E0;-3,147483170E-1;-5,345070735E-3;-3,181080818E-1
7,681634945E0;-7,221954465E-1;2,941316068E-1;-9,920451641E-1
7,781634945E0;-1,315651059E0;-5,636758804E-1;-9,831876159E-1
7,881634945E0;-1,859473825E0;-5,141957998E-1;-8,361217976E-1
7,981634945E0;-1,184925914E0;-4,257730842E-1;-6,988298297E-1
8,081634945E0;4,184427112E-2;3,969096839E-1;-2,683225572E-1
8,181634945E0;1,499216080E0;6,916521788E-1;6,456845403E-1
8,281634945E0;2,129323483E0;4,416555762E-1;1,099557400E0
8,381634945E0;1,521818042E0;1,858557463E-1;1,461342335E0
8,481634945E0;1,059851170E0;2,229658216E-1;7,307475209E-1
8,581634945E0;-4,755585790E-1;3,436116874E-1;-9,124799371E-1
8,681634945E0;-7,703011036E-1;-5,899431109E-1;-8,368853927E-1
8,781634945E0;-1,216538191E0;-1,288925707E-1;-5,482515693E-1
8,881634945E0;-2,067015171E0;-5,497786999E-1;-4,010330439E-1
8,981634945E0;-1,672396302E0;-1,199433923E0;-3,365867436E-1
9,081634945E0;3,828597963E-1;6,169738770E-1;4,095851481E-1
9,181634945E0;1,030376911E0;5,795583725E-1;8,347473741E-1
9,281634945E0;2,112524748E0;-1,438587606E-1;1,292438149E0
9,381634945E0;1,713018894E0;-1,014036313E-1;1,456455469E0
9,481634945E0;1,524108797E-1;-5,093088746E-1;3,665191308E-2
9,581634945E0;-5,484042764E-1;-5,891795158E-1;-1,232420653E-1
9,681634945E0;-4,805982411E-1;-6,160575747E-1;-6,771441102E-1
9,781634945E0;-8,141306639E-1;-3,862195611E-1;-9,683741331E-1
9,881634945E0;-1,599092484E0;-7,516697049E-1;-7,440338731E-1
9,981634945E0;-1,642158508E0;-7,092145681E-1;-6,273586154E-1
1,008163495E1;-1,000139117E0;-3,065016270E-1;-9,367618561E-1
1,018163494E1;2,098322064E-1;3,431535661E-1;-5,708535910E-1
1,028163494E1;1,813048005E0;2,590068579E-1;6,255260110E-1
1,038163494E1;1,862986326E0;1,243110746E-1;1,131016970E0
1,048163495E1;1,554041147E0;-3,254384696E-1;8,613200188E-1
1,058163495E1;7,948883772E-1;-2,133446932E-1;5,032002330E-1
1,068163494E1;-4,980078936E-1;-1,798998117E-1;-4,254676402E-1
1,078163494E1;-2,669481039E-1;1,913535446E-1;-6,629415154E-1
1,088163494E1;-1,147510409E0;-6,957755089E-1;-1,044579625E0
1,098163495E1;-1,439656615E0;-2,417499274E-1;-1,175915599E0
1,108163495E1;-2,061059237E0;-8,443684578E-1;-7,930558324E-1
1,118163494E1;5,283984542E-1;7,554876208E-1;-5,418374538E-1
1,128163494E1;1,106124282E0;6,070473194E-1;1,359175146E-1
1,138163494E1;1,935984731E0;4,471533597E-1;9,550877810E-1
1,148163495E1;1,732261062E0;-1,954768747E-1;1,167516232E0
1,158163495E1;1,162476540E0;-3,689626157E-1;2,895501256E-1
1,168163494E1;2,382374406E-1;-9,772316813E-1;-5,809328556E-1
1,178163494E1;-1,252273750E-2;4,227187634E-1;-8,472700715E-1
1,188163494E1;-6,189591885E-1;-4,543310404E-1;-1,081689596E0
1,198163495E1;-1,445918083E0;-1,937969923E-1;-9,187413454E-1
1,208163495E1;-1,841300607E0;-6,288857460E-1;-8,286387324E-1
1,218163494E1;-7,727445364E-1;3,755294085E-1;-5,332853794E-1
1,228163494E1;4,795292020E-2;6,273586154E-1;-1,565342247E-1
1,238163494E1;1,474323273E0;9,213374853E-1;1,146135926E0
1,248163495E1;1,795943856E0;6,290385127E-1;1,449735999E0
1,258163495E1;1,487609625E0;-4,802927971E-1;1,375057697E0
1,268163494E1;9,483683109E-1;4,080579877E-1;4,138612151E-1
1,278163494E1;-2,306016237E-1;3,891211748E-1;-4,543310404E-1
1,288163494E1;-8,587238193E-1;1,473712474E-1;-8,121453524E-1
1,298163495E1;-1,409266114E0;-4,682282209E-1;-1,039845347E0
1,308163495E1;-1,539533138E0;-5,019785166E-1;-8,857545853E-1
1,318163494E1;-1,416443825E0;-1,126588225E0;-8,278751373E-1
1,328163494E1;-7,353290319E-1;-1,157589629E-1;-6,400340796E-1
1,338163494E1;1,294423461E0;3,515529633E-1;6,145304441E-1
1,348163495E1;2,156201601E0;8,214610219E-1;1,028849840E0
1,358163495E1;1,833512068E0;5,540547967E-1;1,169806957E0
1,368163494E1;7,318165898E-1;-5,809328556E-1;5,280929804E-1
1,378163494E1;-1,052215397E-1;5,742133260E-1;-3,941608071E-1
1,388163494E1;-8,669704795E-1;8,964447379E-1;-6,713408828E-1
1,398163495E1;-1,065196276E0;-3,889684379E-1;-8,483390808E-1
1,408163495E1;-1,385595083E0;-2,046398520E-1;5,971207842E-2
1,418163494E1;-2,275778532E0;-8,013024926E-1;-8,306240439E-1
1,428163494E1;-4,621195495E-1;9,407325089E-2;-2,994766831E-1
1,438163494E1;3,517056704E-1;4,648684561E-1;6,994406879E-2
1,448163495E1;1,770287514E0;5,332853794E-1;9,831876159E-1
1,458163495E1;1,669189334E0;4,579962194E-1;1,618487477E0
1,468163494E1;1,311069489E0;-5,958990455E-1;1,083064079E0
1,478163494E1;4,514294267E-1;2,240348309E-1;1,656972021E-1
1,488163494E1;-4,017966092E-1;4,673119187E-1;-4,517348409E-1
1,498163495E1;-6,693555713E-1;3,579670191E-1;-1,086881995E0
1,508163495E1;-1,407280803E0;-6,568328738E-1;-6,365215778E-1
1,518163494E1;-1,543809175E0;-6,940956116E-1;-6,649268270E-1
1,528163494E1;-1,419345379E0;-2,970332205E-1;-5,212207437E-1
1,538163495E1;-3,287982047E-1;1,867720485E-1;-3,121521473E-1
1,548163495E1;1,670563698E0;8,451320529E-1;9,369145632E-1
1,558163495E1;1,960266590E0;4,703662395E-1;1,360091448E0
1,568163494E1;1,864360690E0;4,060726762E-1;1,020603061E0
1,578163494E1;1,325730324E0;-4,129449129E-1;6,282749176E-1
1,588163495E1;-6,267477274E-1;4,578435123E-1;-6,049093008E-1
1,598163495E1;-9,934195876E-1;4,123340547E-2;-6,339253783E-1
1,608163494E1;-1,094517827E0;1,030071497E0;-1,032514930E0
1,618163495E1;-1,885282874E0;-6,717990637E-1;-2,880229652E-1
1,628163494E1;-1,804648638E0;-1,828014255E-1;-1,612684280E-1
1,638163495E1;4,961752892E-1;1,125061035E0;6,673702598E-1
1,648163494E1;9,764680862E-1;7,148650289E-1;1,277930140E0
1,658163494E1;1,779755950E0;2,354885489E-1;1,501354098E0
1,668163495E1;1,773647189E0;8,967501521E-1;1,283427835E0
1,678163494E1;-5,006040931E-1;-3,509420753E-1;6,093380973E-2
1,688163495E1;-6,067419052E-1;6,012440920E-1;-4,604396820E-1
1,698163494E1;-1,089172721E0;8,619308472E-1;-1,706299305E0
1,708163494E1;-1,793958545E0;-2,017382532E-1;-6,991352439E-1
1,718163495E1;-2,802649736E0;-8,929322958E-1;-8,419250250E-1
1,728163494E1;-1,319316268E0;-8,013024926E-1;-4,089742899E-1
1,738163495E1;1,183246017E0;4,685336351E-1;1,017396092E0
1,748163494E1;1,731344819E0;5,471825600E-1;1,205695271E0
1,758163494E1;1,630552053E0;-1,704314053E-1;1,263880134E0
1,768163495E1;1,329395533E0;-2,171625942E-1;1,171792269E0
1,778163494E1;2,901609987E-3;-5,013676286E-1;-8,979719132E-2
1,788163495E1;-5,852088928E-1;5,215262175E-1;-7,573201656E-1
1,798163494E1;-1,338253021E0;-2,370157093E-1;-1,397965074E0
1,808163494E1;-1,534951687E0;-8,355109096E-1;-1,156520605E0
1,818163495E1;-1,297019601E0;-3,801108897E-1;-5,679519773E-1
1,828163494E1;-3,233004212E-1;2,354885489E-1;-2,104430795E-1
1,838163495E1;1,675603390E0;9,596692920E-1;1,363145828E0
1,848163494E1;1,794874787E0;3,678936064E-1;1,735620856E0
1,858163494E1;1,205542564E0;-2,994766831E-1;1,515403986E0
1,868163495E1;-2,612976134E-1;-6,643159688E-2;-1,919644028E-1
1,878163494E1;-4,650211632E-1;5,616905689E-1;-8,439103365E-1
1,888163495E1;-1,390940189E0;-7,072292566E-1;-1,397659659E0
1,898163494E1;-1,778076053E0;-8,414669037E-1;-9,683741331E-1
1,908163494E1;-1,413236737E0;-7,519751191E-1;-8,724682927E-1
1,918163495E1;-3,923282027E-1;1,004873365E-1;-5,009095073E-1
1,928163494E1;1,808313847E0;5,933028460E-1;9,676105380E-1
1,938163495E1;2,255925417E0;3,504839242E-1;1,306029916E0
1,948163494E1;1,944994926E0;-2,990185320E-1;1,171792269E0
1,958163494E1;1,081231475E0;-3,726277873E-2;4,156937897E-1
1,968163495E1;-4,428772926E-1;5,174028873E-1;-4,761694670E-1
1,978163494E1;-4,920519590E-1;3,652974069E-1;-5,235115290E-1
1,988163495E1;-6,111706495E-1;1,264491081E-1;-6,078109145E-2
1,998163494E1;-5,916230083E-1;5,986479297E-2;-3,130684420E-2
2,008163494E1;-6,403394938E-1;-3,052799106E-1;4,459316283E-2
2,018163495E1;-6,351471543E-1;-7,788532227E-2;5,742133409E-2
2,028163494E1;-8,145887852E-1;-9,094256163E-1;-5,158756971E-1
2,038163495E1;-4,277583957E-1;-7,105889916E-1;-3,193297982E-1
2,048163494E1;-8,975137472E-1;-1,999056488E-1;-1,071915746E0
2,058163494E1;-1,003957033E0;-1,439045787E0;-9,179777503E-1
2,068163495E1;-7,783950567E-1;-1,456913650E-1;-7,145596147E-1
2,078163494E1;1,014341712E0;5,229006410E-1;-7,849618047E-2
2,088163495E1;1,883450270E0;4,138612002E-2;6,200281978E-1
2,098163494E1;1,992031574E0;-3,309362531E-1;6,934847832E-1
2,108163494E1;8,043568134E-1;-5,745187402E-1;1,507309973E-1
2,118163495E1;-3,889684379E-1;3,405573666E-1;-1,101695418E0
2,128163494E1;-4,234823287E-1;-2,277000248E-1;-1,530522823E0
2,138163495E1;-9,262244105E-1;-7,932085395E-1;-1,488373160E0
2,148163494E1;-1,112843752E0;-8,263479471E-1;-1,118494272E0
2,158163494E1;-1,291063666E0;-7,353290319E-1;-8,604037166E-1
2,168163495E1;-6,317873597E-1;-3,738495409E-1;-7,759515643E-1
2,178163494E1;5,652030706E-1;2,904664278E-1;8,857546002E-2
2,188163495E1;1,327104688E0;6,052147150E-1;6,304129362E-1
2,198163494E1;1,786475420E0;-3,309362531E-1;7,296785116E-1
2,208163494E1;1,653001308E0;-3,962988257E-1;8,665123582E-1
2,218163495E1;8,158105612E-1;-7,657195926E-1;3,116939962E-1
2,228163494E1;9,834930301E-2;-1,561218858E0;-3,811798990E-1
2,238163495E1;-2,496911734E-1;1,684460938E-1;-1,358258843E0
2,248163494E1;-3,746131063E-1;-4,395175576E-1;-1,272585034E0
2,258163494E1;-1,245859623E0;-7,466300726E-1;-1,257618785E0
2,268163495E1;-1,612684250E0;-3,918700516E-1;-1,236544013E0
2,278163494E1;-1,116661668E0;-7,060074806E-1;-1,064279914E0
2,288163495E1;5,192354787E-3;7,173085213E-1;-5,470298529E-1
2,298163494E1;1,539838552E0;9,181304574E-1;9,214902520E-1
2,308163494E1;1,701259732E0;4,115704596E-1;1,384373307E0
2,318163495E1;1,671480060E0;-5,192354787E-3;1,165378213E0
2,328163494E1;1,148884773E0;-3,810271919E-1;7,654141784E-1
2,338163495E1;-9,819658846E-2;6,177374721E-1;-6,461427212E-1
2,348163494E1;-2,484694421E-1;4,952589869E-1;-5,902485251E-1
2,358163494E1;-8,477282524E-1;2,848159075E-1;-1,491885662E0
2,368163495E1;-1,455386400E0;-9,804387093E-1;-7,334964275E-1
2,378163494E1;-1,948660135E0;-8,767443299E-1;-8,058840036E-1
2,388163495E1;-4,324925840E-1;1,496619824E-2;-6,282749176E-1
2,398163495E1;3,426954150E-1;4,815145433E-1;-5,421429127E-2
2,408163494E1;1,525483251E0;4,932736754E-1;1,345125318E0
2,418163495E1;1,684155464E0;3,428481221E-1;1,619403720E0
2,428163494E1;1,201724648E0;-6,669121385E-1;8,808676600E-1
2,438163495E1;5,299255848E-1;1,713477075E-1;1,933388561E-1
2,448163495E1;-8,109235764E-2;1,976149082E-1;-6,514877677E-1
2,458163494E1;-6,195700765E-1;-2,912299931E-1;-1,152702689E0
2,468163495E1;-1,234864116E0;-7,971791625E-1;-8,804095387E-1
2,478163494E1;-1,778534174E0;-6,655376554E-1;-1,199433923E0
2,488163495E1;-1,345736146E0;-4,387539625E-1;-5,677992702E-1
2,498163495E1;2,504547499E-2;2,594650090E-1;-4,624249935E-1
2,508163494E1;1,608713627E0;1,247997642E0;1,081689596E0
2,518163495E1;1,617723942E0;6,253733039E-1;1,479057431E0
2,528163494E1;1,665982246E0;3,729332387E-1;1,675756097E0
2,538163495E1;7,733554244E-1;-3,339905739E-1;1,054353356E0
2,548163495E1;-3,791945875E-1;1,798998117E-1;-5,667302608E-1
2,558163494E1;-5,218316317E-1;2,005165219E-1;-6,269004345E-1
2,568163495E1;-1,287551165E0;-7,396050692E-1;-1,132391453E0
2,578163494E1;-1,867415071E0;-2,904664278E-1;-1,204779029E0
2,588163495E1;-1,835344672E0;-6,737843752E-1;-7,052439451E-1
2,598163495E1;-6,343835592E-1;2,113593817E-1;-3,982841372E-1
