"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
5,995919700E-2;2,897500038E1;-1,268800020E0;-3,742959976E1
1,403591890E-1;2,548579979E1;2,147199869E0;-4,062599945E1
2,403591890E-1;2,111820030E1;7,283400059E0;-4,255360031E1
3,403591890E-1;1,759239960E1;8,405799866E0;-4,370039749E1
4,403591890E-1;1,232199955E1;9,125599861E0;-4,567679977E1
5,403591890E-1;1,039439964E1;9,357399940E0;-4,603059769E1
6,403591890E-1;6,148799896E0;6,953999996E-1;-4,839739990E1
7,403591890E-1;-3,196399927E0;1,585999966E0;-4,808020020E1
8,403591890E-1;-1,499380016E1;3,196399927E0;-4,482279968E1
9,403591890E-1;-2,437559891E1;1,036999989E1;-3,740520096E1
1,040359189E0;-2,352159882E1;2,840159988E1;-2,735239983E1
1,140359189E0;-1,233419991E1;3,093919945E1;-3,142720032E1
1,240359189E0;-5,514400005E0;2,932880020E1;-3,497739792E1
1,340359189E0;-3,964999914E0;2,577859879E1;-3,873500061E1
1,440359189E0;-2,571759987E1;2,219179916E1;-3,053660011E1
1,540359189E0;-3,174440002E1;1,759239960E1;-2,841379929E1
1,640359189E0;-2,725479889E1;2,514419937E1;-2,771839905E1
1,740359189E0;-2,100839996E1;2,820639992E1;-2,985339928E1
1,840359189E0;-2,082539940E1;3,431859970E1;-2,177700043E1
1,940359189E0;-2,073999977E1;3,636819839E1;-1,886120033E1
2,040359189E0;-1,656760025E1;3,832019806E1;-1,840979958E1
2,140359189E0;-1,102880001E1;3,944260025E1;-1,881239891E1
2,240359189E0;-1,019919968E1;4,016239929E1;-1,822679901E1
2,340359189E0;-1,110200024E1;4,055279922E1;-1,776319885E1
2,440359189E0;-9,259799957E0;4,063819885E1;-1,817799950E1
2,540359189E0;-5,892600060E0;4,134579849E1;-1,789739990E1
2,640359189E0;5,929199696E0;4,445679855E1;-7,954400063E0
2,740359189E0;1,603079987E1;4,193140030E1;1,927599907E0
2,840359189E0;2,491239929E1;3,642919922E1;8,845000267E0
2,940359189E0;3,035359955E1;3,015839958E1;1,362739944E1
3,040359189E0;3,315959930E1;2,125239944E1;2,250899887E1
3,140359189E0;3,156139946E1;1,962979889E1;2,699860001E1
3,240359189E0;2,837719917E1;1,854399872E1;3,114659882E1
3,340359189E0;2,509539986E1;1,800720024E1;3,415999985E1
3,440359189E0;1,722640038E1;1,617720032E1;3,886919785E1
3,540359189E0;1,246840000E1;1,474979973E1;4,110179901E1
3,640359189E0;8,076399803E0;1,467659950E1;4,210219955E1
3,740359189E0;2,403399944E0;1,542079926E1;4,244379807E1
3,840359189E0;-1,038220024E1;1,593319988E1;3,974760056E1
3,940359189E0;-1,381040001E1;1,622599983E1;3,841780090E1
4,040359189E0;-1,773880005E1;1,817799950E1;3,529459763E1
4,140359189E0;-2,073999977E1;2,137439919E1;3,106119919E1
4,240359189E0;-2,227719879E1;2,498559952E1;2,736459923E1
4,340359189E0;-2,156959915E1;2,494899940E1;2,737679863E1
4,440359189E0;-2,149639893E1;2,520520020E1;2,741339874E1
4,540359189E0;-2,163059998E1;2,459519958E1;2,809659958E1
4,640359189E0;-2,006900024E1;2,282620049E1;3,100020027E1
4,740359189E0;-1,912960052E1;2,069120026E1;3,264719772E1
4,840359189E0;-1,884899902E1;1,771439934E1;3,456259918E1
4,940359189E0;-1,527439976E1;1,348099995E1;3,869839859E1
5,040359189E0;-1,016259956E1;-1,829999983E-1;4,470079803E1
5,140359189E0;-1,104099941E1;-5,245999813E0;4,411520004E1
5,240359189E0;-1,328579998E1;-6,221999645E0;4,344419861E1
5,340359189E0;-1,589659977E1;-1,488399982E0;4,310260010E1
5,440359189E0;-1,288319969E1;1,366399956E1;4,149219894E1
