"Time (s)";"Temperature (°C)"
4,461336800E-2;3,526562500E1
1,104137540E-1;3,526562500E1
2,104137540E-1;3,527343750E1
3,104137540E-1;3,524609375E1
4,104137540E-1;3,525390625E1
5,104137540E-1;3,525390625E1
6,104137540E-1;3,526562500E1
7,104137540E-1;3,523828125E1
8,104137540E-1;3,527343750E1
9,104137540E-1;3,529687500E1
1,010413754E0;3,524609375E1
1,110413754E0;3,526562500E1
1,210413754E0;3,523828125E1
1,310413754E0;3,527343750E1
1,410413754E0;3,526562500E1
1,510413754E0;3,530859375E1
1,610413754E0;3,529687500E1
1,710413754E0;3,526171875E1
1,810413754E0;3,531640625E1
1,910413754E0;3,530859375E1
2,010413754E0;3,526562500E1
2,110413754E0;3,529296875E1
2,210413754E0;3,528515625E1
2,310413754E0;3,530468750E1
2,410413754E0;3,528906250E1
2,510413754E0;3,528906250E1
2,610413754E0;3,528906250E1
2,710413754E0;3,527343750E1
2,810413754E0;3,528906250E1
2,910413754E0;3,526562500E1
3,010413754E0;3,528906250E1
3,110413754E0;3,529296875E1
3,210413754E0;3,528125000E1
3,310413754E0;3,529296875E1
3,410413754E0;3,525390625E1
3,510413754E0;3,526953125E1
3,610413754E0;3,533593750E1
3,710413754E0;3,528125000E1
3,810413754E0;3,528125000E1
3,910413754E0;3,527343750E1
4,010413754E0;3,528906250E1
4,110413754E0;3,528906250E1
4,210413754E0;3,528125000E1
4,310413754E0;3,526562500E1
4,410413754E0;3,528125000E1
4,510413754E0;3,528125000E1
4,610413754E0;3,526562500E1
4,710413754E0;3,523046875E1
4,810413754E0;3,525390625E1
4,910413754E0;3,526562500E1
5,010413754E0;3,527343750E1
5,110413754E0;3,526562500E1
5,210413754E0;3,528125000E1
5,310413754E0;3,525390625E1
5,410413754E0;3,524609375E1
5,510413754E0;3,521484375E1
5,610413754E0;3,523828125E1
5,710413754E0;3,523828125E1
5,810413754E0;3,523046875E1
5,910413754E0;3,522265625E1
6,010413754E0;3,524609375E1
6,110413754E0;3,522265625E1
6,210413754E0;3,526562500E1
6,310413754E0;3,524609375E1
6,410413754E0;3,523046875E1
6,510413754E0;3,526562500E1
6,610413754E0;3,520703125E1
6,710413754E0;3,523828125E1
6,810413754E0;3,519921875E1
6,910413754E0;3,521484375E1
7,010413754E0;3,523046875E1
7,110413754E0;3,522265625E1
7,210413754E0;3,521484375E1
7,310413754E0;3,524609375E1
7,410413754E0;3,523046875E1
7,510413754E0;3,522265625E1
7,610413754E0;3,519921875E1
7,710413754E0;3,524609375E1
7,810413754E0;3,521484375E1
7,910413754E0;3,522265625E1
8,010413754E0;3,517187500E1
8,110413754E0;3,519921875E1
8,210413754E0;3,523828125E1
8,310413754E0;3,519921875E1
8,410413754E0;3,517968750E1
8,510413754E0;3,520703125E1
8,610413754E0;3,523046875E1
8,710413754E0;3,519921875E1
8,810413754E0;3,520703125E1
8,910413754E0;3,521484375E1
9,010413754E0;3,519531250E1
9,110413754E0;3,516796875E1
9,210413754E0;3,517187500E1
9,310413754E0;3,514843750E1
9,410413754E0;3,516406250E1
9,510413754E0;3,514062500E1
9,610413754E0;3,514843750E1
9,710413754E0;3,513281250E1
9,810413754E0;3,514062500E1
9,910413754E0;3,510546875E1
1,001041375E1;3,511328125E1
1,011041375E1;3,511328125E1
1,021041375E1;3,508984375E1
1,031041375E1;3,509765625E1
1,041041375E1;3,511328125E1
1,051041375E1;3,508203125E1
