Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Illuminance (lx),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),Temperature (°C)
"0,000000000E0",,,,,,,"1,072459375E4",,,,"5,201236630E1","5,093173800E0","3,504998250E0",,,"1,265200043E1","1,000000000E0",,,,,,
"1,000055599E2",,,,,,,,,,,,,,,,,,,,,"1,011350464E3",,
"1,000104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,279687500E1"
"1,000121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,000245684E2",,,,,,,,"-2,348985672E0","2,045177460E0","-6,889483929E-1",,,,,,,,,,,,,
"1,000403592E2",,,,,,,,,,,,,,,,,,"-4,238280106E1","7,063799858E0","8,942600250E0",,,
"1,000514902E2",,,,,,,,,,,"5,201080706E1","5,095090950E0","3,367424164E0","4,780437469E0","2,207513428E2","4,278136253E0","3,000000000E0",,,,,,
"1,000555995E1",,,,,,,,,,,,,,,,,,,,,"1,011245728E3",,
"1,000816349E2",,,,"5,476406813E-1","7,440338731E-1","2,876717091E0",,,,,,,,,,,,,,,,,
"1,000939519E2","6,705287457E0","-1,017966557E1","-2,182254314E0",,,,,,,,,,,,,,,,,,,,
"1,001041375E1",,,,,,,,,,,,,,,,,,,,,,,"3,511328125E1"
"1,001055599E2",,,,,,,,,,,,,,,,,,,,,"1,011391846E3",,
"1,001104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,285156250E1"
"1,001121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,001218400E1",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,001245684E2",,,,,,,,"1,490015984E0","-2,340057373E0","-2,147036791E-1",,,,,,,,,,,,,
"1,001403592E2",,,,,,,,,,,,,,,,,,"-3,972319794E1","1,801939964E1","3,635599852E0",,,
"1,001816349E2",,,,"2,565634064E-2","-4,114177525E-1","1,530522823E0",,,,,,,,,,,,,,,,,
"1,001939519E2","8,033902168E0","-1,058764172E1","-2,903690338E0",,,,,,,,,,,,,,,,,,,,
"1,002055599E2",,,,,,,,,,,,,,,,,,,,,"1,011173828E3",,
"1,002104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,281640625E1"
"1,002121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,002245684E2",,,,,,,,"4,841109753E0","-1,300286293E0","-1,606960773E0",,,,,,,,,,,,,
"1,002403592E2",,,,,,,,,,,,,,,,,,"-3,270819855E1","2,840159988E1","2,183799982E0",,,
"1,002816349E2",,,,"-5,009094998E-2","-4,867068827E-1","-2,512183189E-1",,,,,,,,,,,,,,,,,
"1,002821144E1",,,,,,,,"-1,907043815E0","-2,530929089E0","6,354522705E0",,,,,,,,,,,,,
"1,002939519E2","7,332805157E0","-9,220742226E0","-2,955734253E0",,,,,,,,,,,,,,,,,,,,
"1,003055599E2",,,,,,,,,,,,,,,,,,,,,"1,010922180E3",,
"1,003104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,283203125E1"
"1,003121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,003245684E2",,,,,,,,"2,890027285E0","-7,670402527E-3","-4,552280903E-1",,,,,,,,,,,,,
"1,003403592E2",,,,,,,,,,,,,,,,,,"-2,876759911E1","3,148819923E1","3,794199944E0",,,
"1,003816349E2",,,,"-1,692096740E-1","-1,508837193E-1","-1,870774865E0",,,,,,,,,,,,,,,,,
"1,003939519E2","5,355136871E0","-8,997013092E0","-2,489133835E0",,,,,,,,,,,,,,,,,,,,
"1,004035919E1",,,,,,,,,,,,,,,,,,"-9,979599953E0","1,427399993E0","4,659180069E1",,,
"1,004055599E2",,,,,,,,,,,,,,,,,,,,,"1,011254028E3",,
"1,004104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,287109375E1"
"1,004121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,004245684E2",,,,,,,,"-7,262878418E-1","-8,099832535E-1","-4,804818630E-1",,,,,,,,,,,,,
"1,004403592E2",,,,,,,,,,,,,,,,,,"-3,242760086E1","2,790139961E1","2,915799856E0",,,
"1,004816349E2",,,,"-4,369213581E-1","-4,622722864E-1","-2,499507904E0",,,,,,,,,,,,,,,,,
"1,004939519E2","7,095915318E0","-7,867002487E0","-1,867598057E0",,,,,,,,,,,,,,,,,,,,
"1,005055599E2",,,,,,,,,,,,,,,,,,,,,"1,011050964E3",,
"1,005104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,283593750E1"
"1,005121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,005245684E2",,,,,,,,"1,846448898E0","-2,911053658E0","6,764945984E-1",,,,,,,,,,,,,
"1,005403592E2",,,,,,,,,,,,,,,,,,"-3,852759933E1","2,044719887E1","5,392399788E0",,,
"1,005559948E0",,,,,,,,,,,,,,,,,,,,,"1,011338928E3",,
"1,005816349E2",,,,"-6,458373070E-1","-9,338602424E-1","-1,483180761E0",,,,,,,,,,,,,,,,,
"1,005939519E2","7,514659405E0","-7,500302792E0","-1,757528186E0",,,,,,,,,,,,,,,,,,,,
"1,006055599E2",,,,,,,,,,,,,,,,,,,,,"1,010896790E3",,
"1,006104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,285546875E1"
"1,006121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,006245684E2",,,,,,,,"4,123711586E-1","-3,032768250E0","2,223937750E0",,,,,,,,,,,,,
"1,006403592E2",,,,,,,,,,,,,,,,,,"-4,138240051E1","4,745800018E0","1,248059940E1",,,
"1,006816349E2",,,,"-9,162978968E-4","-2,478585690E-1","-7,719809413E-1",,,,,,,,,,,,,,,,,
"1,006939519E2","1,419542074E0","-2,376072884E0","-1,892124534E0",,,,,,,,,,,,,,,,,,,,
"1,007055599E2",,,,,,,,,,,,,,,,,,,,,"1,010977051E3",,
"1,007104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,283984375E1"
"1,007121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,007245684E2",,,,,,,,"-5,459430695E0","2,274779558E0","2,605473995E0",,,,,,,,,,,,,
"1,007403592E2",,,,,,,,,,,,,,,,,,"-4,234619904E1","7,783599854E0","9,845399857E0",,,
"1,007816349E2",,,,"8,471173644E-1","1,437518597E0","2,101987362E0",,,,,,,,,,,,,,,,,
"1,007939519E2","3,270390272E0","-2,841476917E0","-2,041077614E0",,,,,,,,,,,,,,,,,,,,
"1,008055599E2",,,,,,,,,,,,,,,,,,,,,"1,011403015E3",,
"1,008104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,287500000E1"
"1,008121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,008163495E1",,,,"-1,000139117E0","-3,065016270E-1","-9,367618561E-1",,,,,,,,,,,,,,,,,
"1,008245684E2",,,,,,,,"-2,937975407E0","2,534317017E0","-2,013726234E-1",,,,,,,,,,,,,
"1,008403592E2",,,,,,,,,,,,,,,,,,"-4,004039764E1","1,783639908E1","3,476999998E0",,,
"1,008816349E2",,,,"6,808093190E-1","6,446155310E-1","2,852893353E0",,,,,,,,,,,,,,,,,
"1,008939519E2","7,015157700E0","-1,038963604E1","-2,143969059E0",,,,,,,,,,,,,,,,,,,,
"1,009055599E2",,,,,,,,,,,,,,,,,,,,,"1,011411865E3",,
"1,009104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,283203125E1"
"1,009121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,009245684E2",,,,,,,,"1,746075630E0","-2,002305031E0","2,582752705E-1",,,,,,,,,,,,,
"1,009395187E1","1,289133191E0","-5,932405472E0","-5,231308460E0",,,,,,,,,,,,,,,,,,,,
"1,009403592E2",,,,,,,,,,,,,,,,,,"-3,458699799E1","2,852359962E1","4,440799713E0",,,
"1,009816349E2",,,,"2,109012306E-1","-4,841107130E-1","1,535257101E0",,,,,,,,,,,,,,,,,
"1,009939519E2","8,126624107E0","-1,044108200E1","-2,631506681E0",,,,,,,,,,,,,,,,,,,,
"1,010055599E2",,,,,,,,,,,,,,,,,,,,,"1,011248535E3",,
"1,010104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,282421875E1"
"1,010121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
