"Time (s)";"Illuminance (lx)"
0,000000000E0;2,896933594E3
1,474147229E0;6,496437378E2
4,802236261E0;3,973749876E0
4,890985734E0;4,541249752E0
5,024098774E0;5,101249695E0
5,201624210E0;6,806249619E0
5,245985417E0;7,822499752E0
5,911541342E0;3,947499990E0
7,176251904E0;1,387500018E-1
7,220634758E0;1,843750000E0
7,309369217E0;3,107499838E0
7,409369217E0;0,000000000E0
7,509369217E0;0,000000000E0
7,609369217E0;0,000000000E0
7,709369217E0;4,108749866E0
7,809369217E0;1,139999986E0
7,909369217E0;1,139999986E0
8,009369217E0;3,982499838E0
8,109369217E0;3,982499838E0
8,209369217E0;3,982499838E0
8,309369217E0;3,982499838E0
8,409369217E0;3,982499838E0
8,509369217E0;3,982499838E0
8,609369217E0;3,982499838E0
8,709369217E0;3,982499838E0
8,809369217E0;3,982499838E0
8,909369217E0;3,982499838E0
9,009369217E0;3,413749933E0
9,109369217E0;3,413749933E0
9,209369217E0;3,413749933E0
9,309369217E0;3,413749933E0
9,409369217E0;3,413749933E0
9,509369217E0;3,413749933E0
9,609369217E0;3,413749933E0
9,709369217E0;3,413749933E0
9,809369217E0;3,413749933E0
9,909369217E0;3,413749933E0
1,000936922E1;3,413749933E0
1,010936922E1;3,413749933E0
1,020936922E1;3,413749933E0
1,030936922E1;3,413749933E0
1,040936922E1;3,413749933E0
1,050936922E1;3,413749933E0
1,060936922E1;3,413749933E0
1,070936922E1;3,413749933E0
1,080936922E1;3,413749933E0
1,090936922E1;3,413749933E0
1,100936922E1;3,413749933E0
1,110936922E1;3,413749933E0
1,120936922E1;3,413749933E0
1,130936922E1;3,413749933E0
1,140936922E1;3,413749933E0
1,150936922E1;3,413749933E0
1,160936922E1;3,413749933E0
1,170936922E1;3,413749933E0
1,180936922E1;3,413749933E0
1,190936922E1;3,413749933E0
1,200936922E1;3,413749933E0
1,210936922E1;3,413749933E0
1,220936922E1;3,413749933E0
1,230936922E1;3,413749933E0
1,240936922E1;3,413749933E0
1,250936922E1;3,413749933E0
1,260936922E1;3,413749933E0
1,270936922E1;3,413749933E0
1,280936922E1;3,413749933E0
1,290936922E1;3,413749933E0
1,300936922E1;3,413749933E0
1,310936922E1;3,413749933E0
1,320936922E1;3,413749933E0
1,330936922E1;3,413749933E0
1,340936922E1;3,413749933E0
1,350936922E1;3,413749933E0
1,360936922E1;3,413749933E0
1,370936922E1;3,413749933E0
1,380936922E1;3,413749933E0
1,390936922E1;3,413749933E0
1,400936922E1;3,413749933E0
1,410936922E1;3,413749933E0
1,420936922E1;3,413749933E0
1,430936922E1;3,413749933E0
1,440936922E1;3,413749933E0
1,450936922E1;3,413749933E0
1,460936922E1;1,708750010E0
1,470936922E1;1,708750010E0
1,480936922E1;1,708750010E0
1,490936922E1;1,708750010E0
1,500936922E1;1,708750010E0
1,510936922E1;1,708750010E0
1,520936922E1;1,708750010E0
1,530936922E1;1,708750010E0
1,540936922E1;1,708750010E0
1,550936922E1;1,708750010E0
1,560936922E1;1,708750010E0
1,570936922E1;1,708750010E0
1,580936922E1;1,708750010E0
1,590936922E1;1,708750010E0
1,600936922E1;1,708750010E0
1,610936922E1;1,708750010E0
1,620936922E1;1,708750010E0
1,630936922E1;1,708750010E0
1,640936922E1;1,708750010E0
1,650936922E1;1,708750010E0
1,660936922E1;1,708750010E0
1,670936922E1;1,708750010E0
1,680936922E1;1,708750010E0
1,690936922E1;1,708750010E0
1,700936922E1;1,708750010E0
1,710936922E1;1,708750010E0
1,720936922E1;1,708750010E0
1,730936922E1;1,708750010E0
1,740936922E1;1,708750010E0
1,750936922E1;1,708750010E0
1,760936922E1;1,708750010E0
1,770936922E1;1,708750010E0
1,780936922E1;1,708750010E0
1,790936922E1;1,708750010E0
1,800936922E1;1,708750010E0
1,810936922E1;1,708750010E0
1,820936922E1;1,708750010E0
1,830936922E1;1,708750010E0
1,840936922E1;1,708750010E0
1,850936922E1;1,708750010E0
1,860936922E1;1,708750010E0
1,870936922E1;1,708750010E0
1,880936922E1;1,708750010E0
1,890936922E1;1,708750010E0
1,900936922E1;1,708750010E0
1,910936922E1;1,708750010E0
1,920936922E1;1,708750010E0
1,930936922E1;1,708750010E0
1,940936922E1;1,708750010E0
