"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,175458330E-1;-3,121869564E-1;-1,617374182E0;1,757264137E0
2,175458330E-1;-6,015691757E-1;1,541707993E0;-3,465203285E0
3,175458330E-1;8,112012148E-1;1,417639256E-1;-1,234647751E0
4,175458330E-1;6,034351587E-1;5,446444154E-1;-7,316751480E-1
5,175458330E-1;-4,101274490E0;4,501931190E0;-4,023852348E0
6,175458330E-1;3,346267223E0;-4,921896935E0;-4,986619949E-1
7,175458330E-1;-1,478307247E0;-4,688394547E0;-3,404105186E0
8,175458330E-1;3,761228561E0;-4,313310623E0;4,295114040E0
9,175458330E-1;1,443644714E1;-5,754556656E-1;9,931221962E0
1,017545833E0;9,753434181E0;4,804117203E0;-1,487577438E0
1,117545833E0;6,543030739E-1;1,073169231E0;-3,943424225E0
1,217545833E0;1,344376564E0;1,154158211E1;-3,707756996E0
1,317545833E0;-4,793785095E0;-3,194514751E0;3,279614449E0
1,417545833E0;2,680313587E0;-5,396032333E-2;4,357904434E0
1,517545833E0;2,243143082E0;-8,582949638E-1;-2,330419302E0
1,617545833E0;-2,697649717E0;4,533758163E-1;-3,178709745E0
1,717545833E0;-2,565697432E0;1,279278755E0;1,399604917E0
1,817545833E0;1,164455891E0;9,018983841E-1;-2,952776551E-1
1,917545833E0;-7,311956882E-1;4,274822235E0;3,381946981E-1
2,017545833E0;9,828159809E-1;5,457845688E0;2,839960814E0
2,117545833E0;1,995964050E-1;1,807064533E0;2,597429276E0
2,217545833E0;-6,098713875E-1;-7,580862045E-1;1,348807812E0
2,317545833E0;-1,794810772E0;5,420169830E-1;4,144549847E0
2,417545833E0;-1,421221495E0;-8,951206207E-1;3,040581942E0
2,517545833E0;4,324160576E0;-2,401403427E0;-3,117627382E0
2,617545833E0;-3,655483246E0;-4,159768105E0;-3,669826746E0
2,717545833E0;1,256793976E0;-5,587800503E0;-1,100312233E0
2,817545833E0;4,061267853E0;-6,301999092E-2;-1,055123806E0
2,917545833E0;2,266757011E0;-1,045469642E-1;1,432276726E0
3,017545833E0;1,168496609E0;1,467409432E-1;-4,903502464E-1
3,117545833E0;2,637627125E0;-3,352954984E-1;2,070909023E0
3,217545833E0;1,531971455E0;-1,469583035E0;3,867812157E-1
3,317545833E0;9,495534897E-1;-2,918487787E0;-7,303810120E-2
3,417545833E0;1,268991470E0;-1,763595819E0;-1,054187775E0
3,517545833E0;-1,545429230E-2;-1,671197891E0;1,015928745E0
3,617545833E0;-1,920294046E0;-9,933998585E-1;1,504224300E0
3,717545833E0;1,830315351E0;-5,401849747E-2;1,101550102E0
3,817545833E0;1,351310968E0;-1,649082184E0;5,461626053E-1
3,917545833E0;4,047650099E-1;-1,697293282E0;1,231602669E0
4,017545833E0;5,547260046E-1;-2,282235146E0;1,125839710E0
4,117545833E0;2,651596069E-1;-1,009255886E0;9,663581848E-3
4,217545833E0;2,231809616E0;-6,050815582E-1;-4,092478752E-1
4,317545833E0;-9,355475903E-1;-8,270425797E-1;-3,810143471E-1
4,417545833E0;-9,699332714E-1;-1,261040211E0;-2,289056778E-1
4,517545833E0;1,526959658E0;-1,045494080E0;5,749421120E-1
4,617545833E0;3,506774902E-1;-1,164859533E0;7,068548203E-1
4,717545833E0;-7,618691921E-1;-5,121786594E-1;1,484527588E-1
4,817545833E0;2,885318995E-1;-1,616646051E0;3,106888771E0
4,917545833E0;2,723482132E0;-4,133896351E0;-4,889208794E0
5,017545833E0;-1,064635992E0;-1,508830309E0;2,287692547E0
5,117545833E0;2,790575624E-1;7,682607174E-1;4,854303360E0
5,217545833E0;2,952756882E0;-6,701905727E0;-3,968829155E0
5,317545833E0;2,134640694E0;1,638300896E0;5,453653336E-1
5,417545833E0;2,527541876E0;-2,359519005E-1;-5,412697792E-1
5,517545833E0;2,743647099E0;1,004697323E0;-3,053755760E-1
5,617545833E0;1,137634039E0;5,857853889E-1;-7,300710678E-2
5,717545833E0;-3,092847168E-1;-1,082457542E0;-1,164281368E0
5,817545833E0;3,572162151E0;-2,463435173E0;-3,042449951E-1
5,917545833E0;-1,494591951E0;-2,480082512E0;1,558485031E0
6,017545833E0;2,360953569E0;-1,030990124E0;-8,887863159E-1
6,117545833E0;2,661205053E0;-8,003520966E-2;-4,742226601E-1
6,217545833E0;1,441101789E0;1,850680113E0;3,903872490E0
6,317545833E0;2,295830727E0;-2,105596542E0;7,011938095E-1
6,417545833E0;-3,097903013E0;-3,549969196E-1;5,263623714E0
6,517545833E0;-2,201354742E0;3,753621101E0;2,077423096E0
6,617545833E0;-9,147489071E-1;1,391723633E0;4,116258621E-1
6,717545833E0;2,395365477E0;1,307623386E0;7,706084251E-1
6,817545833E0;8,810150623E-2;1,837558746E-1;1,241108894E0
6,917545833E0;1,367234945E0;-3,399176598E0;-1,939017773E0
7,017545833E0;3,316811323E-1;-2,288932800E0;-2,429157257E0
7,117545833E0;-8,678007126E-2;-1,435981750E0;-3,126964569E-1
7,217545833E0;3,077461720E-1;-1,176412106E0;-1,516968727E0
7,317545833E0;3,058748245E-1;-1,818780899E-1;2,043589592E0
7,417545833E0;-1,830105066E0;-1,902997494E-1;1,269590855E0
7,517545833E0;-8,230601549E-1;1,467508674E0;2,404740334E0
7,617545833E0;-2,220693111E0;-1,349415779E-1;3,467779160E0
7,717545833E0;9,037547112E-1;-5,066385269E-1;2,036183834E0
7,817545833E0;1,138092041E0;-1,739935875E0;8,067131042E-3
7,917545833E0;-2,686520815E-1;-1,774033070E0;4,621982574E-1
8,017545833E0;3,901246786E-1;-9,848279953E-1;-1,939935684E-1
8,117545833E0;4,969310760E-1;-6,323137283E-1;-4,494552612E-1
8,217545833E0;-4,386484623E-2;1,090478420E0;1,609978676E0
8,317545833E0;8,504631519E-1;-1,781237125E0;-5,628499985E-1
8,417545833E0;-1,774215698E-2;-4,596657753E-1;1,385549545E0
8,517545833E0;1,188256502E0;-1,506062031E0;5,549798012E-1
8,617545833E0;1,432133913E0;2,168898582E-1;-1,179332733E-1
8,717545833E0;1,048317909E0;-1,229785919E0;-1,553775787E0
8,817545833E0;-1,694162965E0;2,102322578E-1;1,413853645E0
8,917545833E0;-8,387725353E-1;-7,815189362E-1;1,658216000E0
9,017545833E0;6,435682774E-1;1,913890839E-1;-6,080188751E-1
9,117545833E0;-8,692457676E-1;3,117895126E-2;1,094731331E0
9,217545833E0;-1,755321026E-1;-4,843485355E-1;6,088237762E-1
9,317545833E0;1,453764439E-1;-1,120814323E0;-3,883647919E-2
9,417545833E0;1,572742462E-1;1,613402367E0;1,829027176E0
9,517545833E0;1,028910637E0;2,231686115E-1;3,026638031E-1
9,617545833E0;-1,179579735E0;3,512549400E-2;4,232702255E-1
9,717545833E0;2,945232391E-1;-8,645672798E-1;-1,797046661E-1
9,817545833E0;-4,080163240E-1;-1,001854420E0;7,080268860E-1
9,917545833E0;5,650277734E-1;-1,269518375E0;-2,276329517E0
1,001754583E1;9,347156286E-1;-9,740581512E-1;-8,755464554E-1
1,011754583E1;-1,249281168E0;-1,034286499E0;6,701455116E-1
1,021754583E1;-7,935556173E-1;2,238874435E-1;6,089887619E-1
1,031754583E1;-7,818400860E-2;-6,154813766E-1;-7,199716568E-2
1,041754583E1;-1,079107165E0;-9,467067719E-1;3,734412193E-1
1,051754583E1;-7,852467299E-1;2,835597992E-1;1,039941549E0
1,061754583E1;-1,135419607E0;-1,327800751E-1;1,016219139E0
1,071754583E1;1,738113165E-2;-2,817068100E-1;-1,107091904E-1
1,081754583E1;-6,710101962E-1;-8,899211884E-1;6,379184723E-1
1,091754583E1;-1,362914324E0;-5,699262619E-1;1,367879868E0
1,101754583E1;7,460221648E-1;3,457269669E-1;-1,395835876E-1
1,111754583E1;-4,589912891E-1;-2,521052361E-1;4,879021645E-1
1,121754583E1;-5,722489357E-1;-9,798245430E-1;4,611778259E-1
1,131754583E1;-5,839064121E-1;-5,693769455E-1;4,150390625E-1
1,141754583E1;-4,619840384E-1;-3,629159927E-2;1,743528366E0
1,151754583E1;-6,383016109E-1;-5,478878021E-1;9,796400070E-1
1,161754583E1;6,145292521E-2;-2,944898605E-2;1,499529362E0
1,171754583E1;-4,938686788E-1;-1,742765427E0;-5,806651115E-1
1,181754583E1;6,616394222E-2;1,346755028E-1;1,342248917E0
1,191754583E1;-6,548910141E-1;1,068305969E-2;3,110466003E-1
1,201754583E1;7,238883376E-1;-4,185791016E-1;-9,587740898E-1
1,211754583E1;9,435671568E-2;9,335904121E-1;-1,011189461E0
1,221754583E1;-1,527385116E0;4,112029076E-1;5,552883148E-1
1,231754583E1;-2,820719719E0;9,485549927E0;4,865934372E0
1,241754583E1;2,261068106E0;1,451858997E0;3,992178440E0
1,251754583E1;2,757217169E0;-8,971529007E-1;-2,695745468E0
1,261754583E1;-7,407959104E-1;1,387052536E-1;7,372522354E-2
1,271754583E1;-6,563562155E-2;-4,936065674E-1;-2,811164856E-1
1,281754583E1;8,588078022E-1;1,259374619E-2;4,705619812E-2
1,291754583E1;-3,536243737E-1;2,477240562E-1;7,511358261E-1
1,301754583E1;-9,602363110E-1;2,486367226E-1;6,702518463E-1
1,311754583E1;1,566752672E0;9,774985313E-1;1,617836952E-1
1,321754583E1;-3,126966953E-2;7,487745285E-1;1,473495960E0
1,331754583E1;-1,769716382E0;-1,384911060E0;1,122851849E0
1,341754583E1;3,100226879E0;-1,228731155E0;-2,067577362E0
1,351754583E1;3,106973171E-1;1,156114578E0;1,240614414E0
1,361754583E1;-7,942458987E-1;-4,203310013E-1;6,100177765E-2
1,371754583E1;5,917819738E-1;-7,422890663E-1;-2,874755859E-1
1,381754583E1;4,064428210E-1;-3,568115234E-1;2,800993919E-1
1,391754583E1;-4,181231260E-1;9,191050529E-1;8,051428795E-1
1,401754583E1;-8,013470173E-1;4,740147591E-1;1,106073856E0
1,411754583E1;2,610936761E-2;8,419857025E-1;7,055873871E-1
1,421754583E1;1,508966088E0;-7,891273499E-1;-1,324613094E0
1,431754583E1;-1,239882588E0;2,074387550E0;2,789966106E0
1,441754583E1;-1,782375574E-2;-6,455230713E-2;-1,217610836E0
1,451754583E1;1,835015297E0;-2,962007523E-1;3,050373077E0
1,461754583E1;5,326519012E-1;-2,926506996E0;-1,139855385E-1
1,471754583E1;-3,692665100E-1;-1,730940819E0;-5,379488468E-1
1,481754583E1;2,247339725E0;2,076549530E-1;-2,861648321E0
1,491754583E1;-2,136022568E0;-4,917567253E0;-1,926855087E0
1,501754583E1;-1,401735544E-1;-4,691982269E-1;3,817358017E-1
1,511754583E1;1,073180795E0;-3,716425419E0;-4,413957596E-1
1,521754583E1;-1,185002327E-1;3,750324249E-3;6,727600098E-2
1,531754583E1;-1,782593608E0;2,875021935E0;5,203894138E0
1,541754583E1;2,005996704E0;1,123425961E0;1,819437504E0
1,551754583E1;-2,089284897E0;3,030762196E0;6,067915440E0
1,561754583E1;-1,305350780E0;-3,281490803E0;-2,423503876E0
1,571754583E1;1,785434723E0;4,887601852E0;-1,756730080E-1
1,581754583E1;4,879617691E-1;-2,323003769E0;-2,918710232E0
1,591754583E1;1,359682083E-1;-5,949726105E-1;2,438659668E-1
1,601754583E1;9,461560249E-1;-1,141869545E0;-1,452417850E0
1,611754583E1;2,078249216E0;8,488717079E-1;-5,888757706E-1
1,621754583E1;9,684741497E-1;2,455852509E0;2,172470093E-3
1,631754583E1;2,386963367E-1;-8,568143845E-1;4,416794777E-1
1,641754583E1;-2,674063683E0;-1,194508076E-1;5,801748276E0
1,651754583E1;7,876172066E-1;2,946917057E0;-9,285583496E-1
1,661754583E1;-1,957928658E0;3,457558632E0;1,116496563E0
1,671754583E1;1,036534786E0;-2,479269028E0;-5,538811684E-1
1,681754583E1;1,303611040E0;-4,766717911E0;-3,176952362E0
1,691754583E1;2,018982887E0;-2,141304016E-1;-2,626749039E0
1,701754583E1;9,865217209E-1;-2,285556793E0;-1,671500206E-1
1,711754583E1;2,539730072E-1;1,652619839E0;-2,030286312E0
1,721754583E1;1,681079865E-1;4,797253609E-1;1,464390755E-1
1,731754583E1;-1,409436941E0;2,861311436E-1;1,540256023E0
1,741754583E1;-1,615856290E0;3,344217539E0;1,443925858E0
1,751754583E1;9,777011871E-1;2,028832436E-1;3,385710716E-1
1,761754583E1;-4,054546356E-3;1,720299721E-1;-1,141973019E0
1,771754583E1;9,429956675E-1;-1,174409866E0;5,652465820E-1
1,781754583E1;1,661304474E0;-1,706652641E0;-4,757327080E0
1,791754583E1;-1,728184700E0;-1,922976017E0;-9,812946320E-1
1,801754583E1;-3,216726780E0;1,020069599E0;-1,985896111E0
1,811754583E1;-1,684105754E0;1,516857147E0;2,343626022E0
1,821754583E1;-1,695132017E0;-2,036815166E0;3,631312847E0
1,831754583E1;-3,124017715E-1;-3,975845098E0;1,699592590E0
1,841754583E1;-7,436637878E-1;2,606888771E0;2,009025574E0
1,851754583E1;-6,183757782E-1;1,605873108E-1;7,057199478E-1
1,861754583E1;1,295811415E0;-1,895740032E0;3,607568741E-1
1,871754583E1;-1,048663139E0;-2,547383308E0;-3,593301296E0
1,881754583E1;-1,103680491E0;-2,017927170E-1;7,574987411E-1
1,891754583E1;2,655650139E0;1,776833534E-1;1,548767090E-2
1,901754583E1;5,876190662E-1;-3,157782555E-1;-9,581303596E-1
1,911754583E1;-9,279966354E-2;-1,322071075E0;4,550123215E-1
1,921754583E1;-1,959177256E0;-1,919026375E-1;1,790506363E0
1,931754583E1;-6,392464638E-1;-4,417512417E-1;1,174022198E0
1,941754583E1;-1,330275536E0;1,382002831E-1;2,989331722E0
1,951754583E1;-1,133766174E0;4,720754623E-1;2,308712482E0
1,961754583E1;-3,191921711E-1;9,763245583E-1;1,188875198E0
1,971754583E1;-6,288017035E-1;-2,427569389E0;-1,724979401E0
1,981754583E1;2,256340742E0;-9,429267883E0;-6,500541210E0
1,991754583E1;-3,406938076E0;3,137565136E0;5,199063301E0
2,001754583E1;5,969362259E-1;4,922432899E-1;-3,797639370E0
2,011754583E1;3,152260780E0;-2,850461483E0;-1,774760246E0
2,021754583E1;-1,105094910E0;9,511480331E-1;2,153911591E0
2,031754583E1;-2,890954971E0;7,900922298E-1;5,489778519E0
2,041754583E1;-1,442780972E0;-6,349425316E-1;7,586579323E-1
2,051754583E1;-2,747876644E-1;1,445417404E0;2,772534847E0
2,061754583E1;8,630323410E-1;-2,670456409E0;-5,452814102E-1
2,071754583E1;2,327826977E0;-3,288913727E0;-1,287879467E0
2,081754583E1;2,135981083E0;-1,136404037E0;-3,626004696E0
2,091754583E1;2,535336494E0;-4,084681034E0;-3,529143333E-1
2,101754583E1;-7,870864868E-2;8,869829178E-1;3,439388514E0
2,111754583E1;-3,136152267E0;1,569795609E-2;4,391958237E0
2,121754583E1;-5,301074982E-1;1,622595787E0;4,021453857E-2
2,131754583E1;-3,128296852E0;4,279225349E0;2,749469757E0
2,141754583E1;-1,639382839E0;6,689152718E-1;6,410660744E-1
2,151754583E1;8,979606628E-1;-1,831965923E0;9,958705902E-1
2,161754583E1;1,588825941E0;-4,618558884E0;-4,377811432E0
2,171754583E1;1,001041651E0;-1,294873238E0;-8,508801460E-1
2,181754583E1;2,025302887E0;-1,851477623E-1;5,257210732E-1
2,191754583E1;-2,580881119E-1;-6,015224457E-1;1,685279369E0
2,201754583E1;-1,631085157E0;-2,112789631E0;2,201918602E0
2,211754583E1;-2,769054174E0;2,961328983E0;4,864933491E0
2,221754583E1;1,124435663E0;1,580527782E0;1,310348511E-1
2,231754583E1;-9,055857658E-1;3,702163696E-1;1,940615654E0
2,241754583E1;1,422742128E0;-3,316573143E0;-2,404192924E0
2,251754583E1;2,187100172E0;-3,720393181E0;-2,673342705E0
2,261754583E1;-2,003656387E0;8,208374977E-1;2,040458679E0
2,271754583E1;3,364847183E0;-7,920789719E0;-3,524051189E0
2,281754583E1;-2,708671093E0;1,101529121E0;2,926139355E0
2,291754583E1;-2,066531181E-1;-1,477196455E0;-8,210372925E-2
2,301754583E1;-9,655034542E-1;3,839351416E0;1,072717667E0
2,311754583E1;-1,252032518E0;1,459613800E0;1,970889091E0
2,321754583E1;-1,139654279E0;-2,498018265E0;3,023701668E0
2,331754583E1;3,250095367E0;-1,795046806E0;-1,523369312E0
2,341754583E1;3,654920578E0;9,231872559E-1;-2,234449387E0
2,351754583E1;-1,527390838E0;-6,631088257E-1;1,615580082E0
2,361754583E1;-4,093003273E-1;-8,433790207E-1;1,918315887E-3
2,371754583E1;-1,302292585E0;-7,147712708E-1;1,081099033E0
2,381754583E1;-3,121106863E0;4,256596565E-1;5,770117760E0
2,391754583E1;1,367551327E0;3,493641376E0;2,054217815E0
2,401754583E1;8,190143108E-1;-4,376314640E0;7,688660622E-1
2,411754583E1;1,529218435E0;2,729058266E0;3,971541882E0
2,421754583E1;2,754785538E0;-4,768332481E0;-4,494791031E0
2,431754583E1;-6,981303692E-1;3,180260658E-1;-8,312888145E-1
2,441754583E1;7,485446930E-1;-1,004516602E0;-7,490448952E-1
2,451754583E1;1,103372812E0;-5,903272629E-1;4,963903427E-1
2,461754583E1;-6,998610497E-1;-2,757340431E0;4,699115753E-1
2,471754583E1;-5,247165680E0;3,295305252E0;6,271160126E0
2,481754583E1;-1,443715572E0;1,212887526E0;-7,719101906E-1
2,491754583E1;9,627332687E-1;2,810933113E0;1,317361355E0
2,501754583E1;-8,146914244E-1;-3,222918510E0;-2,626309872E0
2,511754583E1;6,732356548E-1;4,414863586E-1;-2,446017265E-1
2,521754583E1;2,134243727E0;-2,404101849E0;4,211978912E-1
2,531754583E1;-1,225059748E0;6,442489624E-1;7,318782806E-2
2,541754583E1;-1,357649565E0;-9,731812477E-1;1,706640720E0
2,551754583E1;-1,228549719E0;6,807088852E-3;5,518077374E0
2,561754583E1;-6,797823906E-1;4,467248917E0;2,233936787E0
2,571754583E1;7,497537136E-1;1,536054611E0;2,440548897E0
2,581754583E1;-6,676180363E-1;-4,645245075E0;-5,905189514E-1
2,591754583E1;-1,575305820E0;-2,312208176E0;-8,215584755E-1
2,601754583E1;1,474782467E0;1,981494904E0;-2,110772133E0
2,611754583E1;2,450749636E0;-3,863341808E0;-1,688913345E0
2,621754583E1;-1,128010750E0;9,814701080E-1;2,269191742E0
2,631754583E1;-1,904884815E0;1,506793976E0;2,479868889E0
2,641754583E1;-8,791513443E-1;1,850190878E0;5,141887665E-1
2,651754583E1;-2,419786453E0;1,863693237E0;1,768296242E0
2,661754583E1;3,164128065E0;-3,886967182E0;-1,738204956E-1
2,671754583E1;-6,747012138E-1;-2,039339066E0;7,241225243E-1
2,681754583E1;1,681675673E0;1,384510994E0;3,733596802E-1
2,691754583E1;1,622639179E0;-4,301011086E0;-2,922448635E0
2,701754583E1;1,994011402E0;-6,997423172E-1;-1,569075584E-1
2,711754583E1;-1,531549454E0;2,246654034E-1;3,059155941E0
2,721754583E1;-1,282406569E0;3,026314259E0;4,732819557E0
2,731754583E1;-1,087275982E0;3,749767780E0;1,523567200E0
2,741754583E1;-2,258772850E0;-1,830709934E0;-1,959805965E0
2,751754583E1;-1,730322838E-2;-1,594555855E0;-2,293775082E0
2,761754583E1;-3,509593010E-2;-5,383437157E0;-5,016308308E0
2,771754583E1;2,145039797E0;2,936766148E0;1,116579533E0
2,781754583E1;2,739127636E0;-3,727487564E0;-4,376569748E0
2,791754583E1;-1,338446617E0;-3,830919266E-1;2,926148415E0
2,801754583E1;-3,890199661E-1;4,043800831E-1;3,211633682E0
2,811754583E1;-1,738095760E0;2,814352512E0;3,938295364E0
2,821754583E1;1,880156994E0;-2,041740894E0;7,568130493E-1
2,831754583E1;1,585107327E0;1,381433010E0;1,078088760E0
2,841754583E1;5,171459198E0;-1,385235596E1;1,307287216E-1
2,851754583E1;-3,276304245E0;4,190810204E0;2,819931984E0
2,861754583E1;6,672537804E0;-4,566112041E0;-4,025997639E0
2,871754583E1;7,737619877E-1;-1,758709431E0;-2,299660683E0
2,881754583E1;-2,991211176E0;1,355283737E0;2,202976704E0
2,891754583E1;-2,999296427E0;4,742269516E-1;2,675446510E0
2,901754583E1;-1,330008507E-1;3,277320862E0;1,243618965E0
2,911754583E1;-4,982352257E-1;-2,729135513E0;-3,024959564E-1
2,921754583E1;1,467523575E0;-2,859497070E0;-1,254004478E0
2,931754583E1;3,534981012E0;-2,850465775E-1;-1,937932968E0
2,941754583E1;1,207126617E0;-1,208299637E0;1,700775623E0
2,951754583E1;2,897930145E-1;-2,591032028E0;-1,411642551E0
2,961754583E1;-1,087404013E0;-1,882567406E-1;5,075292587E0
2,971754583E1;-4,493052959E-1;-2,598762512E-4;2,953010082E0
2,981754583E1;-2,145216227E0;2,879314423E-1;2,195008278E0
2,991754583E1;2,641801834E-1;-9,827365875E-1;-2,257852554E-1
3,001754583E1;-2,600608826E0;-1,034120560E0;-9,483861923E-2
3,011754583E1;5,554533005E-1;-5,069719315E0;-4,329616547E0
3,021754583E1;-1,130028367E0;7,620852947E0;1,720984697E0
3,031754583E1;3,239351034E0;-1,072424889E0;-6,697547913E0
3,041754583E1;4,595536709E0;-1,577784538E0;-1,008775711E0
3,051754583E1;-4,222918510E0;-1,058805466E0;7,876818180E0
3,061754583E1;-3,088437557E0;5,354165554E0;6,182377815E0
3,071754583E1;1,367748260E0;-1,558880329E0;-2,425885201E0
3,081754583E1;-2,945187807E0;-1,630292892E0;5,022509098E0
3,091754583E1;5,950397491E0;-7,410009384E0;-7,132897377E-1
3,101754583E1;3,689750433E0;-1,162031174E0;-3,413906574E0
3,111754583E1;1,664762020E0;-2,700297832E0;-3,744592667E-1
3,121754583E1;-1,952209711E0;-2,548422813E-1;4,049815655E0
3,131754583E1;3,690328598E-1;-2,258404255E0;-1,920253754E0
3,141754583E1;-5,615756035E0;1,352736712E0;6,140919685E0
3,151754583E1;-2,376408577E0;7,966693878E0;3,705353737E0
3,161754583E1;1,184226036E0;-2,493828773E0;-2,476354599E0
3,171754583E1;-2,483722925E0;3,102698326E-1;2,319455147E0
3,181754583E1;-1,914359331E-1;-5,637910843E0;-2,635152340E0
3,191754583E1;-1,801684618E0;-3,458813190E0;4,059429169E-1
3,201754583E1;2,413666248E0;2,909441471E0;6,178364754E-1
3,211754583E1;9,395973682E-1;3,249268532E-1;-4,480562687E0
3,221754583E1;-2,625195503E0;5,992729664E-1;7,176096439E0
3,231754583E1;-1,678459167E0;4,240286827E0;1,991147995E0
3,241754583E1;-7,327919006E-1;-4,782493591E0;-1,408519745E0
3,251754583E1;5,862720013E-1;-1,754881382E0;1,021464825E0
3,261754583E1;1,775480986E0;-2,789889336E0;-3,923953533E0
3,271754583E1;9,858283997E-1;-1,275019646E0;-3,696797848E0
3,281754583E1;6,890525818E-1;-3,079409122E0;-1,907128811E0
3,291754583E1;1,685150385E0;-1,914460182E0;3,197234392E0
3,301754583E1;-8,618304729E-1;4,339365959E-1;1,104066372E0
3,311754583E1;-5,081198215E0;2,336731195E0;7,848328590E0
3,321754583E1;1,213469505E0;-1,886578560E0;2,117049694E0
3,331754583E1;-2,217134714E0;-1,234106064E0;1,047390938E0
3,341754583E1;3,822618723E0;-5,932178497E0;-3,140068531E0
3,351754583E1;4,902224541E-1;7,617759705E-2;-3,535828590E-1
3,361754583E1;7,572040558E-1;-2,763371944E0;1,333754301E0
3,371754583E1;1,155203581E0;-3,398291588E0;3,091793060E-1
3,381754583E1;-2,357871771E0;-3,909373283E-1;2,898220062E0
3,391754583E1;-2,076003551E-1;-4,955008030E-1;1,011857033E0
3,401754583E1;-1,539871216E0;5,084859371E0;1,487969398E0
3,411754583E1;1,663942337E-1;-1,696022987E0;1,111596107E0
3,421754583E1;3,154283047E0;-5,213731289E0;-1,775705814E0
3,431754583E1;4,271074772E0;-1,524165154E0;-2,019512177E0
3,441754583E1;-1,586083174E0;-1,165480614E0;-4,046144485E-1
3,451754583E1;-4,795804024E-1;-4,049149990E0;-1,027263641E0
3,461754583E1;-2,980332375E0;9,234037399E-1;2,156945705E0
3,471754583E1;9,767696857E-1;-5,243432522E-1;-1,442568779E0
3,481754583E1;-3,421321154E0;7,940990925E-1;4,549849510E0
3,491754583E1;-6,741690636E-2;6,947726250E0;2,226074219E0
3,501754583E1;7,769498825E-1;-1,271689034E1;-6,425027847E0
3,511754583E1;2,362792969E0;-2,625036240E0;-3,219724655E0
3,521754583E1;2,743096352E0;9,240102768E-1;-2,266706467E0
3,531754583E1;1,100077152E0;-3,558962822E0;-1,713029861E0
3,541754583E1;1,767357349E0;-2,153569221E0;6,930990219E-1
3,551754583E1;-3,458541870E0;7,242932320E-1;2,336260796E0
3,561754583E1;-2,478677511E0;1,269064069E0;4,716576099E0
3,571754583E1;-2,418159008E0;3,381621599E0;2,705202579E0
3,581754583E1;-1,417930126E-1;-3,512764931E0;7,333812714E-1
3,591754583E1;-6,076641083E-1;-5,002384186E-1;-6,087861061E-1
3,601754583E1;-1,478115082E0;-7,295002937E0;-5,076315403E0
3,611754583E1;-9,244282246E-1;5,886378288E-1;1,049189568E0
3,621754583E1;5,343271732E0;-5,059710503E0;-4,811443329E0
3,631754583E1;-3,947352648E0;-4,470314980E-1;4,946091175E0
3,641754583E1;-2,116863489E0;6,801323891E-1;5,778760910E0
3,651754583E1;1,631659031E0;9,592480659E-1;6,266441345E-1
3,661754583E1;-9,159464836E-1;5,731592178E-1;3,803443909E-1
3,671754583E1;2,500522614E0;-2,291052818E0;5,720186234E-2
3,681754583E1;4,492672920E0;-2,161639214E0;-2,037269592E0
3,691754583E1;-3,301016092E0;2,947606087E0;2,797910690E0
3,701754583E1;1,734726667E0;-4,802714348E0;-2,692199230E0
3,711754583E1;-4,445800781E-1;-3,648900986E-2;9,970707893E-1
3,721754583E1;-2,497786045E0;1,694870114E0;1,344622612E0
3,731754583E1;-4,813767433E0;4,498836040E0;4,172637939E0
3,741754583E1;6,808824539E-1;-1,366349697E0;1,546398640E0
3,751754583E1;8,534867764E-1;-1,607337475E0;-2,327770710E0
3,761754583E1;4,926664829E-1;8,125877380E-2;1,517691612E-1
3,771754583E1;5,083386898E-1;1,413135529E-1;-1,742743015E0
3,781754583E1;3,445132017E0;-5,082254887E0;-3,981002331E0
3,791754583E1;-3,649494171E0;4,379956245E0;6,685689449E0
3,801754583E1;2,788358688E0;-2,455187559E0;-3,646000862E0
3,811754583E1;-6,303300381E0;7,773168564E0;3,905653000E0
