"Time (s)";"Pressure (hPa)"
3,201123260E-1;1,011147522E3
4,201123260E-1;1,011144470E3
5,201123260E-1;1,011138367E3
6,201123260E-1;1,011168884E3
7,201123260E-1;1,011129089E3
8,201123260E-1;1,011153503E3
9,201123260E-1;1,011135193E3
1,020112326E0;1,011202332E3
1,120112326E0;1,011211487E3
1,220112326E0;1,011177917E3
1,320112326E0;1,011202332E3
1,420112326E0;1,011184021E3
1,520112326E0;1,011187073E3
1,620112326E0;1,011202332E3
1,720112326E0;1,011189819E3
1,820112326E0;1,011202026E3
1,920112326E0;1,011238647E3
2,020112326E0;1,011168457E3
2,120112326E0;1,011171509E3
2,220112326E0;1,011263062E3
2,320112326E0;1,011104370E3
2,420112326E0;1,011296631E3
2,520112326E0;1,011260010E3
2,620112326E0;1,011519409E3
2,720112326E0;1,011494995E3
2,820112326E0;1,011595703E3
2,920112326E0;1,011406494E3
3,020112326E0;1,011183716E3
3,120112326E0;1,011189819E3
3,220112326E0;1,011147095E3
3,320112326E0;1,011208130E3
3,420112326E0;1,011107422E3
3,520112326E0;1,011137939E3
3,620112326E0;1,011189819E3
3,720112326E0;1,011202026E3
3,820112326E0;1,011113525E3
3,920112326E0;1,011202026E3
4,020112326E0;1,011165527E3
4,120112326E0;1,011241821E3
4,220112326E0;1,011217407E3
4,320112326E0;1,011116699E3
4,420112326E0;1,011070923E3
4,520112326E0;1,011165405E3
4,620112326E0;1,011198975E3
4,720112326E0;1,011269165E3
4,820112326E0;1,011226440E3
4,920112326E0;1,011110474E3
5,020112326E0;1,011140991E3
5,120112326E0;1,011086060E3
5,220112326E0;1,011223389E3
5,320112326E0;1,011272217E3
5,420112326E0;1,011079956E3
5,520112326E0;1,011064697E3
5,620112326E0;1,011202026E3
5,720112326E0;1,011128784E3
5,820112326E0;1,011162354E3
5,920112326E0;1,011281372E3
6,020112326E0;1,011107300E3
6,120112326E0;1,011055420E3
6,220112326E0;1,011076782E3
6,320112326E0;1,011262939E3
6,420112326E0;1,011214233E3
6,520112326E0;1,011226440E3
6,620112326E0;1,011296631E3
6,720112326E0;1,011211182E3
6,820112326E0;1,010957886E3
6,920112326E0;1,011125610E3
7,020112326E0;1,011192749E3
7,120112326E0;1,011049316E3
7,220112326E0;1,011186646E3
7,320112326E0;1,011165283E3
7,420112326E0;1,011165283E3
7,520112326E0;1,011281250E3
7,620112326E0;1,011284302E3
7,720112326E0;1,011150024E3
7,820112326E0;1,011085938E3
7,920112326E0;1,011055542E3
8,020112326E0;1,011092163E3
8,120112326E0;1,011217285E3
8,220112326E0;1,011226440E3
8,320112326E0;1,011195618E3
8,420112326E0;1,011213928E3
8,520112326E0;1,011183411E3
8,620112326E0;1,011220032E3
8,720112326E0;1,011165100E3
8,820112326E0;1,011302856E3
8,920112326E0;1,011226562E3
9,020112326E0;1,011263184E3
9,120112326E0;1,011238770E3
9,220112326E0;1,011192993E3
9,320112326E0;1,011238647E3
9,420112326E0;1,011250854E3
9,520112326E0;1,011278320E3
9,620112326E0;1,011162354E3
9,720112326E0;1,011043335E3
9,820112326E0;1,011070679E3
9,920112326E0;1,011104248E3
1,002011233E1;1,011290405E3
1,012011233E1;1,011348389E3
1,022011233E1;1,011269165E3
1,032011233E1;1,011144043E3
1,042011233E1;1,011226440E3
1,052011233E1;1,011229492E3
1,062011233E1;1,011150146E3
1,072011233E1;1,011137817E3
1,082011233E1;1,011241577E3
1,092011233E1;1,011256836E3
1,102011233E1;1,011198853E3
1,112011233E1;1,011256836E3
1,122011233E1;1,011265991E3
1,132011233E1;1,011229370E3
1,142011233E1;1,011275146E3
1,152011233E1;1,011198853E3
1,162011233E1;1,011290405E3
1,172011233E1;1,011250854E3
1,182011233E1;1,011177612E3
1,192011233E1;1,011223389E3
1,202011233E1;1,011287476E3
1,212011233E1;1,011238647E3
1,222011233E1;1,011144043E3
1,232011233E1;1,011330200E3
1,242011233E1;1,011403442E3
1,252011233E1;1,011354614E3
1,262011233E1;1,011275269E3
1,272011233E1;1,011253906E3
1,282011233E1;1,011308838E3
1,292011233E1;1,011238647E3
1,302011233E1;1,011229492E3
1,312011233E1;1,011226440E3
1,322011233E1;1,011202026E3
1,332011233E1;1,011238647E3
1,342011233E1;1,011214233E3
1,352011233E1;1,011430908E3
1,362011233E1;1,011223511E3
1,372011233E1;1,011128906E3
1,382011233E1;1,011290649E3
1,392011233E1;1,011205200E3
1,402011233E1;1,011257080E3
1,412011233E1;1,011241394E3
1,422011233E1;1,011143738E3
1,432011233E1;1,011296326E3
1,442011233E1;1,011204773E3
1,452011233E1;1,011439758E3
1,462011233E1;1,011427551E3
1,472011233E1;1,011409241E3
1,482011233E1;1,011216980E3
1,492011233E1;1,011317688E3
1,502011233E1;1,011101318E3
1,512011233E1;1,011122681E3
1,522011233E1;1,011299683E3
1,532011233E1;1,011418701E3
1,542011233E1;1,011238647E3
1,552011233E1;1,011250732E3
1,562011233E1;1,011244629E3
1,572011233E1;1,011265991E3
1,582011233E1;1,011107300E3
1,592011233E1;1,011311768E3
1,602011233E1;1,011171204E3
1,612011233E1;1,011082703E3
1,622011233E1;1,011329895E3
1,632011233E1;1,011281067E3
1,642011233E1;1,011326843E3
1,652011233E1;1,011464478E3
1,662011233E1;1,011403442E3
1,672011233E1;1,011134888E3
1,682011233E1;1,011049438E3
1,692011233E1;1,011213928E3
1,702011233E1;1,011220032E3
1,712011233E1;1,011155945E3
1,722011233E1;1,011247498E3
1,732011233E1;1,011284119E3
1,742011233E1;1,011293457E3
1,752011233E1;1,011589478E3
1,762011233E1;1,011137817E3
1,772011233E1;1,011058472E3
1,782011233E1;1,011296509E3
1,792011233E1;1,011171082E3
1,802011233E1;1,011216858E3
1,812011233E1;1,011067322E3
1,822011233E1;1,011268738E3
1,832011233E1;1,011366394E3
1,842011233E1;1,011327148E3
1,852011233E1;1,011092163E3
1,862011233E1;1,011095215E3
1,872011233E1;1,011217285E3
1,882011233E1;1,011338928E3
1,892011233E1;1,011122253E3
1,902011233E1;1,011360291E3
1,912011233E1;1,011232117E3
1,922011233E1;1,011341980E3
1,932011233E1;1,011357361E3
1,942011233E1;1,011271912E3
1,952011233E1;1,011335999E3
1,962011233E1;1,011067444E3
