"Time (s)";"Distance (cm)"
1,948223250E-1;5,000000000E0
2,948223250E-1;5,000000000E0
3,948223250E-1;5,000000000E0
4,948223250E-1;5,000000000E0
5,948223250E-1;5,000000000E0
6,948223250E-1;5,000000000E0
7,948223250E-1;5,000000000E0
8,948223250E-1;5,000000000E0
9,948223250E-1;5,000000000E0
1,094822325E0;5,000000000E0
1,194822325E0;5,000000000E0
1,294822325E0;5,000000000E0
1,394822325E0;5,000000000E0
1,494822325E0;5,000000000E0
1,594822325E0;5,000000000E0
1,694822325E0;5,000000000E0
1,794822325E0;5,000000000E0
1,894822325E0;5,000000000E0
1,994822325E0;5,000000000E0
2,094822325E0;5,000000000E0
2,194822325E0;5,000000000E0
2,294822325E0;5,000000000E0
2,394822325E0;5,000000000E0
2,494822325E0;5,000000000E0
2,594822325E0;5,000000000E0
2,694822325E0;5,000000000E0
2,794822325E0;5,000000000E0
2,894822325E0;5,000000000E0
2,994822325E0;5,000000000E0
3,094822325E0;5,000000000E0
3,194822325E0;5,000000000E0
3,294822325E0;5,000000000E0
3,394822325E0;5,000000000E0
3,494822325E0;5,000000000E0
3,594822325E0;5,000000000E0
3,694822325E0;5,000000000E0
3,794822325E0;5,000000000E0
3,894822325E0;5,000000000E0
3,994822325E0;5,000000000E0
4,094822325E0;5,000000000E0
4,194822325E0;5,000000000E0
4,294822325E0;5,000000000E0
4,394822325E0;5,000000000E0
4,494822325E0;5,000000000E0
4,594822325E0;5,000000000E0
4,694822325E0;5,000000000E0
4,794822325E0;5,000000000E0
4,894822325E0;5,000000000E0
4,994822325E0;5,000000000E0
5,094822325E0;5,000000000E0
5,194822325E0;5,000000000E0
5,294822325E0;5,000000000E0
5,394822325E0;5,000000000E0
5,494822325E0;5,000000000E0
5,594822325E0;5,000000000E0
5,694822325E0;5,000000000E0
5,794822325E0;5,000000000E0
5,894822325E0;5,000000000E0
5,994822325E0;5,000000000E0
6,094822325E0;5,000000000E0
6,194822325E0;5,000000000E0
6,294822325E0;5,000000000E0
6,394822325E0;5,000000000E0
6,494822325E0;5,000000000E0
6,594822325E0;5,000000000E0
6,694822325E0;5,000000000E0
6,794822325E0;5,000000000E0
6,894822325E0;5,000000000E0
6,994822325E0;5,000000000E0
7,094822325E0;5,000000000E0
7,194822325E0;5,000000000E0
7,294822325E0;5,000000000E0
7,394822325E0;5,000000000E0
7,494822325E0;5,000000000E0
7,594822325E0;5,000000000E0
7,694822325E0;5,000000000E0
7,794822325E0;5,000000000E0
7,894822325E0;5,000000000E0
7,994822325E0;5,000000000E0
8,094822325E0;5,000000000E0
8,194822325E0;5,000000000E0
8,294822325E0;5,000000000E0
8,394822325E0;5,000000000E0
8,494822325E0;5,000000000E0
8,594822325E0;5,000000000E0
8,694822325E0;5,000000000E0
8,794822325E0;5,000000000E0
8,894822325E0;5,000000000E0
8,994822325E0;5,000000000E0
9,094822325E0;5,000000000E0
9,194822325E0;5,000000000E0
9,294822325E0;5,000000000E0
9,394822325E0;5,000000000E0
9,494822325E0;5,000000000E0
9,594822325E0;5,000000000E0
9,694822325E0;5,000000000E0
9,794822325E0;5,000000000E0
9,894822325E0;5,000000000E0
9,994822325E0;5,000000000E0
1,009482232E1;5,000000000E0
1,019482232E1;5,000000000E0
1,029482232E1;5,000000000E0
1,039482232E1;5,000000000E0
1,049482233E1;5,000000000E0
1,059482232E1;5,000000000E0
1,069482232E1;5,000000000E0
1,079482232E1;5,000000000E0
1,089482232E1;5,000000000E0
1,099482233E1;5,000000000E0
1,109482232E1;5,000000000E0
1,119482232E1;5,000000000E0
1,129482232E1;5,000000000E0
1,139482233E1;5,000000000E0
1,149482233E1;5,000000000E0
1,159482232E1;5,000000000E0
1,169482232E1;5,000000000E0
1,179482232E1;5,000000000E0
1,189482233E1;5,000000000E0
1,199482233E1;5,000000000E0
1,209482232E1;5,000000000E0
1,219482232E1;5,000000000E0
1,229482232E1;5,000000000E0
1,239482233E1;5,000000000E0
1,249482233E1;5,000000000E0
1,259482232E1;5,000000000E0
1,269482232E1;5,000000000E0
1,279482232E1;5,000000000E0
1,289482233E1;5,000000000E0
1,299482233E1;5,000000000E0
1,309482232E1;5,000000000E0
1,319482232E1;5,000000000E0
1,329482232E1;5,000000000E0
1,339482233E1;5,000000000E0
1,349482233E1;5,000000000E0
1,359482232E1;5,000000000E0
1,369482232E1;5,000000000E0
1,379482232E1;5,000000000E0
1,389482233E1;5,000000000E0
1,399482233E1;5,000000000E0
1,409482232E1;5,000000000E0
1,419482232E1;5,000000000E0
1,429482232E1;5,000000000E0
1,439482233E1;5,000000000E0
1,449482233E1;5,000000000E0
1,459482232E1;5,000000000E0
1,469482232E1;5,000000000E0
1,479482232E1;5,000000000E0
1,489482233E1;5,000000000E0
1,499482233E1;5,000000000E0
1,509482232E1;5,000000000E0
1,519482232E1;5,000000000E0
1,529482232E1;5,000000000E0
1,539482233E1;5,000000000E0
1,549482233E1;5,000000000E0
1,559482232E1;5,000000000E0
1,569482232E1;5,000000000E0
1,579482232E1;5,000000000E0
1,589482233E1;5,000000000E0
1,599482233E1;5,000000000E0
1,609482233E1;5,000000000E0
1,619482232E1;5,000000000E0
1,629482233E1;5,000000000E0
1,639482232E1;5,000000000E0
1,649482232E1;5,000000000E0
1,659482233E1;5,000000000E0
1,669482232E1;5,000000000E0
1,679482233E1;5,000000000E0
1,689482232E1;5,000000000E0
1,699482232E1;5,000000000E0
1,709482233E1;5,000000000E0
1,719482232E1;5,000000000E0
1,729482233E1;5,000000000E0
1,739482232E1;5,000000000E0
1,749482232E1;5,000000000E0
1,759482233E1;5,000000000E0
1,769482232E1;5,000000000E0
1,779482233E1;5,000000000E0
1,789482232E1;5,000000000E0
1,799482232E1;5,000000000E0
1,809482233E1;5,000000000E0
1,819482232E1;5,000000000E0
1,829482233E1;5,000000000E0
1,839482232E1;5,000000000E0
1,849482232E1;5,000000000E0
1,859482233E1;5,000000000E0
1,869482232E1;5,000000000E0
1,879482233E1;5,000000000E0
1,889482232E1;5,000000000E0
1,899482232E1;5,000000000E0
1,909482233E1;5,000000000E0
1,919482232E1;5,000000000E0
1,929482233E1;5,000000000E0
1,939482232E1;5,000000000E0
1,949482232E1;5,000000000E0
1,959482233E1;5,000000000E0
1,969482232E1;5,000000000E0
1,979482233E1;5,000000000E0
1,989482232E1;5,000000000E0
1,999482232E1;5,000000000E0
2,009482233E1;5,000000000E0
2,019482232E1;5,000000000E0
2,029482233E1;5,000000000E0
2,039482232E1;5,000000000E0
2,049482232E1;5,000000000E0
2,059482233E1;5,000000000E0
2,069482232E1;5,000000000E0
2,079482233E1;5,000000000E0
2,089482232E1;5,000000000E0
2,099482232E1;5,000000000E0
2,109482233E1;5,000000000E0
2,119482232E1;5,000000000E0
2,129482233E1;5,000000000E0
2,139482232E1;5,000000000E0
2,149482232E1;5,000000000E0
2,159482233E1;5,000000000E0
2,169482232E1;5,000000000E0
2,179482233E1;5,000000000E0
2,189482232E1;5,000000000E0
2,199482232E1;5,000000000E0
2,209482233E1;5,000000000E0
2,219482232E1;5,000000000E0
2,229482233E1;5,000000000E0
2,239482232E1;5,000000000E0
2,249482232E1;5,000000000E0
2,259482233E1;5,000000000E0
2,269482232E1;5,000000000E0
2,279482233E1;5,000000000E0
2,289482232E1;5,000000000E0
2,299482232E1;5,000000000E0
2,309482233E1;5,000000000E0
2,319482232E1;5,000000000E0
2,329482233E1;5,000000000E0
2,339482232E1;5,000000000E0
2,349482232E1;5,000000000E0
2,359482233E1;5,000000000E0
2,369482232E1;5,000000000E0
2,379482233E1;5,000000000E0
2,389482232E1;5,000000000E0
2,399482232E1;5,000000000E0
2,409482233E1;5,000000000E0
2,419482232E1;5,000000000E0
2,429482233E1;5,000000000E0
2,439482232E1;5,000000000E0
2,449482232E1;5,000000000E0
2,459482233E1;5,000000000E0
2,469482232E1;5,000000000E0
2,479482233E1;5,000000000E0
2,489482232E1;5,000000000E0
2,499482232E1;5,000000000E0
2,509482233E1;5,000000000E0
2,519482232E1;5,000000000E0
2,529482233E1;5,000000000E0
2,539482232E1;5,000000000E0
2,549482232E1;5,000000000E0
2,559482233E1;5,000000000E0
2,569482232E1;5,000000000E0
2,579482233E1;5,000000000E0
2,589482233E1;5,000000000E0
2,599482232E1;5,000000000E0
2,609482233E1;5,000000000E0
2,619482232E1;5,000000000E0
2,629482233E1;5,000000000E0
2,639482233E1;5,000000000E0
2,649482232E1;5,000000000E0
