"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
8,810664440E-1;5,201233420E1;5,093124200E0;3,304940766E0;NaN;NaN;1,548499966E1;1,000000000E0
4,203296918E0;5,201236912E1;5,093039256E0;3,780644975E0;0,000000000E0;NaN;4,915633392E1;8,342570496E1
5,254334801E0;5,201234166E1;5,092775796E0;3,606640124E0;0,000000000E0;NaN;9,508681297E0;1,851918030E1
6,242640180E0;5,201236750E1;5,092828811E0;3,719305481E0;0,000000000E0;NaN;1,002161217E1;2,063116074E1
7,263030074E0;5,201236672E1;5,092833153E0;3,715737812E0;0,000000000E0;NaN;4,749026489E1;1,016247025E2
1,026150615E1;5,201236698E1;5,092923285E0;3,617545058E0;0,000000000E0;NaN;1,002172661E1;1,608562660E1
1,130528280E1;5,201239627E1;5,092944104E0;-2,434263745E0;0,000000000E0;NaN;1,450803947E1;1,886141586E1
1,228925367E1;5,201242222E1;5,092953422E0;-4,886879692E0;0,000000000E0;NaN;2,046503639E1;2,176316071E1
1,330722205E1;5,201245155E1;5,092962214E0;-5,079889661E0;3,421241045E0;3,572108154E2;2,240587425E1;3,097135925E1
1,431460629E1;5,201251100E1;5,093015283E0;-6,874750071E0;0,000000000E0;NaN;6,208553314E0;1,015230942E1
1,527569223E1;5,201253650E1;5,093019244E0;-7,759799660E0;0,000000000E0;NaN;2,201543999E1;2,905429649E1
1,631803606E1;5,201256660E1;5,093044189E0;-8,170460708E0;0,000000000E0;NaN;1,244882584E1;1,713921738E1
1,729131198E1;5,201259435E1;5,093069653E0;-8,340805930E0;0,000000000E0;NaN;1,733166885E1;2,697570801E1
1,829279432E1;5,201262280E1;5,093084991E0;-8,015644493E0;2,654552460E0;3,591365356E2;1,574016571E1;2,673087692E1
1,932606955E1;5,201265438E1;5,093083570E0;-7,614864459E0;0,000000000E0;NaN;1,975956535E1;2,749241447E1
2,032509128E1;5,201268598E1;5,093058292E0;-7,223658213E0;3,953101158E0;3,160114441E2;1,705418777E1;1,841506386E1
2,133070729E1;5,201271709E1;5,093030773E0;-7,667013891E0;3,240275860E0;3,119051514E2;1,565789604E1;1,690586090E1
2,232973113E1;5,201274796E1;5,093007962E0;-9,269261258E0;3,661435127E0;3,240912476E2;1,365483570E1;1,103785706E1
2,330504815E1;5,201278537E1;5,092992040E0;-8,755417207E0;0,000000000E0;NaN;1,502441120E1;2,611746788E1
2,730597430E1;5,201286226E1;5,092908342E0;-8,534821198E0;0,000000000E0;NaN;2,409345245E1;5,302683258E1
2,829839552E1;5,201291169E1;5,092973221E0;5,067231245E0;0,000000000E0;NaN;5,002573967E0;1,205926514E1
2,930439166E1;5,201291470E1;5,092976313E0;4,341000013E0;0,000000000E0;NaN;3,604855061E0;5,650086403E0
2,995299835E1;5,201291581E1;5,092975413E0;4,994276462E0;0,000000000E0;NaN;3,214393616E0;4,281426907E0
3,095816843E1;5,201291675E1;5,092976344E0;4,930418367E0;0,000000000E0;NaN;3,100242138E0;3,632381201E0
3,197222768E1;5,201292066E1;5,092975833E0;5,127609830E0;0,000000000E0;NaN;2,894673109E0;3,127250433E0
3,289033344E1;5,201292433E1;5,092978766E0;4,925143585E0;8,290843368E-1;3,574535828E2;2,749752283E0;3,000000000E0
3,389052044E1;5,201293523E1;5,092977334E0;5,232029521E0;1,123869419E0;3,379676208E2;2,729104996E0;3,000000000E0
3,489032944E1;5,201295514E1;5,092974952E0;5,530992944E0;1,535502672E0;3,338097229E2;2,740005970E0;3,000000000E0
3,589037944E1;5,201297927E1;5,092962344E0;6,003685823E0;2,303910494E0;3,400183105E2;2,721363306E0;3,000000000E0
3,689044444E1;5,201300758E1;5,092957003E0;6,109227350E0;2,722587585E0;3,460392761E2;2,756892204E0;3,000000000E0
3,789041644E1;5,201304328E1;5,092953518E0;5,717607542E0;3,125416517E0;3,478383789E2;3,006713390E0;3,000000000E0
3,889042944E1;5,201308452E1;5,092952229E0;5,569093566E0;3,385111809E0;3,493684387E2;3,131855488E0;3,034413815E0
3,989043344E1;5,201312819E1;5,092951719E0;5,494356523E0;4,000874996E0;3,564317627E2;3,220846176E0;3,032620192E0
4,089047144E1;5,201317407E1;5,092949413E0;5,880655074E0;4,231569290E0;3,571447144E2;3,169909954E0;3,000000000E0
4,189049044E1;5,201321936E1;5,092946858E0;5,628122984E0;4,302158356E0;3,548927612E2;3,179916382E0;3,000000000E0
