"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4,031840500E-2;-5,010622144E-1;-1,572519898E0;-1,430951804E-1
1,058245850E-1;-7,000515461E-1;-1,355968118E0;-4,703662544E-2
2,058245850E-1;-4,891503453E-1;-4,410447180E-1;7,819075137E-2
3,058245850E-1;-2,535090782E-2;-2,015855312E-1;6,811147183E-2
4,058245850E-1;-1,437060535E-1;-7,177666575E-2;-8,628471941E-2
5,058245850E-1;-4,569272101E-1;-3,135266006E-1;3,420845419E-2
6,058245850E-1;-4,766276181E-1;-3,248275816E-1;2,764165215E-2
7,058245850E-1;-3,397938013E-1;-3,591887653E-1;9,498954564E-2
8,058245850E-1;1,342376322E-1;-1,945605874E-1;-3,268129006E-2
9,058245850E-1;7,712173462E-2;-1,163698286E-1;7,559457421E-2
1,005824585E0;3,817907767E-3;-2,857322097E-1;-2,397646010E-2
1,105824585E0;-6,362161636E-1;-1,078482628E0;-6,160575747E-1
1,205824585E0;-1,704619408E0;-2,748435497E0;7,838928103E-1
1,305824585E0;-1,707215667E0;-6,687447429E-1;2,168113470E0
1,405824585E0;1,808008432E0;7,996225953E-1;3,773620129E-1
1,505824585E0;1,823890924E0;-3,016147017E-1;9,900598526E-1
1,605824585E0;-3,611740768E-1;2,798679113E0;4,535674453E-1
1,705824585E0;2,402227521E-1;7,626652718E-1;2,154827118E-1
1,805824585E0;3,173444867E-1;-6,013968587E-1;4,889976382E-1
1,905824585E0;3,101668358E-1;-2,652835131E0;1,141096234E0
2,005824585E0;3,889684379E-1;-2,360841513E0;9,080511928E-1
2,105824585E0;-1,159116775E-1;-1,077413559E0;3,026837409E-1
2,205824585E0;-6,537785530E-1;-2,193006277E-1;3,512475267E-2
2,305824585E0;-5,520694852E-1;2,076941915E-2;-1,559233516E-1
2,405824585E0;-7,145596147E-1;-3,909537569E-2;-2,671008408E-1
2,505824585E0;-1,072984815E0;7,060074806E-1;1,369865239E-1
2,605824585E0;1,206458881E-1;2,397646159E-1;-5,192354787E-3
2,705824585E0;3,466660157E-2;1,310305893E-1;2,258674204E-1
2,805824585E0;4,459316283E-2;9,550877810E-1;2,435825169E-1
2,905824585E0;-1,175915636E-2;-8,323039114E-2;-1,333213449E-1
3,005824585E0;-1,756237634E-2;3,846924007E-1;-1,970040351E-1
3,105824585E0;-9,162978968E-4;1,446223408E-1;-6,398813725E-1
3,205824585E0;-1,679879380E-3;4,795292020E-2;-1,371392459E-1
3,305824585E0;-9,162978968E-4;2,275473066E-2;-1,130100712E-2
3,405824585E0;-4,581489484E-4;6,108652451E-4;-1,527163113E-4
3,505824585E0;-1,527163113E-4;-1,679879380E-3;1,527163113E-4
3,605824585E0;-6,108652451E-4;-1,985311974E-3;4,581489484E-4
3,705824585E0;3,054326226E-4;-1,221730490E-3;3,054326226E-4
3,805824585E0;-7,635815418E-4;-1,832595794E-3;3,054326226E-4
3,905824585E0;-3,054326226E-4;-2,443460980E-3;6,108652451E-4
4,005824585E0;-6,108652451E-4;-2,443460980E-3;1,527163113E-4
4,105824585E0;-9,162978968E-4;-1,832595794E-3;1,527163113E-4
4,205824585E0;6,108652451E-4;-1,069014193E-3;3,054326226E-4
4,305824585E0;1,527163113E-4;-7,635815418E-4;3,054326226E-4
4,405824585E0;4,581489484E-4;-1,069014193E-3;-4,581489484E-4
4,505824585E0;-3,054326226E-4;-6,108652451E-4;-4,581489484E-4
4,605824585E0;-4,581489484E-4;-6,108652451E-4;1,527163113E-4
4,705824585E0;3,054326226E-4;-9,162978968E-4;4,581489484E-4
4,805824585E0;-1,527163113E-4;1,527163113E-4;-3,054326226E-4
4,905824585E0;-7,635815418E-4;3,054326226E-4;3,054326226E-4
5,005824585E0;2,596177394E-3;1,679879380E-3;-4,581489484E-4
5,105824585E0;-2,748893574E-3;-7,635815418E-4;7,635815418E-4
5,205824585E0;0,000000000E0;3,054326226E-4;-3,054326226E-4
