"Time (s)";"Illuminance (lx)"
0,000000000E0;2,493637390E2
4,970905450E-1;1,716649933E2
1,429258822E0;1,867500000E2
2,106105357E0;2,039337463E2
2,816357531E0;1,726924896E2
5,818016378E0;1,259462509E2
1,156861532E1;1,032637482E2
2,457450383E1;9,329999542E1
3,372675056E1;1,068262482E2
1,081051053E2;1,149212494E2
1,257824023E2;1,046299973E2
1,346319872E2;9,598374939E1
1,425175091E2;1,046199951E2
1,485748228E2;6,187999725E1
1,490295717E2;6,813999939E1
1,491182906E2;7,465124512E1
1,494288345E2;8,226750183E1
1,496506669E2;8,956124878E1
1,511813490E2;8,051750183E1
1,518690027E2;6,047624969E1
1,524567854E2;6,571374512E1
1,525898561E2;7,199250031E1
1,531332174E2;8,484375000E1
1,557500159E2;1,153887482E2
1,592652753E2;8,906749725E1
1,601081761E2;9,664499664E1
1,669511343E2;8,893249512E1
1,747709397E2;1,041549988E2
1,800566114E2;1,193374939E2
2,074478791E2;1,093787460E2
2,251944791E2;1,176049957E2
2,399964402E2;8,373874664E1
2,401766780E2;9,347124481E1
2,403486279E2;1,032912445E2
2,457680267E2;1,172399979E2
2,670449896E2;1,017099991E2
3,162069803E2;1,096887512E2
3,557117300E2;3,022024841E2
3,557429992E2;2,173549957E2
3,560647272E2;2,366787415E2
3,561978490E2;2,559712372E2
3,574959009E2;1,153750000E2
3,603026240E2;1,242275009E2
3,738749822E2;1,386250000E2
3,884861394E2;1,543450012E2
4,062079220E2;1,370424957E2
4,093534125E2;1,253074951E2
4,111896018E2;1,711149902E2
4,117222236E2;1,572187500E2
4,119719370E2;1,406887512E2
4,144239740E2;1,733099976E2
4,165599920E2;1,579049988E2
4,185793017E2;1,734524994E2
4,393492237E2;1,600249939E2
4,766470769E2;1,838474884E2
4,924435148E2;1,550462494E2
5,174331681E2;1,204212494E2
5,327019828E2;1,589149933E2
5,426806280E2;1,183675003E2
5,495869937E2;1,430662537E2
5,579478966E2;1,086624985E2
5,605671560E2;1,192212448E2
5,718485531E2;1,100774994E2
5,906041004E2;1,220237503E2
5,972280078E2;1,370774994E2
6,120771416E2;1,481250000E2
6,217235027E2;1,046324997E2
6,231493331E2;1,129674988E2
6,233712511E2;1,215612488E2
6,278761297E2;1,426199951E2
6,323923290E2;1,198187485E2
6,328750619E2;1,295287476E2
6,377844830E2;1,431999969E2
6,453580696E2;1,059862442E2
6,485485968E2;1,145137482E2
6,511227069E2;1,437887421E2
6,970699744E2;1,119199982E2
7,031289166E2;8,750499725E1
7,045273800E2;9,442624664E1
7,050767888E2;1,371512451E2
7,095436445E2;1,266737442E2
7,272321278E2;1,469987488E2
7,443665551E2;1,262537460E2
7,552164416E2;1,359049988E2
8,056491032E2;1,204137497E2
8,243207761E2;1,392237396E2
8,297582174E2;1,247249985E2
8,459921285E2;1,351187439E2
8,519729608E2;7,647000122E1
8,548576270E2;8,224749756E1
8,896934759E2;9,024499512E1
9,171788456E2;9,024499512E1
9,697444343E2;1,122724991E2
9,725130406E2;1,374337463E2
9,819448134E2;1,124949951E2
9,928085763E2;1,241662445E2
9,986008944E2;1,408374939E2
1,074909604E3;1,233237457E2
1,081464747E3;1,569700012E2
1,082130265E3;4,114449768E2
1,082940050E3;3,769212341E2
1,086099728E3;4,169137268E2
1,092078526E3;1,907187500E2
1,097965867E3;1,724487457E2
1,105644165E3;7,321749878E1
1,106198901E3;7,909874725E1
1,106298733E3;8,807125092E1
1,106387464E3;9,657125092E1
1,106476223E3;1,069687500E2
1,106576223E3;1,159087448E2
1,106676223E3;1,261662445E2
1,106776223E3;1,261662445E2
1,106876223E3;1,261662445E2
1,106976223E3;1,261662445E2
1,107076223E3;1,261662445E2
1,107176223E3;1,261662445E2
1,107276223E3;1,261662445E2
1,107376223E3;1,261662445E2
