"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2,293572620E-1;-1,602348022E2;-1,013819962E2;-3,107218018E2
3,293997450E-1;-1,614669952E2;-1,010647964E2;-3,106119995E2
4,294114670E-1;-1,619915924E2;-1,009550018E2;-3,098433838E2
5,293869740E-1;-1,623941956E2;-1,008573990E2;-3,118685913E2
6,293699680E-1;-1,604787903E2;-1,020285950E2;-3,117099915E2
7,293738360E-1;-1,621501923E2;-1,019797974E2;-3,117832031E2
8,294010190E-1;-1,622478027E2;-1,016991959E2;-3,109902039E2
9,294149380E-1;-1,631261902E2;-1,025043945E2;-3,110390015E2
1,029413231E0;-1,626015930E2;-1,023824005E2;-3,104168091E2
1,129409043E0;-1,599176025E2;-1,046637955E2;-3,099409790E2
1,229373889E0;-1,619550018E2;-1,038829956E2;-3,112707825E2
1,329379466E0;-1,673351898E2;-9,973500061E1;-3,149917908E2
1,429402947E0;-1,686649933E2;-9,897859955E1;-3,093309937E2
1,529369583E0;-1,705925903E2;-9,631900024E1;-3,120271912E2
1,629383013E0;-1,704583893E2;-9,451339722E1;-3,215310059E2
1,729367432E0;-1,689944000E2;-9,476959991E1;-3,252519836E2
1,829385745E0;-1,717516022E2;-9,346419525E1;-3,208843994E2
1,929412847E0;-1,771561890E2;-8,920639801E1;-3,117344055E2
2,029410245E0;-1,785469971E2;-8,583919525E1;-3,033895874E2
2,129376027E0;-1,782175903E2;-8,558300018E1;-3,009252014E2
2,229358940E0;-1,781443939E2;-8,614419556E1;-3,021452026E2
2,329387263E0;-1,776929932E2;-8,719339752E1;-3,026453857E2
2,429395851E0;-1,760825958E2;-8,843779755E1;-3,045607910E2
2,529411031E0;-1,763387909E2;-8,754719543E1;-3,093065796E2
2,629388776E0;-1,759971924E2;-8,733979797E1;-3,113195801E2
2,729368637E0;-1,760459900E2;-8,631499481E1;-3,119173889E2
2,829379097E0;-1,752651978E2;-8,563179779E1;-3,160166016E2
2,929382843E0;-1,749113922E2;-8,514379883E1;-3,174805908E2
3,029389640E0;-1,734839935E2;-8,593679810E1;-3,214577942E2
3,129395746E0;-1,697873993E2;-8,724219513E1;-3,264598083E2
3,229372840E0;-1,694335938E2;-8,826699829E1;-3,263500061E2
3,329374104E0;-1,690309906E2;-8,844999695E1;-3,266427917E2
3,429413942E0;-1,695433960E2;-8,849879456E1;-3,279848022E2
3,529398767E0;-1,699581909E2;-8,838899994E1;-3,269721985E2
3,629411018E0;-1,696653900E2;-8,865740204E1;-3,274114075E2
3,729371754E0;-1,696531982E2;-8,837680054E1;-3,267403870E2
3,829353161E0;-1,700802002E2;-8,865740204E1;-3,271551819E2
3,929410577E0;-1,700314026E2;-8,775460052E1;-3,260937805E2
4,029359595E0;-1,704461975E2;-8,769359589E1;-3,268013916E2
4,129388895E0;-1,705681915E2;-8,803520203E1;-3,263865967E2
4,229372662E0;-1,711903992E2;-8,798639679E1;-3,273259888E2
4,329386377E0;-1,714344025E2;-8,858419800E1;-3,267403870E2
4,429410102E0;-1,714221954E2;-8,831579590E1;-3,263133850E2
4,529409819E0;-1,725690002E2;-8,815719604E1;-3,261304016E2
4,629395865E0;-1,723860016E2;-8,876719666E1;-3,265207825E2
4,729373000E0;-1,721907959E2;-8,884040070E1;-3,260571899E2
4,829400265E0;-1,725323944E2;-8,929180145E1;-3,262767944E2
4,929375202E0;-1,727641907E2;-8,962120056E1;-3,253862000E2
5,029427410E0;-1,729960022E2;-9,008480072E1;-3,263377991E2
5,129363692E0;-1,721053925E2;-9,084120178E1;-3,260571899E2
5,229360602E0;-1,721053925E2;-9,101200104E1;-3,258497925E2
5,329399789E0;-1,719467926E2;-9,169519806E1;-3,256546021E2
5,429394502E0;-1,707877960E2;-9,168299866E1;-3,258009949E2
5,529396783E0;-1,704828033E2;-9,169519806E1;-3,264231873E2
