"Time (s)";"Pressure (hPa)"
1,322672130E-1;1,015124146E3
2,124766060E-1;1,015132324E3
3,124766060E-1;1,015131958E3
4,124766060E-1;1,015136841E3
5,124766060E-1;1,015123779E3
6,124766060E-1;1,015123352E3
7,124766060E-1;1,015130310E3
8,124766060E-1;1,015128235E3
9,124766060E-1;1,015126465E3
1,012476606E0;1,015132141E3
1,112476606E0;1,015129395E3
1,212476606E0;1,015128906E3
1,312476606E0;1,015128418E3
1,412476606E0;1,015131226E3
1,512476606E0;1,015142334E3
1,612476606E0;1,015122253E3
1,712476606E0;1,015127319E3
1,812476606E0;1,015130371E3
1,912476606E0;1,015143250E3
2,012476606E0;1,015153442E3
2,112476606E0;1,015111694E3
2,212476606E0;1,015072021E3
2,312476606E0;1,015122009E3
2,412476606E0;1,015128052E3
2,512476606E0;1,015131653E3
2,612476606E0;1,015116211E3
2,712476606E0;1,015129028E3
2,812476606E0;1,015148743E3
2,912476606E0;1,015146851E3
3,012476606E0;1,015151733E3
3,112476606E0;1,015137939E3
3,212476606E0;1,015143677E3
3,312476606E0;1,015143799E3
3,412476606E0;1,015167847E3
3,512476606E0;1,015166016E3
3,612476606E0;1,015146484E3
3,712476606E0;1,015146912E3
3,812476606E0;1,015143188E3
3,912476606E0;1,015154663E3
4,012476606E0;1,015158447E3
4,112476606E0;1,015162292E3
4,212476606E0;1,015164307E3
4,312476606E0;1,015157532E3
4,412476606E0;1,015156250E3
4,512476606E0;1,015162720E3
4,612476606E0;1,015162292E3
4,712476606E0;1,015161438E3
4,812476606E0;1,015166565E3
4,912476606E0;1,015169128E3
5,012476606E0;1,015155151E3
5,112476606E0;1,015154419E3
5,212476606E0;1,015154480E3
5,312476606E0;1,015164062E3
5,412476606E0;1,015151123E3
5,512476606E0;1,015161621E3
5,612476606E0;1,015174255E3
5,712476606E0;1,015152405E3
5,812476606E0;1,015154663E3
5,912476606E0;1,015162598E3
6,012476606E0;1,015155640E3
6,112476606E0;1,015159302E3
6,212476606E0;1,015155823E3
6,312476606E0;1,015154846E3
6,412476606E0;1,015154297E3
6,512476606E0;1,015150513E3
6,612476606E0;1,015159546E3
6,712476606E0;1,015154785E3
6,812476606E0;1,015156921E3
6,912476606E0;1,015148193E3
7,012476606E0;1,015162109E3
7,112476606E0;1,015156250E3
7,212476606E0;1,015149963E3
7,312476606E0;1,015144531E3
7,412476606E0;1,015149536E3
7,512476606E0;1,015139160E3
7,612476606E0;1,015132446E3
7,712476606E0;1,015132935E3
7,812476606E0;1,015145935E3
7,912476606E0;1,015128235E3
8,012476606E0;1,015129028E3
8,112476606E0;1,015132385E3
8,212476606E0;1,015131836E3
8,312476606E0;1,015122009E3
8,412476606E0;1,015116211E3
8,512476606E0;1,015120483E3
8,612476606E0;1,015120972E3
8,712476606E0;1,015114502E3
8,812476606E0;1,015121826E3
8,912476606E0;1,015127991E3
9,012476606E0;1,015132935E3
9,112476606E0;1,015127380E3
9,212476606E0;1,015135742E3
9,312476606E0;1,015142334E3
9,412476606E0;1,015155823E3
9,512476606E0;1,015159790E3
9,612476606E0;1,015145691E3
9,712476606E0;1,015145264E3
9,812476606E0;1,015158264E3
9,912476606E0;1,015153198E3
1,001247661E1;1,015151123E3
1,011247661E1;1,015153564E3
1,021247661E1;1,015151062E3
1,031247661E1;1,015150879E3
1,041247661E1;1,015151062E3
1,051247661E1;1,015156860E3
1,061247661E1;1,015157654E3
1,071247661E1;1,015145935E3
1,081247661E1;1,015152832E3
1,091247661E1;1,015158813E3
1,101247661E1;1,015145935E3
1,111247661E1;1,015144104E3
1,121247661E1;1,015156738E3
1,131247661E1;1,015156738E3
1,141247661E1;1,015160339E3
1,151247661E1;1,015152832E3
1,161247661E1;1,015143738E3
1,171247661E1;1,015150269E3
1,181247661E1;1,015153809E3
1,191247661E1;1,015147644E3
1,201247661E1;1,015151611E3
1,211247661E1;1,015138550E3
1,221247661E1;1,015149353E3
1,231247661E1;1,015145386E3
1,241247661E1;1,015149170E3
