"Time (s)";"Distance (cm)"
8,190922000E-2;5,000000000E0
1,474721127E2;0,000000000E0
1,476939865E2;5,000000000E0
1,478825440E2;0,000000000E0
1,480156803E2;5,000000000E0
1,482042802E2;0,000000000E0
1,485591600E2;5,000000000E0
1,490582964E2;0,000000000E0
1,492357117E2;5,000000000E0
1,515760982E2;0,000000000E0
1,520751582E2;5,000000000E0
1,525741767E2;0,000000000E0
1,527627670E2;5,000000000E0
1,647502360E2;0,000000000E0
1,650275512E2;5,000000000E0
1,672459773E2;0,000000000E0
1,674235193E2;5,000000000E0
1,682110363E2;0,000000000E0
1,683886136E2;5,000000000E0
1,718159656E2;0,000000000E0
1,719490027E2;5,000000000E0
1,721264810E2;0,000000000E0
1,722596161E2;5,000000000E0
3,557836152E2;5,000000000E0
9,172772293E2;5,000000000E0
1,105311726E3;0,000000000E0
1,105561384E3;5,000000000E0
1,105805998E3;0,000000000E0
1,106172120E3;5,000000000E0
1,120459052E3;0,000000000E0
1,120680834E3;5,000000000E0
1,132903341E3;0,000000000E0
1,133313770E3;5,000000000E0
1,149216971E3;0,000000000E0
1,149838496E3;5,000000000E0
1,151446690E3;0,000000000E0
1,151757229E3;5,000000000E0
