"Time (s)";"Temperature (°C)"
9,761444000E-2;3,265625000E1
1,634009110E-1;3,264062500E1
2,634009110E-1;3,261718750E1
3,634009110E-1;3,267578125E1
4,634009110E-1;3,266406250E1
5,634009110E-1;3,264843750E1
6,634009110E-1;3,265625000E1
7,634009110E-1;3,262500000E1
8,634009110E-1;3,268359375E1
9,634009110E-1;3,267578125E1
1,063400911E0;3,266406250E1
1,163400911E0;3,265625000E1
1,263400911E0;3,264843750E1
1,363400911E0;3,266406250E1
1,463400911E0;3,268359375E1
1,563400911E0;3,270703125E1
1,663400911E0;3,271484375E1
1,763400911E0;3,279296875E1
1,863400911E0;3,271875000E1
1,963400911E0;3,275781250E1
2,063400911E0;3,277343750E1
2,163400911E0;3,276562500E1
2,263400911E0;3,278906250E1
2,363400911E0;3,277343750E1
2,463400911E0;3,280859375E1
2,563400911E0;3,281640625E1
2,663400911E0;3,280859375E1
2,763400911E0;3,282421875E1
2,863400911E0;3,284765625E1
2,963400911E0;3,282812500E1
3,063400911E0;3,285937500E1
3,163400911E0;3,283593750E1
3,263400911E0;3,285156250E1
3,363400911E0;3,290625000E1
3,463400911E0;3,289062500E1
3,563400911E0;3,290625000E1
3,663400911E0;3,289062500E1
3,763400911E0;3,289843750E1
3,863400911E0;3,292187500E1
3,963400911E0;3,292968750E1
4,063400911E0;3,294921875E1
4,163400911E0;3,296875000E1
4,263400911E0;3,296484375E1
4,363400911E0;3,295703125E1
4,463400911E0;3,298437500E1
4,563400911E0;3,298046875E1
4,663400911E0;3,295703125E1
4,763400911E0;3,304687500E1
4,863400911E0;3,300781250E1
4,963400911E0;3,304687500E1
5,063400911E0;3,299609375E1
5,163400911E0;3,299609375E1
5,263400911E0;3,304687500E1
5,363400911E0;3,303906250E1
5,463400911E0;3,303906250E1
5,563400911E0;3,309765625E1
5,663400911E0;3,308984375E1
5,763400911E0;3,311328125E1
5,863400911E0;3,311328125E1
5,963400911E0;3,312500000E1
6,063400911E0;3,309765625E1
6,163400911E0;3,308984375E1
6,263400911E0;3,312890625E1
6,363400911E0;3,311718750E1
6,463400911E0;3,312890625E1
6,563400911E0;3,313671875E1
6,663400911E0;3,309375000E1
6,763400911E0;3,312890625E1
6,863400911E0;3,315625000E1
6,963400911E0;3,316015625E1
7,063400911E0;3,312109375E1
7,163400911E0;3,316406250E1
7,263400911E0;3,314062500E1
7,363400911E0;3,314062500E1
7,463400911E0;3,317968750E1
7,563400911E0;3,312890625E1
7,663400911E0;3,312890625E1
7,763400911E0;3,314843750E1
7,863400911E0;3,314062500E1
7,963400911E0;3,314062500E1
8,063400911E0;3,314843750E1
8,163400911E0;3,314062500E1
8,263400911E0;3,316406250E1
8,363400911E0;3,311328125E1
8,463400911E0;3,316406250E1
8,563400911E0;3,317187500E1
8,663400911E0;3,317187500E1
8,763400911E0;3,314062500E1
8,863400911E0;3,314062500E1
8,963400911E0;3,315625000E1
9,063400911E0;3,316406250E1
9,163400911E0;3,318750000E1
9,263400911E0;3,314843750E1
9,363400911E0;3,312890625E1
9,463400911E0;3,316406250E1
9,563400911E0;3,314843750E1
9,663400911E0;3,314843750E1
9,763400911E0;3,315625000E1
9,863400911E0;3,314843750E1
9,963400911E0;3,316406250E1
1,006340091E1;3,316406250E1
1,016340091E1;3,311328125E1
1,026340091E1;3,312890625E1
1,036340091E1;3,312109375E1
1,046340091E1;3,312890625E1
1,056340091E1;3,314062500E1
1,066340091E1;3,312890625E1
1,076340091E1;3,312109375E1
1,086340091E1;3,316406250E1
1,096340091E1;3,312109375E1
1,106340091E1;3,315625000E1
1,116340091E1;3,312109375E1
1,126340091E1;3,312500000E1
1,136340091E1;3,312890625E1
1,146340091E1;3,310156250E1
1,156340091E1;3,311328125E1
1,166340091E1;3,314062500E1
1,176340091E1;3,311328125E1
1,186340091E1;3,314062500E1
1,196340091E1;3,316406250E1
1,206340091E1;3,316406250E1
1,216340091E1;3,316406250E1
1,226340091E1;3,314843750E1
1,236340091E1;3,316406250E1
1,246340091E1;3,316406250E1
1,256340091E1;3,311328125E1
1,266340091E1;3,310937500E1
1,276340091E1;3,314453125E1
1,286340091E1;3,312109375E1
1,296340091E1;3,314062500E1
1,306340091E1;3,314843750E1
1,316340091E1;3,312890625E1
1,326340091E1;3,311328125E1
1,336340091E1;3,312500000E1
1,346340091E1;3,314062500E1
1,356340091E1;3,312109375E1
1,366340091E1;3,312500000E1
1,376340091E1;3,312890625E1
1,386340091E1;3,309765625E1
1,396340091E1;3,310546875E1
1,406340091E1;3,312500000E1
1,416340091E1;3,311328125E1
1,426340091E1;3,309765625E1
1,436340091E1;3,314062500E1
1,446340091E1;3,305468750E1
1,456340091E1;3,310156250E1
1,466340091E1;3,305078125E1
1,476340091E1;3,309375000E1
1,486340091E1;3,310546875E1
1,496340091E1;3,311328125E1
1,506340091E1;3,308984375E1
1,516340091E1;3,311328125E1
1,526340091E1;3,311328125E1
1,536340091E1;3,308984375E1
1,546340091E1;3,314062500E1
1,556340091E1;3,308203125E1
1,566340091E1;3,311718750E1
1,576340091E1;3,307421875E1
1,586340091E1;3,309765625E1
1,596340091E1;3,307421875E1
1,606340091E1;3,310546875E1
1,616340091E1;3,308984375E1
1,626340091E1;3,306250000E1
1,636340091E1;3,309765625E1
1,646340091E1;3,306250000E1
1,656340091E1;3,311328125E1
1,666340091E1;3,306250000E1
1,676340091E1;3,308593750E1
1,686340091E1;3,305468750E1
1,696340091E1;3,307812500E1
1,706340091E1;3,308984375E1
1,716340091E1;3,304687500E1
1,726340091E1;3,308203125E1
1,736340091E1;3,304687500E1
1,746340091E1;3,303125000E1
1,756340091E1;3,303906250E1
1,766340091E1;3,305468750E1
1,776340091E1;3,303125000E1
1,786340091E1;3,308984375E1
1,796340091E1;3,308203125E1
1,806340091E1;3,306250000E1
1,816340091E1;3,303906250E1
1,826340091E1;3,308203125E1
1,836340091E1;3,307421875E1
1,846340091E1;3,307421875E1
1,856340091E1;3,303906250E1
1,866340091E1;3,305468750E1
1,876340091E1;3,305468750E1
1,886340091E1;3,303906250E1
1,896340091E1;3,308203125E1
1,906340091E1;3,300781250E1
1,916340091E1;3,308984375E1
1,926340091E1;3,306250000E1
1,936340091E1;3,304687500E1
1,946340091E1;3,308203125E1
1,956340091E1;3,301562500E1
1,966340091E1;3,302343750E1
1,976340091E1;3,306250000E1
1,986340091E1;3,301562500E1
1,996340091E1;3,300781250E1
2,006340091E1;3,303125000E1
2,016340091E1;3,303906250E1
2,026340091E1;3,301953125E1
2,036340091E1;3,301171875E1
