"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
3,792445833E-2;-1,415528870E1;-3,042266464E1;-2,741783142E1
1,384164583E-1;-1,533778381E1;-2,932458115E1;-2,769908142E1
2,389084583E-1;-1,552041626E1;-2,861339188E1;-2,830618286E1
3,394004583E-1;-1,515408325E1;-2,709082794E1;-2,993814087E1
4,398934583E-1;-1,447036743E1;-2,409308624E1;-3,265293884E1
5,403854583E-1;-1,141088867E1;-1,762880325E1;-3,834881592E1
6,408774583E-1;-1,214443970E1;-1,533893967E1;-3,889813232E1
7,413689583E-1;-2,472097778E1;-1,986843109E1;-2,938478088E1
8,418609583E-1;-3,484983826E1;-2,408444214E1;-9,423721313E0
9,423529583E-1;-3,760301208E1;-1,989874268E1;1,303559875E1
1,042844958E0;-3,575648499E1;-8,637302399E0;2,774827576E1
1,143336958E0;-3,502491760E1;4,812103271E0;3,006977844E1
1,243828958E0;-3,909577942E1;4,914405823E0;2,353868103E1
1,344320958E0;-4,098922729E1;1,174152374E1;1,290864563E1
1,444812958E0;-3,844317627E1;1,597891235E1;1,271881104E1
1,545304958E0;-3,620518494E1;1,880168152E1;5,864135742E0
1,645796958E0;-3,184071350E1;2,487271881E1;3,378387451E0
1,746289792E0;-2,855793762E1;4,095687866E1;2,836914062E0
1,846782792E0;-3,018156433E1;3,681209564E1;3,340225220E0
1,947274792E0;-2,702661133E1;3,604515839E1;1,049165344E1
2,047766792E0;-2,178489685E1;3,731122589E1;1,616581726E1
2,148258792E0;-1,685089111E1;3,774484253E1;2,007569885E1
2,248750792E0;-1,450729370E1;3,730221558E1;2,089346313E1
2,349242792E0;-1,123443604E1;3,916381836E1;2,191548157E1
2,449734792E0;-8,354095459E0;4,033702087E1;2,155047607E1
2,550226792E0;-4,300399780E0;4,165782166E1;1,906515503E1
2,650718792E0;-4,685791016E0;4,077287292E1;1,883267212E1
2,751210917E0;-9,831100464E0;3,968162537E1;1,709288025E1
2,851702917E0;-1,176260376E1;3,817115021E1;1,510298157E1
2,952194917E0;-9,744857788E0;3,819415283E1;1,611558533E1
3,052686917E0;-1,066798401E1;3,657402802E1;1,779566956E1
3,153178917E0;-7,908569336E0;3,584299469E1;1,991766357E1
3,253670917E0;-4,432388306E0;3,700689697E1;1,989035034E1
3,354162917E0;-5,959381104E0;3,528596497E1;2,244084167E1
3,454654917E0;-9,952819824E0;3,277265930E1;2,485925293E1
3,555146917E0;-9,796020508E0;3,372660065E1;2,392616272E1
3,655638917E0;-5,924072266E0;3,888433838E1;1,539361572E1
3,756132792E0;-5,336181641E0;3,972467804E1;1,312336731E1
3,856624792E0;-8,592102051E0;3,899351501E1;1,338038635E1
3,957116792E0;-7,676162720E0;3,911019135E1;1,205084229E1
4,057608792E0;-8,185546875E0;3,899185181E1;1,255104065E1
4,158100792E0;-8,337310791E0;3,849542236E1;1,251325989E1
4,258592792E0;-9,419616699E0;3,702602386E1;1,565478516E1
4,359084792E0;-5,585098267E0;3,765852356E1;1,727220154E1
4,459576792E0;-5,061462402E0;3,741908264E1;1,842495728E1
4,560069792E0;-7,693344116E0;3,604943848E1;2,152908325E1
4,660561792E0;-9,323348999E0;3,535398102E1;2,261764526E1
4,761052958E0;-7,858367920E0;3,798700714E1;1,858920288E1
4,861544958E0;-4,223785400E0;4,009973907E1;1,469427490E1
4,962036958E0;-7,943389893E0;3,911994934E1;1,508972168E1
5,062528958E0;-9,222503662E0;3,906415558E1;1,331294250E1
5,163020958E0;-8,530364990E0;3,958230591E1;1,370304871E1
5,263513958E0;-8,077819824E0;3,917121124E1;1,440048218E1
5,364005958E0;-9,088470459E0;3,802029419E1;1,699951172E1
5,464497958E0;-4,520309448E0;3,749571228E1;1,974911499E1
5,564989958E0;-3,178131104E0;3,737191010E1;2,102485657E1
5,665481958E0;-5,286743164E0;3,466637421E1;2,436480713E1
5,765973792E0;-6,983306885E0;3,453597260E1;2,428289795E1
5,866466792E0;-6,079208374E0;3,639274597E1;2,127563477E1
