"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,885771100E-2;-1,832595654E-2;-1,777006984E0;-4,224133193E-1
8,465353100E-2;-2,153299935E-2;-9,556986690E-1;-3,947716653E-1
1,846535310E-1;-5,658139586E-1;-8,176431060E-1;-8,031350970E-1
2,846535310E-1;-1,474017859E0;-1,055269688E-1;-4,263839424E-1
3,846535310E-1;-8,310821652E-1;-9,892962575E-1;2,443460980E-3
4,846535310E-1;1,313360333E-1;-8,510879874E-1;3,811798990E-1
5,846535310E-1;-1,944078654E-1;-1,082147837E0;9,019425511E-1
6,846535310E-1;2,378251076E0;-3,842342496E-1;1,935679197E0
7,846535310E-1;1,343292713E0;-3,160464048E0;8,622363210E-1
8,846535310E-1;-3,454442918E-1;-1,929570556E0;-4,648684561E-1
9,846535310E-1;1,084285825E-1;-2,132836103E0;5,222898126E-1
1,084653531E0;-1,507462740E0;-2,282956123E0;1,299004912E0
1,184653531E0;-1,093906879E0;-4,375322342E0;2,265393734E0
1,284653531E0;-9,401215911E-1;3,743076921E-1;4,072638512E0
1,384653531E0;2,164448261E0;1,327104717E-1;2,875342607E0
1,484653531E0;8,739954233E-1;1,450804919E-1;7,373143435E-1
1,584653531E0;1,322217822E0;-3,218801737E0;1,146746755E0
1,684653531E0;1,030987859E0;-4,064239025E0;-9,873109460E-1
1,784653531E0;-1,728748679E-1;-2,388788462E0;-9,506590366E-1
1,884653531E0;-1,780824900E0;1,675297976E0;7,151705027E-1
1,984653531E0;-1,218981624E0;7,751879692E-1;6,805039048E-1
2,084653531E0;-7,881689072E-1;-3,118467033E-1;-2,938261926E-1
2,184653531E0;-1,375973940E0;4,578435123E-1;-3,460551500E-1
2,284653531E0;9,929614663E-1;-3,732386529E-1;6,267477274E-1
2,384653531E0;7,275404930E-1;-4,906775057E-1;1,129795313E0
2,484653531E0;2,078468949E-1;-5,254968405E-1;4,822781086E-1
2,584653531E0;1,400408596E-1;-1,089630842E0;-2,724458873E-1
2,684653531E0;-1,174999356E0;-8,411614299E-1;-2,321287990E-2
2,784653531E0;4,263839424E-1;9,312640429E-1;1,446070790E0
2,884653531E0;-1,829541475E-1;-1,649336144E-2;-1,808161139E-1
2,984653531E0;-1,556026459E0;2,611449063E-1;-1,144914150E0
3,084653531E0;-2,176970959E0;-1,448666930E0;-2,072665691E0
3,184653531E0;6,687447429E-1;8,388707042E-1;9,703594446E-1
3,284653531E0;8,842274547E-1;1,449277848E-1;1,911550045E0
3,384653531E0;1,255633473E0;-9,987646937E-1;7,377725244E-1
3,484653531E0;6,177374721E-1;-2,141999006E0;-1,023199316E-2
3,584653531E0;7,521278262E-1;1,570229053E0;2,794097662E0
3,684653531E0;8,946121335E-1;-7,223481536E-1;3,739717007E0
3,784653531E0;-7,095199823E-1;1,185689449E0;2,460259795E-1
