"Time (s)";"Pressure (hPa)"
2,359293220E-1;1,014695862E3
3,161486840E-1;1,014689087E3
4,161486840E-1;1,014652954E3
5,161486840E-1;1,014651978E3
6,161486840E-1;1,014638550E3
7,161486840E-1;1,014669434E3
8,161486840E-1;1,014680420E3
9,161486840E-1;1,014679993E3
1,016148684E0;1,014657715E3
1,116148684E0;1,014676636E3
1,216148684E0;1,014696045E3
1,316148684E0;1,014697876E3
1,416148684E0;1,014712280E3
1,516148684E0;1,014714722E3
1,616148684E0;1,014736328E3
1,716148684E0;1,014723816E3
1,816148684E0;1,014744507E3
1,916148684E0;1,014739136E3
2,016148684E0;1,014730591E3
2,116148684E0;1,014750732E3
2,216148684E0;1,014750488E3
2,316148684E0;1,014747498E3
2,416148684E0;1,014765869E3
2,516148684E0;1,014770996E3
2,616148684E0;1,014748535E3
2,716148684E0;1,014704956E3
2,816148684E0;1,014801880E3
2,916148684E0;1,014816772E3
3,016148684E0;1,014754028E3
3,116148684E0;1,014813721E3
3,216148684E0;1,014780212E3
3,316148684E0;1,014878784E3
3,416148684E0;1,014823853E3
3,516148684E0;1,014794556E3
3,616148684E0;1,014785034E3
3,716148684E0;1,014849365E3
3,816148684E0;1,014852173E3
3,916148684E0;1,014620728E3
4,016148684E0;1,014858215E3
4,116148684E0;1,015111877E3
4,216148684E0;1,015315125E3
4,316148684E0;1,014702637E3
4,416148684E0;1,014726685E3
4,516148684E0;1,014775269E3
4,616148684E0;1,015001648E3
4,716148684E0;1,015081787E3
4,816148684E0;1,014735107E3
4,916148684E0;1,014735596E3
5,016148684E0;1,014922729E3
5,116148684E0;1,015112244E3
5,216148684E0;1,014797913E3
5,316148684E0;1,014883911E3
5,416148684E0;1,014851807E3
5,516148684E0;1,014963745E3
5,616148684E0;1,014595581E3
5,716148684E0;1,014921936E3
5,816148684E0;1,014899780E3
5,916148684E0;1,014865234E3
6,016148684E0;1,014901489E3
6,116148684E0;1,015032104E3
6,216148684E0;1,015032104E3
6,316148684E0;1,015032104E3
6,416148684E0;1,015006470E3
6,516148684E0;1,014993408E3
6,616148684E0;1,014714417E3
6,716148684E0;1,014714417E3
6,816148684E0;1,015055542E3
6,916148684E0;1,015082520E3
7,016148684E0;1,014991333E3
7,116148684E0;1,014991333E3
7,216148684E0;1,015016479E3
7,316148684E0;1,015322998E3
7,416148684E0;1,015115234E3
7,516148684E0;1,015115234E3
7,616148684E0;1,015114746E3
7,716148684E0;1,014737671E3
7,816148684E0;1,014624634E3
7,916148684E0;1,014624634E3
8,016148684E0;1,015120361E3
8,116148684E0;1,015204590E3
8,216148684E0;1,015002441E3
8,316148684E0;1,015002441E3
8,416148684E0;1,015153748E3
8,516148684E0;1,015153564E3
8,616148684E0;1,015103027E3
8,716148684E0;1,015103027E3
8,816148684E0;1,014897766E3
