"Time (s)";"Temperature (°C)"
7,642574700E-2;3,334765625E1
1,422248820E-1;3,334765625E1
2,422248820E-1;3,326171875E1
3,422248820E-1;3,332812500E1
4,422248820E-1;3,337109375E1
5,422248820E-1;3,332812500E1
6,422248820E-1;3,333984375E1
7,422248820E-1;3,328906250E1
8,422248820E-1;3,332812500E1
9,422248820E-1;3,332812500E1
1,042224882E0;3,334765625E1
1,142224882E0;3,331250000E1
1,242224882E0;3,337500000E1
1,342224882E0;3,335546875E1
1,442224882E0;3,333984375E1
1,542224882E0;3,333984375E1
1,642224882E0;3,331250000E1
1,742224882E0;3,338281250E1
1,842224882E0;3,332812500E1
1,942224882E0;3,335546875E1
2,042224882E0;3,335937500E1
2,142224882E0;3,334765625E1
2,242224882E0;3,332812500E1
2,342224882E0;3,340234375E1
2,442224882E0;3,337890625E1
2,542224882E0;3,334765625E1
2,642224882E0;3,340625000E1
2,742224882E0;3,335156250E1
2,842224882E0;3,338281250E1
2,942224882E0;3,342968750E1
3,042224882E0;3,339062500E1
3,142224882E0;3,338671875E1
3,242224882E0;3,340625000E1
3,342224882E0;3,337109375E1
3,442224882E0;3,339453125E1
3,542224882E0;3,337890625E1
3,642224882E0;3,340625000E1
3,742224882E0;3,338671875E1
3,842224882E0;3,339453125E1
3,942224882E0;3,338671875E1
4,042224882E0;3,337890625E1
4,142224882E0;3,338671875E1
4,242224882E0;3,343750000E1
4,342224882E0;3,339453125E1
4,442224882E0;3,343750000E1
4,542224882E0;3,342968750E1
4,642224882E0;3,342187500E1
4,742224882E0;3,343750000E1
4,842224882E0;3,341406250E1
4,942224882E0;3,342187500E1
5,042224882E0;3,341406250E1
5,142224882E0;3,344531250E1
5,242224882E0;3,342187500E1
5,342224882E0;3,342968750E1
5,442224882E0;3,342968750E1
5,542224882E0;3,342968750E1
5,642224882E0;3,345312500E1
5,742224882E0;3,342968750E1
5,842224882E0;3,343750000E1
5,942224882E0;3,342187500E1
6,042224882E0;3,345312500E1
6,142224882E0;3,344531250E1
6,242224882E0;3,347265625E1
6,342224882E0;3,342187500E1
6,442224882E0;3,343750000E1
6,542224882E0;3,342187500E1
6,642224882E0;3,348046875E1
6,742224882E0;3,341406250E1
6,842224882E0;3,341406250E1
6,942224882E0;3,345312500E1
7,042224882E0;3,343750000E1
7,142224882E0;3,339453125E1
7,242224882E0;3,348828125E1
7,342224882E0;3,344531250E1
7,442224882E0;3,344531250E1
7,542224882E0;3,348046875E1
7,642224882E0;3,348046875E1
7,742224882E0;3,347265625E1
7,842224882E0;3,345312500E1
7,942224882E0;3,345312500E1
8,042224882E0;3,339453125E1
8,142224882E0;3,346093750E1
8,242224882E0;3,347265625E1
8,342224882E0;3,349609375E1
8,442224882E0;3,346093750E1
8,542224882E0;3,342187500E1
8,642224882E0;3,344531250E1
8,742224882E0;3,348046875E1
8,842224882E0;3,345312500E1
8,942224882E0;3,347265625E1
9,042224882E0;3,343750000E1
9,142224882E0;3,344531250E1
9,242224882E0;3,342187500E1
9,342224882E0;3,348046875E1
9,442224882E0;3,342968750E1
9,542224882E0;3,338671875E1
9,642224882E0;3,344531250E1
9,742224882E0;3,344531250E1
9,842224882E0;3,338671875E1
9,942224882E0;3,348828125E1
1,004222488E1;3,343750000E1
1,014222488E1;3,347265625E1
1,024222488E1;3,341406250E1
1,034222488E1;3,348046875E1
1,044222488E1;3,340625000E1
1,054222488E1;3,343750000E1
1,064222488E1;3,344531250E1
1,074222488E1;3,348046875E1
1,084222488E1;3,350781250E1
1,094222488E1;3,347265625E1
1,104222488E1;3,346093750E1
1,114222488E1;3,347265625E1
1,124222488E1;3,347265625E1
1,134222488E1;3,345312500E1
1,144222488E1;3,347265625E1
1,154222488E1;3,342968750E1
1,164222488E1;3,352343750E1
1,174222488E1;3,349609375E1
1,184222488E1;3,347265625E1
1,194222488E1;3,350000000E1
1,204222488E1;3,348046875E1
1,214222488E1;3,350000000E1
1,224222488E1;3,347265625E1
1,234222488E1;3,342187500E1
1,244222488E1;3,344531250E1
1,254222488E1;3,341406250E1
1,264222488E1;3,345312500E1
1,274222488E1;3,340625000E1
1,284222488E1;3,343750000E1
1,294222488E1;3,341406250E1
1,304222488E1;3,340625000E1
1,314222488E1;3,342187500E1
1,324222488E1;3,342187500E1
1,334222488E1;3,343750000E1
1,344222488E1;3,340625000E1
1,354222488E1;3,345312500E1
1,364222488E1;3,343750000E1
1,374222488E1;3,342968750E1
1,384222488E1;3,344531250E1
1,394222488E1;3,342968750E1
1,404222488E1;3,341406250E1
1,414222488E1;3,342187500E1
1,424222488E1;3,343750000E1
1,434222488E1;3,342968750E1
1,444222488E1;3,345312500E1
1,454222488E1;3,344531250E1
1,464222488E1;3,341406250E1
1,474222488E1;3,340625000E1
1,484222488E1;3,339453125E1
1,494222488E1;3,342187500E1
1,504222488E1;3,339453125E1
1,514222488E1;3,339453125E1
1,524222488E1;3,337890625E1
1,534222488E1;3,340625000E1
1,544222488E1;3,336328125E1
1,554222488E1;3,337890625E1
1,564222488E1;3,339453125E1
1,574222488E1;3,336718750E1
1,584222488E1;3,335937500E1
1,594222488E1;3,337500000E1
1,604222488E1;3,339062500E1
1,614222488E1;3,334765625E1
1,624222488E1;3,337500000E1
1,634222488E1;3,331250000E1
1,644222488E1;3,332031250E1
1,654222488E1;3,328125000E1
1,664222488E1;3,328906250E1
1,674222488E1;3,332812500E1
1,684222488E1;3,327343750E1
1,694222488E1;3,328906250E1
1,704222488E1;3,328906250E1
1,714222488E1;3,330468750E1
1,724222488E1;3,327343750E1
1,734222488E1;3,327343750E1
1,744222488E1;3,328906250E1
1,754222488E1;3,323437500E1
1,764222488E1;3,328515625E1
1,774222488E1;3,321875000E1
1,784222488E1;3,323046875E1
1,794222488E1;3,324218750E1
1,804222488E1;3,325781250E1
1,814222488E1;3,317187500E1
1,824222488E1;3,318750000E1
1,834222488E1;3,329296875E1
1,844222488E1;3,319531250E1
1,854222488E1;3,317968750E1
1,864222488E1;3,317968750E1
1,874222488E1;3,317187500E1
1,884222488E1;3,316406250E1
1,894222488E1;3,317968750E1
1,904222488E1;3,317968750E1
1,914222488E1;3,317187500E1
1,924222488E1;3,316406250E1
1,934222488E1;3,316406250E1
1,944222488E1;3,317187500E1
1,954222488E1;3,314062500E1
1,964222488E1;3,315625000E1
1,974222488E1;3,314062500E1
1,984222488E1;3,310156250E1
1,994222488E1;3,312890625E1
2,004222488E1;3,310937500E1
2,014222488E1;3,311718750E1
2,024222488E1;3,312500000E1
2,034222488E1;3,308984375E1
2,044222488E1;3,306250000E1
2,054222488E1;3,307421875E1
2,064222488E1;3,310546875E1
2,074222488E1;3,308203125E1
2,084222488E1;3,310546875E1
2,094222488E1;3,309765625E1
2,104222488E1;3,308203125E1
2,114222488E1;3,310937500E1
2,124222488E1;3,309765625E1
2,134222488E1;3,308203125E1
2,144222488E1;3,306250000E1
2,154222488E1;3,310546875E1
2,164222488E1;3,305468750E1
2,174222488E1;3,303125000E1
2,184222488E1;3,306250000E1
2,194222488E1;3,308203125E1
2,204222488E1;3,299609375E1
2,214222488E1;3,305468750E1
2,224222488E1;3,301562500E1
2,234222488E1;3,302343750E1
2,244222488E1;3,303125000E1
2,254222488E1;3,298437500E1
2,264222488E1;3,300781250E1
2,274222488E1;3,300390625E1
2,284222488E1;3,297656250E1
2,294222488E1;3,298828125E1
2,304222488E1;3,299609375E1
2,314222488E1;3,298437500E1
2,324222488E1;3,299218750E1
2,334222488E1;3,298828125E1
2,344222488E1;3,295312500E1
2,354222488E1;3,298437500E1
2,364222488E1;3,296484375E1
2,374222488E1;3,296484375E1
2,384222488E1;3,295312500E1
2,394222488E1;3,291406250E1
2,404222488E1;3,299609375E1
2,414222488E1;3,294140625E1
2,424222488E1;3,295703125E1
2,434222488E1;3,294140625E1
2,444222488E1;3,297265625E1
2,454222488E1;3,294140625E1
2,464222488E1;3,295703125E1
2,474222488E1;3,297265625E1
