"Time (s)";"Distance (cm)"
7,014872900E-2;5,000000000E0
1,134747672E0;0,000000000E0
1,223469924E0;5,000000000E0
1,312183997E0;0,000000000E0
1,412183997E0;0,000000000E0
1,512183997E0;0,000000000E0
1,612183997E0;0,000000000E0
1,712183997E0;0,000000000E0
1,812183997E0;0,000000000E0
1,912183997E0;0,000000000E0
2,012183997E0;0,000000000E0
2,112183997E0;0,000000000E0
2,212183997E0;0,000000000E0
2,312183997E0;0,000000000E0
2,412183997E0;0,000000000E0
2,512183997E0;0,000000000E0
2,612183997E0;0,000000000E0
2,712183997E0;0,000000000E0
2,812183997E0;0,000000000E0
2,912183997E0;0,000000000E0
3,012183997E0;0,000000000E0
3,112183997E0;0,000000000E0
3,212183997E0;0,000000000E0
3,312183997E0;0,000000000E0
3,412183997E0;0,000000000E0
3,512183997E0;0,000000000E0
3,612183997E0;0,000000000E0
3,712183997E0;0,000000000E0
3,812183997E0;0,000000000E0
3,912183997E0;0,000000000E0
4,012183997E0;0,000000000E0
4,112183997E0;0,000000000E0
4,212183997E0;0,000000000E0
4,312183997E0;0,000000000E0
4,412183997E0;0,000000000E0
4,512183997E0;0,000000000E0
4,612183997E0;0,000000000E0
4,712183997E0;0,000000000E0
4,812183997E0;0,000000000E0
4,912183997E0;0,000000000E0
5,012183997E0;0,000000000E0
5,112183997E0;0,000000000E0
5,212183997E0;0,000000000E0
5,312183997E0;0,000000000E0
5,412183997E0;0,000000000E0
5,512183997E0;0,000000000E0
5,612183997E0;0,000000000E0
5,712183997E0;0,000000000E0
5,812183997E0;0,000000000E0
5,912183997E0;0,000000000E0
6,012183997E0;0,000000000E0
6,112183997E0;0,000000000E0
6,212183997E0;0,000000000E0
6,312183997E0;0,000000000E0
6,412183997E0;0,000000000E0
6,512183997E0;0,000000000E0
6,612183997E0;0,000000000E0
6,712183997E0;0,000000000E0
6,812183997E0;0,000000000E0
6,912183997E0;0,000000000E0
7,012183997E0;0,000000000E0
7,112183997E0;0,000000000E0
7,212183997E0;0,000000000E0
7,312183997E0;0,000000000E0
7,412183997E0;0,000000000E0
7,512183997E0;0,000000000E0
7,612183997E0;0,000000000E0
7,712183997E0;0,000000000E0
7,812183997E0;0,000000000E0
7,912183997E0;0,000000000E0
8,012183997E0;0,000000000E0
8,112183997E0;0,000000000E0
8,212183997E0;0,000000000E0
8,312183997E0;0,000000000E0
8,412183997E0;0,000000000E0
8,512183997E0;0,000000000E0
8,612183997E0;0,000000000E0
8,712183997E0;0,000000000E0
8,812183997E0;0,000000000E0
8,912183997E0;0,000000000E0
9,012183997E0;0,000000000E0
9,112183997E0;0,000000000E0
9,212183997E0;0,000000000E0
9,312183997E0;0,000000000E0
9,412183997E0;0,000000000E0
9,512183997E0;0,000000000E0
9,612183997E0;0,000000000E0
9,712183997E0;0,000000000E0
9,812183997E0;0,000000000E0
9,912183997E0;0,000000000E0
1,001218400E1;0,000000000E0
1,011218400E1;0,000000000E0
1,021218400E1;0,000000000E0
1,031218400E1;0,000000000E0
1,041218400E1;0,000000000E0
1,051218400E1;0,000000000E0
1,061218400E1;0,000000000E0
1,071218400E1;0,000000000E0
1,081218400E1;0,000000000E0
1,091218400E1;0,000000000E0
1,101218400E1;0,000000000E0
1,111218400E1;0,000000000E0
1,121218400E1;0,000000000E0
1,131218400E1;0,000000000E0
1,141218400E1;0,000000000E0
1,151218400E1;0,000000000E0
1,161218400E1;0,000000000E0
1,171218400E1;0,000000000E0
1,181218400E1;0,000000000E0
1,191218400E1;0,000000000E0
1,201218400E1;0,000000000E0
1,211218400E1;0,000000000E0
1,221218400E1;0,000000000E0
1,231218400E1;0,000000000E0
1,241218400E1;0,000000000E0
1,251218400E1;0,000000000E0
1,261218400E1;0,000000000E0
1,271218400E1;0,000000000E0
1,281218400E1;0,000000000E0
1,291218400E1;0,000000000E0
1,301218400E1;0,000000000E0
1,311218400E1;0,000000000E0
1,321218400E1;0,000000000E0
1,331218400E1;0,000000000E0
1,341218400E1;0,000000000E0
1,351218400E1;0,000000000E0
1,361218400E1;0,000000000E0
1,371218400E1;0,000000000E0
1,381218400E1;0,000000000E0
1,391218400E1;0,000000000E0
1,401218400E1;0,000000000E0
1,411218400E1;0,000000000E0
1,421218400E1;0,000000000E0
1,431218400E1;0,000000000E0
1,441218400E1;0,000000000E0
1,451218400E1;0,000000000E0
1,461218400E1;0,000000000E0
1,471218400E1;0,000000000E0
1,481218400E1;0,000000000E0
1,491218400E1;0,000000000E0
