Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Illuminance (lx),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),Temperature (°C),timestamp,transportation_mode,start_date
0.028159683,"-4,248456478E0","5,913262844E0","7,634898663E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.001159683+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.093951869,"-3,725624800E0","4,013959885E0","7,512865067E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.066951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.193951869,"-1,785643935E0","1,302293777E0","1,036690426E1",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.166951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.293951869,"-4,809573591E-1","1,625324726E0","8,145168304E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.266951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.393951869,"1,948355794E0","1,895713687E0","1,033639526E1",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.366951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.493951869,"1,998006850E-1","1,713261008E0","8,252845764E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.466951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.593951869,"2,248655081E0","1,625923038E0","8,507082939E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.566951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.693951869,"4,793421745E0","-6,299105883E-1","4,179663181E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.666951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.793951869,"4,858027935E0","-1,652842283E0","8,877372146E-1",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.766951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.893951869,"1,083350468E1","-6,937989235E0","9,142376900E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.866951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
0.993951869,"1,744547081E1","-7,554739475E0","9,675976753E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:18.966951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.093951869,"1,451486206E1","-6,760322094E0","1,041476011E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.066951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.193951869,"5,830112457E0","-9,960124016E0","1,923829436E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.166951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.293951869,"6,765107632E0","7,387840152E-1","2,592025042E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.266951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.393951869,"4,040879250E0","-3,077169895E0","-3,511467278E-1",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.366951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.493951869,"2,782254457E0","-9,460622787E0","2,985046148E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.466951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.593951869,"6,277570248E0","-7,377072334E0","1,001396298E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.566951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.693951869,"1,093519974E1","-8,005785942E0","2,030309916E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.666951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.793951869,"9,979267120E0","-7,068397999E0","2,312663078E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.766951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.893951869,"2,754138947E0","-4,594219685E0","-1,433898926E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.866951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
1.993951869,"3,505485058E0","-6,745367050E0","-6,909275651E-1",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:19.966951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
2.093951869,"-1,937588096E0","-1,061157036E1","2,605185747E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:20.066951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
2.193951869,"-4,171288013E0","-1,271306705E1","2,214557409E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:20.166951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
2.293951869,"-1,533799291E0","-1,074975586E1","2,657827854E0",,,,,,,,,,,,,,,,,,,,,2024-06-05 09:56:20.266951869+02:00,bike,2024-06-05 09:56:17.973 UTC+02:00
