"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1,175458330E-1;-3,472583771E0;1,264008522E0;1,132104206E1
2,175458330E-1;-3,765704632E0;3,250649452E0;5,590231895E0
3,175458330E-1;-8,063812256E-1;1,529013634E0;8,763114929E0
4,175458330E-1;-3,367897868E-1;1,601396561E0;7,557730198E0
5,175458330E-1;-5,028516769E0;9,140582085E0;9,847063065E0
6,175458330E-1;7,479963779E0;-3,406183004E0;2,308475733E0
7,175458330E-1;6,257231236E0;-4,406980991E0;9,337990284E-1
8,175458330E-1;1,413440323E1;-8,407780647E0;6,762116909E0
9,175458330E-1;2,136910248E1;-5,059623718E0;9,868598938E0
1,017545833E0;1,161894894E1;-3,044866800E0;8,793623447E-1
1,117545833E0;3,461217880E0;-6,161518097E0;1,591227055E0
1,217545833E0;5,932405472E0;2,213959217E0;-6,382854581E-1
1,317545833E0;3,646661758E0;-6,869195461E0;5,789434433E0
1,417545833E0;1,132283688E1;-6,408577442E0;7,305287361E0
1,517545833E0;8,257631302E0;-8,507680893E0;-2,398804724E-1
1,617545833E0;4,737788677E0;-7,843672752E0;2,493321180E0
1,717545833E0;2,063211441E0;-7,173084259E0;2,095514536E0
1,817545833E0;4,875974178E0;-8,749954224E0;2,745763958E-1
1,917545833E0;-1,298106313E-1;-5,043471813E0;2,620140910E-1
2,017545833E0;-1,489532143E-1;-4,213162422E0;2,346760750E0
2,117545833E0;-1,719243050E0;-8,746364594E0;5,157729149E0
2,217545833E0;-2,314457655E0;-1,051107121E1;1,720439434E0
2,317545833E0;-4,513461590E0;-8,802596092E0;5,072783947E0
2,417545833E0;-1,760519266E0;-1,033938694E1;1,235892892E0
2,517545833E0;3,840480447E-1;-1,068275642E1;-3,593421459E0
2,617545833E0;-8,674580574E0;-1,272503090E1;-3,857828379E0
2,717545833E0;-5,359922886E0;-9,818349838E0;-4,798207760E0
2,817545833E0;-3,881756544E0;-3,038286448E0;-6,824330330E0
2,917545833E0;-4,931607246E0;-9,535398483E-1;-4,622334957E0
3,017545833E0;-6,431907177E0;3,619144261E-1;-6,349354744E0
3,117545833E0;-4,150949001E0;-3,074777126E-1;-6,337390900E0
3,217545833E0;-5,851049423E0;-2,602792740E0;-7,762914658E0
3,317545833E0;-5,185246468E0;-5,017749310E0;-8,806783676E0
3,417545833E0;-4,106681824E0;-5,459823132E0;-9,223134995E0
3,517545833E0;-5,538786411E0;-5,352744102E0;-8,355736732E0
3,617545833E0;-7,503293514E0;-4,691727161E0;-5,458028316E0
3,717545833E0;-1,045065284E0;-4,922036171E0;-8,400003433E0
3,817545833E0;-5,491527915E-1;-6,802794933E0;-7,600800991E0
3,917545833E0;-1,225125194E0;-7,085147858E0;-6,489933014E0
4,017545833E0;-7,728816867E-1;-8,477770805E0;-6,294320107E0
4,117545833E0;-1,167099237E0;-8,112865448E0;-6,940382004E0
4,217545833E0;-1,141974568E0;-6,385845661E0;-7,792226791E0
4,317545833E0;-2,830709219E0;-6,492326260E0;-7,707281590E0
4,417545833E0;-2,826521635E0;-6,161518097E0;-8,076375008E0
4,517545833E0;-2,344966173E0;-5,297709465E0;-7,822735310E0
4,617545833E0;-3,750749588E0;-5,227719307E0;-7,475776196E0
4,717545833E0;-1,127617717E0;-2,290529490E0;-9,260822296E0
4,817545833E0;6,460621208E-2;-7,435696125E-1;-8,757730484E0
4,917545833E0;2,501097918E0;-6,381658077E0;-1,408355618E1
5,017545833E0;-7,776673436E-1;-4,173082829E0;-6,406782627E0
5,117545833E0;6,394818425E-1;-2,169692039E0;-4,777868748E0
5,217545833E0;2,597409010E0;-1,119302654E1;-1,342074394E1
5,317545833E0;3,189632654E0;-3,443271875E0;-8,109275818E0
5,417545833E0;3,855435371E0;-5,749952793E0;-7,710272789E0
5,517545833E0;4,311866283E0;-6,340381622E0;-6,762714863E0
5,617545833E0;3,888336942E-2;-7,240681171E0;-6,148357868E0
5,717545833E0;2,273181528E-1;-8,765507698E0;-7,347161770E0
5,817545833E0;3,777668715E0;-1,084008503E1;-5,965905190E0
5,917545833E0;2,404786825E0;-1,000738239E1;-3,758526087E0
6,017545833E0;2,085943222E0;-8,300702095E0;-7,147361279E0
6,117545833E0;4,559523582E0;-6,457031727E0;-9,625128746E0
6,217545833E0;2,775076151E0;-2,444268227E0;-6,879364967E0
6,317545833E0;3,388236761E0;-6,006583214E0;-8,324629784E0
6,417545833E0;-2,475374937E0;-2,283949137E0;-3,433102369E0
6,517545833E0;1,040877819E0;5,688936114E-1;-8,110472679E0
6,617545833E0;1,201196909E0;-2,449054003E0;-8,089534760E0
6,717545833E0;4,262215137E0;-5,594419479E0;-6,497709751E0
6,817545833E0;1,165902853E0;-7,833503246E0;-3,783052683E0
6,917545833E0;2,635095835E0;-1,083649540E1;-7,062416077E0
7,017545833E0;1,278365493E0;-1,002652550E1;-5,700900078E0
7,117545833E0;3,162713289E0;-9,227920532E0;-5,110470772E0
7,217545833E0;3,495913982E0;-6,906882763E0;-7,184450150E0
7,317545833E0;2,923431158E0;-6,070590973E0;-5,791228771E0
7,417545833E0;1,843669891E0;-6,043073654E0;-6,716054916E0
7,517545833E0;2,233700037E0;-1,161715388E0;-6,625127792E0
7,617545833E0;7,124629617E-1;-2,995813847E0;-5,373083115E0
7,717545833E0;3,734597921E0;-5,723033428E0;-5,354538918E0
7,817545833E0;2,823530674E0;-7,652844906E0;-5,933003902E0
7,917545833E0;1,664208174E0;-9,122636795E0;-6,737590313E0
8,017545833E0;1,683948994E0;-9,433703423E0;-6,325426579E0
8,117545833E0;1,558923960E0;-9,013762474E0;-5,528616905E0
8,217545833E0;1,673181176E0;-6,891927242E0;-4,414159775E0
8,317545833E0;2,861815929E0;-8,739186287E0;-5,279164791E0
8,417545833E0;1,263410330E0;-7,349554539E0;-4,936991215E0
8,517545833E0;2,096710920E0;-6,504290104E0;-5,334199905E0
8,617545833E0;3,798007727E0;-5,878567219E0;-7,666603565E0
8,717545833E0;3,939782381E0;-5,460421085E0;-9,828518867E0
8,817545833E0;8,189435601E-1;-3,471985579E0;-7,383054256E0
8,917545833E0;1,095912814E0;-4,267001152E0;-7,060621262E0
9,017545833E0;3,024527788E0;-3,235694408E0;-8,998807907E0
9,117545833E0;1,335195065E0;-2,975475073E0;-7,959724426E0
9,217545833E0;1,950150490E0;-3,696911097E0;-9,367900848E0
9,317545833E0;2,087737799E0;-4,467400074E0;-9,198010445E0
9,417545833E0;1,403988719E0;-1,378864050E0;-7,162914753E0
9,517545833E0;2,944368362E0;-2,371287346E0;-7,840681553E0
9,617545833E0;4,594219327E-1;-3,571287870E0;-7,477570534E0
9,717545833E0;1,265205026E0;-7,030711174E0;-7,332805157E0
9,817545833E0;1,064806104E0;-7,786843300E0;-6,750751019E0
9,917545833E0;3,930211067E-1;-9,204590797E0;-7,657032490E0
1,001754583E1;-7,298108935E-2;-9,172286987E0;-5,510670662E0
1,011754583E1;-1,387238979E0;-9,270991325E0;-5,039284706E0
1,021754583E1;-1,884945989E0;-8,620143890E0;-4,142574310E0
1,031754583E1;-1,346560955E0;-9,452247620E0;-5,531009674E0
1,041754583E1;-1,323230863E0;-8,922237396E0;-4,715655327E0
1,051754583E1;-1,892722726E0;-8,429315567E0;-3,866203070E0
1,061754583E1;-1,323829174E0;-8,371290207E0;-5,310271740E0
1,071754583E1;-4,845465720E-1;-8,392825127E0;-4,805386066E0
1,081754583E1;-1,855633974E0;-9,437292099E0;-4,856233597E0
1,091754583E1;-2,501696110E0;-8,962317467E0;-5,105087280E0
1,101754583E1;-3,655036688E-1;-7,899903774E0;-5,156532764E0
1,111754583E1;-6,358926296E-1;-7,411767960E0;-4,885545731E0
1,121754583E1;-3,846462369E-1;-8,233702660E0;-6,316453457E0
1,131754583E1;-2,793620527E-1;-7,755138397E0;-6,619743824E0
1,141754583E1;-2,524427772E-1;-7,058826923E0;-5,002195835E0
1,151754583E1;7,118647546E-2;-7,101897717E0;-5,370690346E0
1,161754583E1;1,968096644E-1;-7,155138016E0;-4,978865623E0
1,171754583E1;-2,626122832E-1;-9,355937004E0;-7,731808186E0
1,181754583E1;-2,356930375E-1;-7,458428383E0;-6,659225464E0
1,191754583E1;-8,721838593E-1;-6,917650223E0;-5,833103180E0
1,201754583E1;7,088736892E-1;-7,868198872E0;-5,890531063E0
1,211754583E1;-4,671986103E-1;-6,792026997E0;-7,717451096E0
1,221754583E1;-2,895315289E-1;-1,021615601E1;-7,943572998E0
1,231754583E1;1,490130305E0;-5,139782906E0;-6,364908218E-1
1,241754583E1;1,634896040E0;-7,431509018E0;-4,111467361E0
1,251754583E1;1,477568030E0;-9,636494637E0;-7,896913052E0
