"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,298741010E-1;-1,362687588E0;-2,062586546E0;-5,791002512E-1
2,298741010E-1;2,252565622E-1;-1,886810064E0;-8,367326856E-1
3,298741010E-1;-1,271363258E0;-1,785711884E0;4,838052690E-1
4,298741010E-1;1,398576021E0;-8,642216325E-1;1,179733515E0
5,298741010E-1;-1,353066564E-1;-2,723084450E0;-3,995058835E-1
6,298741010E-1;2,285705090E0;-4,663650513E0;1,673618078E0
7,298741010E-1;4,886921942E-1;-4,372420788E0;3,245068789E0
8,298741010E-1;-2,517681122E0;-1,693623900E0;5,123785019E0
9,298741010E-1;1,189354658E0;1,337947607E0;3,690084219E0
1,029874101E0;1,489900351E0;1,626276016E0;3,947716653E-1
1,129874101E0;1,097724795E0;-2,176054716E0;7,015787363E-1
1,229874101E0;-1,716531366E-1;-3,667940378E0;-3,905566931E0
1,329874101E0;6,838636398E-1;-7,660250068E-1;-9,731083512E-1
1,429874101E0;-1,505019307E0;2,088242769E0;3,496898174E0
1,529874101E0;-9,850202203E-1;-5,581781268E-1;9,376781434E-2
1,629874101E0;6,354525685E-1;-1,423926830E0;5,288565755E-1
1,729874101E0;-7,681630552E-2;-6,940956116E-1;8,564330935E-1
1,829874101E0;8,489499688E-1;-1,758375645E0;2,780200481E0
1,929874101E0;1,612684280E-1;-1,579850197E0;2,370768070E0
2,029874101E0;5,627595782E-1;-3,003929853E-1;2,081218004E0
2,129874101E0;2,631302178E-1;2,251801968E0;-3,834706545E-1
2,229874101E0;-3,176499158E-2;7,255551815E-1;-2,657263726E-2
2,329874101E0;-2,813034356E-1;1,604284883E0;-2,483167201E-1
2,429874101E0;1,130100712E-2;-4,111123085E-1;1,953394294E0
2,529874101E0;-7,791585922E-1;2,591137648E0;6,010913849E-1
2,629874101E0;-3,764609814E0;-7,985535860E-1;2,552347660E0
2,729874101E0;-3,011107445E0;-6,412557960E-1;2,312888622E0
2,829874101E0;-2,950173616E0;-6,180428863E-1;9,529497623E-1
2,929874101E0;-2,959489346E0;-1,950187236E-1;-3,110831380E-1
3,029874101E0;-2,047467470E0;2,861903608E-1;-1,370628953E0
3,129874101E0;-2,079385281E0;6,998988390E-1;-2,207819700E0
3,229874101E0;-1,534646153E0;-1,233947799E-1;-3,491400242E0
