"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0,000000000E0;5,200483300E1;5,095372700E0;4,694394476E0;NaN;NaN;1,144900036E1;1,000000000E0
1,006173385E1;5,200487147E1;5,095591807E0;3,840806042E0;0,000000000E0;NaN;4,593947983E1;1,075422516E2
1,108222356E1;5,200492727E1;5,095490869E0;4,357464115E0;0,000000000E0;NaN;1,414718151E1;2,103803444E1
1,209321851E1;5,200490161E1;5,095518973E0;4,529704774E0;0,000000000E0;NaN;1,024905491E1;1,803904533E1
1,311384343E1;5,200489978E1;5,095550698E0;4,466379636E0;0,000000000E0;NaN;6,932096958E0;1,173851490E1
1,414294943E1;5,200491428E1;5,095554445E0;6,688634841E0;0,000000000E0;NaN;1,009352875E1;1,661420631E1
1,515237326E1;5,200493760E1;5,095577222E0;6,367582512E0;0,000000000E0;NaN;7,592936039E0;1,712875748E1
1,613602939E1;5,200494036E1;5,095590281E0;6,279038561E0;0,000000000E0;NaN;1,234080219E1;3,159578705E1
1,713635800E1;5,200498157E1;5,095617715E0;1,231574454E1;1,910737991E0;4,915512085E0;1,126648426E1;1,484784508E1
1,815434339E1;5,200500548E1;5,095584791E0;5,941771926E0;2,368402243E0;7,877059937E0;8,182029724E0;6,435922623E0
1,887136524E1;5,200503227E1;5,095578499E0;5,369161661E0;2,388953209E0;4,924296379E0;6,861622810E0;4,818516731E0
1,986893755E1;5,200506554E1;5,095575812E0;4,854583231E0;2,750292778E0;5,359424591E0;5,889853477E0;4,061286449E0
2,089567872E1;5,200510523E1;5,095576972E0;4,628977891E0;3,204682827E0;3,327230453E0;5,341638565E0;3,635807753E0
2,181946648E1;5,200514545E1;5,095575906E0;3,909500826E0;3,507402658E0;7,444031239E0;5,179046154E0;3,412723541E0
2,281951648E1;5,200520713E1;5,095571014E0;3,634354561E0;4,047538757E0;6,063679695E0;4,309080124E0;3,284910917E0
2,381950648E1;5,200526216E1;5,095575189E0;3,574818456E0;4,394375801E0;3,848723471E-1;4,005449295E0;3,205019474E0
2,481952648E1;5,200531134E1;5,095580904E0;3,352992525E0;4,314710140E0;4,684876651E-2;3,861511707E0;3,178754568E0
2,581954648E1;5,200536374E1;5,095578725E0;2,552233187E0;4,671563148E0;2,741024733E0;3,816795349E0;3,157812595E0
2,681957448E1;5,200542016E1;5,095584330E0;2,627974994E0;4,750132561E0;6,109631062E0;3,888272285E0;3,159410715E0
2,781960848E1;5,200547284E1;5,095594040E0;2,454331539E0;4,634003162E0;7,064676762E0;3,997658014E0;3,149996758E0
2,881961348E1;5,200552042E1;5,095606584E0;2,529121489E0;4,807438374E0;2,248379946E0;4,157795906E0;3,178344727E0
2,981963748E1;5,200557218E1;5,095608033E0;2,820710232E0;4,800802231E0;3,907095194E0;4,284000397E0;3,126939774E0
3,081969548E1;5,200561760E1;5,095615047E0;3,267025491E0;4,890882015E0;5,254239559E0;4,485200405E0;3,131708860E0
3,181966248E1;5,200566058E1;5,095621673E0;3,449883369E0;4,791274071E0;3,323659897E0;4,662156582E0;3,122064352E0
3,281966148E1;5,200574427E1;5,095646089E0;3,055798209E0;5,026489735E0;3,912106037E0;3,826570988E0;3,000000000E0
3,381975648E1;5,200579647E1;5,095660942E0;3,355636962E0;5,352139473E0;3,899765253E0;3,514379501E0;3,000000000E0
3,481970748E1;5,200584845E1;5,095671254E0;3,956438130E0;5,299062729E0;4,838408947E0;3,213253498E0;3,000000000E0
3,581970648E1;5,200589894E1;5,095683388E0;4,354490383E0;5,323182106E0;6,736341000E0;3,131451607E0;3,000000000E0
3,681977848E1;5,200595256E1;5,095698159E0;4,398681398E0;5,474701881E0;1,064188099E1;3,021208286E0;3,000000000E0
3,781975648E1;5,200600770E1;5,095715167E0;3,989131364E0;5,615746975E0;1,032887173E1;5,034690380E0;3,000000000E0
3,881983948E1;5,200606289E1;5,095731635E0;4,170648602E0;5,702946663E0;8,457619667E0;5,034812927E0;3,000000000E0
3,981980948E1;5,200611405E1;5,095746019E0;4,057479043E0;5,618877411E0;9,302393913E0;5,034934044E0;3,000000000E0
4,081981548E1;5,200616053E1;5,095764353E0;3,927185486E0;5,533122540E0;9,894224167E0;5,035053253E0;3,000000000E0
4,181982248E1;5,200620818E1;5,095783622E0;3,481479445E0;5,628558159E0;8,238290787E0;5,035176277E0;3,000000000E0
4,281986048E1;5,200625352E1;5,095801425E0;3,532030087E0;5,513127327E0;1,016763973E1;5,563978672E0;3,000000000E0
4,381985948E1;5,200629729E1;5,095821958E0;3,628671373E0;5,541631222E0;9,571780205E0;5,035416603E0;3,000000000E0
4,481987048E1;5,200634883E1;5,095836681E0;3,512454654E0;5,563973904E0;9,966536522E0;5,035539150E0;3,000000000E0
4,581991448E1;5,200639282E1;5,095852580E0;3,669679522E0;5,193172932E0;1,023052692E1;4,276074409E0;3,000000000E0
4,681995848E1;5,200644026E1;5,095864013E0;3,630094334E0;5,281738281E0;7,930153370E0;4,276132584E0;3,000000000E0
4,781993948E1;5,200649256E1;5,095883256E0;3,970830702E0;5,580955982E0;8,502274513E0;4,276192188E0;3,000000000E0
4,881996248E1;5,200654575E1;5,095896718E0;3,371020721E0;5,682219028E0;1,072869682E1;4,276249886E0;3,000000000E0
4,981995348E1;5,200659305E1;5,095912990E0;3,350556523E0;5,754301548E0;1,212877369E1;4,276308060E0;3,000000000E0
5,081998148E1;5,200664049E1;5,095936003E0;3,484479528E0;5,516340256E0;1,242789078E1;4,276367188E0;3,000000000E0
5,182005248E1;5,200668543E1;5,095957410E0;3,465327563E0;5,547367573E0;1,101257038E1;4,726372242E0;3,000000000E0
5,282003148E1;5,200673057E1;5,095976261E0;3,313050885E0;5,368824005E0;1,200608444E1;4,276482105E0;3,000000000E0
5,382005748E1;5,200677412E1;5,095993966E0;3,059430384E0;5,255477428E0;9,288232803E0;4,276540756E0;3,000000000E0
5,482004848E1;5,200681750E1;5,096005682E0;3,186228876E0;5,259980202E0;7,928030014E0;4,296346188E0;3,000000000E0
5,582008548E1;5,200686518E1;5,096013934E0;3,243092718E0;5,288427830E0;7,033730984E0;4,915749073E0;3,000000000E0
5,682008248E1;5,200691617E1;5,096024807E0;3,259419491E0;5,552977085E0;8,017942429E0;4,732880116E0;3,000000000E0
5,782013448E1;5,200696429E1;5,096046960E0;3,050807739E0;5,322364330E0;8,752090454E0;5,011596680E0;3,000000000E0
5,882012148E1;5,200701099E1;5,096058234E0;3,071478201E0;5,451926231E0;7,803492069E0;5,553923130E0;3,000000000E0
5,982015848E1;5,200705999E1;5,096068412E0;3,209326197E0;5,474402428E0;8,670114517E0;5,061137199E0;3,000000000E0
6,082017848E1;5,200710973E1;5,096078784E0;3,177577155E0;5,310390472E0;9,097248077E0;5,012211323E0;3,000000000E0
6,182018448E1;5,200715595E1;5,096089905E0;3,312467095E0;5,094013691E0;9,478530884E0;5,061546326E0;3,000000000E0
6,282018548E1;5,200720726E1;5,096106358E0;3,878871173E0;5,077959538E0;6,102845192E0;4,260161877E0;3,000000000E0
6,382020148E1;5,200725922E1;5,096114812E0;3,630029170E0;4,531302452E0;4,276091099E0;5,045373917E0;3,000000000E0
6,482023048E1;5,200730644E1;5,096119150E0;3,260216619E0;4,537410259E0;8,205445290E0;4,757042408E0;3,000000000E0
6,582026748E1;5,200734473E1;5,096121843E0;4,019969276E0;4,696377277E0;8,878298998E-1;4,521193027E0;3,000000000E0
6,682030748E1;5,200738171E1;5,096123660E0;4,140882433E0;4,556265354E0;3,475095825E2;4,521409035E0;3,000000000E0
6,782027548E1;5,200741063E1;5,096104162E0;4,420559048E0;4,001824379E0;3,246512451E2;4,730570793E0;3,000000000E0
6,882030648E1;5,200743362E1;5,096040321E0;4,533542365E0;4,252270222E0;3,054149780E2;4,677733421E0;3,000000000E0
6,982033648E1;5,200745156E1;5,095959507E0;4,438460988E0;4,307969570E0;2,901269836E2;5,171551228E0;3,000000000E0
7,082033848E1;5,200746476E1;5,095869128E0;4,659526129E0;4,909460068E0;2,811717529E2;4,740263462E0;3,000000000E0
7,182034348E1;5,200747584E1;5,095783414E0;4,430136820E0;4,725985527E0;2,788295898E2;5,359069824E0;3,022454262E0
7,282038548E1;5,200748962E1;5,095698999E0;4,393979300E0;5,047439575E0;2,838363647E2;5,059621334E0;3,115794182E0
7,382038848E1;5,200750479E1;5,095618288E0;4,422592881E0;4,863249302E0;2,839913635E2;5,520486832E0;3,169955730E0
7,482041248E1;5,200751937E1;5,095551627E0;4,495579389E0;5,120059490E0;2,847195435E2;5,553164959E0;3,249716759E0
7,582040148E1;5,200752884E1;5,095470278E0;4,319010611E0;5,055192471E0;2,823699646E2;4,953435898E0;3,413726330E0
7,682044448E1;5,200753675E1;5,095399141E0;4,098858987E0;5,183820248E0;2,838951416E2;5,817508698E0;3,384908438E0
7,782045648E1;5,200754293E1;5,095327659E0;4,221895170E0;5,066635132E0;2,817483826E2;6,288398743E0;3,341359138E0
7,882046648E1;5,200755382E1;5,095236500E0;4,351929871E0;4,728170872E0;2,780331726E2;5,756333351E0;3,319133759E0
7,982053448E1;5,200755998E1;5,095159986E0;4,567948767E0;4,903454781E0;2,796334229E2;5,424942493E0;3,278691530E0
8,082051348E1;5,200756813E1;5,095085419E0;4,604326599E0;4,992520809E0;2,802802734E2;5,504105091E0;3,263500690E0
8,182054048E1;5,200757584E1;5,095008196E0;4,364816335E0;4,877846718E0;2,808703003E2;4,915894985E0;3,184080601E0
8,282056648E1;5,200758121E1;5,094926707E0;4,382668837E0;5,121816158E0;2,825987854E2;4,915900230E0;3,014025688E0
8,382059148E1;5,200759004E1;5,094847208E0;4,444204017E0;5,095404625E0;2,821876831E2;4,915906906E0;3,000000000E0
8,482061048E1;5,200760033E1;5,094769669E0;4,458551413E0;4,915787220E0;2,798229675E2;4,915912628E0;3,000000000E0
8,582060648E1;5,200760859E1;5,094690176E0;4,098767746E0;5,105817795E0;2,780714111E2;4,764769554E0;3,000000000E0
8,682066548E1;5,200761249E1;5,094612410E0;3,961444086E0;5,103541374E0;2,770104370E2;4,856726170E0;3,000000000E0
8,782064648E1;5,200761865E1;5,094543102E0;3,860816053E0;4,914244652E0;2,785139771E2;4,915931702E0;3,000000000E0
8,882069048E1;5,200762753E1;5,094475046E0;3,981314629E0;4,876400471E0;2,811584778E2;4,853292942E0;3,000000000E0
8,982067548E1;5,200763227E1;5,094408216E0;4,219421591E0;4,918660641E0;2,816815491E2;4,915943623E0;3,000000000E0
9,082068648E1;5,200763839E1;5,094341066E0;4,316855625E0;4,794084072E0;2,795644836E2;5,454864025E0;3,000000000E0
9,182068648E1;5,200764575E1;5,094270616E0;4,110209240E0;4,827821255E0;2,803002930E2;4,415339947E0;3,000000000E0
9,282074548E1;5,200765502E1;5,094199650E0;4,106071261E0;4,635903358E0;2,790221558E2;5,403733253E0;3,000000000E0
9,382075748E1;5,200766123E1;5,094129012E0;4,189583327E0;4,630637169E0;2,769823608E2;7,392563820E0;3,000000000E0
9,482086748E1;5,200766641E1;5,094055114E0;4,065741517E0;4,514664173E0;2,787162476E2;5,402600288E0;3,000000000E0
9,582076448E1;5,200767261E1;5,093987884E0;3,818086369E0;4,477390289E0;2,768518677E2;4,755946159E0;3,000000000E0
9,682077848E1;5,200768146E1;5,093923155E0;3,685595330E0;4,701315880E0;2,784597168E2;5,025344849E0;3,000000000E0
9,782080248E1;5,200769076E1;5,093854691E0;3,740227261E0;4,595305920E0;2,787199097E2;4,275406361E0;3,000000000E0
9,882082048E1;5,200769758E1;5,093794794E0;3,928671832E0;4,545219898E0;2,776911316E2;4,501120567E0;3,000000000E0
9,982086548E1;5,200770586E1;5,093729561E0;3,611470041E0;4,365482330E0;2,778092651E2;4,195953369E0;3,000000000E0
1,008208495E2;5,200771452E1;5,093670065E0;3,922424135E0;4,194727898E0;2,796840210E2;4,260978699E0;3,000000000E0
1,018208835E2;5,200771848E1;5,093609923E0;4,180227398E0;4,089817047E0;2,788042908E2;4,163639545E0;3,000000000E0
1,028208835E2;5,200772156E1;5,093552293E0;4,413218846E0;4,142035484E0;2,777044983E2;4,492172718E0;3,000000000E0
1,038209055E2;5,200772723E1;5,093493906E0;4,457388555E0;4,138576984E0;2,778147888E2;3,833038568E0;3,000000000E0
1,048209345E2;5,200772735E1;5,093432881E0;4,018995185E0;4,202123165E0;2,797986755E2;4,157159328E0;3,000000000E0
1,058209485E2;5,200773189E1;5,093371338E0;4,036020385E0;4,370192051E0;2,795476379E2;4,916052341E0;3,000000000E0
1,068209925E2;5,200773940E1;5,093304269E0;4,059538628E0;4,435771942E0;2,794826660E2;4,066828728E0;3,000000000E0
1,078209825E2;5,200775027E1;5,093233404E0;4,066879274E0;4,529188633E0;2,819131470E2;4,308196068E0;3,000000000E0
1,088210235E2;5,200776002E1;5,093169229E0;3,963257571E0;4,449493885E0;2,855594482E2;4,299963951E0;3,000000000E0
1,098209995E2;5,200777591E1;5,093108013E0;3,957996579E0;4,297307491E0;2,977928467E2;4,300029755E0;3,000000000E0
1,108210475E2;5,200780082E1;5,093052801E0;3,887845223E0;4,651387215E0;3,123407593E2;4,300096512E0;3,000000000E0
1,118210425E2;5,200783363E1;5,093012653E0;3,648038508E0;4,446523666E0;3,152996521E2;4,300162792E0;3,000000000E0
1,128210645E2;5,200786837E1;5,092994543E0;3,585589193E0;4,317155838E0;3,237063599E2;4,300229073E0;3,000000000E0
1,138210845E2;5,200791055E1;5,092983821E0;3,373091313E0;4,449959278E0;3,307030334E2;4,300297260E0;3,000000000E0
1,148211875E2;5,200795633E1;5,092991002E0;3,389667474E0;4,788924694E0;3,411943970E2;4,372747421E0;3,000000000E0
