"Time (s)";"Temperature (°C)"
1,668926550E-1;3,208593750E1
2,668926550E-1;3,208203125E1
3,668926550E-1;3,211718750E1
4,668926550E-1;3,209375000E1
5,668926550E-1;3,209375000E1
6,668926550E-1;3,208593750E1
7,668926550E-1;3,208593750E1
8,668926550E-1;3,209375000E1
9,668926550E-1;3,209765625E1
1,066892655E0;3,208593750E1
1,166892655E0;3,208593750E1
1,266892655E0;3,204296875E1
1,366892655E0;3,206640625E1
1,466892655E0;3,205859375E1
1,566892655E0;3,204296875E1
1,666892655E0;3,206640625E1
1,766892655E0;3,203515625E1
1,866892655E0;3,203515625E1
1,966892655E0;3,205078125E1
2,066892655E0;3,202734375E1
2,166892655E0;3,202734375E1
2,266892655E0;3,201953125E1
2,366892655E0;3,204296875E1
2,466892655E0;3,204296875E1
2,566892655E0;3,198437500E1
2,666892655E0;3,201171875E1
2,766892655E0;3,196875000E1
2,866892655E0;3,203515625E1
2,966892655E0;3,200000000E1
3,066892655E0;3,201953125E1
3,166892655E0;3,192968750E1
3,266892655E0;3,196093750E1
3,366892655E0;3,196093750E1
3,466892655E0;3,194531250E1
3,566892655E0;3,200000000E1
3,666892655E0;3,194531250E1
3,766892655E0;3,194140625E1
3,866892655E0;3,195703125E1
3,966892655E0;3,194531250E1
4,066892655E0;3,195703125E1
4,166892655E0;3,195312500E1
4,266892655E0;3,193359375E1
4,366892655E0;3,194921875E1
4,466892655E0;3,195312500E1
4,566892655E0;3,193359375E1
4,666892655E0;3,190234375E1
4,766892655E0;3,191015625E1
4,866892655E0;3,190234375E1
4,966892655E0;3,191015625E1
5,066892655E0;3,189453125E1
5,166892655E0;3,192578125E1
5,266892655E0;3,189453125E1
5,366892655E0;3,195703125E1
5,466892655E0;3,186718750E1
5,566892655E0;3,186718750E1
5,666892655E0;3,187890625E1
5,766892655E0;3,182812500E1
5,866892655E0;3,192578125E1
5,966892655E0;3,183203125E1
6,066892655E0;3,182812500E1
6,166892655E0;3,182812500E1
6,266892655E0;3,185156250E1
6,366892655E0;3,184765625E1
6,466892655E0;3,182812500E1
6,566892655E0;3,182812500E1
6,666892655E0;3,178906250E1
6,766892655E0;3,181640625E1
6,866892655E0;3,185546875E1
6,966892655E0;3,186718750E1
7,066892655E0;3,181250000E1
7,166892655E0;3,182421875E1
7,266892655E0;3,179296875E1
7,366892655E0;3,179296875E1
7,466892655E0;3,181250000E1
7,566892655E0;3,179296875E1
7,666892655E0;3,179296875E1
7,766892655E0;3,181250000E1
7,866892655E0;3,178515625E1
7,966892655E0;3,180078125E1
8,066892655E0;3,176953125E1
8,166892655E0;3,174609375E1
8,266892655E0;3,175390625E1
8,366892655E0;3,177734375E1
8,466892655E0;3,175390625E1
8,566892655E0;3,180078125E1
8,666892655E0;3,174609375E1
8,766892655E0;3,173437500E1
8,866892655E0;3,176171875E1
8,966892655E0;3,177734375E1
9,066892655E0;3,168359375E1
9,166892655E0;3,171875000E1
9,266892655E0;3,173437500E1
9,366892655E0;3,171484375E1
9,466892655E0;3,168359375E1
9,566892655E0;3,171875000E1
9,666892655E0;3,169140625E1
9,766892655E0;3,168359375E1
9,866892655E0;3,166796875E1
9,966892655E0;3,171484375E1
1,006689266E1;3,167968750E1
1,016689266E1;3,167968750E1
1,026689266E1;3,169921875E1
1,036689266E1;3,165625000E1
1,046689266E1;3,167968750E1
1,056689266E1;3,168750000E1
1,066689266E1;3,166015625E1
1,076689266E1;3,167968750E1
1,086689266E1;3,169531250E1
1,096689266E1;3,165234375E1
1,106689266E1;3,165234375E1
1,116689266E1;3,158593750E1
1,126689266E1;3,163671875E1
1,136689266E1;3,163671875E1
1,146689266E1;3,163671875E1
1,156689266E1;3,162109375E1
1,166689266E1;3,160937500E1
1,176689266E1;3,157031250E1
1,186689266E1;3,162890625E1
1,196689266E1;3,160937500E1
1,206689266E1;3,158984375E1
1,216689266E1;3,151171875E1
1,226689266E1;3,157031250E1
1,236689266E1;3,155859375E1
1,246689266E1;3,155078125E1
1,256689266E1;3,158203125E1
1,266689266E1;3,156640625E1
1,276689266E1;3,157421875E1
1,286689266E1;3,155468750E1
1,296689266E1;3,152734375E1
1,306689266E1;3,151171875E1
1,316689266E1;3,149609375E1
1,326689266E1;3,154687500E1
1,336689266E1;3,156250000E1
1,346689266E1;3,146093750E1
1,356689266E1;3,152734375E1
1,366689266E1;3,150390625E1
1,376689266E1;3,148828125E1
1,386689266E1;3,150390625E1
1,396689266E1;3,151953125E1
1,406689266E1;3,146093750E1
1,416689266E1;3,148828125E1
1,426689266E1;3,146093750E1
1,436689266E1;3,146093750E1
1,446689266E1;3,146875000E1
1,456689266E1;3,150390625E1
1,466689266E1;3,143359375E1
1,476689266E1;3,146875000E1
1,486689266E1;3,148046875E1
1,496689266E1;3,145312500E1
1,506689266E1;3,142578125E1
1,516689266E1;3,143750000E1
1,526689266E1;3,142968750E1
1,536689266E1;3,139843750E1
1,546689266E1;3,142968750E1
1,556689266E1;3,143359375E1
1,566689266E1;3,142968750E1
1,576689266E1;3,141406250E1
1,586689266E1;3,142187500E1
1,596689266E1;3,137890625E1
1,606689266E1;3,140234375E1
1,616689266E1;3,143750000E1
1,626689266E1;3,143750000E1
1,636689266E1;3,142187500E1
1,646689266E1;3,137890625E1
1,656689266E1;3,137109375E1
1,666689266E1;3,141406250E1
1,676689266E1;3,138671875E1
1,686689266E1;3,137890625E1
1,696689266E1;3,138671875E1
1,706689266E1;3,132031250E1
1,716689266E1;3,133593750E1
1,726689266E1;3,136328125E1
1,736689266E1;3,136328125E1
1,746689266E1;3,137109375E1
1,756689266E1;3,133593750E1
1,766689266E1;3,137109375E1
1,776689266E1;3,132031250E1
1,786689266E1;3,132031250E1
1,796689266E1;3,130859375E1
1,806689266E1;3,131250000E1
1,816689266E1;3,131250000E1
1,826689266E1;3,125390625E1
1,836689266E1;3,130468750E1
1,846689266E1;3,126953125E1
1,856689266E1;3,123046875E1
1,866689266E1;3,128125000E1
1,876689266E1;3,126953125E1
1,886689266E1;3,125390625E1
1,896689266E1;3,126171875E1
1,906689266E1;3,125390625E1
1,916689266E1;3,126171875E1
1,926689266E1;3,125390625E1
1,936689266E1;3,124609375E1
1,946689266E1;3,126171875E1
1,956689266E1;3,126171875E1
1,966689266E1;3,123828125E1
1,976689266E1;3,122265625E1
1,986689266E1;3,123828125E1
1,996689266E1;3,123046875E1
2,006689266E1;3,123828125E1
2,016689266E1;3,126171875E1
2,026689266E1;3,125390625E1
2,036689266E1;3,123046875E1
2,046689266E1;3,118750000E1
2,056689266E1;3,121484375E1
2,066689266E1;3,124609375E1
2,076689266E1;3,118359375E1
2,086689266E1;3,123828125E1
2,096689266E1;3,118359375E1
2,106689266E1;3,120312500E1
2,116689266E1;3,121484375E1
2,126689266E1;3,123046875E1
2,136689266E1;3,122265625E1
2,146689266E1;3,120312500E1
2,156689266E1;3,123046875E1
2,166689266E1;3,122265625E1
2,176689266E1;3,120312500E1
2,186689266E1;3,121484375E1
2,196689266E1;3,121484375E1
2,206689266E1;3,125390625E1
2,216689266E1;3,125390625E1
2,226689266E1;3,123828125E1
2,236689266E1;3,120312500E1
2,246689266E1;3,121484375E1
2,256689266E1;3,124609375E1
2,266689266E1;3,123828125E1
2,276689266E1;3,128125000E1
2,286689266E1;3,124609375E1
2,296689266E1;3,121484375E1
2,306689266E1;3,122265625E1
2,316689266E1;3,121484375E1
2,326689266E1;3,123046875E1
2,336689266E1;3,124609375E1
2,346689266E1;3,123828125E1
2,356689266E1;3,123828125E1
2,366689266E1;3,126171875E1
2,376689266E1;3,128125000E1
2,386689266E1;3,125390625E1
2,396689266E1;3,123828125E1
2,406689266E1;3,123046875E1
2,416689266E1;3,124609375E1
2,426689266E1;3,123046875E1
2,436689266E1;3,127734375E1
2,446689266E1;3,122265625E1
2,456689266E1;3,125390625E1
2,466689266E1;3,121484375E1
2,476689266E1;3,123046875E1
2,486689266E1;3,122265625E1
2,496689266E1;3,119531250E1
2,506689266E1;3,119531250E1
2,516689266E1;3,121875000E1
2,526689266E1;3,118750000E1
2,536689266E1;3,123046875E1
2,546689266E1;3,123828125E1
2,556689266E1;3,119921875E1
2,566689266E1;3,113281250E1
2,576689266E1;3,122265625E1
2,586689266E1;3,119921875E1
2,596689266E1;3,120312500E1
2,606689266E1;3,121875000E1
2,616689266E1;3,122656250E1
2,626689266E1;3,118359375E1
2,636689266E1;3,118750000E1
2,646689266E1;3,118359375E1
2,656689266E1;3,118359375E1
2,666689266E1;3,119531250E1
2,676689266E1;3,118750000E1
2,686689266E1;3,116796875E1
2,696689266E1;3,118359375E1
2,706689266E1;3,123046875E1
2,716689266E1;3,115625000E1
2,726689266E1;3,118359375E1
2,736689266E1;3,117187500E1
2,746689266E1;3,118359375E1
2,756689266E1;3,119921875E1
2,766689266E1;3,121484375E1
2,776689266E1;3,119531250E1
2,786689266E1;3,117578125E1
2,796689266E1;3,116015625E1
2,806689266E1;3,120312500E1
2,816689266E1;3,119531250E1
2,826689266E1;3,117578125E1
2,836689266E1;3,122265625E1
2,846689266E1;3,120312500E1
2,856689266E1;3,118750000E1
2,866689266E1;3,118750000E1
2,876689266E1;3,118359375E1
2,886689266E1;3,119531250E1
2,896689266E1;3,117578125E1
2,906689266E1;3,123046875E1
2,916689266E1;3,119921875E1
2,926689266E1;3,119140625E1
2,936689266E1;3,118359375E1
2,946689266E1;3,119531250E1
2,956689266E1;3,121875000E1
2,966689266E1;3,122656250E1
2,976689266E1;3,121093750E1
2,986689266E1;3,115625000E1
2,996689266E1;3,120312500E1
3,006689266E1;3,121484375E1
3,016689266E1;3,116406250E1
3,026689266E1;3,119531250E1
3,036689266E1;3,119921875E1
3,046689266E1;3,121484375E1
3,056689266E1;3,114843750E1
3,066689266E1;3,124218750E1
3,076689266E1;3,119921875E1
3,086689266E1;3,117187500E1
3,096689266E1;3,117187500E1
3,106689266E1;3,116796875E1
3,116689266E1;3,119921875E1
3,126689266E1;3,120312500E1
3,136689266E1;3,122265625E1
3,146689266E1;3,115625000E1
3,156689266E1;3,114843750E1
3,166689266E1;3,116406250E1
3,176689266E1;3,115625000E1
3,186689266E1;3,118359375E1
3,196689266E1;3,122265625E1
3,206689266E1;3,112109375E1
3,216689266E1;3,117968750E1
3,226689266E1;3,116015625E1
3,236689266E1;3,117968750E1
3,246689266E1;3,118750000E1
3,256689266E1;3,116796875E1
3,266689266E1;3,117187500E1
3,276689266E1;3,116015625E1
3,286689266E1;3,123046875E1
3,296689266E1;3,121875000E1
3,306689266E1;3,119140625E1
3,316689266E1;3,112890625E1
3,326689266E1;3,116406250E1
3,336689266E1;3,118359375E1
3,346689266E1;3,113671875E1
3,356689266E1;3,121093750E1
3,366689266E1;3,119921875E1
3,376689266E1;3,117968750E1
3,386689266E1;3,117187500E1
3,396689266E1;3,114453125E1
3,406689266E1;3,115625000E1
3,416689266E1;3,115625000E1
3,426689266E1;3,119140625E1
3,436689266E1;3,119921875E1
3,446689266E1;3,112109375E1
3,456689266E1;3,115234375E1
3,466689266E1;3,114843750E1
3,476689266E1;3,116015625E1
3,486689266E1;3,112890625E1
3,496689266E1;3,111328125E1
3,506689266E1;3,112109375E1
3,516689266E1;3,108984375E1
3,526689266E1;3,112890625E1
3,536689266E1;3,112109375E1
3,546689266E1;3,115625000E1
3,556689266E1;3,115625000E1
3,566689266E1;3,110546875E1
3,576689266E1;3,111328125E1
3,586689266E1;3,113671875E1
3,596689266E1;3,113671875E1
3,606689266E1;3,109765625E1
3,616689266E1;3,112109375E1
3,626689266E1;3,105078125E1
3,636689266E1;3,112109375E1
3,646689266E1;3,109765625E1
3,656689266E1;3,108984375E1
3,666689266E1;3,110546875E1
3,676689266E1;3,108203125E1
3,686689266E1;3,109765625E1
3,696689266E1;3,113671875E1
3,706689266E1;3,114843750E1
3,716689266E1;3,108984375E1
3,726689266E1;3,107031250E1
3,736689266E1;3,107812500E1
3,746689266E1;3,110546875E1
3,756689266E1;3,113671875E1
3,766689266E1;3,105468750E1
3,776689266E1;3,108984375E1
3,786689266E1;3,108984375E1
3,796689266E1;3,106250000E1
3,806689266E1;3,105468750E1
3,816689266E1;3,105468750E1
3,826689266E1;3,103906250E1
3,836689266E1;3,104296875E1
3,846689266E1;3,106250000E1
3,856689266E1;3,107812500E1
3,866689266E1;3,104687500E1
3,876689266E1;3,105468750E1
3,886689266E1;3,105468750E1
3,896689266E1;3,109375000E1
3,906689266E1;3,105468750E1
3,916689266E1;3,104687500E1
3,926689266E1;3,107812500E1
3,936689266E1;3,101562500E1
3,946689266E1;3,103515625E1
3,956689266E1;3,103906250E1
3,966689266E1;3,105468750E1
3,976689266E1;3,100390625E1
3,986689266E1;3,101562500E1
3,996689266E1;3,100390625E1
4,006689266E1;3,104687500E1
4,016689266E1;3,098828125E1
4,026689266E1;3,103125000E1
4,036689266E1;3,099609375E1
4,046689266E1;3,103125000E1
4,056689266E1;3,100390625E1
4,066689266E1;3,099609375E1
4,076689266E1;3,099609375E1
4,086689266E1;3,103125000E1
4,096689266E1;3,102343750E1
4,106689266E1;3,099609375E1
4,116689266E1;3,102343750E1
4,126689266E1;3,097265625E1
4,136689266E1;3,098828125E1
4,146689266E1;3,096484375E1
