"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6,340386900E-2;-1,211945772E0;-1,337143421E0;1,276087761E0
1,620739150E-1;-5,180923939E-1;1,459956169E-2;9,169578552E-1
2,607580100E-1;-1,117812157E0;1,081382990E0;-1,218760490E0
3,594258080E-1;-2,258532047E-1;1,344846249E0;2,064040184E0
4,580773000E-1;-1,491995752E-1;-7,643935084E-1;-3,449953079E0
5,567680260E-1;4,889282882E-1;-1,785310864E0;-2,811868668E0
6,554268230E-1;-2,881902695E0;3,419614792E0;-1,331291199E-1
7,541127490E-1;1,322521210E0;-2,221518517E0;-1,162044525E0
8,527674140E-1;2,073703289E0;-3,052683353E0;-9,018859863E-1
9,514521490E-1;7,359290123E-1;-3,060272217E0;-3,361001015E-1
1,050124250E0;9,012394905E0;-1,473984718E0;1,275261402E0
1,148780187E0;2,492606163E0;-2,772612572E0;-6,985541821E0
1,247381300E0;-1,217636466E0;1,040482044E0;6,968289375E0
1,346125590E0;-6,708747149E-2;1,767272949E-1;4,825222015E0
1,444805230E0;5,748351097E0;-7,186985016E-1;3,397549391E0
1,543475775E0;3,765117168E0;-1,250362396E-2;-9,515275955E-1
1,642120970E0;4,753460407E0;2,011142254E0;-4,729858875E0
1,740817841E0;1,381931782E0;-1,242083549E0;5,113485336E0
1,839484143E0;2,273558617E0;-6,185489178E0;2,553741455E0
1,938161362E0;3,475534916E0;-3,323237419E0;1,163703442E0
2,036830981E0;3,353687286E0;-2,078951836E0;1,956407309E0
2,135486033E0;1,430120468E-1;7,008411884E-1;-6,789326668E-2
2,234170871E0;5,570435524E-1;-1,150531292E0;-6,615913868E0
2,332826676E0;2,817995071E0;5,859133720E0;-2,782105923E0
2,431502215E0;6,371572495E0;1,513006926E0;-1,742247820E0
2,530172596E0;-2,881517410E-1;-5,580199242E0;-3,387150049E0
2,628841290E0;-4,098334312E-1;-5,133776665E0;-7,670483589E-1
2,727530187E0;9,620280266E-1;-1,426056981E0;-2,042506695E0
2,826189826E0;-2,079672575E0;-8,917319775E-2;-4,627029419E0
2,924856353E0;-2,105847836E0;2,173309565E0;-9,596996307E-1
3,023542146E0;-3,616960049E0;-4,388666153E-2;-2,436248779E0
3,122200292E0;1,111845970E-1;-8,188785553E0;3,510822296E0
3,220868995E0;2,187671661E0;-3,870819569E0;-4,694059849E0
3,319554777E0;6,650800705E0;-2,152312279E0;-8,993298531E0
3,418226054E0;9,225381851E0;8,984360695E-1;1,659630966E1
3,516885695E0;-2,340686798E0;-3,316321373E-1;4,727317810E0
3,615546240E0;-6,750834942E0;6,987409592E-1;-4,047004700E0
3,714243255E0;2,385201454E-1;-4,399451256E0;5,707132339E0
3,812918194E0;3,488353014E0;1,917193890E0;6,260888577E-1
3,911583205E0;5,692886353E0;2,104034901E0;2,703610420E0
4,010252762E0;2,459095478E0;1,295344830E0;6,068868637E-1
4,108915769E0;4,264226913E0;8,955041885E0;-1,922784567E0
4,207590872E0;-5,372935295E0;-6,059661388E0;5,341725349E0
4,306269178E0;1,268262863E-1;-1,263779640E0;3,164828777E0
4,404941534E0;9,469730377E0;-6,895132065E0;-1,495867372E0
4,503619515E0;-1,618179321E0;8,611092567E0;6,363761425E-1
4,602271485E0;-1,902686119E0;-5,392853737E0;3,906619549E0
4,700942986E0;1,038779068E1;-3,201642990E0;4,940601349E0
4,799626928E0;1,553528786E0;1,637247086E0;-2,585498810E0
4,898298226E0;-7,041716576E0;7,118745327E0;1,333324194E0
4,996971018E0;-1,842205524E0;4,170997143E0;5,211891532E-1
5,095629112E0;7,429267168E-1;3,913398743E0;-1,378563643E0
5,194313879E0;6,958699822E-1;-3,349399567E-2;9,971181154E-1
5,292983528E0;-4,890671968E-1;-3,658533096E-1;-1,647378802E-1
5,391657756E0;-2,066203117E0;-2,113142014E0;2,888622999E0
5,490324354E0;5,980488777E0;-5,194317818E0;-2,176815748E0
5,588988266E0;-2,378358841E-1;-5,448436737E-2;-2,306622505E0
5,687660194E0;4,090502262E0;-4,544063091E0;3,327274561E0
5,786344085E0;1,078308582E0;-3,149674654E0;3,107994318E0
5,885004275E0;3,550338984E0;5,608940125E-2;1,428221226E0
5,983676590E0;2,280356884E0;-2,472932786E-1;1,738324165E0
6,082348009E0;3,405049562E0;1,375224710E0;1,899985790E0
6,181019551E0;2,989552736E0;6,867754459E-2;-5,462117195E-1
6,279703107E0;6,561398506E-1;-1,148977995E0;4,597377777E-2
6,378369307E0;1,841332674E0;-2,717415094E0;-2,045258522E0
6,477039018E0;-2,001256943E-1;-1,939939976E0;-1,707668304E0
6,575706939E0;-5,098557472E-1;-1,082504272E0;1,826618671E0
