"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
6,712036400E-2;8,015399933E0;2,171599865E0;-4,649419785E1
1,475203560E-1;5,746200085E0;1,317600012E0;-4,611599731E1
2,475203560E-1;1,768999934E0;2,915799856E0;-4,589640045E1
3,475203560E-1;-1,317600012E0;3,952800035E0;-4,631119919E1
4,475203560E-1;-5,807199955E0;7,832399845E0;-4,478619766E1
5,475203560E-1;-7,966599941E0;1,309060001E1;-4,329779816E1
6,475203560E-1;-4,818999767E0;1,859280014E1;-4,244379807E1
7,475203560E-1;-7,929999828E-1;2,232600021E1;-4,228519821E1
8,475203560E-1;2,549799919E0;2,655939865E1;-3,913759995E1
9,475203560E-1;7,441999912E-1;3,159799957E1;-3,581919861E1
1,047520356E0;1,476199985E0;3,768579865E1;-2,559560013E1
1,147520356E0;2,622999907E0;3,232999802E1;-3,040239906E1
1,247520356E0;-3,050000072E-1;2,840159988E1;-3,406240082E1
1,347520356E0;-1,061399937E0;3,169559860E1;-3,132959938E1
1,447520356E0;1,473759937E1;3,651459885E1;-2,493680000E1
1,547520356E0;2,169159889E1;3,315959930E1;-2,537599945E1
1,647520356E0;2,526619911E1;2,842599869E1;-2,753540039E1
1,747520356E0;2,681559944E1;2,954839897E1;-2,541259956E1
1,847520356E0;8,771800041E0;4,272439957E1;-1,949559975E1
1,947520356E0;3,416000009E-1;4,442020035E1;-1,745820045E1
2,047520356E0;-9,515999794E0;4,262680054E1;-1,789739990E1
2,147520356E0;-1,729960060E1;3,989400101E1;-1,756799889E1
2,247520356E0;-2,178919983E1;3,745399857E1;-1,642119980E1
2,347520356E0;-1,421299934E1;4,072359848E1;-1,643339920E1
2,447520356E0;-1,108979988E1;4,368819809E1;-1,200479984E1
2,547520356E0;-2,291160011E1;3,969879913E1;-4,513999939E0
2,647520356E0;-3,389159775E1;2,494899940E1;-1,483519936E1
2,747520356E0;-3,261059952E1;2,089859962E1;-2,117919922E1
2,847520356E0;-3,374520111E1;1,888559914E1;-2,209420013E1
2,947520356E0;-3,181760025E1;1,930039978E1;-2,399740028E1
3,047520356E0;-2,433899879E1;2,774279976E1;-2,538819885E1
3,147520356E0;-2,291160011E1;3,629499817E1;-1,605520058E1
3,247520356E0;-2,172819901E1;4,084560013E1;-5,892600060E0
3,347520356E0;-1,666519928E1;4,406639862E1;-1,329800010E0
3,447520356E0;-9,784399986E0;4,670159912E1;-2,122799873E0
3,547520356E0;-9,686800003E0;4,683580017E1;4,562799931E0
3,647520356E0;-7,990999699E0;4,777519989E1;5,892600060E0
3,747520356E0;-6,356199741E0;4,838520050E1;8,173999786E-1
3,847520356E0;1,262699986E1;4,581100082E1;-9,320799828E0
3,947520356E0;1,786079979E1;4,410300064E1;-8,564399719E0
4,047520356E0;1,739719963E1;4,360279846E1;-1,138259983E1
4,147520356E0;1,465219975E1;4,395660019E1;-1,317599964E1
4,247520356E0;-1,351760006E1;4,235839844E1;-1,485960007E1
4,347520356E0;-2,167939949E1;3,940599823E1;-1,179739952E1
4,447520356E0;-1,562819958E1;4,376139832E1;-5,941400051E0
4,547520356E0;-2,391200066E0;4,644540024E1;-7,625000000E0
4,647520356E0;-1,411539936E1;4,412739944E1;-7,112599850E0
4,747520356E0;-9,930799484E0;4,649419785E1;-2,476599932E0
4,847520356E0;-6,026799679E0;4,665279770E1;-4,391999841E-1
4,947520356E0;3,745399952E0;4,629899979E1;-3,818599939E0
5,047520356E0;1,773880005E1;4,025999832E1;-1,356639957E1
5,147520356E0;1,925160027E1;3,760039902E1;-1,699460030E1
5,247520356E0;2,009339905E1;3,742959976E1;-1,692140007E1
5,347520356E0;2,083759880E1;3,733200073E1;-1,638459969E1
5,447520356E0;2,497340012E1;3,714899826E1;-1,195599937E1
5,547520356E0;2,891399956E1;3,536779785E1;-9,869799614E0
5,647520356E0;3,239099884E1;3,337919998E1;-5,465600014E0
5,747520356E0;3,702700043E1;3,008519936E1;-9,759999514E-1
5,847520356E0;4,556699753E1;1,332240009E1;8,405799866E0
5,947520356E0;4,687239838E1;5,660799980E0;1,200479984E1
6,047520356E0;4,707979965E1;2,073999882E0;1,368839931E1
6,147520356E0;4,689680099E1;3,233000040E0;1,538420010E1
6,247520356E0;4,215100098E1;1,840979958E1;1,994700050E1
6,347520356E0;3,536779785E1;2,841379929E1;2,163059998E1
6,447520356E0;2,703520012E1;3,540439987E1;2,358259964E1
6,547520356E0;1,853179932E1;3,880820084E1;2,597379875E1
6,647520356E0;2,549799919E0;3,786880112E1;3,123199844E1
6,747520356E0;-4,880000114E0;3,542879868E1;3,185419846E1
6,847520356E0;-1,110200024E1;3,291559982E1;3,193959999E1
6,947520356E0;-1,500599957E1;3,043899918E1;3,137839890E1
7,047520356E0;-1,877579880E1;2,796239853E1;2,938979912E1
7,147520356E0;-1,986159897E1;2,704739952E1;2,899939919E1
7,247520356E0;-2,052039909E1;2,782819939E1;2,704739952E1
7,347520356E0;-2,104500008E1;2,988999939E1;2,371679878E1
7,447520356E0;-1,899539948E1;3,450159836E1;1,777540016E1
7,547520356E0;-1,697019958E1;3,720999908E1;1,407880020E1
7,647520356E0;-1,454239941E1;3,968659973E1;9,711199760E0
7,747520356E0;-1,298079967E1;4,088219833E1;6,453799725E0
7,847520356E0;-1,077260017E1;4,276099777E1;3,964999914E0
7,947520356E0;-9,735599518E0;4,374919891E1;2,220399857E0
8,047520356E0;-9,637999535E0;4,428599930E1;3,440399885E0
8,147520356E0;-1,121179962E1;4,461539841E1;4,416399956E0
8,247520356E0;-1,357859993E1;4,459099960E1;3,867399931E0
8,347520356E0;-1,438379955E1;4,428599930E1;5,306999683E0
8,447520356E0;-1,592099953E1;4,388339996E1;7,551799774E0
8,547520356E0;-1,745820045E1;4,299279785E1;1,112639999E1
8,647520356E0;-1,842199898E1;3,864960098E1;2,270419884E1
8,747520356E0;-1,995919991E1;3,529459763E1;2,675459862E1
8,847520356E0;-2,097179985E1;3,411119843E1;2,735239983E1
8,947520356E0;-2,021539879E1;3,538000107E1;2,577859879E1
9,047520356E0;-1,352979946E1;4,254140091E1;1,882460022E1
