"Time (s)";"Pressure (hPa)"
2,344343300E-1;1,012978455E3
3,146676090E-1;1,012963257E3
4,146676090E-1;1,012979553E3
5,146676090E-1;1,012991516E3
6,146676090E-1;1,012989624E3
7,146676090E-1;1,012989075E3
8,146676090E-1;1,012985596E3
9,146676090E-1;1,012990295E3
1,014667609E0;1,013000977E3
1,114667609E0;1,013016602E3
1,214667609E0;1,013041870E3
1,314667609E0;1,013015137E3
1,414667609E0;1,013017456E3
1,514667609E0;1,013025940E3
1,614667609E0;1,013028931E3
1,714667609E0;1,013005798E3
1,814667609E0;1,013005676E3
1,914667609E0;1,013027466E3
2,014667609E0;1,013032227E3
2,114667609E0;1,013022583E3
2,214667609E0;1,013022583E3
2,314667609E0;1,012978882E3
2,414667609E0;1,012993164E3
2,514667609E0;1,013035156E3
2,614667609E0;1,012995972E3
2,714667609E0;1,013011902E3
2,814667609E0;1,013024902E3
2,914667609E0;1,013012451E3
3,014667609E0;1,012991333E3
3,114667609E0;1,013003052E3
3,214667609E0;1,012999268E3
3,314667609E0;1,012997803E3
3,414667609E0;1,013001221E3
3,514667609E0;1,012996948E3
3,614667609E0;1,013028442E3
3,714667609E0;1,012995361E3
3,814667609E0;1,013036377E3
3,914667609E0;1,012986389E3
4,014667609E0;1,013062561E3
4,114667609E0;1,013028076E3
4,214667609E0;1,013009521E3
4,314667609E0;1,012979858E3
4,414667609E0;1,012996582E3
4,514667609E0;1,012997559E3
4,614667609E0;1,013006836E3
4,714667609E0;1,013029114E3
4,814667609E0;1,012987244E3
4,914667609E0;1,013045044E3
5,014667609E0;1,013006592E3
5,114667609E0;1,013057129E3
5,214667609E0;1,012993042E3
5,314667609E0;1,013012817E3
5,414667609E0;1,013154480E3
5,514667609E0;1,013018311E3
5,614667609E0;1,013040771E3
5,714667609E0;1,013143555E3
5,814667609E0;1,013374268E3
5,914667609E0;1,013369934E3
6,014667609E0;1,013384399E3
6,114667609E0;1,013184814E3
6,214667609E0;1,013023071E3
6,314667609E0;1,012970154E3
6,414667609E0;1,012939575E3
6,514667609E0;1,012929871E3
6,614667609E0;1,012994019E3
6,714667609E0;1,013111328E3
6,814667609E0;1,013047974E3
6,914667609E0;1,013009827E3
7,014667609E0;1,012991882E3
7,114667609E0;1,012870117E3
7,214667609E0;1,012844666E3
7,314667609E0;1,012915771E3
7,414667609E0;1,012902710E3
7,514667609E0;1,012914917E3
7,614667609E0;1,013044128E3
7,714667609E0;1,013034546E3
7,814667609E0;1,012989868E3
7,914667609E0;1,013032715E3
8,014667609E0;1,013011719E3
8,114667609E0;1,012906616E3
8,214667609E0;1,012906616E3
8,314667609E0;1,013076965E3
8,414667609E0;1,013069519E3
8,514667609E0;1,013040466E3
8,614667609E0;1,013054321E3
8,714667609E0;1,013131836E3
8,814667609E0;1,013126038E3
8,914667609E0;1,013051453E3
9,014667609E0;1,013236572E3
9,114667609E0;1,012866821E3
9,214667609E0;1,012717529E3
9,314667609E0;1,012881165E3
9,414667609E0;1,012975037E3
9,514667609E0;1,012975037E3
9,614667609E0;1,012897461E3
9,714667609E0;1,013087952E3
9,814667609E0;1,013039124E3
9,914667609E0;1,013039124E3
1,001466761E1;1,013113770E3
1,011466761E1;1,013179932E3
1,021466761E1;1,013217651E3
1,031466761E1;1,013217651E3
1,041466761E1;1,012888916E3
1,051466761E1;1,012932190E3
1,061466761E1;1,012911377E3
1,071466761E1;1,012911377E3
1,081466761E1;1,013075562E3
1,091466761E1;1,013056335E3
1,101466761E1;1,013089294E3
1,111466761E1;1,013089294E3
1,121466761E1;1,013192383E3
1,131466761E1;1,012899414E3
1,141466761E1;1,012767883E3
1,151466761E1;1,012767883E3
1,161466761E1;1,012943176E3
1,171466761E1;1,013020752E3
1,181466761E1;1,013139038E3
1,191466761E1;1,013139038E3
1,201466761E1;1,013387146E3
1,211466761E1;1,013226318E3
1,221466761E1;1,012919800E3
1,231466761E1;1,012919800E3
1,241466761E1;1,012798645E3
1,251466761E1;1,012972351E3
1,261466761E1;1,013062866E3
1,271466761E1;1,013062866E3
1,281466761E1;1,013089233E3
1,291466761E1;1,013268616E3
1,301466761E1;1,013356506E3
1,311466761E1;1,013356506E3
1,321466761E1;1,012847656E3
1,331466761E1;1,013030945E3
1,341466761E1;1,013050049E3
1,351466761E1;1,013050049E3
1,361466761E1;1,013004150E3
1,371466761E1;1,012984985E3
1,381466761E1;1,013293335E3
1,391466761E1;1,013293335E3
1,401466761E1;1,012795410E3
1,411466761E1;1,012866882E3
1,421466761E1;1,012889526E3
1,431466761E1;1,012889526E3
1,441466761E1;1,013039001E3
1,451466761E1;1,012987305E3
1,461466761E1;1,013285645E3
1,471466761E1;1,013285645E3
1,481466761E1;1,012687805E3
1,491466761E1;1,012701172E3
1,501466761E1;1,012910339E3
1,511466761E1;1,012910339E3
1,521466761E1;1,013068359E3
1,531466761E1;1,013010742E3
1,541466761E1;1,013061523E3
1,551466761E1;1,013118896E3
1,561466761E1;1,013144897E3
1,571466761E1;1,012958008E3
1,581466761E1;1,012870850E3
1,591466761E1;1,012742859E3
1,601466761E1;1,012742859E3
1,611466761E1;1,012867981E3
1,621466761E1;1,012980225E3
1,631466761E1;1,013045410E3
1,641466761E1;1,013045410E3
1,651466761E1;1,013299438E3
1,661466761E1;1,013059937E3
1,671466761E1;1,012848633E3
1,681466761E1;1,012848633E3
1,691466761E1;1,012972412E3
1,701466761E1;1,012913208E3
1,711466761E1;1,012888611E3
1,721466761E1;1,012888611E3
1,731466761E1;1,013140930E3
1,741466761E1;1,013221436E3
1,751466761E1;1,013339478E3
1,761466761E1;1,013339478E3
1,771466761E1;1,012796448E3
1,781466761E1;1,012830322E3
1,791466761E1;1,013138977E3
1,801466761E1;1,013138977E3
1,811466761E1;1,012887390E3
1,821466761E1;1,012821472E3
1,831466761E1;1,012874634E3
1,841466761E1;1,012874634E3
1,851466761E1;1,013309448E3
1,861466761E1;1,013336914E3
1,871466761E1;1,013072083E3
1,881466761E1;1,013072083E3
1,891466761E1;1,012971619E3
1,901466761E1;1,012829956E3
1,911466761E1;1,012779053E3
1,921466761E1;1,012779053E3
1,931466761E1;1,012989258E3
1,941466761E1;1,013020508E3
1,951466761E1;1,013120300E3
1,961466761E1;1,013120300E3
1,971466761E1;1,012803345E3
1,981466761E1;1,012744690E3
1,991466761E1;1,012816162E3
2,001466761E1;1,012816162E3
2,011466761E1;1,012910583E3
2,021466761E1;1,012889404E3
2,031466761E1;1,013110046E3
2,041466761E1;1,013110046E3
2,051466761E1;1,013180969E3
2,061466761E1;1,013416504E3
2,071466761E1;1,013226685E3
2,081466761E1;1,013226685E3
2,091466761E1;1,013226685E3
2,101466761E1;1,012783264E3
2,111466761E1;1,013072876E3
2,121466761E1;1,013072876E3
2,131466761E1;1,013002075E3
2,141466761E1;1,013041748E3
2,151466761E1;1,013286926E3
2,161466761E1;1,013286926E3
2,171466761E1;1,013286926E3
2,181466761E1;1,012906982E3
2,191466761E1;1,012667114E3
2,201466761E1;1,012803711E3
2,211466761E1;1,012803711E3
2,221466761E1;1,012982056E3
2,231466761E1;1,013003540E3
2,241466761E1;1,012910889E3
2,251466761E1;1,013136963E3
2,261466761E1;1,013419434E3
2,271466761E1;1,013042419E3
2,281466761E1;1,012912354E3
2,291466761E1;1,012667358E3
2,301466761E1;1,012852295E3
2,311466761E1;1,013016602E3
2,321466761E1;1,013298035E3
2,331466761E1;1,013298035E3
2,341466761E1;1,013157227E3
2,351466761E1;1,013048767E3
2,361466761E1;1,012940613E3
2,371466761E1;1,012940613E3
2,381466761E1;1,012936218E3
2,391466761E1;1,013073059E3
2,401466761E1;1,013299500E3
2,411466761E1;1,013299500E3
2,421466761E1;1,013109741E3
2,431466761E1;1,013061279E3
2,441466761E1;1,013092957E3
2,451466761E1;1,013092957E3
2,461466761E1;1,013096313E3
2,471466761E1;1,013017334E3
2,481466761E1;1,013122559E3
2,491466761E1;1,013122559E3
2,501466761E1;1,013159912E3
2,511466761E1;1,013191223E3
2,521466761E1;1,013129822E3
2,531466761E1;1,013129822E3
2,541466761E1;1,013098328E3
2,551466761E1;1,013168213E3
2,561466761E1;1,013055786E3
2,571466761E1;1,013055786E3
2,581466761E1;1,013070679E3
2,591466761E1;1,013144714E3
2,601466761E1;1,013019897E3
2,611466761E1;1,013019897E3
2,621466761E1;1,013135742E3
2,631466761E1;1,013000793E3
2,641466761E1;1,013076050E3
2,651466761E1;1,013076050E3
2,661466761E1;1,013180054E3
2,671466761E1;1,013140503E3
2,681466761E1;1,013058472E3
2,691466761E1;1,013058472E3
2,701466761E1;1,013141357E3
2,711466761E1;1,013143005E3
2,721466761E1;1,013053101E3
2,731466761E1;1,013053101E3
2,741466761E1;1,013164795E3
2,751466761E1;1,013123169E3
2,761466761E1;1,013101929E3
2,771466761E1;1,013101929E3
2,781466761E1;1,013093384E3
2,791466761E1;1,013082520E3
2,801466761E1;1,013033691E3
2,811466761E1;1,013033691E3
2,821466761E1;1,013071106E3
2,831466761E1;1,013056519E3
2,841466761E1;1,013134705E3
2,851466761E1;1,013134705E3
