"Time (s)";"X (hPa)"
-5,205565834E-1;1,008246765E3
4,852884166E-1;1,008244553E3
1,491167417E0;1,008245621E3
2,497008417E0;1,008245621E3
3,502774417E0;1,008248596E3
3,853749417E0;1,008248596E3
4,926626417E0;1,008237152E3
5,999519417E0;1,008225174E3
7,072395417E0;1,008207932E3
8,145285417E0;1,008207932E3
9,218148417E0;1,008207932E3
1,029102042E1;1,008218689E3
1,136388142E1;1,008228073E3
1,243670942E1;1,008228073E3
1,350956742E1;1,008225632E3
1,458243742E1;1,008225632E3
1,565526942E1;1,008228683E3
1,672808742E1;1,008232727E3
1,780091242E1;1,008239670E3
1,887372442E1;1,008240509E3
1,994648342E1;1,008240509E3
2,101926842E1;1,008238220E3
2,209210342E1;1,008230057E3
2,316486742E1;1,008216476E3
2,423761042E1;1,008204880E3
2,531040642E1;1,008198318E3
2,638313642E1;1,008192062E3
2,745587642E1;1,008192062E3
2,852863842E1;1,008201599E3
2,960139642E1;1,008215256E3
3,067418242E1;1,008220673E3
3,174699842E1;1,008224945E3
3,281976342E1;1,008224945E3
3,389251342E1;1,008219681E3
3,496525742E1;1,008212738E3
3,603801042E1;1,008207245E3
3,711077142E1;1,008204880E3
3,818353742E1;1,008191833E3
3,925630142E1;1,008173599E3
4,032905842E1;1,008162994E3
4,140179742E1;1,008158569E3
4,247449442E1;1,008158569E3
4,354721642E1;1,008165970E3
4,461995342E1;1,008187408E3
4,569271942E1;1,008198318E3
4,676551742E1;1,008205948E3
4,783829242E1;1,008209610E3
4,891102742E1;1,008209610E3
4,998374942E1;1,008204498E3
5,105643842E1;1,008193970E3
5,212914742E1;1,008185120E3
5,320186242E1;1,008166046E3
5,427462342E1;1,008142166E3
5,534730042E1;1,008112946E3
5,642000942E1;1,008077850E3
5,749273642E1;1,008053436E3
5,856540042E1;1,008042603E3
5,963806742E1;1,008042603E3
6,071074242E1;1,008050003E3
6,178345642E1;1,008075256E3
6,285614542E1;1,008097839E3
6,392885642E1;1,008125381E3
6,500153742E1;1,008148346E3
6,607422442E1;1,008173981E3
6,714691142E1;1,008197632E3
6,821963342E1;1,008214264E3
6,929232042E1;1,008223724E3
7,036499542E1;1,008228989E3
7,143772942E1;1,008232727E3
7,251043242E1;1,008238220E3
7,358316342E1;1,008241959E3
7,465591042E1;1,008243103E3
7,572866142E1;1,008243103E3
7,680135642E1;1,008235626E3
7,787400142E1;1,008227844E3
7,894668042E1;1,008219528E3
8,001937342E1;1,008211441E3
8,109205142E1;1,008199234E3
8,216473142E1;1,008191223E3
8,323745042E1;1,008184357E3
8,431011242E1;1,008177643E3
8,538277142E1;1,008169098E3
8,645541242E1;1,008167496E3
8,752806442E1;1,008165207E3
8,860072942E1;1,008156128E3
8,967338342E1;1,008143311E3
9,074603642E1;1,008125839E3
9,181868542E1;1,008104935E3
9,289134042E1;1,008086853E3
9,396403842E1;1,008063278E3
9,503675842E1;1,008041534E3
9,610947442E1;1,008021164E3
9,718217142E1;1,008002167E3
9,825487942E1;1,007981644E3
9,932751342E1;1,007962875E3
1,004001604E2;1,007938004E3
1,014728154E2;1,007913361E3
1,025454684E2;1,007902451E3
1,036181014E2;1,007901535E3
1,046907634E2;1,007901535E3
1,057634674E2;1,007919006E3
1,068361674E2;1,007943420E3
1,079088704E2;1,007963943E3
1,089815394E2;1,007976837E3
1,100542244E2;1,007987213E3
1,111269264E2;1,008004532E3
1,121995934E2;1,008026581E3
1,132722784E2;1,008046799E3
1,143449544E2;1,008066254E3
1,154176544E2;1,008096161E3
1,164903404E2;1,008118668E3
1,175630174E2;1,008134003E3
1,186356884E2;1,008147507E3
1,197083764E2;1,008162231E3
1,207810784E2;1,008169174E3
1,218538204E2;1,008170471E3
1,229265334E2;1,008174210E3
1,239992264E2;1,008174896E3
1,250718934E2;1,008174896E3
1,261445514E2;1,008169403E3
1,272172174E2;1,008161850E3
1,282898774E2;1,008152924E3
1,293625394E2;1,008143539E3
1,304351934E2;1,008132706E3
1,315078594E2;1,008118362E3
1,325805244E2;1,008092499E3
1,336531624E2;1,008057098E3
1,347258164E2;1,008024979E3
1,357984744E2;1,008005981E3
1,368711014E2;1,007979660E3
1,379437374E2;1,007979660E3
1,390163554E2;1,007980270E3
1,400889994E2;1,007980270E3
1,411615914E2;1,007988358E3
1,422341834E2;1,007991257E3
1,433067544E2;1,007997742E3
1,443793584E2;1,008004074E3
1,454519444E2;1,008005600E3
1,465245284E2;1,008004913E3
1,475970674E2;1,008008347E3
1,486696124E2;1,008006363E3
1,497422044E2;1,008008347E3
