"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3,364098072E-2;5,235527521E1;4,890358061E0;3,558746994E0;NaN;NaN;3,500000000E1;2,065443802E1
3,509092331E-2;5,235527718E1;4,890365962E0;3,574042976E0;NaN;NaN;3,500000000E1;1,832148361E1
3,509092331E-2;5,235527796E1;4,890366455E0;3,581028521E0;NaN;NaN;3,500000000E1;1,563613701E1
3,735701680E0;5,235526335E1;4,890359467E0;7,718773847E-1;5,899999738E-1;1,409765668E2;1,569588656E1;4,000000000E0
4,735700607E0;5,235534312E1;4,890367487E0;1,413234808E0;5,899999738E-1;5,414063056E1;1,098445666E1;6,000000000E0
5,735698938E0;5,235538247E1;4,890397688E0;1,156704200E0;1,529999971E0;5,484376454E1;8,622746364E0;6,000000000E0
6,735803246E0;5,235540044E1;4,890407583E0;2,285732438E0;1,129999995E0;5,449219819E1;7,195945153E0;8,000000000E0
7,735809684E0;5,235541276E1;4,890416512E0;3,112209494E0;1,159999967E0;5,414063593E1;6,584802996E0;8,000000000E0
8,735818744E0;5,235542783E1;4,890429566E0;3,195888693E0;1,159999967E0;5,167969808E1;5,799719044E0;8,000000000E0
9,735830069E0;5,235544467E1;4,890445973E0;3,529567972E0;1,539999962E0;4,886720098E1;5,524149951E0;8,000000000E0
1,073585105E1;5,235546574E1;4,890457356E0;3,958767271E0;1,840000033E0;4,183595176E1;5,946945544E0;8,000000000E0
1,173586810E1;5,235550032E1;4,890473906E0;4,372219712E0;2,670000076E0;3,093751595E1;6,484492610E0;6,000000000E0
1,273588777E1;5,235553253E1;4,890487362E0;5,558071762E0;2,670000076E0;2,531251327E1;7,548389112E0;8,000000000E0
1,373589957E1;5,235556873E1;4,890509576E0;6,438320902E0;2,930000067E0;2,390626380E1;7,732599170E0;6,000000000E0
1,473591304E1;5,235561192E1;4,890528243E0;8,747220276E0;3,779999971E0;2,039064031E1;6,626881925E0;6,000000000E0
1,573593199E1;5,235565050E1;4,890530003E0;7,777432675E0;3,779999971E0;1,511719896E1;6,390410411E0;6,000000000E0
1,673595190E1;5,235568744E1;4,890526525E0;8,828580137E0;3,779999971E0;8,437506446E0;5,789627259E0;6,000000000E0
1,773596656E1;5,235572212E1;4,890524698E0;9,331937017E0;3,690000057E0;5,625004203E0;5,890048183E0;6,000000000E0
1,873598611E1;5,235576099E1;4,890524392E0;9,754117377E0;3,990000010E0;4,570316195E0;5,408063877E0;6,000000000E0
1,973600376E1;5,235580024E1;4,890528543E0;1,036532352E1;4,139999866E0;4,921879128E0;5,671128733E0;6,000000000E0
2,073601723E1;5,235583789E1;4,890532049E0;1,059603638E1;4,079999924E0;5,625004648E0;5,749536651E0;6,000000000E0
2,173603034E1;5,235587715E1;4,890537416E0;1,172329472E1;4,139999866E0;5,625004716E0;5,409640484E0;6,000000000E0
2,273604202E1;5,235598061E1;4,890600404E0;1,350789729E0;4,072596941E0;6,007781307E0;8,581176842E0;1,679797202E0
2,373605275E1;5,235601427E1;4,890576399E0;1,413657816E0;3,991422171E0;3,045038564E0;8,468350110E0;1,748156278E0
2,473606324E1;5,235605931E1;4,890576922E0;1,567591027E0;3,927549549E0;2,281382511E0;8,405927150E0;1,816793203E0
2,573607302E1;5,235609496E1;4,890561337E0;1,552470105E0;3,904029011E0;1,690343256E0;8,190286572E0;1,888402436E0
2,673608184E1;5,235612936E1;4,890571500E0;1,542028142E0;3,932527992E0;2,254368709E0;8,119430426E0;1,955369404E0
2,773608959E1;5,235616683E1;4,890578514E0;1,427587687E0;3,840538582E0;4,279797604E0;7,853771228E0;2,024201909E0
2,873609734E1;5,235620271E1;4,890594297E0;9,237926658E-1;3,820924504E0;2,704408023E0;7,141572433E0;2,245003084E0
2,973610508E1;5,235623376E1;4,890603933E0;1,411635733E0;3,614219457E0;4,095106919E0;7,174508750E0;2,280774651E0
3,073611116E1;5,235626981E1;4,890592921E0;9,220628580E-1;3,827817330E0;1,628663705E0;7,193997756E0;2,384648816E0
3,173611796E1;5,235630200E1;4,890608076E0;1,246004918E0;3,863100067E0;2,754723140E0;7,529685222E0;2,390934330E0
3,273612344E1;5,235633831E1;4,890633884E0;1,183075993E0;3,994592702E0;7,596707060E0;7,556588507E0;2,329235842E0
3,373612964E1;5,235637094E1;4,890635212E0;1,323939991E0;4,006081869E0;8,192038282E0;7,615092426E0;2,312987398E0
3,473613477E1;5,235640634E1;4,890627707E0;1,310665323E0;3,998669075E0;5,970227202E0;7,645530459E0;2,293114483E0
3,573613834E1;5,235644566E1;4,890653816E0;1,383010595E0;4,061605049E0;7,923334538E0;7,606111305E0;2,216315305E0
3,673614371E1;5,235647924E1;4,890634954E0;1,372693621E0;3,956550898E0;5,193511691E0;7,600779334E0;2,318211960E0
3,773614705E1;5,235651021E1;4,890646470E0;1,349396477E0;3,891794469E0;5,360900801E0;7,641454105E0;2,245166333E0
3,873615158E1;5,235655232E1;4,890656696E0;1,500995808E0;3,912788572E0;5,086656970E0;7,390653927E0;2,268361722E0
3,973615515E1;5,235659184E1;4,890650702E0;1,421302947E0;3,927100897E0;3,628377345E0;7,283914543E0;2,254990670E0
4,073615873E1;5,235662215E1;4,890659675E0;1,887420579E0;3,787643560E0;7,669842833E0;7,208327564E0;2,221075996E0
4,173616147E1;5,235666593E1;4,890675773E0;1,875157372E0;4,071796974E0;8,994485784E0;7,609060686E0;2,073619895E0
4,273616397E1;5,235670868E1;4,890701571E0;1,308778041E0;4,300655305E0;1,148389622E1;7,860601065E0;2,121891433E0
4,373616719E1;5,235672462E1;4,890666311E0;1,097998767E0;3,819297350E0;5,992355027E0;7,515433255E0;2,163566653E0
4,473616946E1;5,235675930E1;4,890695184E0;9,611671939E-1;3,876763064E0;8,517294043E0;7,266640313E0;2,194175908E0
4,573617136E1;5,235678574E1;4,890708084E0;8,698528018E-1;3,750536779E0;8,850248687E0;7,141370455E0;2,226458065E0
4,673617315E1;5,235682816E1;4,890735472E0;1,255633047E0;3,764102613E0;9,748158048E0;6,858654291E0;2,301464165E0
4,773617578E1;5,235686058E1;4,890760201E0;9,331490509E-1;3,883528209E0;1,693542652E1;6,396409318E0;2,191575137E0
4,873617780E1;5,235688710E1;4,890774924E0;1,244719313E0;3,570157620E0;1,359217720E1;6,320508967E0;2,129403641E0
4,973617923E1;5,235690945E1;4,890778374E0;1,287717681E0;3,241006166E0;1,372425364E1;5,552624606E0;2,490217019E0
5,073618019E1;5,235694796E1;4,890795074E0;1,463593511E0;3,192929703E0;1,205313032E1;5,207629928E0;2,609939456E0
5,173618197E1;5,235697498E1;4,890797573E0;1,737872398E0;3,037486251E0;9,990734236E0;5,167881010E0;2,667872355E0
5,273618281E1;5,235700075E1;4,890814988E0;1,456358433E0;3,086807644E0;8,752022873E0;5,145502660E0;2,710782066E0
5,373618400E1;5,235703527E1;4,890835754E0;1,059108208E0;3,337015376E0;6,102688639E0;5,088815363E0;2,815758377E0
5,473618519E1;5,235706453E1;4,890845377E0;1,378593738E0;3,309386373E0;6,741592265E0;5,034684566E0;2,911440942E0
5,573618603E1;5,235710229E1;4,890859311E0;2,398766016E0;3,236294588E0;1,020489588E1;4,984377816E0;2,996750711E0
5,673618662E1;5,235713338E1;4,890866590E0;2,113391781E0;3,296915616E0;6,974826292E0;4,953309731E0;3,047828692E0
5,773618782E1;5,235716396E1;4,890866010E0;2,538817675E0;3,181817471E0;4,701246028E0;4,950689242E0;3,052083398E0
