"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1,016632083E-1;-2,477198639E0;5,744154968E0;9,245673523E0
2,021682083E-1;-2,021845551E0;4,193679199E0;1,140373581E1
3,026732083E-1;-9,102571106E-1;4,029620361E0;7,916138306E0
4,031782083E-1;-1,473685455E0;1,227297821E0;1,039213943E1
5,036833333E-1;-2,619552612E-2;1,438358917E0;1,045815216E1
6,041883333E-1;8,399034119E-1;2,169139252E0;8,012388153E0
7,046933333E-1;2,715802460E0;1,631008301E0;8,800648956E0
8,051983333E-1;5,730533295E0;1,480870514E0;5,546715546E0
9,057033333E-1;5,735323334E0;-8,860075378E-1;9,133107605E0
1,006208333E0;6,248456268E0;-4,014501801E0;8,321046295E0
1,106713333E0;9,069489899E0;-8,302634583E0;7,244485016E0
1,207218333E0;1,048210236E1;-1,120240448E1;9,298513641E0
1,302698333E0;1,877515686E1;-2,055974579E0;-4,174219666E0
1,403203333E0;8,812624054E0;-1,150133286E1;3,050656128E0
1,503708083E0;7,038812714E0;-7,117099915E0;1,111588440E0
1,604213083E0;3,429518280E0;-6,268514557E0;3,905378723E0
1,704718083E0;2,290686493E0;-3,739822998E0;-1,016386414E-1
1,805223083E0;1,638043671E0;-8,094267883E0;7,809260559E-1
1,905728083E0;5,281916199E0;-1,107442062E1;3,168012085E0
2,006233083E0;3,678001556E0;-8,735684052E0;-7,506889343E-1
2,106738083E0;4,833897858E0;-7,167844391E0;6,071374512E-1
2,207243083E0;5,045258331E0;-8,710536346E0;1,394200745E0
2,307748083E0;2,386187897E0;-8,310867462E0;3,993695068E-1
2,408253083E0;-2,194436646E-1;-1,044842239E1;-8,508306885E-1
2,508759708E0;1,663790131E0;-9,907597046E0;-2,305056610E0
2,609264708E0;1,716031494E0;-5,459447021E0;-2,607577515E-1
2,709769708E0;3,331472168E0;-6,892566833E0;-1,512903900E0
2,810274708E0;2,730172577E0;-1,336869965E1;-4,915029144E0
2,910779708E0;2,061962128E0;-5,026547241E0;-3,798950043E0
3,011284708E0;1,284478912E0;-8,917855225E0;-3,078049164E0
3,111789708E0;2,040706329E0;-8,574469299E0;4,773573303E-1
3,212294708E0;1,438209229E0;-1,124207199E1;7,978408813E-1
3,312799708E0;4,861889648E-1;-1,686018906E1;-9,128018188E-1
3,413304917E0;-2,102078705E0;-1,121018829E1;3,270698547E-1
3,513809917E0;4,716691589E-1;-1,010219238E1;7,433541870E-1
3,614314917E0;-1,269210663E0;-1,081336349E1;-1,411714325E0
3,714819917E0;-9,116043091E-1;-7,468868408E0;4,156855774E-1
3,815324917E0;-8,461903381E-1;-9,593400421E0;7,414082336E-1
3,915829917E0;-7,996371460E-1;-1,006761429E1;2,456391907E-1
4,016334917E0;-1,261127472E0;-7,915838928E0;-3,423381042E-1
4,116839917E0;-1,251098328E0;-1,077429474E1;-7,204518127E-1
4,217344917E0;-2,582579498E0;-9,702373810E0;-5,215155029E-1
4,317849917E0;-1,459914093E0;-8,879235535E0;-5,093907166E-1
4,418354833E0;-7,891589355E-1;-9,327253876E0;-7,206015015E-1
4,518859833E0;-1,748513947E0;-9,126820679E0;2,157014465E-1
4,619364833E0;-1,507215729E0;-9,429640961E0;-8,517288208E-2
4,719869833E0;-1,801054688E0;-9,952952728E0;-2,469863892E-1
4,820374833E0;-1,667532349E0;-8,964558105E0;-5,553451538E-2
4,920879833E0;-1,506616974E0;-9,951605530E0;2,802172852E-1
5,021384833E0;-1,261726227E0;-9,545500031E0;-6,490502930E-1
5,121889833E0;-7,590715027E-1;-8,587941284E0;4,667294312E-1
5,222394833E0;-1,736688538E0;-8,099956055E0;9,116043091E-2
5,322899833E0;-1,849853210E0;-1,011940659E1;9,449848938E-1
5,423404417E0;-1,168769531E0;-8,880433044E0;9,159452820E-1
5,523909417E0;-1,822011108E0;-9,416468353E0;8,581654358E-1
5,624414417E0;-7,488926697E-1;-9,761949921E0;1,848056946E0
5,724919417E0;-2,534379730E0;-1,059541672E1;1,750908966E0
5,825424417E0;-1,972448273E0;-9,871372375E0;-2,077679443E0
5,925929417E0;-2,123633881E0;-1,019425095E1;1,092577972E0
6,026434417E0;-7,243437195E-1;-7,029981079E0;1,295406189E0
6,126939417E0;-4,535568237E-2;-8,429121552E0;4,890330505E-1
6,227444417E0;-1,542542267E0;-1,161988632E1;4,025129700E-1
6,327949417E0;-2,386187897E0;-9,063951416E0;2,395019531E-1
6,428454667E0;2,398612061E0;-4,128863983E0;2,775677948E0
6,528959667E0;3,487747192E-1;-1,158381134E1;2,961142273E0
6,629464667E0;-7,340734863E-1;-1,039243881E1;2,055824890E0
6,729969667E0;-9,192384338E-1;-9,466913452E0;2,243833923E0
6,830474667E0;5,174739075E-1;-8,457412720E0;2,641107788E0
6,930979667E0;-2,392923889E0;-9,884994049E0;8,771759033E-1
7,031485667E0;-2,060016174E0;-1,235800140E1;1,067430267E0
7,131990667E0;-1,312770081E0;-1,032373169E1;5,486091614E-1
7,232495667E0;-2,841091919E0;-6,424639893E0;-1,783840485E0
7,333000667E0;1,817221069E-1;-6,104006653E0;1,128652954E0
7,433505292E0;-3,590433655E0;-9,864636383E0;9,054670715E-1
7,534010292E0;5,080435181E-1;-1,118563934E1;2,239343262E0
7,634515292E0;-6,863227844E-1;-7,544311523E0;3,793112183E-1
7,735020292E0;2,462379456E-1;-5,854176178E0;2,279908905E0
7,835525292E0;-3,290008392E0;-1,545850388E1;2,654280396E0
7,936030292E0;-1,249451752E0;-6,173911285E0;2,101629639E-1
8,036535292E0;-1,023571472E0;-7,638166351E0;-1,420396271E0
8,137040292E0;-1,090632019E0;-1,026759842E1;1,942959595E0
8,237545292E0;1,556014252E0;-1,175400742E1;3,005749512E0
8,338050292E0;4,308041382E-1;-9,112749939E0;2,406246185E0
8,438555792E0;-1,002016296E0;-8,348589020E0;2,005828857E0
8,539060792E0;2,484832764E-2;-9,934091949E0;1,975591736E0
8,639565792E0;5,673202515E-2;-9,553134155E0;2,079326019E0
8,740070792E0;-4,808001709E-1;-1,093311447E1;9,310638428E-2
8,840575792E0;-8,508306885E-1;-8,447982330E0;-7,225474548E-1
8,941080792E0;-2,327210541E0;-9,060059509E0;4,234693909E-1
9,041585792E0;-8,628057861E-1;-1,086799988E1;5,263055420E-1
9,142090792E0;-8,205935669E-1;-1,109986771E1;1,408570862E0
9,242595792E0;-5,044509888E-1;-8,433612213E0;5,412744141E-1
9,343100792E0;-6,664141846E-1;-8,477021942E0;2,890489197E-1
9,443605792E0;-1,974394226E-1;-9,851912842E0;1,872605896E0
9,544110792E0;-1,554816742E0;-9,823022919E0;2,847079468E-1
9,644615792E0;7,426057434E-1;-1,065050217E1;8,545729065E-1
9,745121792E0;2,452949066E0;-9,986483002E0;2,980601807E0
9,845626792E0;5,415737915E-1;-9,737550659E0;2,966231689E0
9,946131792E0;1,779200134E0;-1,099119370E1;3,665577393E0
1,004663679E1;-1,322499847E0;-1,052730835E1;2,097737732E0
1,014714179E1;-1,340761871E0;-9,492510223E0;4,775070190E-2
1,024764679E1;-2,479743347E0;-1,087533463E1;-2,405497742E-1
1,034815179E1;-1,142274628E0;-9,584868164E0;-2,644999695E-1
1,044865717E1;-3,227288818E-1;-9,087751923E0;1,202000427E0
1,054916217E1;-7,315287781E-1;-1,044393173E1;4,674778748E-1
1,064966717E1;-3,318598938E-1;-1,088611221E1;1,141825562E0
1,075017217E1;-1,496887207E-3;-1,091934311E1;6,185137939E-1
1,085067717E1;-1,572030945E0;-6,552174683E0;-3,323089600E-2
1,095118217E1;-6,586303711E-1;-1,060544586E1;1,348845062E0
1,105168717E1;1,131646729E-1;-9,902507629E0;1,692979431E0
1,115219217E1;7,396119690E-1;-9,328152008E0;2,106569366E0
1,125269717E1;4,858895874E-1;-9,027726746E0;1,799258423E0
1,135320217E1;-1,731150055E0;-1,078058167E1;-8,307723999E-2
1,145370617E1;-1,554667053E0;-8,340655518E0;-1,067130890E0
1,155421117E1;-2,518512726E0;-8,182434540E0;-8,653504944E-1
1,165471617E1;-1,004561005E0;-1,217493210E1;7,646099854E-1
1,175522117E1;7,635621643E-1;-7,849077759E0;1,902843018E0
1,185572517E1;-7,527845764E-1;-9,363478546E0;1,948647766E0
1,195623017E1;9,849517822E-2;-1,056158707E1;1,574575653E0
1,205673517E1;-9,931846619E-1;-8,585246887E0;4,580474854E-1
1,215724017E1;-2,754272461E-2;-1,012045441E1;1,330283661E0
1,225774517E1;-5,957611084E-2;-9,151369629E0;2,204765167E0
1,235825017E1;2,790197754E-1;-6,162984009E0;3,275338898E0
1,245875571E1;1,636846161E0;-1,148007706E1;2,811453552E0
1,255926071E1;4,348457336E-1;-8,837023315E0;6,134243774E-1
1,265976571E1;-1,345402222E0;-1,029573990E1;-1,028361511E-1
1,276027071E1;-1,174757080E0;-9,181606750E0;4,610412598E-1
1,286077571E1;-1,246457977E0;-8,346044312E0;-1,215472412E0
1,296128071E1;-9,372010803E-1;-1,032717453E1;1,304088135E0
1,306178571E1;-1,472038879E0;-7,847281494E0;1,240769806E0
1,316229071E1;-5,522016907E-1;-1,216131042E1;1,285377045E0
1,326279571E1;-1,000968475E0;-1,177002411E1;1,087039490E0
1,336330071E1;7,864645386E-1;-6,151907043E0;1,897304535E0
1,346380533E1;3,457809448E-1;-1,220801331E1;1,849853210E0
1,356431033E1;9,131011963E-1;-1,047162415E1;2,043550415E0
1,366481533E1;2,683918762E-1;-7,339687042E0;9,821076965E-1
1,376531933E1;-9,304650879E-1;-1,063628174E1;1,372645569E0
1,386582433E1;-1,324146423E0;-1,122934845E1;-7,542814636E-1
1,396632933E1;-4,773573303E-1;-8,471483459E0;6,224057007E-1
1,406683433E1;-1,181343384E0;-9,950108643E0;6,168672180E-1
1,416733933E1;-3,734733582E-1;-9,865684204E0;1,373094635E0
1,426784433E1;-3,132984924E-1;-7,760162659E0;1,578916626E0
1,436834933E1;-1,414558411E-1;-9,584419098E0;1,940863953E0
1,446885392E1;-1,232836304E0;-1,196611633E1;6,665638733E-1
1,456935892E1;-5,649252319E-1;-8,399632874E0;1,317410431E0
1,466986392E1;-2,812651062E-1;-6,395001526E0;6,644682312E-1
1,477036892E1;8,589138794E-1;-1,283625687E1;3,065924377E0
1,487087392E1;7,333250427E-1;-8,656199341E0;1,302441559E0
1,497137792E1;-3,233276367E-1;-9,050329742E0;1,230441284E0
1,507188292E1;-6,798861694E-1;-1,065169968E1;9,614506531E-1
1,517238792E1;-1,196761322E0;-1,071232361E1;1,021326141E0
1,527289292E1;-2,875520325E-1;-9,963580627E0;7,220983887E-1
1,537339792E1;-7,408094788E-1;-8,444240112E0;1,135388947E0
1,547390342E1;2,140548706E-1;-1,116887421E1;1,896256714E0
1,557440842E1;-1,440005493E-1;-9,868827667E0;1,961670685E0
1,567491342E1;-4,706213379E-1;-7,480544128E0;1,199755096E0
1,577541842E1;-1,666035461E-1;-1,305375458E1;1,399888916E0
1,587592242E1;-5,254074097E-1;-7,809859314E0;1,313368835E0
1,597642742E1;8,285270691E-1;-7,809559937E0;1,387764130E0
1,607693242E1;-8,936416626E-2;-1,243973145E1;1,547032928E0
1,617743742E1;-9,610015869E-2;-1,009276199E1;3,525169373E-1
1,627794242E1;-7,223977661E-1;-7,774383087E0;7,050338745E-1
1,637844742E1;-1,495989075E0;-1,093416229E1;1,225950623E0
1,647895221E1;-4,822970581E-1;-1,100466568E1;1,412013702E0
1,657945621E1;-5,707630920E-1;-7,238796844E0;1,744172974E0
1,667996121E1;-1,414558411E-1;-9,521549835E0;2,351011047E0
1,678046621E1;-4,757107544E-1;-9,650731201E0;6,426136780E-1
1,688097121E1;-8,292755127E-2;-1,060155396E1;1,885030060E0
1,698147621E1;4,984634399E-2;-9,175918579E0;1,354982300E0
1,708198121E1;1,103355560E0;-9,738598480E0;2,268682251E0
1,718248621E1;4,926255798E-1;-8,903784485E0;1,678010559E0
1,728299021E1;3,863465881E-1;-9,246272278E0;1,286424866E0
1,738349521E1;6,661148071E-1;-1,159848083E1;1,296903076E0
1,748400042E1;-2,076182556E-1;-8,945547638E0;8,707392883E-1
1,758450542E1;-1,304237823E0;-8,447383575E0;4,349954224E-1
1,768501042E1;-1,977388000E-1;-1,114597183E1;1,347497864E0
1,778551542E1;-8,517288208E-2;-9,749525757E0;1,082399139E0
1,788601942E1;-9,142987061E-1;-8,223449249E0;5,622308350E-1
1,798652442E1;-8,006849670E-1;-1,034723282E1;3,126997375E-1
1,808702942E1;-2,067201233E-1;-1,123743164E1;1,702110443E0
1,818753442E1;-1,287322998E-2;-9,262139282E0;2,293530579E0
1,828803942E1;2,962339783E-1;-9,904453583E0;1,962718506E0
1,838854342E1;1,031954041E0;-9,392967224E0;1,529968414E0
1,848904858E1;-5,631289673E-1;-9,781858521E0;-4,580474854E-2
1,858955358E1;-6,783892822E-1;-1,023511597E1;-5,780978394E-1
1,869005858E1;-7,966433716E-1;-9,459279327E0;5,420228577E-1
