"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8,156220833E-2;-3,232875833E-1;1,133540642E0;1,547897732E0
1,820672083E-1;-1,938734981E0;2,349677297E-1;-5,497493684E-1
2,825722083E-1;-2,280041783E0;1,229307509E0;-1,556773220E0
3,830772083E-1;-4,016135220E-1;8,245376600E-1;1,618942571E0
4,835823333E-1;-2,178782918E-1;-4,531396980E-1;-7,930169284E-2
5,840873333E-1;1,395533617E0;-5,472426671E-1;-2,393372955E0
6,845923333E-1;4,293569523E-1;-1,704050549E0;-2,204001521E0
7,850973333E-1;2,489396515E0;-3,886217397E-1;-2,679798229E0
8,856023333E-1;3,878224254E-1;-2,139205308E0;-2,380752325E-2
9,861073333E-1;-4,462483889E-1;-2,310891985E0;1,474264330E0
1,086612333E0;-1,180168678E0;-4,888568739E0;3,801426046E0
1,187117333E0;3,071034844E0;-3,188745727E0;6,386851677E0
1,287622333E0;8,796299213E0;2,148546528E0;-3,648886223E-1
1,388127333E0;3,615611765E0;-2,524503783E0;1,460794684E0
1,488632083E0;1,602286777E0;-4,350509709E-1;-7,912843984E-1
1,589137083E0;7,160552913E-1;1,389909473E0;-8,301070599E-1
1,689642083E0;-4,810396144E-1;5,276175402E0;-1,901184601E0
1,790147083E0;-1,028459452E0;8,692511719E-1;1,219587390E-1
1,890653083E0;2,437347525E0;1,809912050E-1;-3,443284965E-1
1,991158083E0;8,734485957E-1;3,386759931E-1;-8,600441462E-1
2,091663083E0;7,372397536E-1;3,280469245E-1;1,167495423E0
2,192168083E0;-3,833434582E-3;-1,184359378E-1;5,824583273E-2
2,292673083E0;1,528938720E-1;1,761919858E0;4,833589125E-1
2,393178083E0;-1,134509891E0;-2,604897151E0;8,886305988E-1
2,493683708E0;-9,824601375E-2;-3,836568689E-1;-1,387357163E-1
2,594188708E0;4,902233975E-1;3,754421741E0;1,419384995E0
2,694693708E0;1,562817779E0;1,642691038E0;1,225094005E-1
2,795198708E0;9,783263022E-1;-4,831115752E0;-2,492643474E0
2,895703708E0;3,367411494E-2;4,101838737E0;-8,665740243E-1
2,996208708E0;-7,878963755E-1;6,707458019E-1;-2,033368074E0
