"Time (s)";"X (hPa)"
-5,238081250E-1;1,016376572E3
4,840098750E-1;1,016383057E3
1,491834875E0;1,016389465E3
2,499684875E0;1,016401215E3
3,507578875E0;1,016411285E3
3,856197875E0;1,016418076E3
4,931301875E0;1,016418686E3
6,006411875E0;1,016425629E3
7,081511875E0;1,016425629E3
8,156623875E0;1,016423950E3
9,231719875E0;1,016414642E3
1,030676688E1;1,016402740E3
1,138186288E1;1,016386490E3
1,245691688E1;1,016376419E3
1,353197387E1;1,016373672E3
1,460706488E1;1,016373672E3
1,568211288E1;1,016383591E3
1,675717787E1;1,016396408E3
1,783222787E1;1,016405487E3
1,890730587E1;1,016413574E3
1,998236687E1;1,016413574E3
2,105745987E1;1,016406860E3
2,329803333E1;1,016269760E3
2,430575333E1;1,016266632E3
2,531347133E1;1,016263428E3
2,632116333E1;1,016257858E3
2,732887433E1;1,016257858E3
2,767760933E1;1,016257858E3
2,875253333E1;1,016246948E3
2,982747333E1;1,016238556E3
3,090240733E1;1,016237259E3
3,197735133E1;1,016233826E3
3,305224933E1;1,016206970E3
3,412713633E1;1,016182022E3
3,520200533E1;1,016167526E3
3,627688433E1;1,016134033E3
3,735179233E1;1,016100006E3
3,842669033E1;1,016086655E3
3,950161133E1;1,016067963E3
4,057647833E1;1,016047134E3
4,165139933E1;1,016047134E3
4,272629633E1;1,016064835E3
4,380119333E1;1,016087952E3
4,487613233E1;1,016122894E3
4,595104433E1;1,016186066E3
4,702595933E1;1,016212997E3
4,810089933E1;1,016225204E3
4,917582733E1;1,016225204E3
5,025075533E1;1,016206894E3
5,132566133E1;1,016170502E3
5,240055833E1;1,016110535E3
5,347544833E1;1,016043777E3
5,455036633E1;1,015983276E3
5,562526033E1;1,015927811E3
5,670013733E1;1,015871506E3
5,777503133E1;1,015830231E3
5,884992233E1;1,015829620E3
5,992483933E1;1,015829620E3
6,099978533E1;1,015833206E3
6,207471033E1;1,015849838E3
6,314964033E1;1,015876236E3
6,422457733E1;1,015877228E3
6,529947733E1;1,015892334E3
6,637438833E1;1,015893936E3
6,744925933E1;1,015921631E3
6,852415233E1;1,015950089E3
6,959901233E1;1,015979767E3
7,067392333E1;1,016012573E3
7,174888033E1;1,016036987E3
7,282381333E1;1,016036987E3
7,389870133E1;1,016014557E3
7,497355933E1;1,015993652E3
7,604846533E1;1,015956421E3
7,712334233E1;1,015932846E3
7,819818333E1;1,015932846E3
7,927303533E1;1,015967941E3
8,034789733E1;1,015987701E3
8,142276533E1;1,016025620E3
8,249762633E1;1,016061172E3
8,357252433E1;1,016086349E3
8,464739533E1;1,016088791E3
8,572227433E1;1,016098251E3
8,679714433E1;1,016117630E3
8,787198433E1;1,016124115E3
8,894686833E1;1,016127167E3
9,002178733E1;1,016125183E3
9,109672533E1;1,016125183E3
9,217164933E1;1,016124115E3
9,324652533E1;1,016115570E3
9,432140533E1;1,016115570E3
9,539628233E1;1,016118011E3
9,647116233E1;1,016124191E3
9,754607833E1;1,016129913E3
9,862099433E1;1,016129913E3
9,969585833E1;1,016130524E3
1,007707123E2;1,016129456E3
1,018455773E2;1,016123581E3
