"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
5,772507191E-2;5,231332721E1;5,037088850E0;3,981354237E-1;NaN;NaN;3,500000000E1;2,082080078E1
4,756580591E-1;5,231342844E1;5,036747988E0;2,147624493E-1;NaN;NaN;3,500000000E1;2,107065010E1
2,680337071E0;5,231326710E1;5,036987532E0;-7,694980621E0;5,600000024E-1;6,925781250E1;1,737048440E1;4,800000000E1
3,684080005E0;5,231325440E1;5,036773290E0;-3,925514221E-1;1,090000033E0;3,093750000E1;6,512077070E0;4,000000000E0
4,683436036E0;5,231325725E1;5,036795503E0;2,164943695E0;9,300000072E-1;3,093750000E1;5,105210304E0;4,000000000E0
5,688217998E0;5,231325402E1;5,036778571E0;2,970912933E0;9,300000072E-1;3,093750000E1;4,066055002E0;4,000000000E0
6,684332013E0;5,231326994E1;5,036789551E0;2,291713715E0;6,999999881E-1;5,871093750E1;3,598907048E0;3,000000000E0
7,683962941E0;5,231326982E1;5,036787204E0;1,596401215E0;0,000000000E0;5,871093750E1;3,677666678E0;3,000000000E0
8,664396524E0;5,231327250E1;5,036789719E0;1,787441254E0;6,100000143E-1;5,871093750E1;3,535533906E0;3,000000000E0
9,665952563E0;5,231328876E1;5,036769519E0;2,946498871E0;6,100000143E-1;2,917968750E2;3,535533906E0;3,000000000E0
1,066752768E1;5,231330951E1;5,036721658E0;1,843654633E0;2,599999905E0;3,132421875E2;3,535533906E0;3,000000000E0
1,166908944E1;5,231335469E1;5,036642700E0;1,554347992E0;8,250000000E0;3,157031250E2;3,535533906E0;3,000000000E0
1,267048991E1;5,231341625E1;5,036556451E0;1,741359711E0;9,779999733E0;3,118359375E2;3,535533906E0;3,000000000E0
1,367184329E1;5,231347920E1;5,036445893E0;1,468166351E0;9,779999733E0;3,107812500E2;3,535533906E0;3,000000000E0
1,467308831E1;5,231353661E1;5,036337304E0;1,468173908E0;9,779999733E0;3,114304504E2;4,610477086E0;3,545142885E0
1,567422998E1;5,231361498E1;5,036233048E0;1,283421455E0;1,039000034E1;3,114304504E2;4,610477281E0;3,545142631E0
1,667531836E1;5,231365538E1;5,036131223E0;1,445162398E0;8,920000076E0;3,114679871E2;4,610477451E0;3,545142410E0
1,767634988E1;5,231370527E1;5,036032531E0;7,158533130E-1;8,920000076E0;3,114679871E2;4,610477609E0;3,545142205E0
1,867726910E1;5,231376141E1;5,035961461E0;5,916459635E-1;8,319999695E0;3,114679871E2;4,610477774E0;3,545141990E0
1,967814398E1;5,231379695E1;5,035881157E0;8,768017273E-1;7,940000057E0;3,114679871E2;4,610477893E0;3,545141835E0
