"Time (s)";"Distance (cm)"
5,192562500E-2;5,000000000E0
2,240562483E1;0,000000000E0
2,252253625E1;5,000000000E0
2,267290696E1;0,000000000E0
2,290694958E1;5,000000000E0
2,387053667E1;5,000000000E0
1,655247230E2;0,000000000E0
1,660929072E2;5,000000000E0
1,665767901E2;0,000000000E0
1,669276786E2;5,000000000E0
1,675962640E2;0,000000000E0
1,678134245E2;5,000000000E0
1,698020203E2;0,000000000E0
1,700359117E2;5,000000000E0
1,702865690E2;0,000000000E0
1,705204929E2;5,000000000E0
1,709383223E2;0,000000000E0
1,711722423E2;5,000000000E0
2,783235287E2;0,000000000E0
2,788748202E2;5,000000000E0
2,796436301E2;0,000000000E0
2,800948393E2;5,000000000E0
2,813980299E2;5,000000000E0
4,564849717E2;0,000000000E0
4,566020622E2;5,000000000E0
4,575708919E2;5,000000000E0
8,023868669E2;0,000000000E0
8,030464284E2;5,000000000E0
8,044935910E2;5,000000000E0
