"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3,362333329E-3;-3,137625275E0;8,951385498E0;2,732268219E0
1,031613333E-1;-9,508227539E-1;7,931107178E0;6,217321014E0
2,029613333E-1;-1,938468933E0;8,479416962E0;5,367987213E0
3,027616667E-1;-1,795516205E0;8,386160889E0;5,578299866E0
4,025616667E-1;-4,228706360E-1;8,374485168E0;4,430636444E0
5,023616667E-1;-1,913021851E0;5,255421295E0;6,527925110E0
6,021606667E-1;-9,922865295E-1;4,503534851E0;8,732540588E0
7,019606667E-1;5,179229736E-1;5,489235077E0;7,478448486E0
8,017606667E-1;-1,038091278E0;4,133204956E0;1,049198181E1
9,015606667E-1;-4,130809937E0;4,200714569E0;1,024050476E1
1,001360667E0;-5,493875427E0;9,376501465E-1;3,336112518E0
1,101159667E0;6,490502930E-1;3,839665375E0;9,126521301E0
1,200959667E0;-8,746311951E-1;2,908451843E-1;7,337292023E0
1,300759542E0;1,129102020E0;-1,084195404E0;9,473050690E0
1,400559542E0;3,367846527E0;2,808310089E0;2,994672546E1
1,500359542E0;4,957989807E0;5,374124451E0;7,451953583E0
1,600158542E0;1,974992981E0;2,147284698E0;6,145470428E0
1,699958542E0;1,560055847E0;2,529889069E0;8,525970154E0
1,799758542E0;9,309141541E-1;2,630479889E0;9,317374420E0
1,899558542E0;-2,740650787E0;2,274370422E0;4,588258667E0
1,999358542E0;-4,411326599E-1;2,318528595E0;1,049123337E1
2,099157542E0;-6,426136780E-1;1,792372742E0;9,196725311E0
2,198957542E0;-4,171824646E-1;1,770069122E0;9,283993835E0
2,298757333E0;-6,131250000E-1;2,361938324E0;9,467661896E0
2,398557333E0;-6,824308777E-1;2,275717621E0;1,003722748E1
2,498356333E0;-9,211843872E-1;1,888173523E0;9,343869324E0
2,598156333E0;-8,981323242E-1;1,904788971E0;9,858199768E0
2,697956333E0;-6,647676086E-1;2,046843567E0;9,459129639E0
2,797756333E0;-6,605763245E-1;2,106719055E0;9,918973389E0
2,897556333E0;-7,526348877E-1;1,781445465E0;9,716444550E0
2,997356333E0;-7,644602966E-1;1,859433289E0;9,091943207E0
3,097155333E0;-3,579057312E-1;2,280058594E0;1,011716125E1
3,196955333E0;-6,343807983E-1;2,080373840E0;1,018467087E1
3,296756208E0;-6,800358582E-1;1,938468933E0;9,528734894E0
3,396556208E0;-7,244934082E-2;2,253414001E0;9,256301422E0
3,496356208E0;-6,709048462E-1;1,856888580E0;9,195677490E0
3,596155208E0;-2,061213684E-1;1,963317261E0;9,785151672E0
3,695955208E0;-8,677455139E-1;1,830543365E0;9,599238281E0
3,795755208E0;-3,302133179E-1;1,976639557E0;9,571396179E0
3,895555208E0;-6,584806824E-1;2,138153687E0;9,820478210E0
3,995355208E0;-2,945874023E-1;2,162552948E0;9,683213654E0
4,095155208E0;-5,539979553E-1;1,949096832E0;9,918224945E0
4,194955208E0;-3,372486877E-1;1,987866211E0;9,742939453E0
4,294754292E0;-4,480183411E-1;1,808539124E0;1,046473846E1
4,394554292E0;-6,484515381E-1;1,741179199E0;9,719887390E0
4,494354292E0;3,165916443E-1;2,170935516E0;9,759105835E0
4,594154292E0;-1,945953369E-2;1,503323822E0;9,307345276E0
4,693954292E0;-6,932084656E-1;1,367556152E0;9,334438934E0
4,793753292E0;-4,734654236E-1;1,621877289E0;1,002839584E1
4,893553292E0;-4,644841003E-1;1,666484528E0;1,007869125E1
4,993353292E0;9,550140381E-2;1,688488770E0;1,017494110E1
5,093153292E0;-3,832031250E-1;1,591939545E0;9,946516113E0
5,192953292E0;-1,478924561E-1;1,683549042E0;9,207502899E0
5,292752958E0;-4,373904419E-1;1,628463593E0;9,986932068E0
5,392551958E0;-2,980302429E-1;1,533111877E0;9,506580963E0
5,492351958E0;-7,005432129E-1;1,498084717E0;9,906848602E0
5,592151958E0;-8,939410400E-1;1,446591797E0;9,707313538E0
5,691951958E0;8,681945801E-2;1,609153748E0;9,899064789E0
5,791751958E0;4,080514526E-1;1,323996735E0;9,355994110E0
5,891550958E0;-6,860234070E-1;1,429377594E0;9,712552643E0
5,991350958E0;-5,692662048E-1;1,475781097E0;9,905800781E0
6,091150958E0;-6,780899048E-1;1,517693939E0;8,513246613E0
6,190950958E0;-5,134323120E-1;1,794917450E0;9,851763153E0
6,290749292E0;-3,617976379E-1;1,438957672E0;1,229722778E1
6,390549292E0;-4,490661621E-1;7,673043823E-1;9,953401794E0
6,490349292E0;2,065704346E-2;1,446442108E0;9,691596222E0
6,590149292E0;7,707472229E-1;-4,918771362E-1;1,052311707E1
6,689949292E0;-8,231382751E-1;4,602928162E-1;9,215137024E0
6,789748292E0;4,445755005E-2;2,673440552E-1;1,055305481E1
6,889548292E0;-2,254312134E-1;7,074288940E-1;9,786498871E0
6,989348292E0;-4,840933228E-1;2,909948730E-1;9,775721283E0
7,089148292E0;-5,113366699E-1;7,602690125E-1;1,023406815E1
7,188947292E0;1,176553345E-1;7,078779602E-1;9,287436676E0
7,288747542E0;-5,908213806E-1;4,001179504E-1;1,004531067E1
7,388547542E0;-3,577560425E-1;7,334747314E-2;1,019859192E1
7,488347542E0;-2,480342102E-1;3,897894287E-1;1,017344421E1
7,588147542E0;-3,739224243E-1;1,440005493E-1;8,995693359E0
7,687946542E0;-3,882925415E-1;1,532812500E-1;1,009815079E1
7,787746542E0;-3,947291565E-1;-3,757186890E-2;9,893526306E0
7,887546542E0;-6,647676086E-1;-5,010081482E-1;1,073238190E1
7,987346542E0;-2,610571289E-1;9,515711975E-1;1,011805939E1
8,087145542E0;6,256988525E-2;1,825903015E0;1,010997620E1
8,186945542E0;-4,162843323E-1;1,784139862E0;9,077872467E0
8,286745792E0;-6,616241455E-1;1,740879822E0;9,353599091E0
8,386545792E0;6,661148071E-2;2,016606445E0;1,065125061E1
8,486345792E0;-5,496569824E-1;1,103355560E0;9,276808777E0
8,586144792E0;-3,770658875E-1;1,240171051E0;9,985884247E0
8,685944792E0;-3,011737061E-1;1,033001862E0;1,004366409E1
8,785744792E0;-3,969744873E-1;1,086141357E0;9,838440857E0
8,885544792E0;-6,527925110E-1;1,051114197E0;1,004680756E1
8,985344792E0;1,850152588E-1;9,542655945E-1;9,744586029E0
9,085143792E0;-1,871109009E-2;5,857319641E-1;9,696685638E0
9,184943792E0;-2,300715637E-1;7,201524353E-1;9,715097351E0
9,284743542E0;-5,556445312E-1;4,963677979E-1;9,919123077E0
9,384543542E0;-5,227130127E-1;5,685177612E-1;9,798174591E0
9,484343542E0;-3,974235535E-1;1,123713226E0;9,408085785E0
9,584142542E0;-2,043251038E-1;9,030720520E-1;1,002854553E1
9,683942542E0;-1,972897339E-1;6,322851562E-1;9,737400970E0
9,783742542E0;-2,713856506E-1;8,499325562E-1;9,759405212E0
9,883542542E0;-1,335223389E-1;9,734257507E-1;9,496551819E0
9,983342542E0;-6,433621216E-1;8,439450073E-1;9,755363617E0
1,008314154E1;-4,321513367E-1;9,725276184E-1;9,868528290E0
1,018294154E1;-6,391708374E-1;1,297950897E0;9,830058289E0
1,028274171E1;-5,218148804E-1;1,738335114E0;9,509574738E0
1,038254171E1;-3,026705933E-1;1,913021851E0;9,338330841E0
1,048234171E1;-3,370989990E-1;1,805545349E0;9,663604431E0
1,058214071E1;-5,638774109E-1;1,779200134E0;9,493857422E0
1,068194071E1;-7,463479614E-1;1,763033752E0;9,639654236E0
1,078174071E1;-4,197271729E-1;1,908231812E0;9,508077850E0
1,088154071E1;-5,592370605E-1;1,741328888E0;9,781858521E0
1,098134071E1;-2,797682190E-1;1,704954529E0;9,693691864E0
1,108113971E1;-5,822891235E-1;1,432371368E0;9,684411163E0
1,118093971E1;-2,013313293E-1;1,420995026E0;9,772278442E0
1,128073983E1;-3,772155762E-1;1,171763306E0;9,746382294E0
1,138053983E1;-2,257305908E-1;1,194965057E0;9,932595062E0
1,148033983E1;-3,929328918E-1;1,061742096E0;9,774523773E0
1,158013983E1;-4,180805969E-1;1,012344818E0;1,013362701E1
1,167993883E1;-4,537065125E-1;1,004561005E0;1,014245865E1
1,177973883E1;-4,059558105E-1;1,061592407E0;9,965227203E0
1,187953883E1;-4,102967834E-1;1,307980042E0;9,920320587E0
1,197933883E1;-4,019142151E-1;1,524729309E0;9,646689606E0
1,207913883E1;-3,885919189E-1;1,698517914E0;9,536967773E0
1,217893883E1;-3,830534363E-1;1,808988190E0;9,547595673E0
1,227873729E1;-4,746629333E-1;2,020648041E0;9,576784973E0
1,237853729E1;-4,373904419E-1;2,060614929E0;9,415270844E0
1,247833729E1;-4,930746460E-1;2,148931274E0;9,230405273E0
1,257813729E1;-5,604345703E-1;2,108215942E0;9,122180328E0
1,267793729E1;-4,730163574E-1;2,166744232E0;9,042845306E0
1,277773729E1;-5,709127808E-1;1,786385193E0;9,120384064E0
1,287753629E1;-8,798703003E-1;1,811532898E0;9,193132782E0
1,297733629E1;-1,060694275E0;1,958527222E0;9,557774506E0
1,307713629E1;-4,815486145E-1;3,290008392E0;8,564290466E0
1,317693629E1;-1,258133698E0;2,235151978E0;9,485325165E0
1,327673708E1;-7,167095947E-1;2,067201233E0;9,603130188E0
1,337653708E1;-6,852749634E-1;1,848955078E0;9,606273651E0
1,347633608E1;-4,590953064E-1;1,629810791E0;9,621092834E0
1,357613608E1;-4,457730103E-1;1,743873596E0;9,591753845E0
1,367593608E1;-3,897894287E-1;1,880539398E0;9,518256683E0
1,377573608E1;-3,576063538E-1;1,930086365E0;9,588311005E0
1,387553608E1;-3,701802063E-1;1,913171539E0;9,701026611E0
1,397533608E1;-3,727249146E-1;2,040556641E0;9,797276459E0
1,407513508E1;-4,144880676E-1;1,873953094E0;9,637408905E0
1,417493508E1;-4,346960449E-1;1,917063446E0;9,708660736E0
1,427473404E1;-4,385879517E-1;1,808688812E0;9,654323730E0
1,437453404E1;-4,935237122E-1;1,748963013E0;9,569150848E0
1,447433404E1;-4,965174866E-1;1,792971497E0;9,757010193E0
1,457413404E1;-5,522016907E-1;1,691183167E0;9,511071625E0
1,467393304E1;-5,703140259E-1;1,677112427E0;9,647587738E0
1,477373304E1;-5,144801331E-1;1,689985657E0;9,655371552E0
1,487353304E1;-6,334826660E-1;1,582808533E0;9,529932404E0
1,497333304E1;-4,397854614E-1;1,615590363E0;9,484876099E0
1,507313304E1;-4,098477173E-1;1,741777954E0;9,619146881E0
1,517293304E1;-3,540138245E-1;1,848056946E0;9,602531433E0
1,527273317E1;-3,793112183E-1;1,961670685E0;9,676926727E0
1,537253217E1;-3,588038635E-1;1,969753876E0;9,749525757E0
1,547233217E1;-4,342469788E-1;1,918859711E0;9,730066223E0
1,557213217E1;-3,297642517E-1;1,938468933E0;9,757758636E0
1,567193217E1;-1,387614441E-1;1,897603912E0;9,781110077E0
1,577173217E1;-4,149371338E-1;1,739682312E0;9,704469452E0
1,587153217E1;-4,432283020E-1;1,746567993E0;9,552236023E0
1,597133217E1;-5,143304443E-1;1,787582703E0;9,542356567E0
1,607113217E1;-5,315446472E-1;1,657652893E0;9,660460968E0
1,617093117E1;-5,758525085E-1;1,649420013E0;9,628427582E0
1,627073192E1;-5,906716919E-1;1,715881805E0;9,736951904E0
1,637053192E1;-5,074447632E-1;1,851200409E0;9,599837036E0
1,647033192E1;-4,608915710E-1;2,065105591E0;9,454339600E0
1,657013192E1;-3,420387268E-1;2,344574432E0;9,516460419E0
1,666993192E1;-4,361929321E-1;2,439177704E0;9,749974823E0
1,676973192E1;-4,120930481E-1;2,216889954E0;9,397906952E0
1,686953192E1;-3,858975220E-1;2,342628479E0;9,559271393E0
1,696933092E1;-9,373507690E-1;3,591631165E0;9,260043640E0
1,706913092E1;-7,797285461E-1;4,325405273E0;9,289981384E0
1,716893092E1;-4,939727783E-3;4,276906128E0;8,438701630E0
1,726873121E1;-3,276686096E-1;3,986060944E0;8,549920349E0
1,736853121E1;-1,241967316E0;3,768413544E0;8,350235596E0
1,746833121E1;-1,571132813E0;4,017046509E0;1,003722748E1
1,756813121E1;-2,335144043E-2;3,431763611E0;7,776329041E0
1,766793121E1;-1,102607117E0;3,968846741E0;1,091365494E1
1,776773021E1;-9,421408081E-1;4,272714844E0;9,178313599E0
