"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7,945933334E-2;-7,576080561E-1;-5,097476840E-1;7,713290304E-2
1,792583333E-1;-4,283208251E-1;-4,149417877E-1;7,500743959E-3
2,790586667E-1;-9,312999994E-2;-2,664937675E-1;-6,748791039E-2
3,788586667E-1;-7,379352450E-1;-6,370223165E-1;-4,705308080E-1
4,786586667E-1;-1,914973140E0;-6,991469860E-1;-1,234381318E0
5,784576667E-1;-1,220995069E0;-1,606678724E0;-1,520839781E-1
6,782576667E-1;5,090293884E-1;3,297303319E-1;2,070426941E-1
7,780576667E-1;-7,262451053E-1;1,850291610E0;-3,297864199E-1
8,778576667E-1;-1,520628929E-1;2,082199574E0;3,568641841E-1
9,776576667E-1;-5,289389491E-1;1,366087794E0;3,856782913E-1
1,077456667E0;-1,875954509E0;-1,471189618E0;6,030355096E-1
1,177256667E0;4,355773628E-1;-3,969665289E0;3,485782146E-1
1,277056542E0;-3,366948366E0;-1,663320303E0;9,546276927E-1
1,376856542E0;-1,545712709E0;-8,564123511E-2;9,099565446E-2
1,476656542E0;-1,263831556E-1;2,111070633E0;3,291371167E-1
1,576455542E0;2,219115645E-1;4,385509789E-1;-1,743920445E0
1,676255542E0;-8,502566814E-2;8,774221539E-1;-4,700105637E-2
1,776055542E0;3,949446231E-2;1,737471670E-1;2,584525943E-1
1,875855542E0;-1,426379830E-1;4,843177795E0;-1,361442655E-1
1,975655542E0;6,133880094E-2;1,788530266E-3;5,783047527E-6
2,075454542E0;-3,114451095E-2;-4,951871932E-2;-4,767494798E-1
2,175254542E0;-8,298284374E-3;-8,455077559E-2;-4,297790825E-1
2,275054333E0;-8,248861879E-3;6,515728310E-3;-2,068548948E-1
2,374854333E0;-1,918281242E-2;5,153254792E-2;-3,267164156E-2
2,474654333E0;-2,418711036E-2;7,631762326E-2;-3,156050667E-2
2,574453333E0;2,883188426E-2;7,938228082E-4;-3,082907945E-2
2,674253333E0;2,853976935E-2;-6,748074293E-2;-1,928800903E-2
2,774053333E0;2,555426210E-2;-1,028043926E-1;-5,195005331E-3
2,873853333E0;-5,022896081E-2;1,062328815E-1;-1,127107441E-2
2,973653333E0;-4,538489133E-2;-6,713907421E-2;-1,671823673E-2
3,073452333E0;3,514742106E-2;-1,072019897E-2;2,451400738E-3
3,173252333E0;1,183841005E-2;2,949669585E-2;4,362179898E-4
3,273053208E0;5,062857270E-2;-1,177099533E-2;-1,874781214E-2
3,372853208E0;-7,121530361E-4;-5,058173835E-2;-9,699105285E-4
3,472653208E0;-3,075101599E-2;1,521364599E-2;-2,445236780E-2
3,572453208E0;5,883506499E-3;-8,432726562E-2;-2,374447510E-2
3,672252208E0;-1,861288957E-2;2,992246673E-2;-2,841800451E-2
3,772052208E0;3,025648743E-2;-9,491572529E-2;-1,573075727E-2
3,871852208E0;-5,133096129E-2;-1,354637090E-2;-5,493056402E-2
3,971652208E0;6,650654599E-3;-5,983591452E-2;-2,705739625E-2
4,071452208E0;-2,501584962E-2;-7,077053189E-2;-3,073626198E-2
4,171252208E0;-3,324560076E-2;-7,923364639E-3;-2,223875001E-2
4,271051292E0;4,994653165E-2;-4,683341831E-5;-2,843935788E-2
4,370851292E0;1,304570306E-2;-3,834964707E-3;-4,247203842E-2
4,470651292E0;-3,010815755E-2;-3,914102167E-2;-2,952188626E-2
4,570451292E0;-3,327146545E-2;-2,757771686E-2;-4,745138809E-2
4,670251292E0;3,353092447E-2;3,590386733E-2;-2,440758981E-3
4,770051292E0;6,234811153E-3;-1,514557377E-2;-1,240637526E-2
4,869850292E0;2,939944714E-2;-9,269580990E-2;-2,070367336E-2
4,969650292E0;-8,087170310E-3;-6,470908970E-2;-1,871775836E-2
5,069450292E0;1,019600406E-2;-2,478088252E-2;-3,453956917E-2
5,169250292E0;-1,765396073E-2;-3,857981786E-2;-3,355417028E-2
5,269049958E0;4,219982773E-3;4,004393891E-2;-3,588900715E-2
5,368848958E0;-3,028340265E-2;-1,532598119E-2;-2,592029981E-2
5,468648958E0;3,321511671E-3;1,933126338E-2;-8,066139184E-3
5,568448958E0;-1,549414080E-2;-6,695260294E-3;-3,308150684E-3
5,668248958E0;2,534123603E-3;-2,449330315E-2;-1,427748054E-2
5,768048958E0;1,280198805E-3;1,967854053E-2;-1,603165455E-2
5,867847958E0;-2,232525870E-2;-2,033808734E-3;-6,922276691E-3
5,967647958E0;4,677942395E-2;2,683645580E-3;-1,366602909E-2
6,067447958E0;1,449437998E-2;3,446668759E-2;-2,050688118E-2
6,167247958E0;-1,119766384E-2;-3,325922415E-2;-1,579784416E-2
6,267047292E0;-5,985490605E-2;-3,920423612E-2;1,396780461E-2
6,366846292E0;-2,320760861E-2;5,265090615E-2;-1,094546402E-3
6,466646292E0;-1,349898055E-2;-2,659712173E-2;-1,304256264E-2
6,566446292E0;6,049580872E-2;-8,448883891E-2;-2,535833977E-2
6,666246292E0;-5,691246316E-2;1,210935507E-2;1,363698021E-2
6,766045292E0;2,084639855E-2;-2,946715336E-3;-1,383461244E-2
6,865845292E0;1,600009389E-2;3,906160966E-2;1,125449315E-3
6,965645292E0;-3,157163970E-3;1,488870755E-2;-5,767067894E-3
7,065445292E0;1,061125193E-3;2,887737192E-2;1,135527738E-3
7,165244292E0;-7,862984389E-2;1,501192525E-2;-7,191783749E-3
7,265044542E0;-4,099684209E-2;-1,209815312E-2;3,388332203E-3
7,364844542E0;2,348069847E-2;-4,615157843E-2;7,783185225E-3
7,464644542E0;1,813061908E-2;1,178857125E-2;5,340397824E-3
7,564444542E0;-3,155910876E-3;-4,992916249E-3;-1,034123590E-3
7,664243542E0;4,204322398E-2;-3,659035265E-2;7,315956522E-3
7,764043542E0;-2,010335401E-2;4,710159823E-2;-4,950790317E-4
7,863843542E0;-2,118931897E-2;4,709951580E-2;-1,163579291E-3
7,963643542E0;-1,777521893E-2;-2,926933765E-2;1,429054770E-3
8,063443542E0;-2,101262566E-3;-5,601353943E-3;4,910579417E-3
8,163242542E0;4,722414538E-2;4,842042178E-2;-1,438713633E-2
8,263042792E0;5,349310115E-2;1,562223490E-2;-8,859002963E-3
8,362842792E0;3,513038903E-2;5,603447929E-2;-6,578206550E-3
8,462642792E0;3,778690938E-3;-1,281582378E-2;-1,361626387E-2
8,562441792E0;-2,883422561E-2;-7,746513933E-2;5,017356481E-3
8,662241792E0;-6,493043620E-3;4,647418857E-2;-1,167292986E-2
8,762041792E0;-7,606152911E-3;1,805527322E-2;-2,681434853E-3
8,861841792E0;-8,020665497E-3;-2,523856796E-2;-1,998689491E-3
8,961641792E0;7,946249098E-3;-1,863490604E-2;4,930136260E-3
9,061440792E0;2,354566939E-2;5,234902725E-3;2,813391387E-3
9,161240792E0;7,723180577E-3;-5,253845826E-3;5,866951309E-3
9,261040542E0;-1,875778101E-2;1,574777253E-2;6,286566146E-3
9,360840542E0;1,561419852E-2;1,944169775E-2;8,689323440E-3
9,460640542E0;9,089079686E-3;3,843441978E-2;-1,898022136E-3
9,560439542E0;3,456693888E-2;2,745255642E-2;7,220408879E-4
9,660239542E0;-2,574027330E-2;-1,647596806E-2;1,114880387E-2
9,760039542E0;-5,322692916E-3;-3,147508204E-2;4,888521507E-3
9,859839542E0;-1,592268422E-2;2,273510024E-2;1,240579970E-2
9,959639542E0;2,750746161E-2;2,383301035E-2;1,043135300E-2
1,005943854E1;-4,343814217E-4;1,479234360E-2;1,417765208E-2
1,015923854E1;-2,245601267E-3;1,986395800E-3;2,171809040E-2
1,025903871E1;1,032071933E-2;-1,400930109E-3;1,285300590E-2
1,035883871E1;-2,209682018E-3;1,259460859E-2;2,523930976E-3
1,045863871E1;1,963420212E-2;1,029839274E-3;2,101999242E-3
1,055843771E1;-1,488565374E-2;2,541011199E-3;1,082536066E-3
1,065823771E1;3,502727952E-3;6,937470287E-3;-3,161341418E-3
1,075803771E1;-1,299431082E-2;7,109174505E-3;-4,335357342E-3
1,085783771E1;2,065698616E-2;-1,791211776E-3;1,869098633E-3
1,095763771E1;-2,319478802E-2;-1,083316840E-2;6,204906385E-3
1,105743771E1;4,478277173E-3;-5,125094205E-3;-1,378127956E-3
1,115723671E1;-2,335537225E-2;1,866840199E-2;8,983270964E-4
1,125703683E1;4,303503316E-3;-7,150213700E-3;1,114221523E-4
1,135683683E1;-2,371083014E-2;-1,017131191E-2;2,567619085E-4
1,145663683E1;2,109353431E-3;-3,421436064E-3;3,842703067E-3
1,155643683E1;7,852343842E-3;-9,111966938E-3;1,611220301E-3
1,165623583E1;-2,645337954E-3;9,351172484E-4;4,535677843E-3
1,175603583E1;-6,269488018E-3;5,576714873E-3;6,369740702E-3
1,185583583E1;-8,059428073E-3;-2,950546099E-3;2,530869562E-3
1,195563583E1;-1,327391528E-2;-3,822355531E-3;-7,641746779E-4
1,205543583E1;-9,779529646E-3;2,812491497E-3;-1,923573203E-3
1,215523583E1;1,495187636E-3;2,696411451E-3;5,930834450E-4
1,225503429E1;1,325483713E-2;9,101529606E-3;-1,737403451E-3
1,235483429E1;1,986610517E-2;2,182018012E-3;-7,977667847E-4
1,245463429E1;3,194212541E-2;-2,119806968E-2;-3,562904149E-2
1,255443429E1;2,084461972E-3;-2,555593103E-2;-1,059656441E-1
1,265423429E1;-5,687491223E-2;3,515421972E-2;-1,424959004E-1
1,275403429E1;-1,667734385E-1;4,019838870E-1;-2,368213385E-1
1,285383329E1;-4,179661348E-2;4,943956062E-2;-2,930905111E-2
1,295363329E1;8,102683723E-2;2,315414846E-1;3,293578327E-1
1,305343329E1;-4,351686239E-1;-1,483605802E-1;7,617303133E-1
1,315323329E1;-1,543588191E-1;-7,240036875E-2;4,445886314E-1
1,325303408E1;-4,474154115E-2;-1,792070642E-2;4,703888595E-1
1,335283408E1;-1,165206917E-2;-6,889189593E-3;7,133231312E-2
1,345263308E1;-3,474612720E-3;1,858392032E-3;6,466429215E-3
1,355243308E1;-3,066500183E-3;-2,048310125E-3;-2,135560848E-3
1,365223308E1;-4,411933012E-3;-4,445825703E-3;-3,748939605E-3
1,375203308E1;2,276319079E-3;-8,357923944E-4;-1,247011125E-3
1,385183308E1;3,295327071E-3;-1,309103565E-3;9,342224803E-5
1,395163308E1;6,013997830E-3;-2,188590821E-3;-2,480112016E-5
1,405143208E1;7,372105494E-3;-7,561259903E-3;-4,482579418E-3
1,415123208E1;1,006351784E-2;-6,947591901E-3;-2,889627125E-3
1,425103104E1;4,469293170E-3;-4,298664629E-3;-2,671936760E-3
