"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
7,945933334E-2;5,215127255E-1;5,860430360E-2;1,236267742E0
1,792583333E-1;-2,741681944E-1;2,318725061E-1;-9,202464938E-2
2,790586667E-1;1,349284481E-1;-1,027373332E-1;7,523483741E-1
3,788586667E-1;5,035674745E-1;8,044803947E-1;-7,656963980E-1
4,786586667E-1;9,819064061E-1;-6,280593735E-1;-3,109514201E-1
5,784576667E-1;1,875026643E-2;-4,172988242E-1;-6,502495569E-1
6,782576667E-1;2,085280093E-1;9,640836543E-1;1,591617948E-1
7,780576667E-1;1,566338534E0;-5,341484123E-1;1,497851998E0
8,778576667E-1;7,066874671E-1;-7,401902586E-2;5,448306906E-1
9,776576667E-1;2,215433997E-1;7,267475098E-2;-7,468245095E-1
1,077456667E0;2,443278064E0;-9,549219444E-1;9,310141414E-1
1,177256667E0;5,871298141E-1;-2,310005109E0;-3,448828125E-1
1,277056542E0;-1,978672341E0;-3,292987841E0;-4,660771742E0
1,376856542E0;-2,343820142E0;1,816757312E-2;5,348408981E0
1,476656542E0;2,744492700E0;1,755345249E0;-6,008709902E0
1,576455542E0;-8,943880597E-1;-1,670343690E0;-7,556485426E-1
1,676255542E0;5,780873144E-1;3,224221954E-1;1,248627294E0
1,776055542E0;-5,113767233E-1;6,415623486E-1;1,608685970E-2
1,875855542E0;5,339173742E-1;-1,175822150E0;-3,797462511E0
1,975655542E0;-9,876108035E-2;-3,539682162E-1;2,553824646E0
2,075454542E0;-1,241459631E-1;-9,510423169E-1;-2,240360677E-2
2,175254542E0;1,340887148E-1;-1,150090016E0;-2,320701420E-2
2,275054333E0;1,645720042E-1;-5,888128620E-1;-3,120267230E-1
2,374854333E0;1,042611907E-1;-5,211243242E-1;1,072163004E-1
2,474654333E0;-1,026444355E-1;-5,919694814E-1;2,978805542E-1
2,574453333E0;-1,949594723E-1;-7,741143420E-1;8,461494076E-1
2,674253333E0;-1,095823031E-1;-8,435090974E-1;8,249076426E-1
2,774053333E0;9,526356831E-3;-5,109741426E-1;4,187892795E-1
2,873853333E0;3,165993918E-1;-6,245644927E-1;-6,421535021E-1
2,973653333E0;-4,778359249E-2;-7,681384876E-1;1,074805945E-1
3,073452333E0;4,953750868E-1;-6,815508717E-1;-4,769749224E-2
3,173252333E0;3,339312699E-1;-4,110618916E-1;6,384317493E-1
3,273053208E0;-1,629173152E-1;-4,472862697E-1;8,617468554E-1
3,372853208E0;1,325739205E-2;-5,272694555E-1;3,415750426E-1
3,472653208E0;8,200098686E-2;-6,707574964E-1;1,164531469E-1
3,572453208E0;2,329026394E-1;-5,577849045E-1;7,874234819E-1
3,672252208E0;6,364426728E-1;-5,117272639E-1;3,437104458E-1
3,772052208E0;6,599416092E-2;-6,080396765E-1;2,417665797E-1
3,871852208E0;3,053494951E-1;-4,538676032E-1;2,674352717E-1
3,971652208E0;2,717541714E-1;-5,338256460E-1;-2,683146930E-1
4,071452208E0;3,730764784E-2;-5,573852473E-1;-1,441631019E-2
4,171252208E0;4,419197317E-1;-3,972548613E-1;-2,710161066E-1
4,271051292E0;3,393073827E-1;-2,948867798E-1;2,953463709E-1
4,370851292E0;2,434344249E-1;-2,384664112E-1;6,180618042E-1
4,470651292E0;-1,495206863E-1;-7,751083687E-1;4,672463250E-1
4,570451292E0;-1,717814018E-1;-1,171877034E0;1,166677397E-1
4,670251292E0;6,816550253E-1;-5,129730132E-1;-1,149164987E-1
4,770051292E0;7,134593468E-1;-5,130045882E-1;-6,257280886E-2
4,869850292E0;-5,524690546E-2;-9,102553564E-1;5,516707635E-1
4,969650292E0;2,858680709E-1;-7,629068376E-1;1,259870321E-1
5,069450292E0;-3,758908895E-1;-1,184349145E0;5,863850981E-1
5,169250292E0;1,013574634E-2;-8,067646095E-1;-1,405740809E-1
5,269049958E0;-1,755255567E-1;-7,981490296E-1;6,792435604E-1
5,368848958E0;2,206405896E-1;-5,957404970E-1;7,107173681E-2
5,468648958E0;-7,162283689E-2;-5,407623442E-1;3,006527191E-1
5,568448958E0;3,950825841E-1;-3,354215790E-1;4,151885641E-1
5,668248958E0;4,603652120E-1;-3,362178236E-1;-1,436017692E-2
5,768048958E0;9,219725188E-2;-7,049778874E-1;-2,084368658E-1
5,867847958E0;1,717985049E-4;-9,360522486E-1;6,298521298E-1
5,967647958E0;-1,746968966E-2;-5,471976435E-1;-6,303356946E-2
6,067447958E0;-2,553763396E-1;-1,478272888E0;-4,548958361E-2
6,167247958E0;2,323163098E-1;-5,479800010E-1;4,262941808E-1
6,267047292E0;-9,293253925E-2;-7,414810315E-1;-1,252023357E-1
6,366846292E0;3,245713029E-1;-6,826155035E-1;4,816029936E-1
6,466646292E0;-1,827634595E-1;-1,130258892E0;3,394811547E-1
6,566446292E0;7,549902923E-1;-5,895808938E-1;1,223065022E0
6,666246292E0;9,318992637E-1;-1,437566181E0;6,693956798E-1
6,766045292E0;6,420581925E-1;-1,132542522E0;1,666064698E-1
6,865845292E0;-1,433574652E-1;-1,129534860E0;3,764712256E-1
6,965645292E0;2,839031141E-1;-2,139835930E0;-2,993020123E-1
7,065445292E0;4,422241158E-1;-1,829829128E0;3,234744018E-1
7,165244292E0;3,015354294E-2;-1,936858610E0;6,175852561E-1
7,265044542E0;1,200502809E-1;-1,622198886E0;6,720164019E-1
7,364844542E0;2,184002289E-1;-9,959749532E-1;1,076788736E0
7,464644542E0;2,714281160E-1;-1,540980329E0;2,878063864E-1
7,564444542E0;2,023030635E-2;-1,656090225E0;4,043934345E-3
7,664243542E0;8,996406135E-1;-6,869785497E-1;4,296592534E-1
7,764043542E0;9,131412497E-1;-1,481340192E0;8,624315643E-1
7,863843542E0;1,976791950E-1;-1,474272954E0;-9,459882760E-1
7,963643542E0;-7,820596118E-2;-1,396352812E0;-5,919031155E-1
8,063443542E0;-9,273472063E-2;-6,311338395E-3;3,670519459E-1
8,163242542E0;-2,849227589E-2;5,014338255E-2;3,122062325E-2
8,263042792E0;-1,293002837E-1;1,898108527E-2;-1,510493678E-1
8,362842792E0;-1,229696130E-1;-2,287698273E-1;-1,024517552E0
8,462642792E0;-4,032791014E-1;-6,103243299E-1;-1,664877713E-1
8,562441792E0;-1,357175298E-2;-3,920528859E-1;1,331644893E-1
8,662241792E0;3,013432753E-1;-6,450331096E-1;1,024688290E0
8,762041792E0;1,966351746E-1;-1,005497436E0;1,049596844E0
8,861841792E0;2,650045476E-1;-1,479011392E0;3,077032918E-1
8,961641792E0;-7,889933132E-2;-1,114246292E0;6,718883479E-1
9,061440792E0;2,077487582E-1;-9,847572161E-1;1,627285963E-1
9,161240792E0;2,730103726E-1;-1,031421944E0;3,290052831E-1
9,261040542E0;2,908723008E-1;-8,970359713E-1;5,520473242E-2
9,360840542E0;5,029022441E-1;-5,313397023E-1;2,073679948E-1
9,460640542E0;2,415864490E-1;-8,571883661E-1;1,090868247E-1
9,560439542E0;2,488873555E-1;-8,437691523E-1;1,078875607E-1
9,660239542E0;4,099917781E-2;-8,358542150E-1;4,678439105E-1
9,760039542E0;1,267409940E-1;-6,944023208E-1;-4,396223241E-1
9,859839542E0;2,255702309E-1;-4,909097144E-1;-3,177084625E-2
9,959639542E0;-2,992637862E-2;-3,471030003E-1;2,175813264E-1
1,005943854E1;-5,230323438E-2;-4,722739072E-1;2,457748461E-1
1,015923854E1;-2,207718596E-2;-2,975721136E-2;1,296748710E-1
1,025903871E1;-3,199524777E-1;5,231503844E-2;-2,578891075E-1
1,035883871E1;-9,416319542E-2;3,456569839E-1;-1,119718409E-1
1,045863871E1;-6,885893114E-2;2,342124157E-1;-2,544597155E-1
1,055843771E1;-1,775170087E-1;2,303915526E-1;-3,857700527E-1
1,065823771E1;8,034151051E-2;3,889013828E-1;-2,827380198E-1
1,075803771E1;-3,666012718E-1;8,885852829E-2;1,729606390E-2
1,085783771E1;2,742249124E-2;5,790059119E-2;1,830120027E-1
1,095763771E1;-2,679018795E-2;8,296014950E-2;2,489808744E-1
1,105743771E1;1,678234215E-1;1,153782825E-1;-3,397431099E-1
1,115723671E1;-1,660436752E-1;-3,006913108E-1;-1,553780615E-2
1,125703683E1;5,745766461E-2;-2,874825968E-1;1,082758158E-1
1,135683683E1;-1,234748489E-1;-4,604581462E-1;3,589219773E-1
1,145663683E1;1,408442223E-1;-2,018948548E-1;4,525744915E-3
1,155643683E1;2,413060750E-1;-2,887939811E-2;1,432743251E-1
1,165623583E1;8,880261429E-2;-1,379665151E-2;9,116803229E-2
1,175603583E1;5,677006859E-2;-5,809208751E-2;1,316676021E-1
1,185583583E1;-1,286331530E-1;4,627486467E-2;1,280247867E-2
1,195563583E1;6,162161306E-3;1,996197031E-1;-6,341890097E-3
1,205543583E1;-1,359611760E-1;1,888713513E-1;-1,302981842E-1
1,215523583E1;-3,892147936E-2;1,948173849E-1;-1,163724554E-1
1,225503429E1;3,750860933E-2;8,286235482E-2;-6,051341951E-2
1,235483429E1;-4,688776251E-2;6,390451223E-1;-1,963799071E-1
1,245463429E1;-5,732259393E-2;5,690716387E-1;-2,747249955E-1
1,255443429E1;-8,904333685E-2;5,201098323E-1;-1,433573556E-1
1,265423429E1;-7,337082546E-2;6,419647832E-1;-2,240389913E-1
1,275403429E1;-1,384225979E-1;5,295862685E-1;-2,199552959E-1
1,285383329E1;-4,004774080E-1;6,911169165E-1;1,213214802E0
1,295363329E1;-1,614721759E-1;6,838163754E-1;-4,655868852E-1
1,305343329E1;1,609054345E-1;2,357073733E0;-1,985803898E0
1,315323329E1;-5,332887986E-1;1,894556636E0;-3,050276059E-1
1,325303408E1;-4,724989154E-1;1,174611777E0;-2,774842966E-1
1,335283408E1;-1,744673568E-1;1,185738590E0;-8,092955768E-2
1,345263308E1;-7,527676195E-2;1,000760388E0;-4,780683517E-2
1,355243308E1;-5,619616438E-2;9,451773403E-1;1,418359101E-2
1,365223308E1;-1,456315936E-1;7,963051832E-1;-1,255291951E-1
1,375203308E1;-8,915593229E-2;7,460983584E-1;-1,411634803E-1
1,385183308E1;-1,084226540E-1;5,962581948E-1;-2,165083623E-1
1,395163308E1;-1,542767750E-1;6,589710445E-1;-1,131880617E-1
1,405143208E1;-1,374995419E-1;4,723540141E-1;-2,003460735E-1
1,415123208E1;-1,406959223E-1;4,944382167E-1;-1,653557503E-1
1,425103104E1;-2,092129010E-1;4,326759781E-1;-1,196843183E-1
1,435083104E1;-1,032886160E-1;3,734907536E-1;-8,802573860E-2
1,445063104E1;-1,021192459E-1;4,075138012E-1;-1,243036187E-1
1,455043104E1;-6,039446522E-2;4,590388808E-1;-1,714526421E-1
1,465023104E1;6,376849137E-2;5,804421343E-1;-1,499676329E-1
1,475003004E1;1,817457151E-2;6,285832840E-1;-5,667647660E-2
1,484983004E1;5,687023871E-2;6,298793194E-1;1,063842416E-2
1,494963004E1;3,915803578E-2;6,066185108E-1;-4,103575945E-2
1,504943004E1;-1,753740773E-2;5,870610362E-1;5,952816367E-2
1,514923004E1;3,552501451E-2;4,594394150E-1;1,187569499E-2
1,524903017E1;-4,240338665E-2;3,512457526E-1;9,466642141E-4
1,534883017E1;-7,587595537E-2;3,249878074E-1;-1,727559865E-2
1,544862917E1;-1,253444596E-1;2,655042288E-1;-1,466130853E-1
1,554842917E1;-9,913632542E-2;2,002601194E-1;-1,191697633E-1
1,564822917E1;-1,867415030E-1;2,306793818E-1;2,325577998E-1
1,574802917E1;-3,251614332E-1;1,973182391E-1;-1,526608604E-1
1,584782917E1;-1,471143013E-1;1,402850823E-1;-9,374373078E-2
1,594762917E1;-2,387151372E-2;1,713044152E-1;-2,252897108E-1
1,604742917E1;-1,298585832E-1;2,331482224E-1;-1,440332937E-1
1,614722817E1;3,359598152E-2;3,929751380E-1;-1,522731900E-1
1,624702892E1;7,591429118E-2;4,535046373E-1;8,932265103E-2
1,634682892E1;-6,297239296E-2;5,771383113E-1;1,950473267E-1
1,644662892E1;-3,269938409E-2;4,722967114E-1;-1,281908476E-1
1,654642892E1;2,577372260E-2;7,675398789E-1;-1,433982861E-1
1,664622892E1;1,004907964E-1;8,384892628E-1;-1,962781656E-1
1,674602892E1;9,016903549E-2;7,052597232E-1;-3,427626121E-1
1,684582892E1;5,905545283E-2;7,030414358E-1;-3,465814286E-1
1,694562792E1;-2,681079939E-2;6,399075866E-1;-1,399463823E0
1,704542792E1;2,521915440E-1;1,717973501E0;-8,870799172E-1
1,714522792E1;-3,552250386E-1;1,904459480E0;-9,950206876E-1
1,724502821E1;-8,115590340E-1;1,652210743E0;-1,136839641E0
1,734482821E1;-2,218913456E-1;1,677003961E0;-9,120229697E-1
1,744462821E1;9,225718584E-2;2,492906307E0;9,317964989E-1
1,754442821E1;2,054949123E-1;1,857943857E0;-1,901850745E0
1,764422821E1;-4,647507334E-1;2,365663000E0;1,291965103E0
1,774402721E1;-3,290477120E-1;2,859909428E0;5,374819100E-2
1,784382721E1;-1,969974096E-1;1,885506462E0;-1,892115716E0
1,794362721E1;-1,892119151E-1;2,317819620E0;-2,399181579E0
1,804342721E1;4,100224759E-2;1,589449800E0;-1,567687633E0
