"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
7,945933334E-2;-1,781735229E1;-3,207516479E1;-7,355349541E0
1,792583333E-1;-1,846354675E1;-3,207241821E1;-7,047331810E0
2,790586667E-1;-1,879347229E1;-3,205371094E1;-5,869324684E0
3,788586667E-1;-1,845378113E1;-3,227337646E1;-6,038777351E0
4,786586667E-1;-1,858915710E1;-3,536830139E1;-2,849191666E0
5,784576667E-1;-1,743524170E1;-3,672035217E1;-3,883285522E-1
6,782576667E-1;-1,678373718E1;-3,667407227E1;1,667552948E0
7,780576667E-1;-1,519543839E1;-3,679875183E1;1,679727554E0
8,778576667E-1;-1,444475555E1;-3,623225403E1;-2,329112053E0
9,776576667E-1;-1,278303146E1;-3,606010437E1;-5,541480064E0
1,077456667E0;-1,007288742E1;-3,420619202E1;-2,259428024E0
1,177256667E0;-3,378559113E0;-3,584390259E1;-1,887226105E-1
1,277056542E0;3,511131287E0;-4,051373291E1;-5,217257500E0
1,376856542E0;-1,004019928E1;-4,941668701E1;-3,098063660E1
1,476656542E0;-1,953270721E1;-3,615646362E1;-3,168806076E1
1,576455542E0;-1,870199585E1;-3,657009888E1;-2,404420471E1
1,676255542E0;-1,512221146E1;-3,874136353E1;-2,188214493E1
1,776055542E0;-1,256260681E1;-3,766581726E1;-2,290745926E1
1,875855542E0;-1,028950119E1;-3,702278137E1;-2,531467819E1
1,975655542E0;-9,590137482E0;-3,642716980E1;-2,537638855E1
2,075454542E0;-9,173870087E0;-3,663490295E1;-2,481237793E1
2,175254542E0;-9,669109344E0;-3,666163635E1;-2,314293289E1
2,275054333E0;-8,732997894E0;-3,661175537E1;-2,261325455E1
2,374854333E0;-8,981185913E0;-3,656973267E1;-2,162420654E1
2,474654333E0;-8,384803772E0;-3,624671936E1;-2,126366043E1
2,574453333E0;-8,151943207E0;-3,617399597E1;-2,150743866E1
2,674253333E0;-8,190452576E0;-3,681134033E1;-2,075810623E1
2,774053333E0;-7,563613892E0;-3,639668274E1;-2,071791840E1
2,873853333E0;-7,982181549E0;-3,644534302E1;-2,046023560E1
2,973653333E0;-7,800697327E0;-3,564613342E1;-2,025674438E1
3,073452333E0;-7,917335510E0;-3,624047852E1;-2,023369598E1
3,173252333E0;-7,919857025E0;-3,585687256E1;-1,992598343E1
3,273053208E0;-7,702903748E0;-3,592066956E1;-2,020852280E1
3,372853208E0;-7,935024261E0;-3,636759949E1;-1,923724365E1
3,472653208E0;-7,346141815E0;-3,632795715E1;-1,966347885E1
3,572453208E0;-7,702369690E0;-3,643881226E1;-1,939731979E1
3,672252208E0;-7,110755920E0;-3,601072693E1;-1,921656418E1
3,772052208E0;-7,979320526E0;-3,657418823E1;-1,889994812E1
3,871852208E0;-7,173267365E0;-3,608357239E1;-1,913245392E1
3,971652208E0;-7,472686768E0;-3,658468628E1;-1,862619400E1
4,071452208E0;-7,185211182E0;-3,634838867E1;-1,841217041E1
4,171252208E0;-6,839832306E0;-3,619656372E1;-1,829553604E1
4,271051292E0;-6,767089844E0;-3,612458801E1;-1,782768631E1
4,370851292E0;-5,624618530E0;-3,552471924E1;-1,640538788E1
4,470651292E0;-6,216480255E0;-3,585803223E1;-1,654464722E1
4,570451292E0;-5,784709930E0;-3,551147461E1;-1,666120529E1
4,670251292E0;-6,324600220E0;-3,570315552E1;-1,637446213E1
4,770051292E0;-5,358501434E0;-3,534883118E1;-1,764985657E1
