"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
5,953608334E-2;-2,604284363E0;3,830684052E0;6,258934479E0
1,600280833E-1;8,183482361E-1;4,441863098E0;9,506281586E0
2,605210833E-1;-1,079555054E0;2,462379456E0;8,269852753E0
3,610139583E-1;2,472857666E-1;7,574249268E-1;1,342468323E1
4,615069583E-1;1,778302002E-1;1,054856415E0;9,613458710E0
5,619989583E-1;-7,470964050E-1;1,193767548E0;8,699010315E0
6,624919583E-1;-8,009843445E-1;9,020242310E-1;1,088177124E1
7,629849583E-1;1,751358032E-2;6,463558960E-1;1,070858139E1
8,634779583E-1;-3,003055115E0;1,438059540E0;1,003767654E1
9,639699583E-1;-2,260299683E0;1,268462219E0;1,083087708E1
1,064462958E0;-3,301983490E0;1,250948639E0;9,291178894E0
1,164955958E0;-3,700155487E0;-3,481759644E-1;1,154504196E1
1,265448958E0;6,725514221E-1;1,174457703E0;7,079228668E0
1,365940333E0;2,640059967E0;1,892065430E-1;9,240135040E0
1,466433333E0;-6,609804840E0;-2,121089172E-1;7,836204529E0
1,566926333E0;-5,450765076E0;8,428971863E-1;9,618997192E0
1,667419333E0;3,073558502E0;2,381248169E0;8,738827515E0
1,767911333E0;3,517235870E0;-2,368075562E0;9,858499146E0
1,868404333E0;-1,774859161E0;1,306183777E0;7,022346954E0
1,968897333E0;-3,847449188E0;-1,351689148E-1;9,636211395E0
2,069390333E0;-5,161117401E0;7,243437195E-1;9,471553802E0
2,169882333E0;-5,804030457E0;1,617087250E0;1,105451202E1
2,270375333E0;-6,891069946E0;2,668051758E0;1,282982025E1
2,370868375E0;-6,531068573E0;4,023932190E0;7,557484131E0
2,471361375E0;-4,046984253E0;6,918462982E0;4,495900726E0
2,571853375E0;-7,564968567E0;5,097799072E0;5,840853882E0
2,672346375E0;-7,093000031E0;3,007695465E0;1,008976822E1
2,772839375E0;-2,115251312E0;2,386038208E0;1,043629761E1
2,873332375E0;2,797233124E0;-3,438349915E-1;6,858437805E0
