"Time (s)";"X (hPa)"
-5,537912917E-1;1,019001617E3
4,515597083E-1;1,019004288E3
1,456933708E0;1,019006958E3
2,462347708E0;1,019048767E3
3,467742708E0;1,019097595E3
3,819353708E0;1,019106598E3
4,891747708E0;1,019113007E3
5,964150708E0;1,019133148E3
7,036554708E0;1,019144516E3
8,108993708E0;1,019148254E3
9,181386708E0;1,019153671E3
1,025382671E1;1,019163589E3
1,132624171E1;1,019175034E3
1,239864171E1;1,019205093E3
1,347102371E1;1,019270782E3
1,454344471E1;1,019386826E3
1,561583971E1;1,019562302E3
1,668824571E1;1,019787369E3
1,776062771E1;1,019968796E3
1,883303471E1;1,019968796E3
1,990545371E1;1,019830780E3
2,097780371E1;1,019565887E3
2,205016971E1;1,019236526E3
2,312252071E1;1,018940048E3
2,419487471E1;1,018835449E3
2,526720371E1;1,018835449E3
2,633954371E1;1,018848038E3
2,741189971E1;1,018848038E3
2,848427371E1;1,018806229E3
2,955664071E1;1,018710785E3
3,062898271E1;1,018580704E3
3,170134771E1;1,018478775E3
3,277371671E1;1,018451462E3
3,384610971E1;1,018451462E3
3,491846771E1;1,018466415E3
3,599084471E1;1,018466415E3
3,706321371E1;1,018457336E3
3,813554471E1;1,018379211E3
3,920787271E1;1,018287201E3
4,028020971E1;1,018209152E3
4,135249371E1;1,018164291E3
4,242480371E1;1,018132706E3
4,349713571E1;1,018106384E3
4,456947271E1;1,018024979E3
4,564180071E1;1,017896576E3
4,671421871E1;1,017745361E3
4,778658071E1;1,017624359E3
4,885892771E1;1,017542648E3
4,993127071E1;1,017488098E3
5,100362171E1;1,017430267E3
5,207599471E1;1,017345657E3
5,314834471E1;1,017228088E3
5,422072871E1;1,017106628E3
5,529315171E1;1,017000961E3
5,636556971E1;1,016897659E3
5,743795571E1;1,016809006E3
5,851033371E1;1,016724625E3
5,958270771E1;1,016628571E3
6,065506571E1;1,016507721E3
6,172742471E1;1,016384201E3
6,279979571E1;1,016255493E3
6,387216771E1;1,016133804E3
6,494454271E1;1,016009903E3
6,601692571E1;1,015911713E3
6,708930171E1;1,015911713E3
6,816162971E1;1,015915527E3
6,923397471E1;1,015938873E3
7,030634571E1;1,015995102E3
7,137871071E1;1,016076965E3
7,245109571E1;1,016084747E3
7,352349871E1;1,016113434E3
7,459587371E1;1,016145859E3
7,566823771E1;1,016175385E3
7,674061071E1;1,016203156E3
7,781302171E1;1,016236954E3
7,888542271E1;1,016272583E3
7,995780171E1;1,016294708E3
8,103018471E1;1,016321182E3
8,210255671E1;1,016417694E3
8,317494671E1;1,016544724E3
8,424737071E1;1,016675034E3
8,531977571E1;1,016809464E3
8,639222071E1;1,016941833E3
8,746468771E1;1,017012177E3
8,853713571E1;1,017032928E3
