"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
4,195008334E-2;-1,778493047E0;-2,111487389E0;-6,207012758E-2
1,424420833E-1;-1,387461305E0;-2,978824615E0;-4,061356187E-1
2,429350833E-1;3,094789982E-1;-1,666614562E-1;-1,980882883E0
3,434280833E-1;1,185488701E-1;4,105644822E-1;-1,045566916E0
4,439209583E-1;-9,983844310E-2;3,790663779E-1;-8,047793508E-1
5,444129583E-1;-2,781202197E-1;1,036801785E-1;1,037605926E-1
6,449059583E-1;-4,796603024E-1;7,585920691E-1;2,150112689E-1
7,453989583E-1;-5,575960279E-1;1,340074390E-1;-2,471238822E-1
8,458919583E-1;-2,177370787E-1;-2,609102130E-1;-2,813874185E-1
9,463839583E-1;-2,453249693E-1;2,012017071E-1;-7,321829349E-2
1,046876958E0;4,687815607E-1;1,134685427E-1;-6,112950444E-1
1,147369958E0;3,390263915E-1;4,032759070E-1;-3,825995326E-1
1,247862958E0;-6,417647004E-1;-7,718831897E-1;-4,715935141E-2
1,348354958E0;1,442375481E-1;-3,094667494E-1;-9,926381707E-1
1,448847333E0;1,127814531E0;-1,271936417E0;-5,468938351E-1
1,549340333E0;4,012146294E-1;8,314595819E-1;-5,683761835E-2
1,649833333E0;-8,729443550E-1;2,232911438E-1;2,178862095E0
1,750325333E0;1,654044032E0;1,070496440E0;5,646651387E-1
1,850818333E0;7,993083596E-1;1,192560643E-1;-4,240766466E-1
1,951311333E0;6,067371964E-1;-3,541062176E-1;-1,782511353E0
2,051804333E0;5,318607688E-1;-5,631985664E-1;-1,337841868E0
2,152296333E0;1,835929155E0;3,110116124E-1;-7,536579370E-1
2,252789333E0;-1,268129826E0;-1,060125828E0;2,809463143E-1
2,353282375E0;8,683104515E-1;1,615523845E-1;1,203855157E0
2,453775375E0;5,293935537E-2;2,056043744E-1;1,846278906E0
2,554267375E0;-5,028110147E-1;-1,590888500E0;1,650033832E0
2,654760375E0;-5,734539628E-1;-5,021440387E-1;2,218124866E0
2,755253375E0;-4,419738650E-1;-1,050998807E0;1,849364400E0
2,855746375E0;-6,292715073E-1;1,478540301E0;2,071876049E0
2,956238375E0;-1,318657398E0;-8,521633744E-1;1,292290568E0
3,056731375E0;-6,000103354E-1;-9,098314047E-1;3,082493320E-2
3,157224375E0;-5,662958026E-1;-7,976463437E-2;8,366640210E-1
3,257717375E0;6,775008440E-1;-8,420881033E-1;-6,730989367E-2
3,358209458E0;-3,667746782E-1;-1,015269518E0;3,841340542E-1
