"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
4,195008334E-2;4,238295794E-2;1,918936309E-1;-2,835117234E0
1,424420833E-1;1,442580315E0;5,323872310E-1;2,710745788E-1
2,429350833E-1;-7,434732509E-1;-6,559348047E-2;-7,759278560E-1
3,434280833E-1;5,008892304E-1;-1,537923844E0;3,899433274E0
4,439209583E-1;1,590185526E0;-1,004033001E0;1,951601779E-1
5,444129583E-1;5,812356015E-1;-8,851974061E-1;-3,757555264E-1
6,449059583E-1;1,242138493E0;-7,714519586E-1;5,025810492E-1
7,453989583E-1;1,586873078E0;-4,156999762E-1;8,161748260E-1
8,458919583E-1;-1,320154822E0;5,713910830E-1;1,039423859E0
9,463839583E-1;-4,686183742E-1;5,726479786E-1;9,182239419E-1
1,046876958E0;-6,375118361E-1;5,692782647E-1;5,351833695E-1
1,147369958E0;8,264688492E-2;-1,287932424E0;1,939229071E0
1,247862958E0;1,996258135E0;1,109604187E-2;-2,999114091E0
1,348354958E0;5,024637541E0;3,750451263E-1;-6,324354297E-1
1,448847333E0;-4,116370237E0;-1,314472351E0;8,796720797E-1
1,549340333E0;-4,766537349E0;1,859161320E-1;1,320839238E-1
1,649833333E0;-5,831445127E0;7,047560148E0;-2,838017453E0
1,750325333E0;1,540027087E0;1,167007765E-1;1,619133775E0
1,850818333E0;9,504651967E-1;1,301826724E0;-1,158012409E0
1,951311333E0;-1,644427661E0;-2,647456110E0;1,857893132E0
2,051804333E0;-2,078842455E0;-9,707455333E-1;1,086216787E0
2,152296333E0;-2,198030052E0;-1,378409900E0;3,726359784E0
2,252789333E0;-2,448706911E0;5,136799416E-1;2,204756981E0
2,353282375E0;-3,660044757E0;1,366904480E0;-5,295004606E-2
2,453775375E0;-7,155673411E-1;1,273055499E0;-4,013825862E0
2,554267375E0;-6,310747826E0;2,229605309E0;-4,977442909E0
2,654760375E0;-7,920543013E0;-1,441280186E-1;-1,768462307E0
2,755253375E0;-1,949305578E0;4,160128753E-1;-3,394315118E0
2,855746375E0;-4,636388853E-1;-3,772670609E0;-5,654415411E-1
2,956238375E0;1,722802716E0;-1,751081459E0;-1,748226848E0
3,056731375E0;1,875698781E0;-1,308266117E0;1,712326698E0
3,157224375E0;2,148709957E0;-3,537239853E-1;7,923947847E-1
3,257717375E0;1,084946771E0;9,995003857E-1;1,541975672E0
3,358209458E0;1,152366337E0;1,689955690E0;-2,604612976E-1
3,458702458E0;1,088361545E0;4,660288470E0;1,646663051E0
3,559195458E0;5,576264450E-1;-1,438063669E-1;-1,092944593E0
3,659688458E0;5,023939383E-1;1,147717435E0;-5,150227547E-2
3,760180458E0;-7,648772031E-2;1,276964071E0;-5,019729388E-1
3,860673458E0;-1,096740313E-1;1,458191357E0;-1,099446112E-1
3,961166458E0;-2,444593687E-1;1,325335308E0;1,293626297E-1
4,061659458E0;-2,585559824E-1;1,190277345E0;-7,362930894E-2
4,162152458E0;-1,537487349E-1;1,037766246E0;1,372657263E-1
4,262644458E0;-1,734105822E-1;9,480554129E-1;1,635817051E-2
4,363137583E0;-1,446992916E-1;8,527215318E-1;1,064169860E-1
4,463630583E0;-1,600448705E-1;7,813718330E-1;-3,729938865E-3
4,564123583E0;-8,920219839E-2;7,222194260E-1;8,341345489E-2
4,664615583E0;-9,955103919E-2;6,680716509E-1;8,657095134E-2
4,765108583E0;-6,188064471E-2;6,166048242E-1;1,140306455E-1
4,865601583E0;-4,696732119E-2;5,869722316E-1;6,978301048E-2
4,966094583E0;-6,507234737E-2;5,450833634E-1;1,440473270E-1
5,066587583E0;-7,116850823E-2;5,082948022E-1;8,735155463E-2
5,167079583E0;-6,870829225E-2;4,700333273E-1;7,560859144E-2
5,267572583E0;-1,140489180E-1;4,270130228E-1;-1,628449559E-3
5,368066250E0;-4,615338877E-2;4,025328505E-1;7,666576803E-2
5,468559250E0;-2,370051920E-2;3,829227510E-1;1,131909853E-1
5,569051250E0;-5,034978926E-2;3,756297382E-1;8,023256958E-2
5,669544250E0;-1,879075840E-2;3,663779812E-1;1,225108624E-1
5,770037250E0;-8,965711176E-2;3,436817213E-1;9,759412229E-2
5,870530250E0;-3,316219121E-2;3,511091470E-1;2,146454394E-2
5,971023250E0;2,119323313E-3;2,868992639E-1;5,125026047E-2
6,071515250E0;-9,163770989E-2;2,631844191E-1;1,107959658E-1
6,172008250E0;-6,288154185E-2;2,335499261E-1;9,378641546E-2
6,272501250E0;-1,035805017E-2;2,656895124E-1;9,622002661E-2
6,372993208E0;-6,263011158E-2;2,413705771E-1;9,886296809E-2
6,473485208E0;-4,607635170E-2;2,561592087E-1;5,979362726E-2
6,573978208E0;-4,740980923E-2;2,344566831E-1;8,799416363E-2
6,674471208E0;-1,123118564E-2;2,054186793E-1;1,347227722E-1
6,774964208E0;-3,478040814E-2;1,758373960E-1;3,136797309E-2
6,875457208E0;2,720490173E-2;2,183709197E-1;1,372236264E-1
6,975949208E0;-6,673865765E-3;2,094776702E-1;1,667093807E-1
7,076442208E0;5,367831677E-2;1,823223236E-1;1,530514544E-1
7,176935208E0;-5,603635266E-2;1,704069407E-1;1,595529735E-2
7,277428208E0;2,727821119E-2;1,723305284E-1;1,033723408E-1
7,377921875E0;-6,515727818E-2;1,832124891E-1;-1,324043512E-2
7,478413875E0;-3,197681442E-2;1,428457242E-1;6,940995812E-2
7,578906875E0;7,420409024E-3;1,552030836E-1;1,593687862E-1
7,679399875E0;3,062596142E-2;1,513179743E-1;1,814905572E-1
7,779892875E0;-3,590533935E-2;1,509345431E-1;1,069648701E-1
7,880384875E0;-3,403167218E-2;1,651630115E-1;3,552358925E-2
7,980877875E0;-1,354068965E-3;1,407177032E-1;2,488341093E-2
8,081370875E0;1,573778093E-2;1,266854089E-1;1,030671161E-1
8,181863875E0;-2,438215837E-3;1,433302391E-1;1,274733943E-1
8,282356875E0;2,014460810E-2;1,138566908E-1;1,957753050E-1
8,382848958E0;4,115511574E-2;1,280560693E-1;8,480509222E-2
8,483341958E0;-2,292503223E-2;1,120015886E-1;1,632145000E-1
8,583834958E0;1,680475160E-2;1,463809508E-1;1,482918209E-1
8,684327958E0;5,779278316E-2;1,002127978E-1;1,168279535E-1
8,784820958E0;-1,289384142E-3;1,091695628E-1;1,806193221E-1
8,885312958E0;-9,753886610E-3;1,269513841E-1;-7,510748506E-3
8,985805958E0;-3,883991070E-2;1,143391592E-1;1,364389300E-1
9,086298958E0;-5,127715766E-3;1,045107937E-1;4,204674304E-2
9,186791958E0;-3,028799236E-2;1,018885367E-1;1,334229362E-1
9,287283958E0;-3,384660780E-3;1,262524956E-1;1,246006572E-1
9,387776708E0;-1,530128628E-2;6,161561966E-2;1,514604270E-1
9,488269708E0;-8,221199825E-2;8,557158910E-2;8,069625378E-2
9,588762708E0;1,072123535E-2;8,205843575E-2;2,188028097E-2
9,689255708E0;1,017313197E-2;9,095957905E-2;1,758035553E-1
9,789747708E0;-2,408913977E-2;2,444114947E-1;1,601230770E-1
9,890240708E0;8,162318364E-2;-3,979987733E-2;1,267191035E-1
9,990733708E0;6,093916990E-2;5,651333928E-2;1,020514548E-2
1,009122671E1;-1,292892471E-3;1,658878469E-1;6,007604778E-2
1,019171971E1;-4,658622891E-3;1,265056801E-1;1,440268618E-1
1,029221171E1;-8,981396332E-3;1,078141782E-1;1,583449388E-1
1,039270433E1;-1,584178828E-2;5,694968775E-2;1,867705929E-1
1,049319733E1;2,050633147E-2;9,216892943E-2;6,241551876E-2
1,059369033E1;1,063681617E-3;1,194425359E-1;5,631687284E-2
1,069418333E1;-1,255082913E-2;9,056299165E-2;2,405018270E-2
1,079467533E1;-2,019957192E-2;5,790132210E-2;2,099746835E-1
1,089516833E1;-2,926458344E-3;8,471548364E-2;7,233648956E-2
1,099566133E1;-9,073051438E-3;7,311767757E-2;2,366251230E-2
1,109615433E1;-3,158505097E-2;9,874090746E-2;8,921389282E-2
1,119664733E1;-2,054463074E-2;1,255417666E-1;1,299122679E-1
1,129713933E1;4,794139422E-2;6,893370241E-2;9,303855658E-2
1,139763271E1;7,674470544E-3;8,811300829E-2;3,002720654E-2
1,149812571E1;-5,441206925E-2;8,356475160E-2;1,291854590E-1
1,159861871E1;1,253102168E-2;4,535100460E-2;1,047499448E-1
1,169911171E1;1,627667494E-2;2,453930229E-2;1,656141973E-1
1,179960371E1;2,171853237E-2;6,731124625E-2;1,013872111E-1
1,190009671E1;5,336534455E-2;1,490703776E-2;1,284165502E-1
1,200058971E1;-1,928616375E-2;1,084950864E-2;2,295786434E-1
1,210108271E1;5,370134018E-2;1,295742989E-3;1,548646760E-1
1,220157571E1;9,130580731E-2;2,625458300E-2;1,352408355E-1
1,230206771E1;6,941960603E-2;3,580001637E-2;9,412263036E-2
1,240256050E1;3,803182550E-2;5,625752360E-3;9,686497450E-3
1,250305350E1;2,769277878E-2;1,201515108E-2;1,126676595E-1
1,260354650E1;-1,037281439E-2;3,690908700E-3;1,713280964E-1
1,270403950E1;7,856757492E-3;-4,369039536E-3;1,621637553E-1
1,280453150E1;-1,681783475E-2;-3,728140846E-2;8,341579378E-2
1,290502450E1;4,743626788E-3;-6,054762572E-2;7,923094153E-2
1,300551750E1;-2,188839398E-2;-2,595432848E-3;-1,243702769E-2
1,310601050E1;2,998963818E-3;-5,457352549E-2;3,001726627E-2
1,320650350E1;-2,506715968E-2;7,550801933E-3;-8,495419621E-3
1,330699550E1;6,439078130E-2;-5,695560805E-2;1,122834975E-1
1,340748850E1;7,872011416E-2;-9,532459863E-2;1,499395663E-1
1,350798150E1;4,783687524E-2;-7,517414331E-2;7,436488867E-2
1,360847450E1;5,326462626E-2;-1,302540377E-2;3,010731339E-3
1,370896750E1;-3,158665895E-3;-4,810255811E-2;-1,747732759E-3
1,380945950E1;-3,542330950E-2;-4,589866944E-2;3,355717063E-3
1,390995250E1;1,252181232E-2;-7,049936749E-2;-4,233559549E-2
1,401044550E1;3,824663758E-3;-8,743114986E-2;2,114704013E-2
1,411093850E1;-1,440534666E-2;-8,832592003E-2;-3,546394765E-2
1,421143150E1;2,052226514E-2;-5,050452121E-2;5,257173121E-2
1,431192350E1;8,767154351E-2;-5,518390171E-2;2,411040902E-2
1,441241675E1;5,346825555E-2;-3,888551898E-2;9,243804753E-2
1,451290975E1;-6,173636466E-3;-5,226994179E-2;4,376757860E-2
1,461340275E1;-8,163312390E-2;-1,056488080E-1;-5,626834095E-2
1,471389575E1;-6,704358995E-2;-6,245900743E-2;1,321119905E-2
1,481438775E1;-3,444697067E-2;-7,262599982E-2;-7,235929370E-2
1,491488075E1;-1,400715128E-2;-7,074546218E-2;6,654482245E-2
1,501537375E1;3,973709285E-2;-1,090400469E-1;6,116713822E-2
1,511586675E1;2,222409725E-2;-3,301272176E-2;-2,092543066E-2
1,521635975E1;-3,056573510E-2;-6,852965981E-2;1,109450698E-2
1,531685175E1;-3,426746115E-2;-3,564550370E-2;-9,534762204E-2
1,541734471E1;3,333790004E-2;-3,772747792E-2;2,567220032E-2
1,551783771E1;7,714129284E-2;-1,088342249E-1;4,927039325E-2
1,561833071E1;-2,371586815E-2;-5,152646832E-2;4,805241823E-3
1,571882371E1;-4,990773976E-2;-4,866411008E-2;-1,311939776E-1
1,581931671E1;-5,557646915E-2;-4,527711041E-2;-1,079015940E-1
1,591980871E1;2,048586622E-2;-6,877005346E-2;1,066321635E-1
1,602030171E1;4,557363734E-2;-6,096160859E-3;6,033800304E-2
1,612079471E1;8,831853792E-2;-8,783804297E-2;-1,216641855E-1
1,622128771E1;9,506344736E-2;-9,539513066E-3;1,408594251E-1
1,632177971E1;2,625838369E-2;-5,837940507E-2;4,392545342E-2
1,642227238E1;-4,010853723E-2;-4,887234405E-2;-6,767508924E-2
1,652276538E1;-5,208100364E-2;-9,493027702E-3;-2,461432207E-1
1,662325838E1;1,749179944E-2;-5,264672175E-2;7,556473732E-2
1,672375138E1;1,047434398E-1;-2,208208300E-2;5,505972147E-2
1,682424438E1;1,423444717E-1;-1,315769702E-3;8,823389947E-2
1,692473638E1;7,256189972E-2;-7,968366221E-3;1,102492511E-2
1,702522938E1;-3,261986196E-2;-3,969762415E-2;-1,029297066E-1
1,712572237E1;1,780352913E-2;3,720875680E-3;-1,679934293E-1
1,722621538E1;9,569962442E-2;3,628708944E-3;-1,209432238E-1
1,732670738E1;1,191821156E-1;-4,199104831E-2;-6,730729938E-2
1,742720025E1;1,030559333E-1;4,806265086E-3;-1,342813075E-2
1,752769325E1;1,460460515E-1;1,312677987E-2;5,315820694E-2
1,762818625E1;1,615256779E-1;-2,529753998E-2;-1,062901014E-1
1,772867925E1;1,026240434E-1;-1,692840560E-1;-1,166683245E-1
1,782917125E1;1,653563350E-1;-4,284652519E-1;-1,955203664E-1
1,792966425E1;2,040366898E-1;-3,989358627E-1;-1,013702542E-1
1,803015725E1;3,113370439E-1;-3,695410325E-1;5,610403419E-3
1,813065025E1;2,712802546E-1;-4,274741489E-1;-1,194264561E-1
1,823114325E1;1,284858397E-1;-6,168349122E-1;-4,433592796E-2
1,833163525E1;1,939002492E-1;-7,888583156E-1;1,581081265E-1
1,843212858E1;1,346296553E-1;-4,410036557E-1;-1,040020859E-1
1,853262158E1;3,252848460E-1;-4,302539152E-1;1,839650989E-2
1,863311458E1;3,122106180E-1;-6,177983871E-1;7,275456548E-2
