"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
2,983307838E-2;5,235504155E1;4,890544200E0;-2,548115969E0;NaN;NaN;2,686324436E2;3,644562912E1
6,853699684E-2;5,235508178E1;4,890530717E0;-2,548115969E0;NaN;NaN;3,301426323E2;3,644562912E1
2,246402109E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,314778950E2;3,644562912E1
2,247634304E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,314778992E2;3,644562912E1
3,344367409E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,539893287E2;3,644562912E1
3,344693506E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,539893351E2;3,644562912E1
5,254402304E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,901839741E2;3,644562912E1
5,254784906E1;5,235508296E1;4,890530319E0;-2,548115969E0;NaN;NaN;3,901839741E2;3,644562912E1
8,710960209E1;5,234689667E1;4,890951206E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
8,711138809E1;5,234386606E1;4,891126180E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
1,317038621E2;5,234162835E1;4,891282012E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
1,317086711E2;5,234126820E1;4,891316136E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
1,499909980E2;5,233994902E1;4,889344428E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
1,499925641E2;5,233929366E1;4,888364892E0;-2,548115969E0;NaN;NaN;1,414000000E3;3,644562912E1
1,587444590E2;5,233839653E1;4,889409070E0;1,550490141E0;NaN;NaN;1,171819522E2;3,644562912E1
1,598933021E2;5,233839175E1;4,889413151E0;1,550490141E0;NaN;NaN;1,171819522E2;3,644562912E1
1,697503430E2;5,233761015E1;4,887738945E0;-5,137851715E0;1,102000046E1;2,654296875E2;5,381039411E1;9,600000000E1
1,707493445E2;5,233823201E1;4,888598844E0;3,808315277E0;1,102000046E1;3,019921875E2;2,934027536E1;3,000000000E0
1,710973467E2;5,233825027E1;4,888551125E0;-2,903926102E-1;1,102000046E1;3,019921497E2;2,934027536E1;3,000000000E0
1,720973476E2;5,233835141E1;4,888110179E0;6,640468597E0;1,438000011E1;2,808984375E2;1,070677070E1;3,000000000E0
1,730973488E2;5,233837584E1;4,887903009E0;2,541779551E0;1,438000011E1;2,808982735E2;1,502172381E1;8,875170259E0
1,740973502E2;5,233841746E1;4,887738867E0;2,631382977E0;1,438000011E1;2,851170263E2;1,525231161E1;8,472769550E0
1,751005957E2;5,233844429E1;4,887576820E0;2,646329680E0;1,289000034E1;2,851170425E2;1,575257714E1;7,721989456E0
1,761162460E2;5,233847484E1;4,887392118E0;2,664152279E0;1,289000034E1;2,851170407E2;1,821307872E1;5,990956006E0
1,800993247E2;5,233879686E1;4,886351656E0;7,662319183E0;1,553999996E1;2,925000000E2;9,803150522E0;6,000000000E0
1,810991056E2;5,233885031E1;4,886141012E0;3,563682449E0;1,553999996E1;2,924998332E2;9,803150522E0;6,000000000E0
1,820989013E2;5,233892051E1;4,886003185E0;5,093051803E0;1,553999996E1;2,921482703E2;6,779021664E0;6,000000000E0
1,830986975E2;5,233895722E1;4,885763967E0;7,602695359E0;1,553999996E1;2,921482703E2;5,610935137E0;6,000000000E0
1,840985110E2;5,233899134E1;4,885541208E0;7,827118202E0;1,569999981E1;2,907420170E2;4,696854139E0;6,000079450E0
1,850983434E2;5,233905109E1;4,885305240E0;8,604836738E0;1,607999992E1;2,907420128E2;4,399086229E0;6,000685549E0
1,860981721E2;5,233910045E1;4,885054866E0;7,035015460E0;1,720999908E1;2,872263716E2;4,292410764E0;6,000892928E0
