"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
4,195008334E-2;8,381118774E0;-2,602862549E1;-2,142089844E0
1,424420833E-1;7,194351196E0;-2,540068436E1;-9,900634766E0
2,429350833E-1;9,188690186E0;-2,383786774E1;-1,218684387E1
3,434280833E-1;1,258218384E1;-2,232494354E1;-1,276663208E1
4,439209583E-1;1,423840332E1;-2,112880325E1;-1,307580566E1
5,444129583E-1;1,586024475E1;-2,066716385E1;-1,230194092E1
6,449059583E-1;1,545232391E1;-2,033591461E1;-1,316290283E1
7,453989583E-1;1,534508514E1;-1,990295029E1;-1,449829102E1
8,458919583E-1;1,718925476E1;-1,881625748E1;-1,426287842E1
9,463839583E-1;1,738869476E1;-1,847567368E1;-1,436669922E1
1,046876958E0;1,811923981E1;-1,817260361E1;-1,316271973E1
1,147369958E0;1,893164062E1;-1,796590424E1;-1,160034180E1
1,247862958E0;1,888312531E1;-1,783090591E1;-1,109350586E1
1,348354958E0;1,843052673E1;-1,638117599E1;-1,205516052E1
1,448847333E0;1,996340942E1;-1,478239059E1;-1,065646362E1
1,549340333E0;1,881401825E1;-1,373379898E1;-1,254243469E1
1,649833333E0;1,927826691E1;-1,622832108E1;-8,841506958E0
1,750325333E0;2,048069763E1;-1,513182449E1;-5,103118896E0
1,850818333E0;2,123379517E1;-1,360404587E1;-3,956420898E0
1,951311333E0;2,259578705E1;-1,141064453E1;-3,808624268E0
2,051804333E0;2,363155365E1;-6,488761902E0;-7,334442139E0
2,152296333E0;2,429650116E1;-3,553337097E0;-7,147430420E0
2,252789333E0;2,349909210E1;-4,070617676E0;-6,575607300E0
2,353282375E0;2,301889801E1;-4,225158691E0;-8,569580078E0
2,453775375E0;2,201033783E1;-7,038658142E0;-8,942123413E0
2,554267375E0;2,003770447E1;-1,033062744E1;-1,013417053E1
2,654760375E0;1,679909515E1;-1,402242279E1;-1,224803162E1
2,755253375E0;1,311637878E1;-1,860979462E1;-1,314472961E1
2,855746375E0;7,982360840E0;-2,175928116E1;-1,319735718E1
2,956238375E0;2,800674438E0;-2,237199783E1;-1,812008667E1
3,056731375E0;-2,244674683E0;-1,872014999E1;-2,693974304E1
3,157224375E0;-7,581863403E0;-1,471169281E1;-3,603662109E1
3,257717375E0;-6,522735596E0;-8,337760925E0;-4,910137939E1
3,358209458E0;7,995605469E-2;-7,213691711E0;-5,357641602E1
3,458702458E0;9,617355347E0;-6,882591248E0;-5,126585388E1
3,559195458E0;1,281809998E1;-7,584930420E0;-4,589323425E1
3,659688458E0;1,717048645E1;-7,943885803E0;-4,145797729E1
3,760180458E0;2,218061066E1;-8,181800842E0;-3,764329529E1
3,860673458E0;2,613301849E1;-9,542755127E0;-3,358828735E1
3,961166458E0;2,508713531E1;-9,908927917E0;-3,387379456E1
4,061659458E0;2,505139160E1;-1,112077332E1;-3,437937927E1
4,162152458E0;2,466502380E1;-1,171912766E1;-3,398153687E1
4,262644458E0;2,579812622E1;-1,309761047E1;-3,422825623E1
