"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
4,837633000E-2;-5,825326920E0;4,606183529E0;5,129015446E0
1,140590830E-1;-4,670191765E0;3,499503136E0;8,402995110E0
2,140590830E-1;-4,712066174E0;4,149154663E0;7,152146816E0
3,140590830E-1;-4,070191383E0;3,738785267E0;8,678169250E0
4,140590830E-1;-4,207180500E0;3,984647989E0;8,070990562E0
5,140590830E-1;-3,840480328E0;3,326621771E0;7,904689789E0
6,140590830E-1;-3,717848301E0;3,142374277E0;8,657830238E0
7,140590830E-1;-3,339782238E0;2,520838737E0;9,122636795E0
8,140590830E-1;-3,366103172E0;2,475374937E0;9,044271469E0
9,140590830E-1;-3,107080221E0;3,169891834E0;8,659625053E0
1,014059083E0;-2,832503796E0;2,921038151E0;8,693124771E0
1,114059083E0;-2,579462767E0;2,815753937E0;8,099704742E0
1,214059083E0;-4,905286431E-1;1,605584025E0;8,764909744E0
1,314059083E0;1,145563841E0;-8,117650747E-1;9,495318413E0
1,414059083E0;1,275972724E0;-8,404789567E-1;1,046859932E1
1,514059083E0;4,947160780E-1;2,189432621E0;1,196889877E1
1,614059083E0;-1,048056364E0;2,356930256E0;1,056371403E1
1,714059083E0;-3,224328518E0;-4,522434771E-1;8,616554260E0
1,814059083E0;-3,315255880E0;4,863412082E-1;6,266204357E0
1,914059083E0;-7,501499057E-1;2,210968018E0;8,638090134E0
2,014059083E0;5,682953596E-1;2,496910334E0;9,940383911E0
2,114059083E0;2,645863533E0;2,038684845E0;8,706285477E0
2,214059083E0;3,103491068E0;1,638485312E0;9,228518486E0
2,314059083E0;3,337987661E0;1,152144074E0;8,684749603E0
2,414059083E0;3,163909674E0;1,088734269E0;9,324232101E0
2,514059083E0;2,912065268E0;2,093719840E-1;8,194221497E0
2,614059083E0;2,322832584E0;-4,869394004E-1;8,954540253E0
2,714059083E0;2,454437733E0;-4,217349887E-1;9,414560318E0
2,814059083E0;8,733802438E-1;-6,574280262E-1;9,757930756E0
2,914059083E0;8,015955687E-1;-1,501496136E-1;9,793225288E0
3,014059083E0;1,435693622E0;-3,625126183E-1;9,667601585E0
3,114059083E0;-2,811566591E-1;-1,056431174E0;1,133121204E1
3,214059083E0;-1,633101404E-1;-3,469592705E-2;9,824331284E0
3,314059083E0;2,153540403E-2;-5,365904570E-1;9,821340561E0
3,414059083E0;-2,632104978E-2;-4,073780477E-1;9,812367439E0
3,514059083E0;-3,110669367E-2;-4,067798555E-1;9,809376717E0
3,614059083E0;-1,854437590E-2;-4,043870270E-1;9,806385040E0
3,714059083E0;-2,572284266E-2;-4,031906128E-1;9,814162254E0
3,814059083E0;-8,374879137E-3;-4,055834413E-1;9,802198410E0
3,914059083E0;-7,776673418E-3;-4,079762697E-1;9,808777809E0
4,014059083E0;-1,794616925E-3;-4,103690982E-1;9,796813965E0
4,114059083E0;-5,982056609E-4;-4,055834413E-1;9,799804688E0
4,214059083E0;1,794616925E-3;-4,067798555E-1;9,795019150E0
4,314059083E0;-1,794616925E-3;-4,061816335E-1;9,806983948E0
4,414059083E0;-1,196411322E-3;-4,049852192E-1;9,795618057E0
4,514059083E0;-4,785645287E-3;-4,085744619E-1;9,815957069E0
4,614059083E0;1,136590727E-2;-4,067798555E-1;9,798608780E0
4,714059083E0;7,776673418E-3;-4,109672904E-1;9,798010826E0
4,814059083E0;-4,187439568E-3;-3,996013701E-1;9,815358162E0
4,914059083E0;-3,589233849E-3;-4,181457460E-1;9,820742607E0
5,014059083E0;-1,555334684E-2;-3,661018610E-1;9,782457352E0
5,114059083E0;-8,973085321E-3;-4,271188378E-1;9,753743172E0
5,214059083E0;-1,854437590E-2;-4,313062727E-1;9,818947792E0
5,314059083E0;-1,734796353E-2;-4,175475538E-1;9,808777809E0
5,414059083E0;-2,632104978E-2;-4,289134443E-1;9,815957069E0
5,514059083E0;-1,196411345E-2;-4,145565331E-1;9,834501266E0
5,614059083E0;-1,674975827E-2;-4,247260094E-1;9,813564301E0
5,714059083E0;-6,580262445E-3;-4,815555513E-1;9,809376717E0
5,814059083E0;-4,785645287E-3;-4,205385745E-1;9,778867722E0
5,914059083E0;1,914258115E-2;-4,390829504E-1;9,764511108E0
6,014059083E0;6,580262445E-3;-4,211367965E-1;9,809974670E0
6,114059083E0;1,256231871E-2;-4,564309120E-1;9,793225288E0
6,214059083E0;1,615155302E-2;-4,474578202E-1;9,805189133E0
6,314059083E0;5,982056726E-3;-4,546363056E-1;9,834501266E0
6,414059083E0;5,982056726E-3;-4,492524564E-1;9,811769485E0
