"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3,607762010E-1;4,803762436E-1;-1,112713814E-1;5,383901596E-1
4,594287600E-1;6,474006176E-1;-4,506959915E-1;2,792177200E-1
5,581110240E-1;4,026894569E-1;-4,462201595E-1;8,922252655E-1
6,568082620E-1;2,484552860E-1;-8,142194748E-1;5,618667603E-1
7,554605680E-1;4,204757214E-1;-9,327211380E-1;6,069326401E-1
8,541648250E-1;5,164403915E-1;-4,502544403E-1;4,472293854E-1
9,528404950E-1;6,698181629E-1;-7,833492756E-1;2,539768219E-1
1,051524092E0;5,463528633E-2;2,909996510E-1;-5,622434616E-1
1,150197820E0;3,615795076E-1;-3,265960217E-1;-9,588499069E-1
1,248841866E0;1,435147882E0;-9,189457893E-1;9,590559006E-1
1,347537323E0;1,575933933E0;-1,781034946E0;1,533357620E0
1,446214226E0;7,373646498E-1;-7,126944065E-1;2,778534889E0
1,544895981E0;1,414910913E0;-4,024999142E-1;1,136787415E0
1,643566140E0;1,961688995E-1;-2,510011196E-1;-2,286441803E0
1,742232870E0;4,163944721E-1;-7,888725996E-1;-4,844726562E0
1,840930087E0;-2,926928997E-1;-6,483306885E-1;5,062017441E-1
1,939623194E0;-4,259025455E-1;-3,013985157E-1;1,190210342E0
2,038304165E0;4,714024067E-1;-9,342241287E-2;3,605842590E-2
2,136954701E0;-2,517771721E-2;-7,542098761E-1;5,281620026E-1
2,235624810E0;7,474923134E-1;-1,261040211E0;-1,102154732E0
2,334308945E0;2,208480835E-1;-6,448411345E-1;3,441820145E-1
2,433002418E0;-5,647981167E-1;-1,445057750E0;2,942924500E-1
2,531691823E0;-5,102515221E-2;-1,572453737E0;3,472995758E0
2,630347587E0;3,595743179E-1;-8,411139250E-2;-5,273733139E-1
2,729017440E0;1,222282887E0;-1,098215580E0;-2,481956482E-1
2,827699287E0;-1,359648466E0;-1,681096792E0;2,931737900E-1
2,926382730E0;6,893315315E-1;-4,175391495E-1;-9,711074829E-2
3,025068219E0;9,721350670E-1;-1,592583060E0;-3,815746307E-2
3,123763004E0;-6,220307946E-1;-1,861546993E0;-5,661964417E-3
