"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
8,317945800E-2;5,209006300E1;5,103927600E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
2,026217946E1;5,209250440E1;5,108920000E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
4,015417946E1;5,209335880E1;5,104534900E0;NaN;NaN;NaN;8,999990234E2;0,000000000E0
6,017617946E1;5,209471260E1;5,103958500E0;NaN;NaN;NaN;8,999990234E2;0,000000000E0
8,019217946E1;5,209710850E1;5,102335000E0;NaN;NaN;NaN;1,000000000E3;0,000000000E0
1,002091795E2;5,209885220E1;5,092744700E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
1,202401795E2;5,210074790E1;5,087312100E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
1,402851795E2;5,210446240E1;5,085929500E0;NaN;NaN;NaN;1,100000000E3;0,000000000E0
1,603051795E2;5,211248650E1;5,077077000E0;NaN;NaN;NaN;8,999990234E2;0,000000000E0
1,803171795E2;5,211749040E1;5,068907300E0;NaN;NaN;NaN;1,000000000E3;0,000000000E0
2,003451795E2;5,211818970E1;5,060362600E0;NaN;NaN;NaN;8,999990234E2;0,000000000E0
2,203811795E2;5,212412940E1;5,053600700E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
2,404031795E2;5,212812560E1;5,045656700E0;NaN;NaN;NaN;1,000000000E3;0,000000000E0
2,604351795E2;5,213361560E1;5,033853600E0;NaN;NaN;NaN;8,000000000E2;0,000000000E0
2,804801795E2;5,214257810E1;5,018548600E0;NaN;NaN;NaN;1,399999023E3;0,000000000E0
3,004861795E2;5,214568660E1;5,015808000E0;NaN;NaN;NaN;1,100000000E3;0,000000000E0
3,205081795E2;5,214568660E1;5,015808000E0;NaN;NaN;NaN;1,100000000E3;0,000000000E0
3,405251795E2;5,213928040E1;5,010106100E0;NaN;NaN;NaN;1,100000000E3;0,000000000E0
3,557706412E2;5,214593100E1;5,002225100E0;NaN;NaN;NaN;1,399999023E3;0,000000000E0
3,758006412E2;5,216678790E1;4,988642700E0;NaN;NaN;NaN;1,100000000E3;0,000000000E0
3,958216412E2;5,217875640E1;4,988733700E0;NaN;NaN;NaN;1,200000000E3;0,000000000E0
4,159086412E2;5,217457010E1;4,993350900E0;NaN;NaN;NaN;4,000000000E2;0,000000000E0
4,358606412E2;5,218787770E1;4,993271400E0;NaN;NaN;NaN;1,000000000E3;0,000000000E0
4,558856412E2;5,219218620E1;4,985780100E0;NaN;NaN;NaN;1,299999023E3;0,000000000E0
4,759036412E2;5,219779890E1;4,986791200E0;NaN;NaN;NaN;1,200000000E3;0,000000000E0
4,959376412E2;5,220527130E1;5,006752700E0;NaN;NaN;NaN;1,600000000E3;0,000000000E0
