"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
9,524183333E-2;-5,140310669E0;5,098846893E0;6,352489929E0
1,957368333E-1;-4,070485382E0;4,586462402E0;8,099806366E0
2,962308333E-1;-3,368894348E0;3,913761292E0;7,984246674E0
3,967257083E-1;-2,145488434E0;3,339555359E0;9,066196747E0
4,972197083E-1;-5,104385376E-2;1,417701874E0;1,090901459E1
5,977137083E-1;6,634204102E-1;9,186396790E-1;9,936037903E0
6,982087083E-1;3,391946411E-1;1,219514008E0;9,645043030E0
7,987027083E-1;5,911207581E-1;9,780661011E-1;1,026295807E1
8,991977083E-1;4,315525818E-1;1,130748596E0;9,879156189E0
9,996917083E-1;1,242117004E0;7,505392456E-1;9,365723877E0
1,100186708E0;9,313632202E-1;1,048868866E0;9,892927551E0
1,200680708E0;2,198927307E-1;1,165177002E0;9,386081543E0
1,301175708E0;-4,620890808E-1;7,321275330E-1;9,675280151E0
1,401669208E0;-1,534309387E0;1,361718292E0;1,093012070E1
1,502164208E0;-9,265731812E-2;-1,079255676E-1;9,663454742E0
1,602658208E0;-2,522254944E-1;5,583389282E-2;9,963880005E0
1,703153208E0;-1,534908142E0;1,347198486E-1;9,687404938E0
1,803647208E0;-1,019679565E0;-6,945556641E-2;1,004890320E1
1,904142208E0;-6,363267517E-1;2,213896179E-1;9,986483002E0
2,004636208E0;-4,435276794E-1;5,204676819E-1;9,394015045E0
2,105131208E0;3,263214111E-2;4,653822327E-1;9,795330505E0
2,205625208E0;3,763174438E-1;3,577560425E-1;9,568701782E0
2,306120208E0;-1,556762695E-1;4,281097412E-1;1,014230896E1
2,406614333E0;-2,644999695E-1;5,963598633E-1;9,670939178E0
2,507108333E0;-2,460882568E-1;7,012916565E-1;9,989626465E0
2,607603333E0;-2,165995789E-1;8,402027893E-1;9,849667511E0
2,708097333E0;-6,825805664E-2;1,040336609E0;9,809700623E0
2,808592333E0;8,532257080E-2;1,398691406E0;9,555529175E0
2,909086333E0;6,855743408E-2;1,351389771E0;9,226363678E0
3,009581333E0;1,052311707E-1;1,498384094E0;1,040441391E1
3,110075333E0;3,966751099E-2;1,338217163E0;9,636061707E0
3,210570333E0;-1,366658020E-1;8,286767578E-1;9,386530609E0
3,311064333E0;-7,559280396E-2;9,779164124E-1;1,034438873E1
3,411559583E0;-1,224453735E-1;6,411167908E-1;9,671238556E0
3,512053583E0;5,216651917E-1;5,734574890E-1;9,618248749E0
3,612548583E0;1,040336609E-1;1,001118164E0;1,087428680E1
3,713042583E0;1,784289551E-1;2,912942505E-1;9,441915436E0
