"Time (s)";"X (hPa)"
-5,585199167E-1;1,008902435E3
4,468550833E-1;1,008902893E3
1,452282083E0;1,008903351E3
2,457735083E0;1,008917236E3
3,463181083E0;1,008946991E3
3,814711083E0;1,008977280E3
4,887152083E0;1,008982849E3
5,959554083E0;1,009005127E3
7,031950083E0;1,009038391E3
8,104371083E0;1,009065704E3
9,176784083E0;1,009088745E3
1,024921508E1;1,009101944E3
1,132163908E1;1,009101944E3
1,239402508E1;1,009086990E3
1,346641408E1;1,009058151E3
1,453873108E1;1,009012222E3
1,561110708E1;1,008974152E3
1,668348208E1;1,008941345E3
1,775580108E1;1,008914337E3
1,882808508E1;1,008896484E3
1,990043708E1;1,008890610E3
2,097279608E1;1,008888016E3
2,204517508E1;1,008888016E3
2,311751208E1;1,008890991E3
2,418985008E1;1,008893127E3
2,526222108E1;1,008893127E3
2,633457508E1;1,008891525E3
2,740690808E1;1,008891525E3
2,847924708E1;1,008898392E3
2,955158108E1;1,008898392E3
3,062399208E1;1,008902435E3
3,169638808E1;1,008905106E3
3,276877808E1;1,008916855E3
3,384118108E1;1,008927231E3
3,491355908E1;1,008931198E3
3,598593708E1;1,008946991E3
3,705834308E1;1,008948288E3
3,813067408E1;1,008948288E3
3,920299808E1;1,008939285E3
4,027534408E1;1,008934631E3
4,134768408E1;1,008929062E3
4,241996008E1;1,008917770E3
4,349232108E1;1,008909073E3
4,456470408E1;1,008890762E3
4,563713108E1;1,008872528E3
4,670953808E1;1,008854446E3
4,778194908E1;1,008837357E3
4,885439308E1;1,008820953E3
4,992680908E1;1,008806839E3
5,099922508E1;1,008786392E3
5,207167208E1;1,008756866E3
5,314413408E1;1,008731842E3
5,421659208E1;1,008709488E3
5,528901908E1;1,008696213E3
5,636145308E1;1,008685989E3
5,743387908E1;1,008680344E3
5,850625508E1;1,008678589E3
5,957860908E1;1,008676682E3
6,065100108E1;1,008657532E3
6,172338108E1;1,008626862E3
6,279578408E1;1,008604126E3
6,386821908E1;1,008588257E3
6,494062008E1;1,008568726E3
6,601300208E1;1,008550415E3
6,708542608E1;1,008546829E3
6,815780108E1;1,008543015E3
6,923022708E1;1,008543015E3
7,030266208E1;1,008543472E3
7,137510508E1;1,008547440E3
7,244756808E1;1,008557358E3
7,352000008E1;1,008568268E3
7,459244708E1;1,008576126E3
7,566486508E1;1,008585739E3
7,673728808E1;1,008609085E3
7,780969608E1;1,008623657E3
7,888211708E1;1,008636322E3
