"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7,514283332E-2;-9,238106012E-1;-8,949291110E-1;3,788662255E-1
1,756378333E-1;-7,836416364E-1;-7,727479339E-1;2,250390947E-1
2,761318333E-1;-1,338411689E0;-1,140759230E0;5,680948496E-1
3,766268333E-1;-1,136578918E0;-1,228965640E0;6,848866343E-1
4,771207083E-1;-1,440096378E0;-1,077381968E0;6,801004410E-1
5,776157083E-1;-3,306639194E-1;-4,195421338E-1;2,231280208E-1
6,781097083E-1;-2,388640493E-2;1,512427777E-1;-7,468342036E-2
7,786037083E-1;-1,767561287E-1;-3,451291323E-1;-7,134376466E-2
8,790987083E-1;-4,925858974E-2;-2,378049642E-1;-4,062006623E-2
9,795927083E-1;3,200148419E-2;8,469185978E-2;-1,893329620E-1
1,080087708E0;-7,500296086E-2;1,085998937E-1;-5,060471296E-1
1,180581708E0;-2,048873752E-1;6,548105180E-2;-4,981339872E-1
1,281076708E0;-4,696036875E-1;2,846899331E-1;-3,430763185E-1
1,381570708E0;-1,464581788E-1;4,860617518E-1;-2,922737896E-1
1,482065208E0;1,220920086E-1;2,826048434E-1;-1,032659337E-1
1,582559208E0;1,350826025E-2;2,652819827E-2;-2,347248197E-1
1,683054208E0;-7,050772756E-2;3,522814065E-2;-1,044129487E-3
1,783548208E0;-4,038842022E-1;-1,987637728E-1;3,052052557E-1
1,884043208E0;2,107603550E-1;-6,312511116E-2;-2,841938660E-2
1,984537208E0;4,048680887E-2;-1,599721424E-2;9,103641659E-2
2,085032208E0;-5,448019505E-2;-5,030306056E-2;1,517743170E-1
2,185526208E0;1,131587029E-1;2,812038362E-2;-4,198020324E-2
2,286021208E0;1,453959048E-1;1,581751183E-2;-6,377083063E-2
2,386515333E0;1,525483727E-1;1,252737083E-2;3,812030889E-3
2,487010333E0;3,990296274E-2;-6,363703310E-2;5,230462179E-2
2,587504333E0;2,020058632E-1;-8,513951302E-2;-8,740696125E-3
2,687999333E0;1,190177798E-1;-1,435995549E-1;3,510987014E-2
2,788493333E0;1,087240726E-1;1,153657883E-1;9,360224940E-4
2,888988333E0;-1,515336782E-1;-3,165175021E-2;6,098246947E-2
2,989482333E0;-9,820020199E-2;2,058794647E-1;-3,351035714E-2
3,089976333E0;-2,300219238E-2;3,893418610E-2;-5,837114900E-2
3,190471333E0;-1,543966867E-2;1,835656352E-2;-1,849662811E-1
3,290965333E0;-2,657340467E-1;-1,838024855E-1;-1,625987142E-1
3,391460583E0;1,461344808E-1;4,015612975E-2;-1,635981649E-1
3,491954583E0;-1,076014861E-1;-1,423295289E-1;-2,390125543E-1
3,592449583E0;3,113227896E-3;-3,229740262E-1;-3,100234568E-1
3,692943583E0;3,402836621E-2;-3,034461141E-1;-1,833797097E-1
3,793438583E0;-1,997267902E-1;-1,920714080E-1;4,727045447E-2
3,893932583E0;-4,834304098E-3;-8,484131098E-2;9,118576348E-2
3,994427583E0;7,748518139E-2;-2,119700238E-2;6,108891219E-2
4,094921583E0;1,520305127E-1;1,631435193E-2;1,103227511E-1
4,195416583E0;1,191508546E-1;7,718675584E-2;1,781489402E-1
4,295910583E0;9,478576481E-2;6,372081488E-2;4,154409766E-1
4,396405458E0;-1,234733313E-2;-2,004511468E-2;1,823204011E-1
4,496899458E0;-1,445528567E-1;6,672312319E-2;6,142990664E-2
4,597394458E0;-2,165489197E-1;8,175734431E-3;-1,806295365E-1
4,697889458E0;-1,786366850E-1;7,491075993E-2;-1,867012829E-1
4,798383458E0;-1,914091855E-1;1,874077022E-1;-1,626439542E-1
4,898878458E0;1,197493896E-1;1,070880890E-2;-2,490079105E-1
4,999372458E0;-6,883393228E-2;1,185517311E-1;1,188767776E-1
5,099867458E0;3,915576264E-2;8,291631937E-2;3,696030676E-1
5,200361458E0;-6,413634121E-2;4,832445830E-2;4,801177680E-1
5,300856458E0;-1,529719979E-1;1,385320444E-2;4,643459916E-1
5,401350333E0;5,431670323E-2;-6,108185649E-2;3,835852444E-1
5,501845333E0;-1,629642397E-2;5,498819798E-2;5,212540627E-1
5,602339333E0;2,663367800E-2;9,956321865E-2;5,488740206E-1
5,702834333E0;3,565810621E-2;-7,612550259E-2;5,345784426E-1
5,803328333E0;4,720163532E-3;5,855588242E-2;1,360411793E-1
5,903823333E0;7,766301185E-2;5,477800965E-2;-1,864465922E-1
6,004317333E0;8,314431459E-2;-2,841248643E-4;-1,540003419E-1
6,104812333E0;-5,165487994E-3;7,062833756E-2;-1,206625998E-1
6,205306333E0;1,219855994E-2;4,006354883E-2;-9,628769755E-2
6,305801333E0;-3,093838692E-2;4,031277448E-2;-1,619948074E-3
6,406296958E0;-2,758664545E-3;5,945919454E-2;-7,674140483E-2
6,506790958E0;-2,694764407E-3;-8,509626612E-3;-1,543378532E-1
