"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
7,514283332E-2;-1,100644791E-1;-2,031907439E-2;-5,829826033E-1
1,756378333E-1;6,015042436E-1;-2,376796684E-1;7,378180432E-1
2,761318333E-1;8,796492755E-2;6,417541373E-1;-8,489180642E-1
3,766268333E-1;1,723656848E-1;3,827315471E-1;5,926954132E-1
4,771207083E-1;2,693707001E-1;5,660455585E-2;7,863066638E-1
5,776157083E-1;9,762941024E-1;-3,759138398E-2;4,017873305E-1
6,781097083E-1;6,597815417E-1;9,866058134E-2;-1,181108326E-1
7,786037083E-1;3,419339886E-1;3,163394831E-1;8,301935256E-2
8,790987083E-1;-3,077555878E-2;4,329874885E-1;-1,816227043E-1
9,795927083E-1;6,941586381E-1;2,772844680E-2;-5,582196450E-1
1,080087708E0;7,733837324E-1;-5,214546919E-3;2,056220162E-1
1,180581708E0;3,017341434E-1;5,880750165E-1;-1,361085624E-1
1,281076708E0;-1,653626208E-1;4,142840363E-1;-4,727204883E-1
1,381570708E0;4,143077541E-2;3,973219581E-1;4,039010990E-1
1,482065208E0;6,496326026E-1;-1,444750965E-1;-4,339394152E-1
1,582559208E0;7,854642992E-1;-8,800701837E-2;3,821699220E-1
1,683054208E0;-5,916464227E-1;1,066503813E-2;2,455655158E-1
1,783548208E0;-6,189679033E-1;2,507163098E-1;3,718273669E-1
1,884043208E0;-2,243189268E-2;2,282157671E-1;6,318951470E-1
1,984537208E0;5,023753368E-1;1,364083875E-1;-3,292982286E-1
2,085032208E0;4,570384387E-1;4,715917564E-1;-1,707427901E-1
2,185526208E0;1,002010595E0;9,576573450E-2;-1,988386613E-1
2,286021208E0;5,132496231E-1;7,328209396E-2;4,198020172E-1
2,386515333E0;1,873087560E-1;1,419202562E-1;-1,158824587E-1
2,487010333E0;1,940528615E-1;1,307993271E-1;1,102539289E-1
2,587504333E0;1,261110296E-1;2,543531500E-2;2,061979669E-1
2,687999333E0;1,701058821E-1;8,257050566E-2;1,369417906E-1
2,788493333E0;3,106594247E-1;4,208981509E-1;-1,279604673E-1
2,888988333E0;3,228124970E-1;4,187656713E-1;-4,634684390E-1
2,989482333E0;2,610090356E-1;6,738713580E-1;3,357395214E-1
3,089976333E0;4,532188181E-1;7,420213142E-1;-2,729877877E-1
3,190471333E0;1,033248687E-1;1,287989581E-1;-2,762189591E-1
3,290965333E0;2,034528819E-1;2,487803149E-1;1,122946072E-1
3,391460583E0;1,416506264E-2;2,801762085E-1;1,394631100E-1
3,491954583E0;7,422045513E-1;-1,472812758E-1;-3,756263030E-1
3,592449583E0;5,010416600E-1;7,614496384E-2;5,649123681E-1
3,692943583E0;-2,912013163E-1;-3,863186677E-1;-2,028019041E-1
3,793438583E0;-3,396684849E-1;-1,240092114E-2;-1,465709853E-1
3,893932583E0;1,898232780E-2;1,549118923E-1;2,075264543E-1
3,994427583E0;5,963446605E-1;8,703346610E-2;1,829886138E-1
4,094921583E0;2,111183258E-1;9,411518247E-1;2,385313153E-2
4,195416583E0;5,093223041E-1;6,076112949E-1;2,450275719E-2
4,295910583E0;3,871066531E-1;1,085922745E0;-6,481971842E-1
4,396405458E0;1,029477233E0;1,676434734E-1;-6,562622488E-2
4,496899458E0;1,013735067E0;-2,933390949E-1;-5,553089011E-1
4,597394458E0;7,465313447E-1;6,706836753E-2;-1,777647114E-1
4,697889458E0;5,971858190E-1;5,537289834E-1;4,501952595E-1
4,798383458E0;6,945964484E-1;1,846387895E-1;3,659678721E-1
4,898878458E0;2,143101016E-1;3,137935323E-1;-6,291604042E-3
4,999372458E0;4,324783422E-2;6,946210067E-1;1,159222198E-1
5,099867458E0;4,553206363E-1;4,856610344E-1;4,264619958E-1
5,200361458E0;7,659408116E-1;5,074581387E-1;-3,106584746E-1
5,300856458E0;1,021102266E0;3,395516867E-1;1,933650827E-1
5,401350333E0;6,291799193E-1;2,192611035E-1;-1,559803247E-2
5,501845333E0;7,201902229E-2;3,979085069E-1;-2,614506465E-1
5,602339333E0;5,676315061E-1;6,694598530E-1;7,560800672E-2
5,702834333E0;1,613662536E0;5,358874474E-1;1,935019076E-1
5,803328333E0;1,812921758E0;-8,983475748E-2;-1,253210342E-1
5,903823333E0;1,040372642E0;1,036287777E-1;4,576136220E-1
6,004317333E0;4,313298760E-1;2,023037213E-1;-1,927370918E-1
6,104812333E0;6,610958496E-1;5,921709180E-2;2,139028430E-1
6,205306333E0;1,986130867E-1;3,742720878E-1;-7,764868498E-2
6,305801333E0;3,940266866E-1;3,891101284E-1;-2,186864501E-1
6,406296958E0;7,170190586E-1;2,587233224E-1;6,569346786E-2
6,506790958E0;4,383471926E-1;2,298805790E-1;3,926522255E-2
6,607285958E0;2,473399082E-1;6,783672821E-2;1,903672153E-1
6,707779958E0;6,256799953E-1;8,804591149E-3;1,469428682E-1
6,808274958E0;4,255186938E-1;8,021250632E-2;-4,408683658E-2
6,908768958E0;3,359057285E-1;1,315689303E-1;2,147536129E-1
7,009263958E0;5,503878113E-1;1,356915097E-1;-2,071732825E-1
7,109757958E0;5,926478315E-1;-8,912874274E-3;1,887615699E-1
7,210252958E0;4,028911752E-1;2,597356582E-1;2,794109541E-1
7,310746958E0;3,827704310E-1;3,027512483E-1;-3,480683756E-1
7,411241250E0;4,412702888E-1;2,459292857E-1;2,349995971E-1
7,511735250E0;2,407672540E-1;4,266282395E-1;-8,822220504E-2
7,612230250E0;5,373392379E-1;2,244365655E-1;2,438996440E-1
7,712725250E0;5,552106678E-1;3,949663707E-1;2,534212500E-1
7,813219250E0;5,531248929E-1;2,091340366E-1;1,280528533E-1
7,913714250E0;4,720408226E-1;2,945990602E-1;2,410491264E-1
8,014208250E0;5,139212489E-1;1,893775009E-1;1,658562720E-2
8,114703250E0;3,561301876E-1;2,096384321E-1;3,747848886E-1
8,215197250E0;1,584736506E-1;1,210858228E-1;-4,666253507E-1
8,315692250E0;2,571533816E-1;2,998700693E-2;3,125161350E-2
8,416186833E0;3,864373296E-1;-1,086552271E-1;4,670288086E-1
8,516681833E0;5,505297524E-1;1,951135099E-1;7,212423563E-2
8,617176833E0;9,009701972E-1;8,251309332E-2;-1,687214077E-2
8,717670833E0;8,002404325E-1;4,564216305E-1;2,956603664E-1
8,818165833E0;7,447333259E-1;4,792578947E-1;5,716121078E-2
8,918659833E0;6,585045098E-1;4,610176882E-1;3,683184528E-1
9,019154833E0;6,607221394E-1;3,607975448E-1;5,077435559E-1
9,119648833E0;3,698319315E-1;1,780951522E-1;7,018822253E-2
9,220143833E0;2,393092143E-1;3,953616790E-2;4,111171478E-1
9,320637833E0;-4,142598800E-2;2,859220480E-1;-1,848480284E-2
9,421132125E0;3,891614377E-2;2,435609441E-1;4,556676686E-2
9,521627125E0;-7,705248825E-2;4,893564016E-2;2,411035055E-1
9,622121125E0;1,474246788E-1;-6,222745769E-2;4,150265962E-1
9,722616125E0;2,090492886E-1;-3,116251655E-2;-5,852478147E-2
9,823110125E0;9,993761323E-2;1,176181316E-1;1,093353313E-1
9,923605125E0;3,842605209E-1;1,517063025E-1;9,195038974E-2
1,002409913E1;4,527344128E-1;6,155590497E-2;1,319219559E-1
1,012459412E1;2,254527019E-1;8,121519417E-2;2,545573640E-1
1,022508912E1;4,217677780E-1;7,828361951E-2;1,242878312E-1
1,032558312E1;2,368147921E-1;2,414853287E-1;-1,995479286E-2
1,042607846E1;2,353276990E-1;2,382585427E-1;1,113976443E-1
1,052657246E1;5,081339306E-1;5,642775066E-2;-1,989164293E-2
1,062706746E1;5,762969700E-1;2,862355319E-1;4,196283549E-1
1,072756146E1;4,674119474E-1;1,395988385E-1;1,378902090E-1
1,082805646E1;3,818047634E-1;3,776139908E-1;2,060617268E-1
1,092855146E1;1,021705187E-1;3,170608833E-1;-4,027211308E-2
1,102904546E1;2,367574163E-1;1,367760951E-1;1,470627362E-1
1,112954046E1;1,104913259E-1;-2,415952563E-2;1,990468222E-1
1,123003446E1;-2,468921759E-1;2,036252651E-1;-1,352057523E-1
1,133052946E1;-1,566056114E-1;6,649650984E-2;-4,384300768E-2
1,143102350E1;-1,394313888E-1;-2,062589972E-1;4,034549564E-1
1,153151850E1;-3,848549634E-2;-1,321112595E-2;1,631180209E-1
1,163201350E1;-2,187628294E-1;9,852748409E-2;-2,489621633E-1
1,173250750E1;-1,912725835E-1;-2,451395461E-1;4,399807584E-1
1,183300250E1;-5,003099906E-1;-2,066794851E-1;-2,789180338E-2
1,193349650E1;-7,729819556E-1;-4,476291358E-1;1,844498330E-1
1,203399150E1;-9,125824752E-1;-4,142519132E-1;3,042540193E-2
1,213448650E1;-3,855132868E-1;-4,175566133E-1;4,552887690E-1
1,223498050E1;-7,969462574E-3;-4,843261150E-1;-2,263188207E-1
1,233547550E1;-3,028899369E-1;2,356205714E-1;6,293042457E-1
1,243596912E1;-1,134707746E-1;-1,257256615E-1;-6,770607948E-2
1,253646413E1;-1,542508645E-1;-3,904812274E-1;3,523649096E-1
1,263695812E1;-6,406308872E-1;4,709537521E-2;-1,815408432E-1
1,273745313E1;-1,818968656E-1;-6,031329855E-2;1,269448060E-1
