"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
5,542689562E-1;5,235711459E1;4,908466134E0;4,260524750E0;9,170000076E0;2,482031250E2;4,006837868E0;3,000000000E0
1,554258108E0;5,235709246E1;4,908318864E0;3,777065277E0;9,380000114E0;2,482031250E2;3,662673990E0;3,000000000E0
2,554254770E0;5,235704443E1;4,908176372E0;3,615871429E0;9,949999809E0;2,457421875E2;3,535533906E0;3,000000000E0
3,554252625E0;5,235700223E1;4,908045949E0;3,564418793E0;9,989999771E0;2,422265625E2;3,535533906E0;3,000000000E0
4,554240942E0;5,235697868E1;4,907920472E0;3,689479828E0;9,949999809E0;2,478515625E2;3,535533906E0;3,000000000E0
5,554234028E0;5,235695295E1;4,907791056E0;3,376857758E0;9,420000076E0;2,475000000E2;3,535533906E0;3,000000000E0
6,554233074E0;5,235692055E1;4,907663316E0;3,376864770E0;9,420000076E0;2,474998989E2;4,610622047E0;3,544954354E0
7,554223537E0;5,235690246E1;4,907566284E0;3,319979582E0;9,130000114E0;2,489061510E2;4,610622020E0;3,544954389E0
8,554221272E0;5,235687642E1;4,907500259E0;2,880035250E0;6,780000210E0;2,464452403E2;4,610621965E0;3,544954460E0
9,554215908E0;5,235685414E1;4,907411182E0;2,938445897E0;6,780000210E0;2,471483649E2;4,610621928E0;3,544954509E0
1,055420446E1;5,235683902E1;4,907358904E0;3,045195205E0;5,559999943E0;2,478515026E2;4,610621897E0;3,544954550E0
1,155419993E1;5,235683365E1;4,907352053E0;3,127225283E0;3,990000010E0;2,474999572E2;4,610621880E0;3,544954571E0
1,255419910E1;5,235682697E1;4,907351185E0;3,652615011E0;2,109999895E0;2,457421651E2;4,610621858E0;3,544954599E0
1,355418670E1;5,235683002E1;4,907358227E0;4,057521951E0;8,999999762E-1;2,467968654E2;4,610621861E0;3,544954597E0
1,455416882E1;5,235683070E1;4,907367183E0;4,236049720E0;2,000000030E-1;NaN;4,610621857E0;3,544954601E0
1,555415165E1;5,235682948E1;4,907358969E0;3,775173255E0;0,000000000E0;NaN;4,610621856E0;3,544954602E0
1,655413604E1;5,235682437E1;4,907363327E0;3,202663488E0;0,000000000E0;NaN;4,610621842E0;3,544954621E0
1,755411947E1;5,235682013E1;4,907363160E0;3,437343665E0;0,000000000E0;NaN;4,610621831E0;3,544954635E0
1,855410552E1;5,235682013E1;4,907361064E0;3,566555090E0;0,000000000E0;NaN;4,610621831E0;3,544954635E0
1,955409229E1;5,235681884E1;4,907356789E0;3,542263099E0;0,000000000E0;NaN;4,610621829E0;3,544954638E0
2,055407822E1;5,235681955E1;4,907356706E0;3,772670814E0;0,000000000E0;NaN;4,610621831E0;3,544954635E0
2,155406547E1;5,235681967E1;4,907353185E0;4,037380286E0;0,000000000E0;NaN;4,610621832E0;3,544954634E0
2,255405295E1;5,235682236E1;4,907349832E0;4,153652261E0;0,000000000E0;NaN;4,610621840E0;3,544954623E0
2,355404127E1;5,235682223E1;4,907349078E0;4,271144935E0;0,000000000E0;NaN;4,610621840E0;3,544954624E0
2,455402946E1;5,235682273E1;4,907349832E0;4,333278724E0;0,000000000E0;NaN;4,610621841E0;3,544954622E0
2,555401802E1;5,235682303E1;4,907348407E0;4,083583901E0;0,000000000E0;NaN;4,610621842E0;3,544954621E0
2,655400848E1;5,235683457E1;4,907328512E0;5,070249857E-1;3,519174974E-1;NaN;5,044693332E0;2,894063962E0
2,755399823E1;5,235683107E1;4,907325279E0;5,673587127E-1;1,389194289E-1;NaN;5,056139382E0;2,874020108E0
2,855398798E1;5,235682893E1;4,907322562E0;6,397996871E-1;2,611874876E-2;NaN;5,033901377E0;2,912794871E0
2,955397773E1;5,235683033E1;4,907312771E0;6,160778198E-1;6,242496370E-2;NaN;5,044033969E0;2,895213006E0
3,055396891E1;5,235682813E1;4,907314273E0;5,887269285E-1;6,416118742E-2;NaN;5,098396441E0;2,798372878E0
3,155395913E1;5,235683028E1;4,907305940E0;6,134616267E-1;5,748542110E-2;NaN;5,162690436E0;2,677903003E0
3,255395103E1;5,235682949E1;4,907308764E0;5,466521569E-1;2,442736327E-1;NaN;5,114113782E0;2,769544594E0
3,355394280E1;5,235682051E1;4,907287003E0;4,990243381E-1;1,123241494E0;2,496062722E2;5,089279453E0;2,814919480E0
3,455393434E1;5,235681088E1;4,907247859E0;3,292171238E-1;1,999614320E0;2,530783179E2;5,154714197E0;2,693224570E0
3,555392563E1;5,235679947E1;4,907192577E0;2,371365037E-1;2,902739412E0;2,504686226E2;5,147463428E0;2,707056942E0
3,655391860E1;5,235678997E1;4,907154755E0;2,244178802E-1;3,038891832E0;2,489826565E2;5,174633668E0;2,654751107E0
3,755391073E1;5,235678742E1;4,907122683E0;2,902696393E-1;2,772982782E0;2,507593940E2;5,177374629E0;2,649401628E0
3,855390227E1;5,235678138E1;4,907084480E0;3,280617110E-1;2,966423363E0;2,489048269E2;5,146794314E0;2,708328881E0
3,955389595E1;5,235676753E1;4,907038721E0;4,069757471E-1;3,235946759E0;2,455704050E2;5,059417407E0;2,868245549E0
4,055388951E1;5,235673321E1;4,906988672E0;4,232846750E-1;3,627357578E0;2,362095832E2;4,966419007E0;3,026420208E0
4,155388451E1;5,235669890E1;4,906946951E0;3,127738340E-1;3,856142825E0;2,244852152E2;4,944747824E0;3,061699852E0
4,255387461E1;5,235665297E1;4,906911882E0;1,623215042E-1;4,418597445E0;2,108045350E2;4,937274707E0;3,073736406E0
4,355386794E1;5,235660014E1;4,906892625E0;-1,423787139E-2;4,440262791E0;2,010482749E2;4,918552023E0;3,103608066E0
4,455386102E1;5,235655393E1;4,906889637E0;2,650746508E-1;4,489794276E0;1,886146060E2;4,917114908E0;3,105884417E0
4,555385470E1;5,235651122E1;4,906882648E0;4,183163755E-1;4,396425778E0;1,872090447E2;4,907411836E0;3,121193058E0
4,655384851E1;5,235647640E1;4,906883759E0;4,619234428E-1;4,044131086E0;1,865153700E2;4,943773353E0;3,063273097E0
