"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
7,514283332E-2;2,597455597E1;-8,856964111E-1;-2,810247803E1
1,756378333E-1;2,384306335E1;2,383117676E0;-3,169598389E1
2,761318333E-1;2,274318695E1;4,258636475E0;-3,088055420E1
3,766268333E-1;2,032424164E1;8,751441956E0;-3,163792419E1
4,771207083E-1;1,670503235E1;1,221846771E1;-3,110018921E1
5,776157083E-1;1,568028259E1;1,404685974E1;-2,987109375E1
6,781097083E-1;1,516627502E1;1,461528778E1;-2,976293945E1
7,786037083E-1;1,463758850E1;1,628915405E1;-2,983894348E1
8,790987083E-1;1,229972839E1;1,469310760E1;-2,965040588E1
9,795927083E-1;9,500122070E0;1,548392487E1;-3,138815308E1
1,080087708E0;8,445465088E0;1,492068481E1;-3,385229492E1
1,180581708E0;7,819244385E0;1,711734772E1;-3,662944031E1
1,281076708E0;1,006602478E1;1,901222992E1;-3,665905762E1
1,381570708E0;1,282611847E1;2,093865204E1;-3,513781738E1
1,482065208E0;1,575405884E1;1,926868439E1;-3,333169556E1
1,582559208E0;1,422463226E1;1,950322723E1;-3,300570679E1
1,683054208E0;1,556489563E1;1,696116638E1;-3,272384644E1
1,783548208E0;1,552516937E1;1,805007172E1;-3,221525574E1
1,884043208E0;1,543081665E1;1,862217712E1;-3,255064392E1
1,984537208E0;1,503543091E1;1,707828522E1;-3,251278687E1
2,085032208E0;1,353680420E1;1,691831207E1;-3,264624023E1
2,185526208E0;1,149000549E1;1,596733856E1;-3,257449341E1
2,286021208E0;8,671569824E0;1,642997742E1;-3,429333496E1
2,386515333E0;6,581214905E0;1,657691193E1;-3,485247803E1
2,487010333E0;4,276626587E0;1,828154755E1;-3,406852722E1
2,587504333E0;3,228919983E0;1,829780579E1;-3,386245728E1
2,687999333E0;1,605041504E0;1,905049896E1;-3,420591736E1
2,788493333E0;7,631225586E-1;1,918949890E1;-3,390562439E1
2,888988333E0;2,532196045E-2;1,998761749E1;-3,410072327E1
2,989482333E0;-2,157264709E0;2,113807678E1;-3,487100220E1
3,089976333E0;-3,165039062E0;2,107077789E1;-3,564451599E1
3,190471333E0;-3,927566528E0;2,109772491E1;-3,660491943E1
3,290965333E0;-4,389045715E0;2,268940735E1;-3,807476807E1
3,391460583E0;-3,352821350E0;2,359639740E1;-3,700285339E1
3,491954583E0;-2,774513245E0;2,248618317E1;-3,657487488E1
3,592449583E0;-5,035362244E0;2,169994354E1;-3,598786926E1
3,692943583E0;-9,108909607E0;2,191920471E1;-3,652850342E1
3,793438583E0;-1,055332184E1;2,179993439E1;-3,579684448E1
3,893932583E0;-1,158559418E1;2,278684998E1;-3,648387146E1
3,994427583E0;-1,082282257E1;2,266877747E1;-3,539176941E1
4,094921583E0;-1,088970184E1;2,169738007E1;-3,558439636E1
4,195416583E0;-1,187790680E1;2,044067383E1;-3,587402344E1
4,295910583E0;-1,315595245E1;1,781388092E1;-3,738560486E1
4,396405458E0;-1,419165802E1;1,740615845E1;-3,667756653E1
4,496899458E0;-1,523381805E1;1,782174683E1;-3,886552429E1
4,597394458E0;-1,545519257E1;1,827544403E1;-3,756629944E1
4,697889458E0;-1,731806183E1;1,975188446E1;-4,015583801E1
4,798383458E0;-1,716352081E1;1,932984161E1;-4,014349365E1
4,898878458E0;-1,714646149E1;1,969931793E1;-4,377110291E1
4,999372458E0;-1,514534760E1;2,090225983E1;-4,276550293E1
5,099867458E0;-1,208734894E1;2,321931458E1;-4,000770569E1
5,200361458E0;-9,156715393E0;2,288015747E1;-3,708750916E1
5,300856458E0;-8,847938538E0;2,267330170E1;-3,453657532E1
5,401350333E0;-1,109394073E1;2,249139404E1;-3,548730469E1
5,501845333E0;-1,267475128E1;2,279856110E1;-3,576296997E1
5,602339333E0;-1,313849640E1;2,576478577E1;-3,751451111E1
5,702834333E0;-1,142284393E1;2,655706787E1;-3,530975342E1
5,803328333E0;-1,006855011E1;2,814338684E1;-3,659162903E1
5,903823333E0;-1,022241974E1;2,640095520E1;-3,757749939E1
6,004317333E0;-1,020252228E1;2,432427979E1;-3,712751770E1
6,104812333E0;-1,128614044E1;2,371969604E1;-3,902944946E1
6,205306333E0;-1,127309418E1;2,352736664E1;-3,840600586E1
6,305801333E0;-1,191674042E1;2,228997040E1;-4,073138428E1
6,406296958E0;-1,217621613E1;2,192669678E1;-4,213066101E1
6,506790958E0;-1,237831879E1;2,389769745E1;-4,239854431E1
6,607285958E0;-1,152729034E1;2,404618073E1;-4,407263184E1
6,707779958E0;-9,867134094E0;2,354490662E1;-4,106362915E1
6,808274958E0;-9,278587341E0;2,461902618E1;-3,948808289E1
6,908768958E0;-1,031175995E1;2,548480988E1;-3,888122559E1
7,009263958E0;-1,065506744E1;2,534785461E1;-3,649513245E1
7,109757958E0;-1,114565277E1;2,606905365E1;-3,636444092E1
7,210252958E0;-1,356066132E1;2,436936188E1;-3,670387268E1
7,310746958E0;-1,596691132E1;2,549052429E1;-3,619227600E1
7,411241250E0;-1,880287933E1;2,691472626E1;-3,958491516E1
7,511735250E0;-2,109050751E1;2,629955292E1;-4,124775696E1
7,612230250E0;-2,253763580E1;2,871220398E1;-4,300437927E1
7,712725250E0;-2,236170197E1;2,894544220E1;-4,608985901E1
7,813219250E0;-2,088634491E1;2,899420166E1;-4,555685425E1
7,913714250E0;-2,027304840E1;3,086267090E1;-4,464578247E1
8,014208250E0;-1,896793365E1;3,148269653E1;-4,475231934E1
8,114703250E0;-1,906720734E1;3,053903961E1;-4,517744446E1
8,215197250E0;-2,201627350E1;3,077928162E1;-4,476013184E1
8,315692250E0;-2,395888519E1;2,941792297E1;-4,707257080E1
8,416186833E0;-2,476902008E1;3,028681946E1;-4,915728760E1
8,516681833E0;-2,509362030E1;3,154894257E1;-4,839372253E1
8,617176833E0;-2,333855438E1;3,130842590E1;-4,850357056E1
8,717670833E0;-2,058931732E1;3,152068329E1;-4,858638000E1
8,818165833E0;-1,890210724E1;3,269825745E1;-4,947137451E1
8,918659833E0;-1,669490814E1;3,285197449E1;-4,819874573E1
9,019154833E0;-1,706554413E1;3,258569336E1;-4,812118530E1
9,119648833E0;-1,651578522E1;3,414761353E1;-4,851762390E1
9,220143833E0;-1,695229340E1;3,530020905E1;-4,755934143E1
9,320637833E0;-1,592897797E1;3,755861664E1;-4,653619385E1
9,421132125E0;-1,435594940E1;3,695521545E1;-4,416259766E1
9,521627125E0;-1,436565399E1;3,793869019E1;-4,327120972E1
9,622121125E0;-1,524729156E1;3,734019470E1;-4,164865112E1
9,722616125E0;-1,653542328E1;3,688087463E1;-4,099459839E1
9,823110125E0;-1,651148224E1;3,530009460E1;-4,121536255E1
9,923605125E0;-1,729378510E1;3,408464813E1;-4,330462646E1
1,002409913E1;-1,597234344E1;3,370745850E1;-4,312263489E1
1,012459412E1;-1,429842377E1;3,399983978E1;-4,231323242E1
1,022508912E1;-1,258547211E1;3,425991821E1;-4,094007874E1
1,032558312E1;-1,195911407E1;3,455859375E1;-4,055078125E1
1,042607846E1;-9,944541931E0;3,422972107E1;-3,863316345E1
1,052657246E1;-8,564460754E0;3,451580048E1;-3,793692017E1
1,062706746E1;-7,523490906E0;3,442903137E1;-3,747290039E1
1,072756146E1;-7,325386047E0;3,419387817E1;-3,623048401E1
1,082805646E1;-6,752235413E0;3,347983551E1;-3,493132019E1
1,092855146E1;-6,233879089E0;3,252378082E1;-3,270684814E1
1,102904546E1;-5,682762146E0;3,225732422E1;-3,071826172E1
1,112954046E1;-5,007911682E0;3,210054016E1;-2,857832336E1
1,123003446E1;-6,839271545E0;3,169396210E1;-2,641609192E1
1,133052946E1;-6,134605408E0;3,116934204E1;-2,425840759E1
1,143102350E1;-8,687660217E0;3,033808136E1;-2,258554077E1
1,153151850E1;-1,003810883E1;2,935256195E1;-2,187649536E1
1,163201350E1;-1,069463348E1;2,870701599E1;-2,184765625E1
1,173250750E1;-1,155886078E1;2,746279144E1;-2,205070496E1
