"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8,063345833E-2;-1,776056671E0;7,858059082E0;9,842332764E0
1,811254583E-1;-1,104553070E0;4,215084686E0;9,705966339E0
2,816174583E-1;1,235081635E0;2,046693878E0;7,219187622E0
3,821094583E-1;-2,703378296E0;2,113005981E0;4,944368134E0
4,826014583E-1;-2,107018433E0;9,228309631E-1;6,517147522E0
5,830934583E-1;-2,009720764E0;-5,336402893E-1;1,347857117E1
6,835849583E-1;-2,073188782E-1;5,897735596E-1;8,963360596E0
7,840779583E-1;1,629810791E0;-4,065545654E-1;1,925895081E0
8,845699583E-1;7,126081238E0;-6,219716034E0;5,367837524E0
9,850619583E-1;1,432296524E1;-8,620124359E0;5,723797302E0
1,085553958E0;1,420426208E1;-8,558302917E0;3,665427704E0
1,186045958E0;1,648656601E1;-5,221142578E0;-9,912387085E-1
1,286537958E0;6,339916077E0;-1,231264572E1;6,048322449E0
1,389542958E0;4,213887177E0;-9,554032288E0;-7,033423920E0
1,490034958E0;2,607427826E0;-1,287727158E1;5,541177063E0
1,590526958E0;7,337741089E-1;-7,141798553E0;6,230493622E0
1,691019792E0;2,402503967E0;-3,273243256E0;5,145549774E0
1,791511792E0;4,767885132E0;-9,106463013E0;1,180894318E0
1,892003792E0;1,124162292E-1;-1,285377045E1;-2,201921082E0
1,992495792E0;1,515149231E0;-1,084285217E1;8,990304565E-1
2,092987792E0;2,840193787E0;-4,511618042E0;2,249671783E0
2,193479792E0;8,312214661E-1;-7,344776459E0;9,113049316E-1
2,293971792E0;-1,093775482E0;-1,181717606E1;1,159937897E0
2,394464792E0;9,633966064E-1;-1,195354248E1;8,870553589E-1
2,494956792E0;-6,245462494E0;-6,714586945E0;-1,189725952E0
2,595448792E0;5,959107971E-1;-9,289232941E0;4,620890808E-1
2,695939917E0;-1,629212036E0;-2,223476257E0;1,838626556E0
2,796431917E0;1,183588715E0;-2,560575256E0;2,857857056E0
2,896923917E0;-9,684860229E-1;-1,430410446E1;1,634600830E0
2,997415917E0;-8,395291901E0;-1,613360001E1;-8,734336853E-1
3,097907917E0;-3,283871155E0;-1,066517166E1;-2,492317200E0
3,198399917E0;-1,806443481E0;-8,552165680E0;-4,890330505E-1
3,298892917E0;-1,011446686E0;-7,979157257E0;-1,541644135E0
3,399384917E0;-9,765692139E-1;-9,482331390E0;1,839674377E-1
3,499876917E0;-1,644629974E0;-1,205982147E1;-1,436412964E0
3,600368917E0;-3,447630615E0;-7,476652222E0;-5,567073212E0
3,700861792E0;2,128573608E-1;-1,312350952E1;-5,434598694E0
3,801353792E0;-7,744894409E-1;-6,689289551E0;7,247927856E-1
3,901845792E0;-2,567011871E0;-7,538323975E0;2,067201233E-1
4,002337792E0;2,530338135E0;-1,283640656E1;1,936522980E0
4,102829792E0;3,742068329E0;-1,082369202E1;-2,369572449E-1
4,203321792E0;-6,504423981E0;-1,405891434E1;-1,561103668E0
4,303814792E0;-3,915707245E0;-8,690028992E0;2,671943665E-1
4,404306792E0;-2,085014191E0;-6,556815033E0;-7,596702576E-1
4,504798792E0;-1,035396881E0;-8,850345612E0;-9,168434143E-1
4,605290792E0;-2,866239624E0;-1,135493729E1;-2,965333557E-1
4,705781958E0;-2,967878265E0;-1,024409729E1;-3,075055389E0
4,806273958E0;-6,107150116E0;-9,505982208E0;-4,941973114E0
4,906765958E0;1,165775757E0;-9,523196411E0;-2,467169495E0
5,007258958E0;-2,201022949E0;-5,627397766E0;9,114546204E-1
5,107750958E0;-9,870474243E-1;-1,032013916E1;-2,469863892E-1
5,208242958E0;3,356021118E-1;-1,198557587E1;3,647614746E0
5,308734958E0;-2,697390747E-1;-7,482190704E0;-3,049458618E0
5,409226958E0;-4,071383514E0;-8,605754242E0;-2,136956177E0
5,509718958E0;-1,979034576E0;-5,556145935E0;-6,408174133E-1
5,610211958E0;-1,182540894E0;-8,950187988E0;-2,764451294E0
5,710703792E0;-3,712429962E0;-8,668473816E0;1,603315887E0
5,811195792E0;-8,810678101E-1;-1,093161758E1;-8,839118958E-1
5,911687792E0;-7,164700928E0;-9,216035156E0;-6,771618347E0
6,012179792E0;2,211501160E0;-1,066936295E1;-1,850002899E0
6,112671792E0;-2,699785767E0;-6,158343658E0;1,987716522E0
6,213164792E0;-1,370549927E0;-7,781717834E0;3,195854187E-1
6,313656792E0;1,086740112E-1;-1,291858566E1;2,165397034E0
6,414148792E0;-8,749754791E0;-1,033540741E1;-4,237837372E0
6,514640792E0;-4,271816711E0;-8,727151794E0;-3,190914459E0
6,615132792E0;-5,442681885E-1;-7,736811218E0;-5,536985779E-1
6,715625083E0;-1,430724792E0;-7,344327393E0;-1,418150940E0
6,816118083E0;-1,824555817E0;-9,334588623E0;-1,126407623E0
6,916610083E0;-1,862427063E0;-1,198557587E1;-1,780098267E0
7,017102083E0;-4,450245667E0;-7,611072693E0;-6,069129181E0
7,117594083E0;-3,537294159E0;-1,498219437E1;-3,625011749E0
7,218086083E0;-5,044509888E-1;-7,379653931E0;1,012344818E0
7,318578083E0;-1,207089844E0;-6,750512238E0;6,036946106E-1
7,419070083E0;2,394121399E0;-1,305046143E1;1,473984833E0
7,519563083E0;-1,793270874E-1;-1,629870667E1;-3,091670837E0
7,620055083E0;-3,702550507E0;-1,107397156E1;-5,484594727E0
7,720547917E0;-3,455414429E0;-7,699688416E0;1,107696533E-1
7,821039917E0;-3,002456360E0;-6,622827759E0;-1,685794373E0
7,921531917E0;-1,697769470E0;-9,413624268E0;-1,825753326E0
8,022023917E0;-2,556084595E0;-1,188767944E1;-1,170416107E0
8,122516917E0;-3,917503510E0;-9,648785248E0;-3,476969604E0
8,223008917E0;-6,355483704E0;-9,261839905E0;-4,846920776E0
8,323500917E0;3,706292725E-1;-8,822054443E0;-3,097059631E0
8,423992917E0;-2,037413177E0;-6,165229340E0;7,861651611E-1
8,524484917E0;1,548529816E0;-1,016835480E1;1,455722809E0
8,624977917E0;7,620652771E-1;-1,280108002E1;1,667532349E0
8,725469792E0;-4,318220215E0;-1,530656982E1;-2,460732880E0
8,825961792E0;-4,860841827E0;-8,329578552E0;2,248324585E-1
8,926453792E0;-1,908830566E0;-6,676416321E0;-1,274150391E0
9,026945792E0;-1,058149567E0;-8,542136536E0;-1,963017883E0
9,127438792E0;-3,489842834E0;-1,054751633E1;6,553372192E-1
9,227930792E0;-1,842817841E0;-1,068103867E1;-3,163521423E0
9,328422792E0;-7,396568756E0;-7,935148773E0;-5,158423004E0
9,428914792E0;1,473535767E0;-9,360634460E0;-2,627486115E0
9,529406792E0;-2,092947693E0;-6,035000153E0;1,323098602E0
9,629899792E0;-5,767506409E-1;-8,956474915E0;4,697232056E-1
9,730391542E0;2,661465454E-1;-1,118668716E1;4,152514801E0
9,830883542E0;-3,899690552E0;-5,865851898E0;-5,331014099E0
9,931375542E0;-4,956193542E0;-6,887627106E0;-2,190395050E0
1,003186754E1;2,097138977E-1;-7,777975616E0;-9,119036865E-1
1,013236054E1;-9,933343506E-1;-7,862100677E0;-1,501078491E0
1,023285254E1;-2,697540436E0;-8,876990204E0;1,391057281E0
1,033334454E1;-1,574725342E-1;-9,904603271E0;-1,058299255E-1
1,043383654E1;-6,709946594E0;-9,136999512E0;-6,131848755E0
1,053432854E1;2,351460114E0;-1,060499680E1;-2,119592285E0
1,063482154E1;-4,295018463E0;-6,829996948E0;2,027384033E0
1,073531317E1;-1,320404205E0;-8,126301270E0;1,187031555E-1
1,083580517E1;8,412506104E-1;-1,244526993E1;1,529519348E0
1,093629717E1;-1,012000534E1;-9,585766296E0;-6,104605408E0
1,103678917E1;-3,497926025E0;-8,367000732E0;-3,699407043E0
1,113728217E1;-5,310955811E-1;-7,897876282E0;-1,499132538E0
1,123777417E1;1,354383545E0;-7,124734039E0;-1,250349884E0
1,133826617E1;-3,444936218E0;-1,007614655E1;6,828799438E-1
1,143875817E1;1,291813660E-1;-9,742789764E0;-3,779640198E-1
1,153925017E1;-7,248825989E0;-8,161777496E0;-5,730383606E0
1,163974317E1;-3,975732422E-1;-1,196985855E1;-5,228926392E0
1,174023542E1;-3,360811157E0;-7,946824493E0;1,611099701E0
1,184072742E1;-1,284478912E0;-7,040459290E0;4,788542175E-1
1,194121942E1;9,119036865E-1;-1,356404343E1;1,196461945E0
1,204171142E1;-5,069657593E0;-1,794468384E1;-6,789730682E0
1,214220442E1;-3,902834015E0;-9,110205231E0;-4,948110352E0
1,224269642E1;-6,282435608E-1;-8,579109650E0;-6,474037170E-1
1,234318842E1;-1,855541382E0;-6,728657684E0;-1,293460236E0
1,244368042E1;-1,293609924E0;-9,776619415E0;-1,207239532E0
1,254417242E1;-1,879491577E0;-1,182271454E1;-1,750908966E0
1,264466542E1;-4,260290680E0;-7,663613434E0;-5,827082520E0
1,274515767E1;-4,162094879E0;-1,384770355E1;-3,535198517E0
1,284564967E1;-6,403683472E-1;-8,382867737E0;-4,167333984E-1
1,294614167E1;-8,134085083E-1;-6,067033539E0;6,352789307E-1
1,304663367E1;2,303260345E0;-1,182870209E1;1,393003235E0
1,314712667E1;2,199226685E0;-1,166614014E1;1,150657196E0
1,324761867E1;-3,311264191E0;-1,289014481E1;-3,166066132E0
1,334811067E1;-3,900738373E0;-8,849896545E0;9,575587463E-1
1,344860267E1;-2,039508820E0;-6,627767487E0;-1,826052704E0
1,354909567E1;-1,461860046E0;-9,342372437E0;-2,187700653E0
