"Time (s)";"X (hPa)"
-5,744639583E-1;1,016543274E3
4,308390417E-1;1,016541901E3
1,436147042E0;1,016540451E3
2,441478042E0;1,016540451E3
3,446811042E0;1,016545639E3
3,798466042E0;1,016549225E3
4,870755042E0;1,016552429E3
5,943087042E0;1,016552811E3
7,015361042E0;1,016556168E3
8,087664042E0;1,016556168E3
9,159963042E0;1,016556320E3
1,023224804E1;1,016555557E3
1,130453604E1;1,016555099E3
1,237682304E1;1,016554413E3
1,344911904E1;1,016553802E3
1,452138904E1;1,016553650E3
1,559373104E1;1,016553802E3
1,666603604E1;1,016553879E3
1,773833704E1;1,016553879E3
1,881061004E1;1,016553879E3
1,988287604E1;1,016553879E3
2,095513704E1;1,016555252E3
2,202744004E1;1,016557007E3
2,309973004E1;1,016557388E3
2,417199904E1;1,016559906E3
2,524423104E1;1,016561432E3
2,631645704E1;1,016561432E3
2,738874304E1;1,016561890E3
2,846105404E1;1,016561890E3
2,953331104E1;1,016563950E3
3,060558904E1;1,016566467E3
3,167791704E1;1,016567993E3
3,275026004E1;1,016571274E3
3,382256904E1;1,016573181E3
3,489488904E1;1,016573181E3
3,596716604E1;1,016571045E3
3,703947304E1;1,016567078E3
3,811178304E1;1,016562500E3
3,918407904E1;1,016557999E3
4,025638204E1;1,016557999E3
4,132871504E1;1,016558533E3
4,240104804E1;1,016561661E3
4,347337804E1;1,016565857E3
4,454569104E1;1,016568375E3
4,561802604E1;1,016571045E3
4,669035704E1;1,016571503E3
4,776270504E1;1,016572189E3
4,883503304E1;1,016573181E3
4,990734104E1;1,016576309E3
5,097966404E1;1,016578903E3
5,205195704E1;1,016580734E3
5,312428804E1;1,016584625E3
5,419664804E1;1,016584625E3
5,526901304E1;1,016584549E3
5,634137604E1;1,016583939E3
5,741372104E1;1,016583939E3
5,848606404E1;1,016582031E3
5,955839704E1;1,016582031E3
6,063073304E1;1,016582489E3
6,170305304E1;1,016582489E3
6,277535504E1;1,016582413E3
6,384762504E1;1,016582413E3
6,491993104E1;1,016585693E3
6,599219904E1;1,016586685E3
6,706445004E1;1,016589661E3
6,813669504E1;1,016590652E3
6,920898504E1;1,016591339E3
7,028127904E1;1,016591339E3
7,135355404E1;1,016591339E3
7,242584104E1;1,016592636E3
7,349815904E1;1,016593475E3
7,457046604E1;1,016594925E3
7,564276704E1;1,016594925E3
7,671504204E1;1,016595993E3
7,778733904E1;1,016597443E3
7,885963004E1;1,016597443E3
7,993198404E1;1,016599884E3
8,100431304E1;1,016604156E3
8,207664304E1;1,016605453E3
8,314894104E1;1,016608963E3
8,422122504E1;1,016608963E3
8,529349904E1;1,016611557E3
8,636575604E1;1,016612091E3
8,743802304E1;1,016613007E3
8,851027404E1;1,016613617E3
8,958252304E1;1,016615067E3
9,065480104E1;1,016615067E3
9,172709204E1;1,016614532E3
9,279938404E1;1,016613998E3
9,387168204E1;1,016613998E3
9,494392804E1;1,016613998E3
9,601618704E1;1,016613998E3
9,708849504E1;1,016612396E3
9,816078504E1;1,016612396E3
9,923305204E1;1,016615906E3
1,003053060E2;1,016617203E3
1,013776040E2;1,016619720E3
1,024498780E2;1,016620178E3
1,035221670E2;1,016620178E3
1,045944290E2;1,016617813E3
1,056667210E2;1,016613159E3
1,067390050E2;1,016607895E3
1,078113050E2;1,016604156E3
1,088835970E2;1,016600800E3
1,099558920E2;1,016597595E3
1,110281690E2;1,016597595E3
1,121004930E2;1,016597824E3
1,131728100E2;1,016598053E3
1,142451340E2;1,016598892E3
1,153174010E2;1,016598206E3
1,163897240E2;1,016598206E3
1,174620580E2;1,016598206E3
1,185343830E2;1,016598053E3
1,196067110E2;1,016598282E3
1,206790600E2;1,016598282E3
1,217514010E2;1,016598740E3
1,228237430E2;1,016598740E3
1,238960700E2;1,016598206E3
1,249683940E2;1,016598206E3
1,260407550E2;1,016598892E3
1,271131090E2;1,016599503E3
1,281854140E2;1,016602020E3
1,292577400E2;1,016602631E3
1,303300340E2;1,016602859E3
1,314023480E2;1,016603699E3
1,324747190E2;1,016604538E3
1,335470660E2;1,016604538E3
1,346194230E2;1,016604538E3
1,356918220E2;1,016606522E3
1,367642240E2;1,016606674E3
1,378366260E2;1,016607361E3
1,389090360E2;1,016607895E3
1,399814520E2;1,016608582E3
1,410538050E2;1,016609268E3
1,421261250E2;1,016610107E3
1,431984450E2;1,016610413E3
1,442707530E2;1,016610870E3
1,453430470E2;1,016610718E3
1,464153490E2;1,016611328E3
1,474876820E2;1,016610870E3
1,485600280E2;1,016611481E3
1,496324120E2;1,016611481E3
1,507047700E2;1,016611481E3
1,517770710E2;1,016609573E3
1,528493930E2;1,016609421E3
1,539217170E2;1,016609192E3
1,549940290E2;1,016608734E3
1,560663550E2;1,016608353E3
1,571386630E2;1,016607895E3
1,582110060E2;1,016607895E3
1,592833170E2;1,016607590E3
1,603556290E2;1,016607590E3
1,614279580E2;1,016607742E3
1,625002400E2;1,016607971E3
1,635725300E2;1,016609879E3
1,646448120E2;1,016610031E3
1,657171140E2;1,016611252E3
1,667894010E2;1,016613388E3
1,678616980E2;1,016613388E3
1,689339720E2;1,016613388E3
1,700062280E2;1,016614914E3
1,710784910E2;1,016614914E3
1,721507790E2;1,016614532E3
1,732230330E2;1,016614532E3
1,742952680E2;1,016615906E3
1,753674910E2;1,016618042E3
1,764396940E2;1,016622467E3
1,775119430E2;1,016627274E3
1,785841960E2;1,016633224E3
1,796564010E2;1,016639786E3
1,807286530E2;1,016642532E3
1,818008980E2;1,016642532E3
1,828731850E2;1,016640091E3
1,839454630E2;1,016637421E3
1,850177560E2;1,016633148E3
1,860900730E2;1,016628418E3
1,871623860E2;1,016627960E3
1,882347110E2;1,016627960E3
1,893070340E2;1,016629028E3
1,903793390E2;1,016630707E3
1,914516250E2;1,016630707E3
1,925239190E2;1,016630478E3
1,935961890E2;1,016630096E3
1,946684740E2;1,016628723E3
1,957407980E2;1,016627502E3
1,968130890E2;1,016626053E3
1,978853630E2;1,016626053E3
1,989576500E2;1,016626282E3
2,000298810E2;1,016626282E3
2,011021170E2;1,016624832E3
2,021743430E2;1,016624603E3
2,032466160E2;1,016624603E3
2,043188790E2;1,016623306E3
2,053911440E2;1,016621780E3
2,064634230E2;1,016621780E3
2,075357350E2;1,016621780E3
2,086080460E2;1,016621780E3
2,096803640E2;1,016622772E3
2,107526610E2;1,016624985E3
2,118249790E2;1,016626663E3
2,128972460E2;1,016626663E3
2,139695350E2;1,016627045E3
2,150418200E2;1,016627502E3
2,161140950E2;1,016628113E3
2,171863720E2;1,016628418E3
2,182586670E2;1,016628418E3
2,193309610E2;1,016630707E3
2,204032520E2;1,016631165E3
2,214755890E2;1,016631775E3
2,225479280E2;1,016631927E3
2,236202620E2;1,016632996E3
2,246925960E2;1,016632996E3
2,257649290E2;1,016632309E3
2,268372730E2;1,016631470E3
2,279096120E2;1,016630859E3
2,289819600E2;1,016630707E3
2,300542700E2;1,016630859E3
2,311266280E2;1,016631317E3
2,321989930E2;1,016632767E3
2,332713360E2;1,016634064E3
2,343436890E2;1,016635284E3
2,354160440E2;1,016635284E3
2,364883850E2;1,016635056E3
2,375606610E2;1,016634216E3
2,386329900E2;1,016634216E3
2,397053140E2;1,016633987E3
2,407775790E2;1,016633377E3
2,418498340E2;1,016632309E3
2,429220940E2;1,016628189E3
2,439943990E2;1,016625443E3
2,450667090E2;1,016621628E3
2,461390180E2;1,016618271E3
2,472113700E2;1,016616516E3
2,482837650E2;1,016615982E3
2,493561430E2;1,016616516E3
2,504284970E2;1,016616745E3
2,515008390E2;1,016618271E3
2,525731970E2;1,016618271E3
2,536455690E2;1,016614227E3
2,547179350E2;1,016611099E3
2,557902630E2;1,016607971E3
2,568625480E2;1,016601868E3
