"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3,792445833E-2;-6,730832458E-1;-5,744884610E-1;-1,613606960E-1
1,384164583E-1;-6,128433943E-1;-5,371332765E-1;-9,012435079E-1
2,389084583E-1;-6,630262733E-1;-1,137242794E0;-8,327151537E-1
3,394004583E-1;-4,756116569E-1;-8,640893102E-1;-1,333884478E0
4,398934583E-1;-1,821187258E0;4,170223475E-1;-1,306702733E0
5,403854583E-1;-1,695070744E0;-1,165379763E0;-5,538583994E-1
6,408774583E-1;3,606341034E-2;-4,344421029E-1;6,406758428E-1
7,413689583E-1;2,490392208E0;-6,062896729E0;-9,752652049E-1
8,418609583E-1;-2,278719902E0;-6,446155071E0;-1,072064340E-1
9,423529583E-1;-2,966648102E0;-4,304659367E0;4,107938290E0
1,042844958E0;-3,559824824E-1;-2,508552790E0;4,042117596E0
1,143336958E0;9,133120775E-1;-3,662941754E-1;2,201721191E0
1,243828958E0;-5,695431232E-1;3,203285456E0;4,683553576E-1
1,344320958E0;2,756695986E0;-5,668626428E-1;4,574697614E-1
1,444812958E0;-2,387461513E-1;1,652322769E0;7,735303640E-1
1,545304958E0;8,956048489E-1;-1,633689404E-1;6,724474430E-1
1,645796958E0;1,108727217E0;-4,416827559E-1;1,566618443E0
1,746289792E0;3,202537596E-1;-9,065395221E-3;1,782408804E-1
1,846782792E0;-1,011775613E0;7,013571262E-1;-2,596949041E-1
1,947274792E0;-1,153054953E0;-1,756628752E0;2,035811394E-1
2,047766792E0;-9,552942514E-1;-5,726478696E-1;1,720211506E0
2,148258792E0;-1,971390545E-1;-2,979374826E-1;8,190635443E-1
2,248750792E0;-6,053084135E-1;2,780292034E-1;5,524628758E-1
2,349242792E0;1,006289005E0;1,951121241E-1;7,549161315E-1
2,449734792E0;1,168776751E-1;1,398597360E-1;4,345885515E-1
2,550226792E0;6,114387512E-1;-1,020331979E0;6,732355952E-1
2,650718792E0;-1,460270137E-1;-3,083767593E-1;-1,384009480E0
2,751210917E0;3,573461771E-1;4,348941520E-2;-7,430559397E-1
2,851702917E0;-8,134438992E-1;-6,175543666E-1;2,225164175E0
2,952194917E0;-5,728792399E-2;-9,247613549E-1;-2,430822514E-2
3,052686917E0;-1,087198734E0;-1,855852306E-1;-3,057776988E-1
3,153178917E0;-3,723107651E-2;-4,253337085E-1;1,306953430E0
3,253670917E0;-2,530190945E-1;1,108229399E0;1,532339811E0
3,354162917E0;-1,580171704E0;1,472289443E0;-3,205819726E-1
3,454654917E0;-3,057736717E-2;3,113954961E-1;7,266851515E-2
3,555146917E0;7,665354013E-1;1,292254686E0;5,671731830E-1
3,655638917E0;2,213322401E0;-2,286321640E0;5,504396558E-1
3,756132792E0;-3,364076316E-1;-1,796716899E-1;-1,596602917E0
