"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3,792445833E-2;-3,813938503E-1;2,020838075E0;1,675905561E0
1,384164583E-1;-3,443724968E-1;1,175621299E0;3,509987662E0
2,389084583E-1;2,062290887E0;-3,203245068E-1;4,341522539E-1
3,394004583E-1;8,628325371E-1;-5,658362281E-1;6,623714197E-1
4,398934583E-1;1,112681285E0;1,392954703E0;-2,550403440E-1
5,403854583E-1;1,039056800E0;2,144733266E0;5,656900477E-1
6,408774583E-1;2,239655211E0;1,093787469E0;6,413945335E-1
7,413689583E-1;8,980359913E-1;-1,015492520E0;-2,602675794E0
8,418609583E-1;1,378572891E0;-6,514475929E0;-4,626819300E0
9,423529583E-1;-5,360341394E-1;-9,390615474E0;-1,761538619E0
1,042844958E0;3,760052025E0;-5,147501575E0;3,943713069E0
1,143336958E0;1,075904871E1;1,715379530E0;5,000055846E0
1,243828958E0;8,407608476E0;3,554931700E-1;1,901004653E0
1,344320958E0;2,875131485E0;-9,663874573E-1;-6,692138314E-3
1,444812958E0;3,588249135E-1;-1,015945534E0;-4,835866030E0
1,545304958E0;-4,909461426E0;1,859867152E0;-1,972909326E0
1,645796958E0;-6,137294852E0;3,762104398E0;5,202174211E0
1,746289792E0;8,528656365E0;3,585294537E0;2,157101589E0
1,846782792E0;7,661958964E-1;-5,274239389E0;1,190497317E1
1,947274792E0;-6,393851379E-1;-2,539010725E0;-1,273769445E0
2,047766792E0;-8,898538363E-1;9,138788760E-1;8,942054804E-1
2,148258792E0;-1,524008238E-1;1,870040722E0;2,875760061E-1
2,248750792E0;7,227510841E-1;-2,420494680E0;1,162727019E0
2,349242792E0;2,288466597E0;1,920109261E0;3,812871094E0
2,449734792E0;-5,499668264E0;-1,854251486E0;-7,480566348E0
2,550226792E0;-4,344893458E-1;-5,296595049E0;-1,379739996E0
2,650718792E0;8,821366811E-1;2,427108466E0;-1,419895749E0
2,751210917E0;1,625050427E0;7,508667482E0;-3,466288276E-1
2,851702917E0;-1,886008884E0;-1,978592059E1;3,892689534E-1
2,952194917E0;5,205839830E0;-1,292622330E0;1,641794659E0
3,052686917E0;-1,871488347E0;-5,337437850E-1;-8,993239868E-1
3,153178917E0;-5,112672635E0;2,841713478E0;3,849105851E-1
3,253670917E0;4,466205642E-1;1,360522537E0;3,095515966E-3
3,354162917E0;2,292693257E0;-1,374680400E-1;6,360799992E-1
3,454654917E0;-6,691324089E-1;1,386515164E-1;4,251945534E0
3,555146917E0;-3,121483451E-1;-7,360708952E-1;2,685245495E0
3,655638917E0;-4,978729881E0;-3,308263984E0;-6,173055253E0
3,756132792E0;4,573483922E0;-4,401415569E-1;-1,509464568E0
3,856624792E0;-3,437119076E-1;4,679697425E0;1,930778675E0
3,957116792E0;7,100117554E-1;-3,884317052E-1;1,113058430E-1
4,057608792E0;1,861240517E0;-2,013250144E0;3,730573872E0
4,158100792E0;-9,556531972E0;4,427029881E0;-7,094420904E0
4,258592792E0;-3,570393493E0;2,263175343E0;-2,407789996E0
4,359084792E0;8,003540146E-1;1,703608500E0;9,977301411E-1
4,459576792E0;4,941531065E0;2,955557013E-1;1,572031822E0
4,560069792E0;1,019884510E-1;-1,088480828E0;3,603075335E0
4,660561792E0;1,435709836E0;-2,448123944E0;3,836834445E0
4,761052958E0;-3,485360067E0;8,541554153E-1;-5,424443250E0
4,861544958E0;1,654165321E0;-3,187445306E0;-2,863917110E0
4,962036958E0;-1,560132153E-1;2,907886418E0;2,304318691E0
5,062528958E0;-1,612410647E0;1,477214250E0;1,723759174E-2
5,163020958E0;4,774765843E0;-3,181903900E0;2,578433822E0
5,263513958E0;3,698827584E0;-7,944752240E-1;-3,899173658E0
5,364005958E0;-3,593888190E0;-2,147766509E0;-4,350761139E0
5,464497958E0;5,286874053E-1;1,170978025E0;1,565483233E0
5,564989958E0;3,107137600E0;3,082120580E0;8,573304534E-1
5,665481958E0;2,923175132E-1;-1,999221504E0;2,684888523E0
5,765973792E0;7,768110779E-1;-3,315215739E0;2,640417232E0
5,866466792E0;-1,587759370E0;2,268103377E0;-4,306217051E0
5,966958792E0;-2,721726859E-1;-5,949544265E0;-2,903845407E0
6,067450792E0;1,734250102E0;2,223782651E0;-2,899552381E-1
6,167942792E0;4,753685461E-1;3,412380676E0;3,493208492E-1
6,268434792E0;3,479192131E0;-2,994456784E0;6,448905838E-1
6,368926792E0;4,441058814E0;-2,742105575E0;1,981352413E0
6,469419792E0;-3,993472582E0;-2,819158428E0;-2,302734096E0
6,569911792E0;-3,340265503E0;1,103266098E0;1,452036870E0
6,670403792E0;-4,828025499E-1;2,632901221E0;1,260557076E0
6,770896083E0;2,363505085E0;1,367482477E-1;1,032439652E0
6,871388083E0;-1,049728699E0;-1,193866950E0;4,059350237E0
6,971880083E0;-9,607460636E-1;-2,946104404E0;6,371550098E-1
7,072373083E0;-4,241922529E0;3,785043025E-1;-3,472325746E0
7,172865083E0;5,004702044E0;-2,903487557E-1;-2,392647901E0
7,273357083E0;-1,005293953E0;3,865276179E0;1,921169361E0
7,373849083E0;7,922500661E-1;1,007568812E-1;3,773026997E-1
7,474341083E0;2,166833548E0;-1,297667307E0;4,365677387E0
7,574833083E0;-4,684499744E-1;-1,074356879E0;-4,793770317E-1
7,675326083E0;-5,438268991E0;2,494022833E0;2,634699824E-1
7,775818917E0;2,666781743E0;2,047387943E0;3,636990063E-1
7,876310917E0;9,248789504E-1;9,045128059E-1;1,102448950E0
7,976802917E0;-2,741847128E-1;7,211254120E-2;4,747813395E0
8,077294917E0;1,197026932E0;-1,554261841E0;3,707631737E0
8,177786917E0;-3,547347569E0;4,848324108E-1;-4,523404859E0
8,278278917E0;4,089185070E0;-3,124785374E0;-2,783466439E0
8,378771917E0;-2,309489384E-1;2,576610661E0;2,429534476E0
8,479263917E0;-2,768691695E-1;1,631287798E0;1,078472149E0
