"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
8,539463282E-1;5,233482916E1;4,866826264E0;1,883144379E0;1,149999976E0;9,175781250E1;5,078239993E0;3,000000000E0
1,853997469E0;5,233482885E1;4,866843127E0;1,883144550E0;1,149999976E0;9,175782585E1;5,108326145E0;3,084532882E0
2,854057431E0;5,233482171E1;4,866856644E0;1,739040473E0;6,200000048E-1;9,210938220E1;5,096483650E0;3,086995217E0
3,854111314E0;5,233481915E1;4,866888891E0;1,707485409E0;1,350000024E0;9,175782817E1;5,707811534E0;4,000000000E0
4,854156256E0;5,233481678E1;4,866898951E0;1,569851029E0;7,099999785E-1;9,210938324E1;6,360093064E0;4,000000000E0
5,854202151E0;5,233481330E1;4,866917284E0;1,552578112E0;9,599999785E-1;9,210938614E1;6,199990257E0;4,000000000E0
6,854241490E0;5,233480822E1;4,866927323E0;1,529934038E0;7,300000191E-1;9,210938347E1;6,326193650E0;4,000000000E0
7,854275107E0;5,233479964E1;4,866965466E0;1,731533420E0;1,970000029E0;9,878908511E1;6,207845849E0;4,000000000E0
8,854310393E0;5,233479686E1;4,866962527E0;2,390834917E0;7,300000191E-1;9,210938347E1;5,853947549E0;4,000000000E0
9,854335666E0;5,233479370E1;4,866972647E0;2,599880349E0;8,999999762E-1;9,210938544E1;5,803728711E0;4,000000000E0
1,085435855E1;5,233479120E1;4,866986433E0;2,735927748E0;1,120000005E0;9,210938800E1;5,980455722E0;4,000000000E0
1,185437930E1;5,233478906E1;4,866996659E0;2,785244153E0;1,120000005E0;9,210938800E1;6,229465442E0;4,000000000E0
1,285439849E1;5,233478689E1;4,867014097E0;2,474025890E0;1,120000005E0;8,824220050E1;6,243857616E0;4,000000000E0
1,385441506E1;5,233478423E1;4,867025218E0;2,753017567E0;9,700000286E-1;8,753907375E1;6,149150927E0;4,000000000E0
1,485443211E1;5,233478332E1;4,867041329E0;3,342800345E0;1,320000052E0;8,753907781E1;5,936230509E0;4,000000000E0
1,585444462E1;5,233478282E1;4,867053650E0;3,201870169E0;1,320000052E0;8,753907781E1;5,921385659E0;4,000000000E0
1,685445797E1;5,233477946E1;4,867062246E0;3,309841326E0;1,139999986E0;9,843751310E1;5,790523846E0;4,000000000E0
1,785446942E1;5,233477800E1;4,867077920E0;3,128444842E0;1,139999986E0;9,843751310E1;5,901452924E0;4,000000000E0
