"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,708586100E-2;-3,914059639E0;4,359124660E0;7,987840176E0
9,288624800E-2;-4,436293125E0;4,088137627E0;9,640682220E0
1,928862480E-1;-4,185046673E0;4,905286312E0;1,166321564E1
2,928862480E-1;-3,248256683E0;1,176670551E0;8,484351158E0
3,928862480E-1;-1,853241086E0;1,420738459E0;8,367700577E0
4,928862480E-1;-3,026920557E-1;6,281159520E-1;7,367500782E0
5,928862480E-1;1,505085468E0;8,171489239E-1;9,035896301E0
6,928862480E-1;2,171486616E-1;1,600200176E0;8,502895355E0
7,928862480E-1;2,083550215E0;4,912465096E0;1,044227791E1
8,928862480E-1;3,142374277E0;-3,050848842E-2;2,180459738E0
9,928862480E-1;4,531407833E0;1,393819153E-1;6,081956863E0
1,092886248E0;6,455835342E0;-3,334996462E0;4,616353035E0
1,192886248E0;1,144965649E1;-7,040282249E0;8,559126854E0
1,292886248E0;1,674796295E1;-4,395615101E0;8,644669533E0
1,392886248E0;1,431685638E1;-2,806781054E0;4,990829945E0
1,492886248E0;5,769095421E0;-4,164109707E0;-3,510270834E0
1,592886248E0;9,282955170E0;-4,698905468E0;8,092526436E0
1,692886248E0;9,961320877E0;-7,194021225E0;5,770890236E0
1,792886248E0;1,101775169E1;-3,134597778E0;6,267998695E0
1,892886248E0;6,349354744E0;-2,639283419E0;-8,123632669E-1
1,992886248E0;9,016156197E0;-1,919641972E0;2,398206472E0
2,092886248E0;9,393623352E0;-5,883352757E0;3,880560160E0
2,192886248E0;1,290090370E1;-8,029714584E0;1,226919770E0
2,292886248E0;5,762515068E0;-4,659423828E0;4,133601189E-1
2,392886248E0;6,447460651E0;-2,392224550E0;1,430309772E0
2,492886248E0;6,722635269E0;-4,585246563E0;6,508477330E-1
2,592886248E0;6,159125328E0;-1,104407310E1;2,009970903E0
2,692886248E0;1,130967617E1;-1,041954613E1;-1,931007862E0
2,792886248E0;4,441078663E0;-5,574678421E0;-1,460818172E0
2,892886248E0;3,829712629E0;-3,966103554E0;-6,640082598E-2
2,992886248E0;5,666203976E0;-6,944569588E0;1,223928809E0
3,092886248E0;1,289312649E1;-1,056610680E1;-2,721237659E0
3,192886248E0;5,126024246E0;-4,010969162E0;-2,942573547E0
3,292886248E0;4,607978344E0;-2,359921217E0;-8,895317912E-1
3,392886248E0;2,199602127E0;-4,436293125E0;-2,865405083E-1
3,492886248E0;4,075575352E0;-7,115656376E0;2,153540403E-2
3,592886248E0;5,871986866E0;-1,034836006E1;7,561319470E-1
3,692886248E0;2,673979402E-1;-4,660022259E0;-4,881358147E-1
3,792886248E0;9,571290761E-2;-7,726424217E0;-6,735795736E-1
3,892886248E0;-1,854437590E-1;-1,218066406E1;-2,438884497E0
3,992886248E0;-2,102692842E0;-8,381459236E0;-1,609771490E0
4,092886248E0;-1,601396561E0;-6,059225082E0;-1,096511006E0
4,192886248E0;7,316055298E-1;-8,659027100E0;-3,361915827E0
4,292886248E0;-4,103690982E-1;-8,222934723E0;3,469592705E-2
4,392886248E0;-3,594019651E0;-1,442931843E1;1,317248821E0
4,492886248E0;-2,643470764E0;-1,254197979E1;1,256231904E0
4,592886248E0;7,112665176E-1;-9,021539688E0;-1,481157184E0
4,692886248E0;3,367897868E-1;-6,029912949E0;-1,171884894E0
4,792886248E0;8,668000102E-1;-1,002592659E1;-1,610369682E0
4,892886248E0;-3,080160856E0;-1,676291847E1;-4,151547253E-1
4,992886248E0;-1,293320656E0;-7,270591736E0;-7,082754970E-1
5,092886248E0;-7,040880919E-1;-6,132206440E0;-1,202991605E0
5,192886248E0;2,820539713E0;-1,229611778E1;-3,270988464E0
5,292886248E0;-6,320042610E0;-1,246241856E1;2,979064286E-1
5,392886248E0;-3,320041418E0;-1,438505173E1;3,792025566E0
5,492886248E0;-3,236890793E0;-1,100160027E1;-5,575276613E-1
5,592886248E0;-2,200200319E0;-8,659027100E0;-7,932206988E-1
5,692886248E0;-5,976074338E-1;-7,560721397E0;-7,645068169E-1
5,792886248E0;-1,543370605E0;-8,475378036E0;9,499505758E-1
