"Time (s)";"Illuminance (lx)"
0,000000000E0;1,013046582E4
2,313657230E-1;1,098264062E4
3,644035280E-1;1,223502930E4
4,531323310E-1;1,335687891E4
5,418221520E-1;1,458924512E4
6,418221520E-1;0,000000000E0
7,418221520E-1;0,000000000E0
8,418221520E-1;0,000000000E0
9,418221520E-1;0,000000000E0
1,041822152E0;0,000000000E0
1,141822152E0;0,000000000E0
1,241822152E0;0,000000000E0
1,341822152E0;0,000000000E0
1,441822152E0;0,000000000E0
1,541822152E0;0,000000000E0
1,641822152E0;0,000000000E0
1,741822152E0;0,000000000E0
1,841822152E0;0,000000000E0
1,941822152E0;0,000000000E0
2,041822152E0;0,000000000E0
2,141822152E0;0,000000000E0
2,241822152E0;0,000000000E0
2,341822152E0;0,000000000E0
2,441822152E0;0,000000000E0
2,541822152E0;0,000000000E0
2,641822152E0;0,000000000E0
2,741822152E0;0,000000000E0
2,841822152E0;0,000000000E0
2,941822152E0;0,000000000E0
3,041822152E0;0,000000000E0
3,141822152E0;0,000000000E0
3,241822152E0;0,000000000E0
3,341822152E0;0,000000000E0
3,441822152E0;0,000000000E0
3,541822152E0;0,000000000E0
3,641822152E0;0,000000000E0
3,741822152E0;0,000000000E0
3,841822152E0;0,000000000E0
3,941822152E0;0,000000000E0
4,041822152E0;0,000000000E0
4,141822152E0;0,000000000E0
4,241822152E0;0,000000000E0
4,341822152E0;0,000000000E0
4,441822152E0;0,000000000E0
4,541822152E0;0,000000000E0
4,641822152E0;0,000000000E0
4,741822152E0;0,000000000E0
4,841822152E0;3,570512451E3
4,941822152E0;3,570512451E3
5,041822152E0;3,570512451E3
5,141822152E0;3,570512451E3
5,241822152E0;3,570512451E3
5,341822152E0;3,570512451E3
5,441822152E0;3,570512451E3
5,541822152E0;3,570512451E3
5,641822152E0;3,570512451E3
5,741822152E0;3,570512451E3
5,841822152E0;3,570512451E3
5,941822152E0;3,570512451E3
6,041822152E0;3,570512451E3
6,141822152E0;3,570512451E3
6,241822152E0;3,570512451E3
6,341822152E0;3,570512451E3
6,441822152E0;2,750149841E2
6,541822152E0;2,750149841E2
6,641822152E0;2,750149841E2
6,741822152E0;2,750149841E2
6,841822152E0;2,750149841E2
6,941822152E0;2,750149841E2
7,041822152E0;2,750149841E2
7,141822152E0;2,750149841E2
7,241822152E0;2,750149841E2
7,341822152E0;2,750149841E2
7,441822152E0;2,750149841E2
7,541822152E0;2,750149841E2
7,641822152E0;2,750149841E2
7,741822152E0;2,750149841E2
7,841822152E0;2,750149841E2
7,941822152E0;2,750149841E2
8,041822152E0;2,750149841E2
8,141822152E0;2,750149841E2
8,241822152E0;2,750149841E2
8,341822152E0;2,750149841E2
8,441822152E0;2,750149841E2
8,541822152E0;2,750149841E2
8,641822152E0;2,750149841E2
8,741822152E0;2,750149841E2
8,841822152E0;2,750149841E2
8,941822152E0;1,086100006E2
9,041822152E0;1,086100006E2
9,141822152E0;1,086100006E2
9,241822152E0;1,086100006E2
9,341822152E0;1,086100006E2
9,441822152E0;1,086100006E2
9,541822152E0;1,086100006E2
9,641822152E0;1,086100006E2
9,741822152E0;1,086100006E2
9,841822152E0;1,086100006E2
9,941822152E0;1,086100006E2
1,004182215E1;1,086100006E2
1,014182215E1;1,086100006E2
1,024182215E1;1,086100006E2
1,034182215E1;1,086100006E2
1,044182215E1;1,086100006E2
1,054182215E1;1,086100006E2
1,064182215E1;1,086100006E2
1,074182215E1;7,532499790E0
1,084182215E1;7,532499790E0
1,094182215E1;3,740000010E0
1,104182215E1;3,740000010E0
1,114182215E1;4,741250038E0
1,124182215E1;4,741250038E0
1,134182215E1;4,741250038E0
1,144182215E1;4,741250038E0
1,154182215E1;4,741250038E0
1,164182215E1;4,741250038E0
1,174182215E1;4,741250038E0
1,184182215E1;4,741250038E0
1,194182215E1;4,741250038E0
1,204182215E1;4,741250038E0
1,214182215E1;5,859999657E0
1,224182215E1;5,859999657E0
1,234182215E1;5,859999657E0
1,244182215E1;5,859999657E0
1,254182215E1;5,859999657E0
1,264182215E1;5,859999657E0
1,274182215E1;5,859999657E0
1,284182215E1;1,193750024E0
1,294182215E1;1,193750024E0
1,304182215E1;1,193750024E0
1,314182215E1;2,331249952E0
1,324182215E1;2,331249952E0
1,334182215E1;2,331249952E0
1,344182215E1;2,331249952E0
1,354182215E1;2,331249952E0
1,364182215E1;2,331249952E0
1,374182215E1;2,331249952E0
1,384182215E1;2,331249952E0
1,394182215E1;2,331249952E0
1,404182215E1;2,331249952E0
1,414182215E1;2,331249952E0
1,424182215E1;2,331249952E0
1,434182215E1;2,331249952E0
1,444182215E1;2,331249952E0
1,454182215E1;2,331249952E0
1,464182215E1;2,331249952E0
1,474182215E1;2,331249952E0
1,484182215E1;2,331249952E0
1,494182215E1;2,331249952E0
1,504182215E1;3,046249866E0
1,514182215E1;3,046249866E0
1,524182215E1;3,046249866E0
1,534182215E1;3,046249866E0
1,544182215E1;3,046249866E0
1,554182215E1;3,046249866E0
1,564182215E1;3,046249866E0
1,574182215E1;3,046249866E0
1,584182215E1;3,046249866E0
1,594182215E1;3,046249866E0
1,604182215E1;3,046249866E0
1,614182215E1;3,046249866E0
1,624182215E1;3,046249866E0
1,634182215E1;3,046249866E0
1,644182215E1;3,046249866E0
1,654182215E1;3,046249866E0
1,664182215E1;3,046249866E0
1,674182215E1;3,046249866E0
1,684182215E1;3,046249866E0
1,694182215E1;3,046249866E0
1,704182215E1;3,046249866E0
1,714182215E1;3,046249866E0
1,724182215E1;3,046249866E0
1,734182215E1;3,046249866E0
1,744182215E1;3,046249866E0
1,754182215E1;3,046249866E0
1,764182215E1;3,046249866E0
1,774182215E1;3,046249866E0
