"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,065598000E-2;-1,107062817E0;7,888586521E-1;-3,849973679E-1
1,093349890E-1;-3,135910749E0;2,032271385E0;1,529218674E0
2,080093890E-1;6,080865860E-3;1,748344421E0;5,382484436E0
3,066900040E-1;-1,580755353E0;1,332925200E0;-1,123460770E0
4,053583320E-1;-5,636991262E-1;2,381090224E-1;-1,474231720E0
5,040238520E-1;-1,848736703E-1;5,259223580E-1;-8,345479965E-1
6,027313030E-1;3,377437294E-1;-2,258890629E0;-1,513920784E0
7,014097820E-1;-1,259704232E0;7,315123081E-1;-2,742169857E0
8,000888410E-1;1,348881245E0;-2,112579107E0;1,485722542E0
8,987528250E-1;-1,846504450E0;-1,950241566E0;-4,157114029E0
9,974496450E-1;-2,428802967E0;-2,475432396E0;-5,694350243E0
1,096150779E0;3,934669495E-2;-4,928847313E0;1,138839722E-1
1,194805760E0;9,844347954E0;-4,160425186E0;8,096906662E0
1,293473588E0;9,123554230E0;3,463570833E0;3,754189968E0
1,392154102E0;5,582146168E0;5,723964214E0;-3,345032454E0
1,490852174E0;4,525799751E-1;1,324968338E0;-2,348498106E0
1,589524174E0;-1,293475628E0;-5,381650925E-1;-6,295359135E-1
1,688201972E0;1,689449310E0;-1,842466354E0;4,972640038E0
1,786873777E0;-8,279255867E0;-3,210867882E0;1,245598555E0
1,885545350E0;9,858369827E-1;5,152963161E0;-2,858484983E-1
1,984246637E0;1,428143501E0;4,649438858E-1;-1,941097260E0
2,082912685E0;3,322625160E0;-3,606424332E-1;3,966881633E-1
2,181604490E0;1,766751289E0;-3,672823906E0;-1,407722473E0
2,280285248E0;-1,370007992E0;2,736811399E0;3,631788492E-2
2,378956933E0;-3,073679447E0;5,336361408E0;-2,493458986E0
2,477642329E0;-5,488681793E-2;2,306494236E0;1,343597531E0
2,576312894E0;-1,203682423E0;-6,693965912E0;-7,224093676E-1
2,675000784E0;5,393994808E0;-3,892860889E0;-1,021787763E0
2,773671421E0;-2,455448627E0;2,974118710E0;-2,559067726E0
2,872351019E0;-1,717893600E0;2,905210018E0;1,556296647E-1
2,971036629E0;-1,371689320E0;1,192726135E0;4,692061424E0
3,069722382E0;4,386454582E0;-2,215111732E0;-2,183021069E0
3,168390891E0;-2,388832569E0;2,121652126E0;-1,164996147E0
3,267080327E0;-2,243209124E0;4,977027893E0;-4,703892469E-1
3,365746030E0;-2,431854725E0;2,934467316E0;-3,992674053E-1
3,464442739E0;6,956863403E-1;-2,313117027E0;3,726754189E0
3,563110079E0;3,811541319E0;-1,724453926E0;1,219076037E0
3,661788040E0;4,544949532E0;-1,804468918E1;1,878621817E0
3,760483141E0;2,605800629E0;1,802695274E0;2,615007162E-1
3,859148285E0;8,446290493E-1;-9,426471710E0;1,304439306E0
3,957846254E0;-2,779230118E0;2,475345612E0;4,564495087E-1
4,056520359E0;-1,484097242E-1;5,109059811E0;1,164748192E0
4,155193224E0;2,840519428E0;3,521080017E-1;-4,211261272E0
4,253882731E0;-6,059060097E-1;3,424571514E0;-5,199656010E0
4,352549349E0;-3,384878159E0;-5,920894623E0;-2,708213568E0
4,451245071E0;3,604993820E-1;-7,786436081E-1;-1,150191307E0
4,549921689E0;4,223024845E0;-6,940546036E-1;-1,553408265E0
4,648598540E0;3,751213312E0;1,679522514E0;1,182066441E0
4,747282736E0;3,236343622E0;7,935523987E-3;1,510202885E-1
4,845946994E0;-4,323044777E0;-5,749576569E0;3,597462177E-1
4,944639889E0;-1,962731481E-1;2,583143234E0;1,537841201E0
5,043325113E0;-1,397169948E0;4,608716965E0;-6,826987267E-1
5,142005678E0;5,155745506E0;-5,313178062E0;-2,373009682E0
5,240680973E0;2,967705250E0;3,145484447E0;9,078710675E-1
5,339340785E0;1,647743821E0;-4,921092033E0;1,372494125E1
5,438045357E0;-1,302025080E0;-2,796616554E0;1,723498821E0
5,536720978E0;6,803550720E-1;1,345887661E0;-7,422325015E-1
5,635400526E0;2,908244133E0;3,181656361E0;-2,521023512E0
5,734079840E0;2,112184525E0;4,144649506E-1;-2,605174184E-1
5,832748981E0;3,890763521E0;-1,355390549E0;-1,406422973E0
5,931443075E0;5,564421654E0;2,641582489E-2;-1,350356102E0
6,030109694E0;-1,099038124E0;-9,824738503E0;-1,623700333E1
6,128805984E0;-6,538401604E0;4,096250534E-1;3,537905693E0
6,227490761E0;-3,332892418E0;8,778520584E0;2,554275513E0
6,326148661E0;7,721963525E-2;4,575424194E0;-5,169272423E-3
6,424832308E0;-4,986803532E-1;-1,370587349E0;2,068148851E-1
6,523525905E0;1,339002132E0;2,714821339E0;5,320561886E0
6,622203235E0;-2,196063757E0;5,023111343E0;-7,804963589E0
6,720883199E0;4,135683537E0;-5,836054802E0;-3,620796680E0
6,819549888E0;5,048563957E0;2,471512794E0;-3,670288801E0
6,918241185E0;-4,821464539E0;3,656487942E0;1,499637604E1
7,016911781E0;-1,888569713E0;-4,240718842E0;6,608676910E0
7,115591420E0;-7,277025580E-1;4,805173874E-1;-2,660753727E0
7,214281619E0;7,937181950E0;-1,152309990E1;-1,519518566E1
7,312950668E0;2,728650570E0;9,877738953E-1;-5,769464493E0
7,411650133E0;-9,235475540E0;4,625113487E0;3,955795765E0
7,510321574E0;-6,838750839E-2;-2,812329292E0;5,835765362E0
7,609004071E0;-2,636892796E-1;6,358509064E-1;-3,184757233E0
7,707680739E0;9,592971802E-1;2,332631111E0;-3,527818441E0
7,806349799E0;7,786309242E0;-2,997729301E0;-2,578765392E0
7,905045593E0;5,119934082E0;-3,980810165E0;-2,029699326E0
8,003724540E0;-8,714646339E0;-7,396180153E0;2,127531052E0
8,102405104E0;-3,100308776E-2;-1,213092804E-1;2,921845436E0
8,201076168E0;-3,904161453E0;7,277009010E0;5,486433983E0
8,299752002E0;-2,055170536E0;5,290817738E0;1,254984379E0
8,398443289E0;9,560877681E-1;-2,980639458E0;-1,888034344E-1
8,497125126E0;-1,782595754E0;-8,163168907E0;3,376038790E0
8,595803309E0;-2,123979807E0;5,253172398E0;8,957579613E0
8,694485279E0;5,469881296E-1;-3,187658310E0;-4,625866413E0
8,793137259E0;1,687434435E0;2,122790337E0;1,225808978E0
8,891833245E0;-1,007566452E-1;2,579860687E-1;-4,597929955E0
8,990526037E0;5,477808952E0;-3,053436279E0;-2,161796570E0
9,089206500E0;2,320831776E0;-3,360207558E0;-3,920848846E0
9,187888998E0;-7,512394905E0;-6,881384850E0;3,730734348E0
