"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
9,216051800E-2;5,234043620E1;4,864393900E0;NaN;NaN;NaN;2,200000000E3;0,000000000E0
6,109563480E0;5,233856121E1;4,869105192E0;4,243903460E0;0,000000000E0;NaN;6,496053314E1;8,356133270E1
7,103998905E0;5,233855846E1;4,869052802E0;4,405953951E0;0,000000000E0;NaN;8,598219299E1;6,968706512E1
8,115504032E0;5,233854660E1;4,869045020E0;4,427889467E0;0,000000000E0;NaN;1,161835022E2;9,104574585E1
9,119998621E0;5,233855568E1;4,869022926E0;4,385470699E0;0,000000000E0;NaN;7,869204712E1;5,486417007E1
1,012628471E1;5,233854792E1;4,869016035E0;4,384071032E0;0,000000000E0;NaN;1,874665833E2;1,623301697E2
1,210358879E1;5,233853205E1;4,869009149E0;4,357737342E0;0,000000000E0;NaN;1,549673157E2;1,212880325E2
1,311747690E1;5,233846944E1;4,869042650E0;4,364117441E0;0,000000000E0;NaN;1,578393250E2;1,180633240E2
1,412806588E1;5,233836763E1;4,869089170E0;4,403452604E0;0,000000000E0;NaN;7,239649200E1;6,430966187E1
1,514242457E1;5,233836933E1;4,869086394E0;4,407501297E0;0,000000000E0;NaN;1,870908813E2;2,425483856E2
1,614931735E1;5,233837079E1;4,869099163E0;4,415850728E0;0,000000000E0;NaN;1,297593842E2;1,682269135E2
1,715140243E1;5,233840020E1;4,869041509E0;4,481742314E0;0,000000000E0;NaN;4,734814453E1;6,554874420E1
1,814969186E1;5,233850311E1;4,868906526E0;4,253659378E0;0,000000000E0;NaN;9,314884186E0;1,816934967E1
1,912878651E1;5,233857224E1;4,868906418E0;5,043578186E0;0,000000000E0;NaN;9,699895859E0;9,861247063E0
2,012821200E1;5,233856075E1;4,868906211E0;4,996806455E0;0,000000000E0;NaN;1,477831459E1;2,471102524E1
2,113806483E1;5,233855072E1;4,868915134E0;5,002766552E0;0,000000000E0;NaN;2,120158386E1;3,868078613E1
2,413843747E1;5,233854042E1;4,868912388E0;4,978309988E0;0,000000000E0;NaN;2,340964890E1;5,141309738E1
2,615308587E1;5,233851780E1;4,868916412E0;4,960091242E0;0,000000000E0;NaN;2,951296234E1;5,517731476E1
2,715598545E1;5,233845959E1;4,868995897E0;4,202337407E0;0,000000000E0;NaN;3,185649872E1;7,368812561E0
2,816596514E1;5,233840312E1;4,868978362E0;4,108648201E0;1,217134118E0;1,778226166E2;2,277653694E1;5,260911942E0
2,926383371E1;5,233840345E1;4,869146991E0;3,785365734E0;1,363878965E0;1,805266724E2;1,440844059E1;4,364157200E0
3,026210532E1;5,233845665E1;4,869132016E0;4,143809019E0;9,164232016E-1;1,590201721E2;1,030163574E1;3,856343985E0
3,119326552E1;5,233846784E1;4,869125037E0;4,331102226E0;6,472556591E-1;1,669528809E2;8,367460251E0;3,563756943E0
3,219341052E1;5,233845454E1;4,869109382E0;4,083268946E0;5,754541159E-1;1,669528809E2;6,255625248E0;3,350234270E0
3,319331552E1;5,233845332E1;4,869095758E0;3,644567736E0;6,450147629E-1;1,659467926E2;5,263991356E0;3,176873446E0
3,419331652E1;5,233845068E1;4,869094047E0;3,519695646E0;5,308033824E-1;1,659467926E2;5,011853218E0;3,111569405E0
3,519333952E1;5,233844899E1;4,869102801E0;3,439809138E0;4,686376452E-1;1,659467926E2;4,794134140E0;3,111089945E0
3,619333652E1;5,233844137E1;4,869105236E0;3,242982188E0;6,705521941E-1;1,557508392E2;4,806885719E0;3,129114151E0
3,719336952E1;5,233842869E1;4,869109976E0;3,359842526E0;8,872488737E-1;1,520437012E2;4,894884109E0;3,210797787E0
